dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,204.999710,138.000000,0.001750,0.174972,8.748603,437.430173,3.141570
0.020000,204.999731,138.000000,0.001771,0.001065,-8.695374,-872.198864,3.141572
0.020000,204.999780,138.000000,0.001820,0.002430,0.068273,438.182341,3.141576
0.020000,204.999868,138.000000,0.001908,0.004439,0.100437,1.608201,3.141583
0.020000,204.997843,138.000000,0.003934,0.101266,4.841365,237.046394,3.141593
0.020000,204.942048,138.000000,0.059729,2.789771,134.425263,6479.194900,3.141608
0.020000,204.872321,137.999998,0.129456,3.486351,34.828993,-4979.813478,3.141628
0.020000,204.788673,137.999994,0.213103,4.182366,34.800742,-1.412581,3.141655
0.020000,204.691119,137.999986,0.310657,4.877700,34.766693,-1.702441,3.141688
0.020000,204.579675,137.999973,0.422102,5.572233,34.726659,-2.001714,3.141729
0.020000,204.454358,137.999953,0.547419,6.265843,34.680507,-2.307586,3.141780
0.020000,204.315189,137.999923,0.686588,6.958456,34.630625,-2.494119,3.141842
0.020000,204.162191,137.999879,0.839586,7.649887,34.571567,-2.952898,3.141917
0.020000,203.995389,137.999817,1.006388,8.340084,34.509828,-3.086923,3.142007
0.020000,203.814811,137.999733,1.186966,9.028907,34.441193,-3.431745,3.142115
0.020000,203.620487,137.999619,1.381290,9.716231,34.366182,-3.750575,3.142241
0.020000,203.412447,137.999469,1.589330,10.401973,34.287090,-3.954568,3.142389
0.020000,203.190728,137.999274,1.811049,11.085954,34.199036,-4.402737,3.142562
0.020000,202.955366,137.999022,2.046411,11.768114,34.108000,-4.551763,3.142762
0.020000,202.706401,137.998703,2.295377,12.448284,34.008505,-4.974744,3.142992
0.020000,202.443873,137.998301,2.557905,13.126413,33.906452,-5.102661,3.143256
0.020000,202.167827,137.997801,2.833951,13.802309,33.794827,-5.581267,3.143557
0.020000,201.878310,137.997184,3.123469,14.475900,33.679552,-5.763739,3.143898
0.020000,201.575370,137.996428,3.426410,15.147020,33.555992,-6.178023,3.144283
0.020000,201.259062,137.995509,3.742719,15.815492,33.423589,-6.620134,3.144717
0.020000,200.929436,137.994400,4.072347,16.481382,33.294496,-6.454656,3.145203
0.020000,200.586552,137.993070,4.415233,17.144308,33.146299,-7.409838,3.145746
0.020000,200.230470,137.991484,4.771319,17.804274,32.998310,-7.399476,3.146351
0.020000,199.861253,137.989605,5.140541,18.461117,32.842151,-7.807933,3.147021
0.020000,199.478966,137.987390,5.522834,19.114660,32.677147,-8.250207,3.147763
0.020000,199.083679,137.984791,5.918130,19.764794,32.506673,-8.523674,3.148581
0.020000,198.675463,137.981756,6.326357,20.411363,32.328462,-8.910567,3.149482
0.020000,198.254394,137.978228,6.747441,21.054159,32.139801,-9.433050,3.150470
0.020000,197.820553,137.974144,7.181301,21.693013,31.942712,-9.854448,3.151552
0.020000,197.374022,137.969435,7.627857,22.327802,31.739432,-10.164016,3.152735
0.020000,196.914888,137.964026,8.087023,22.958299,31.524888,-10.727166,3.154024
0.020000,196.443243,137.957835,8.558708,23.584260,31.298051,-11.341877,3.155427
0.020000,195.959181,137.950773,9.042822,24.205706,31.072277,-11.288687,3.156950
0.020000,195.462805,137.942743,9.539263,24.822029,30.816139,-12.806901,3.158602
0.020000,194.954218,137.933640,10.047931,25.433413,30.569237,-12.345081,3.160390
0.020000,194.433533,137.923353,10.568718,26.039358,30.297223,-13.600727,3.162323
0.020000,193.900866,137.911758,11.101511,26.639638,30.014025,-14.159904,3.164409
0.020000,193.356338,137.898724,11.646195,27.234195,29.727811,-14.310673,3.166657
0.020000,192.800083,137.884112,12.202642,27.822340,29.407248,-16.028150,3.169077
0.020000,192.232235,137.867768,12.770725,28.404154,29.090719,-15.826467,3.171679
0.020000,191.652942,137.849531,13.350305,28.979028,28.743685,-17.351698,3.174473
0.020000,191.062354,137.829227,13.941242,29.546833,28.390281,-17.670224,3.177470
0.020000,190.460634,137.806670,14.543385,30.107128,28.014751,-18.776470,3.180682
0.020000,189.847956,137.781662,15.156573,30.659429,27.615031,-19.986022,3.184121
0.020000,189.224505,137.753993,15.780638,31.203237,27.190408,-21.231142,3.187799
0.020000,188.590468,137.723436,16.415410,31.738609,26.768594,-21.090702,3.191732
0.020000,187.946061,137.689753,17.060697,32.264355,26.287281,-24.065636,3.195932
0.020000,187.291502,137.652690,17.716304,32.780367,25.800606,-24.333736,3.200415
0.020000,186.627028,137.611978,18.382025,33.286022,25.282784,-25.891105,3.205197
0.020000,185.952892,137.567331,19.057637,33.780615,24.729627,-27.657886,3.210294
0.020000,185.269360,137.518448,19.742916,34.263919,24.165213,-28.220699,3.215725
0.020000,184.576727,137.465009,20.437607,34.734552,23.531656,-31.677838,3.221508
0.020000,183.875299,137.406679,21.141455,35.192438,22.894269,-31.869324,3.227664
0.020000,183.165408,137.343103,21.854188,35.636606,22.208421,-34.292400,3.234213
0.020000,182.447410,137.273909,22.575513,36.066250,21.482174,-36.312396,3.241178
0.020000,181.721691,137.198706,23.305118,36.480272,20.701123,-39.052533,3.248583
0.020000,180.988658,137.117083,24.042680,36.878126,19.892700,-40.421120,3.256452
0.020000,180.248756,137.028613,24.787853,37.258627,19.025061,-43.381990,3.264813
0.020000,179.502455,136.932848,25.540274,37.621037,18.120507,-45.227670,3.273693
0.020000,178.750262,136.829321,26.299557,37.964172,17.156750,-48.187875,3.283122
0.020000,177.992728,136.717548,27.065293,38.286808,16.131782,-51.248402,3.293131
0.020000,177.230428,136.597028,27.837061,38.588384,15.078789,-52.649613,3.303753
0.020000,176.463995,136.467242,28.614406,38.867229,13.942251,-56.826946,3.315022
0.020000,175.694092,136.327658,29.396860,39.122703,12.773730,-58.426043,3.326975
0.020000,174.921432,136.177726,30.183932,39.353596,11.544611,-61.455940,3.339650
0.020000,174.146774,136.016889,30.975111,39.558951,10.267783,-63.841398,3.353085
0.020000,173.370916,135.844575,31.769873,39.738115,8.958160,-65.481158,3.367322
0.020000,172.594708,135.660208,32.567677,39.890181,7.603318,-67.742069,3.382401
0.020000,171.819042,135.463206,33.367969,40.014612,6.221576,-69.087130,3.398365
0.020000,171.044845,135.252984,34.170200,40.111557,4.847210,-68.718264,3.415258
0.020000,170.273089,135.028959,34.973813,40.180635,3.453910,-69.665033,3.433120
0.020000,169.504768,134.790549,35.778273,40.223032,2.119865,-66.702221,3.451994
0.020000,168.740903,134.537179,36.583062,40.239453,0.821057,-64.940426,3.471919
0.020000,167.982524,134.268281,37.387702,40.232002,-0.372548,-59.680238,3.492932
0.020000,167.230655,133.983291,38.191772,40.203455,-1.427354,-52.740295,3.515066
0.020000,166.486309,133.681652,38.994913,40.157064,-2.319585,-44.611555,3.538348
0.020000,165.750461,133.362810,39.796869,40.097797,-2.963307,-32.186095,3.562797
0.020000,165.024030,133.026203,40.597497,40.031408,-3.319490,-17.809158,3.588426
0.020000,164.307865,132.671260,41.396795,39.964906,-3.325079,-0.279440,3.615233
0.020000,163.602718,132.297379,42.194929,39.906709,-2.909849,20.761505,3.643206
0.020000,162.909234,131.903923,42.992255,39.866295,-2.020680,44.458410,3.672318
0.020000,162.227929,131.490194,43.789342,39.854346,-0.597492,71.159425,3.702526
0.020000,161.559191,131.055420,44.586988,39.882293,1.397379,99.743547,3.733766
0.020000,160.903271,130.598738,45.386231,39.962154,3.993063,129.784217,3.765961
0.020000,160.260295,130.119176,46.188352,40.106070,7.195754,160.134523,3.799010
0.020000,159.630279,129.615646,46.994865,40.325617,10.977379,189.081250,3.832799
0.020000,159.013160,129.086947,47.807489,40.631214,15.279829,215.122531,3.867193
0.020000,158.408821,128.531766,48.628130,41.032047,20.041684,238.092704,3.902048
0.020000,157.817133,127.948703,49.458827,41.534845,25.139864,254.909007,3.937207
0.020000,157.238000,127.336310,50.301691,42.143207,30.418124,263.913033,3.972505
0.020000,156.671377,126.693109,51.158878,42.859349,35.807111,269.449335,4.007778
0.020000,156.117316,126.017659,52.032500,43.681111,41.088073,264.048081,4.042865
0.020000,155.575991,125.308609,52.924568,44.603387,46.113820,251.287358,4.077608
0.020000,155.047674,124.564711,53.836984,45.620788,50.870022,237.810122,4.111865
0.020000,154.532782,123.784924,54.771426,46.722128,55.067034,209.850600,4.145502
0.020000,154.031812,122.968371,55.729408,47.899107,58.848926,189.094578,4.178406
0.020000,153.545364,122.114429,56.712184,49.138805,61.984914,156.799405,4.210480
0.020000,153.074100,121.222714,57.720770,50.429286,64.524057,126.957137,4.241645
0.020000,152.618705,120.293058,58.755972,51.760110,66.541183,100.856326,4.271840
0.020000,152.179883,119.325551,59.818344,53.118601,67.924557,69.168677,4.301021
0.020000,151.758306,118.320456,60.908273,54.496450,68.892447,48.394514,4.329159
0.020000,151.354613,117.278236,62.025945,55.883577,69.356333,23.194306,4.356241
0.020000,150.969389,116.199513,63.171388,57.272155,69.428905,3.628585,4.382264
0.020000,150.603155,115.085058,64.344477,58.654462,69.115372,-15.676640,4.407236
0.020000,150.256346,113.935700,65.545019,60.027068,68.630310,-24.253096,4.431174
0.020000,149.929694,112.753764,66.771263,61.312208,64.256989,-218.666044,4.454075
0.020000,149.624064,111.543047,68.019960,62.434845,56.131851,-406.256930,4.475924
0.020000,149.340063,110.307626,69.287604,63.382211,47.368307,-438.177207,4.496719
0.020000,149.078163,109.052410,70.569852,64.112387,36.508783,-542.976161,4.516456
0.020000,148.859369,107.895532,71.747238,58.869292,-262.154728,-14933.175567,4.535488
0.020000,148.657650,106.686887,72.972600,61.268129,119.941827,19104.827777,4.558783
0.020000,148.488055,105.497060,74.174453,60.092668,-58.773036,-8935.743158,4.583073
0.020000,148.350974,104.328907,75.350622,58.808416,-64.212637,-271.980080,4.608329
0.020000,148.246391,103.183897,76.500398,57.488810,-65.980253,-88.380804,4.634537
0.020000,148.174076,102.062680,77.623945,56.177346,-65.573208,20.352292,4.661685
0.020000,148.133692,100.965806,78.721562,54.880858,-64.824415,37.439650,4.689752
0.020000,148.124803,99.893698,79.793707,53.607238,-63.681006,57.170439,4.718702
0.020000,148.146879,98.846624,80.841014,52.365345,-62.094645,79.318014,4.748485
0.020000,148.199302,97.824672,81.864309,51.164770,-60.028734,103.295590,4.779037
0.020000,148.281396,96.827700,82.864656,50.017328,-57.372137,132.829817,4.810280
0.020000,148.392430,95.855416,83.843259,48.930144,-54.359156,150.649086,4.842117
0.020000,148.531653,94.907296,84.801546,47.914381,-50.788153,178.550143,4.874440
0.020000,148.698308,93.982628,85.741112,46.978300,-46.804054,199.204961,4.907127
