dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,205.000290,164.000000,0.001750,0.174972,8.748603,437.430173,3.141570
0.020000,205.000269,164.000000,0.001771,0.001065,-8.695374,-872.198864,3.141572
0.020000,205.000220,164.000000,0.001820,0.002430,0.068273,438.182341,3.141576
0.020000,205.000132,164.000000,0.001908,0.004439,0.100437,1.608201,3.141583
0.020000,204.997828,164.000000,0.004211,0.115152,5.535673,271.761789,3.141593
0.020000,204.941641,164.000000,0.060398,2.809350,134.709887,6458.710687,3.141608
0.020000,204.871391,163.999998,0.130649,3.512534,35.159212,-4977.533749,3.141628
0.020000,204.787065,163.999994,0.214975,4.216294,35.187968,1.437845,3.141655
0.020000,204.688650,163.999986,0.313390,4.920741,35.222346,1.718881,3.141688
0.020000,204.576130,163.999973,0.425909,5.625984,35.262166,1.990990,3.141729
0.020000,204.449488,163.999953,0.552552,6.332130,35.307309,2.257155,3.141780
0.020000,204.308701,163.999922,0.693339,7.039334,35.360210,2.645035,3.141842
0.020000,204.153748,163.999877,0.848292,7.747642,35.415389,2.758947,3.141917
0.020000,203.984604,163.999815,1.017436,8.457231,35.479450,3.203050,3.142007
0.020000,203.801240,163.999729,1.200800,9.168194,35.548172,3.436101,3.142115
0.020000,203.603627,163.999614,1.398413,9.880637,35.622130,3.697901,3.142241
0.020000,203.391733,163.999461,1.610307,10.594711,35.703726,4.079794,3.142389
0.020000,203.165524,163.999261,1.836517,11.310473,35.788067,4.217059,3.142562
0.020000,202.924962,163.999005,2.077079,12.028100,35.881341,4.663719,3.142762
0.020000,202.670009,163.998677,2.332032,12.747661,35.978073,4.836587,3.142992
0.020000,202.400622,163.998265,2.601419,13.469350,36.084432,5.317952,3.143256
0.020000,202.116758,163.997751,2.885283,14.193218,36.193392,5.447998,3.143557
0.020000,201.818370,163.997115,3.183672,14.919442,36.311207,5.890769,3.143898
0.020000,201.505409,163.996334,3.496634,15.648108,36.433323,6.105801,3.144283
0.020000,201.177824,163.995382,3.824220,16.379296,36.559380,6.302844,3.144717
0.020000,200.835559,163.994230,4.166487,17.113341,36.702255,7.143728,3.145203
0.020000,200.478560,163.992845,4.523489,17.850122,36.839032,6.838865,3.145746
0.020000,200.106765,163.991190,4.895288,18.589923,36.990083,7.552539,3.146351
0.020000,199.720113,163.989222,5.281945,19.332866,37.147129,7.852331,3.147021
0.020000,199.318538,163.986895,5.683526,20.079064,37.309898,8.138411,3.147763
0.020000,198.901973,163.984156,6.100101,20.828712,37.482433,8.626780,3.148581
0.020000,198.470345,163.980947,6.531740,21.581971,37.662937,9.025194,3.149482
0.020000,198.023582,163.977203,6.978519,22.338954,37.849163,9.311280,3.150470
0.020000,197.561606,163.972854,7.440516,23.099833,38.043926,9.738181,3.151552
0.020000,197.084335,163.967821,7.917813,23.864841,38.250402,10.323760,3.152735
0.020000,196.591687,163.962017,8.410495,24.634122,38.464052,10.682531,3.154024
0.020000,196.083575,163.955347,8.918651,25.407815,38.684675,11.031138,3.155427
0.020000,195.559903,163.947707,9.442379,26.186370,38.927740,12.153238,3.156950
0.020000,195.020582,163.938982,9.981770,26.969579,39.160441,11.635045,3.158602
0.020000,194.465509,163.929047,10.536933,27.758117,39.426889,13.322440,3.160390
0.020000,193.894581,163.917766,11.107971,28.551941,39.691231,13.217072,3.162323
0.020000,193.307693,163.904991,11.694998,29.351342,39.970032,13.940052,3.164409
0.020000,192.704730,163.890558,12.298135,30.156823,40.274052,15.201021,3.166657
0.020000,192.085579,163.874292,12.917499,30.968232,40.570433,14.819012,3.169077
0.020000,191.450116,163.856002,13.553225,31.786304,40.903620,16.659376,3.171679
0.020000,190.798218,163.835478,14.205447,32.611052,41.237364,16.687204,3.174473
0.020000,190.129751,163.812495,14.874308,33.443070,41.600931,18.178365,3.177470
0.020000,189.444579,163.786809,15.559961,34.282654,41.979210,18.913918,3.180682
0.020000,188.742562,163.758154,16.262563,35.130103,42.372431,19.661084,3.184121
0.020000,188.023555,163.726242,16.982278,35.985754,42.782551,20.505999,3.187799
0.020000,187.287396,163.690762,17.719291,36.850651,43.244865,23.115660,3.191732
0.020000,186.533936,163.651377,18.473780,37.724465,43.690701,22.291800,3.195932
0.020000,185.763007,163.607723,19.245944,38.608190,44.186238,24.776867,3.200415
0.020000,184.974440,163.559405,20.035990,39.502301,44.705532,25.964680,3.205197
0.020000,184.168061,163.505997,20.844135,40.407252,45.247552,27.101017,3.210294
0.020000,183.343684,163.447037,21.670619,41.324163,45.845571,29.900961,3.215725
0.020000,182.501131,163.382029,22.515676,42.252854,46.434552,29.449067,3.221508
0.020000,181.640207,163.310431,23.379572,43.194814,47.097972,33.170995,3.227664
0.020000,180.760716,163.231661,24.262583,44.150555,47.787080,34.455394,3.234213
0.020000,179.862460,163.145090,25.165001,45.120887,48.516610,36.476471,3.241178
0.020000,178.945245,163.050037,26.087128,46.106358,49.273514,37.845202,3.248583
0.020000,178.008867,162.945766,27.029294,47.108306,50.097414,41.195023,3.256452
0.020000,177.053128,162.831481,27.991841,48.127370,50.953222,42.790392,3.264813
0.020000,176.077829,162.706321,28.975139,49.164853,51.874133,46.045571,3.273693
0.020000,175.082780,162.569359,29.979570,50.221566,52.835665,48.076600,3.283122
0.020000,174.067803,162.419590,31.005536,51.298324,53.837872,50.110306,3.293131
0.020000,173.032724,162.255931,32.053474,52.396875,54.927535,54.483182,3.303753
0.020000,171.977401,162.077211,33.123824,53.517487,56.030640,55.155237,3.315022
0.020000,170.901704,161.882168,34.217059,54.661792,57.215233,59.229667,3.326975
0.020000,169.805543,161.669444,35.333670,55.830553,58.438033,61.139988,3.339650
0.020000,168.688868,161.437574,36.474165,57.024722,59.708455,63.521094,3.353085
0.020000,167.551674,161.184986,37.639074,58.245430,61.035400,66.347275,3.367322
0.020000,166.394026,160.909991,38.828935,59.493074,62.382230,67.341505,3.382401
0.020000,165.216071,160.610786,40.044296,60.768054,63.748959,68.336432,3.398365
0.020000,164.018038,160.285443,41.285718,62.071109,65.152789,70.191517,3.415258
0.020000,162.800292,159.931916,42.553743,63.401259,66.507475,67.734278,3.433120
0.020000,161.563313,159.548038,43.848919,64.758778,67.875958,68.424139,3.451994
0.020000,160.307760,159.131530,45.171754,66.141736,69.147908,63.597526,3.471919
0.020000,159.034474,158.680008,46.522727,67.548654,70.345914,59.900258,3.492932
0.020000,157.744512,158.190998,47.902268,68.977049,71.419750,53.691814,3.515066
0.020000,156.439190,157.661965,49.310722,70.422703,72.282667,43.145870,3.538348
0.020000,155.120094,157.090332,50.748351,71.881463,72.938005,32.766912,3.562797
0.020000,153.789123,156.473525,52.215298,73.347363,73.295000,17.849738,3.588426
0.020000,152.448513,155.809016,53.711563,74.813230,73.293336,-0.083228,3.615233
0.020000,151.100850,155.094381,55.236981,76.270897,72.883355,-20.499041,3.643206
0.020000,149.749088,154.327360,56.791195,77.710696,71.989977,-44.668867,3.672318
0.020000,148.396543,153.505932,58.373637,79.122095,70.569918,-71.002983,3.702526
0.020000,147.046879,152.628385,59.983507,80.493507,68.570597,-99.966049,3.733766
0.020000,145.704072,151.693390,61.619766,81.812964,65.972883,-129.885687,3.765961
0.020000,144.372354,150.700073,63.281137,83.068544,62.779005,-159.693919,3.799010
0.020000,143.056141,149.648068,64.966109,84.248581,59.001817,-188.859392,3.832799
0.020000,141.759951,148.537570,66.672953,85.342203,54.681129,-216.034369,3.867193
0.020000,140.488280,147.369339,68.399773,86.341034,49.941517,-236.980623,3.902048
0.020000,139.245505,146.144710,70.144539,87.238266,44.861621,-253.994786,3.937207
0.020000,138.035786,144.865572,71.905111,88.028604,39.516917,-267.235214,3.972505
0.020000,136.862915,143.534274,73.679365,88.712733,34.206432,-265.524274,4.007778
0.020000,135.730269,142.153591,75.465191,89.291279,28.927303,-263.956408,4.042865
0.020000,134.640744,140.726631,77.260541,89.767497,23.810921,-255.819105,4.077608
0.020000,133.596650,139.256667,79.063573,90.151617,19.205999,-230.246137,4.111865
0.020000,132.599789,137.747152,80.872542,90.448434,14.840845,-218.257690,4.145502
0.020000,131.651355,136.201480,82.685999,90.672874,11.222007,-180.941888,4.178406
0.020000,130.752049,134.623018,84.502670,90.833521,8.032331,-159.483803,4.210480
0.020000,129.902088,133.014994,86.321510,90.941980,5.422955,-130.468797,4.241645
0.020000,129.101242,131.380392,88.141750,91.012048,3.503379,-95.978785,4.271840
0.020000,128.348944,129.722010,89.962789,91.051928,1.993988,-75.469585,4.301021
0.020000,127.644300,128.042325,91.784290,91.075042,1.155719,-41.913448,4.329159
0.020000,126.986197,126.343572,93.606065,91.088744,0.685108,-23.530540,4.356241
0.020000,126.373343,124.627713,95.428086,91.101077,0.616635,-3.423623,4.382264
0.020000,125.804332,122.896482,97.250429,91.117143,0.803335,9.334997,4.407236
0.020000,125.277656,121.151309,99.073343,91.145711,1.428382,31.252333,4.431174
0.020000,124.792321,119.395487,100.895007,91.083202,-3.125440,-227.691123,4.454075
0.020000,124.347586,117.633994,102.711776,90.838413,-12.239444,-455.700201,4.475924
0.020000,123.942401,115.871687,104.520062,90.414314,-21.204955,-448.275508,4.496719
0.020000,123.575637,114.114146,106.315463,89.770067,-32.212345,-550.369504,4.516456
0.020000,123.265129,112.470995,107.987696,83.611618,-307.922448,-13785.505182,4.535488
0.020000,122.963779,110.664948,109.818711,91.550776,396.957856,35244.015237,4.558783
0.020000,122.705146,108.849910,111.652084,91.668630,5.892713,-19553.257147,4.583073
0.020000,122.491616,107.029576,113.484898,91.640735,-1.394764,-364.373867,4.608329
0.020000,122.325144,105.206005,115.316052,91.557700,-4.151753,-137.849435,4.634537
0.020000,122.207490,103.380412,117.145433,91.469039,-4.433005,-14.062598,4.661685
0.020000,122.140353,101.554317,118.972761,91.366397,-5.132129,-34.956227,4.689752
0.020000,122.125322,99.729566,120.797574,91.240664,-6.286623,-57.724715,4.718702
0.020000,122.163815,97.908328,122.619219,91.082225,-7.921989,-81.768292,4.748485
0.020000,122.257027,96.093097,124.436842,90.881166,-10.052953,-106.548205,4.779037
0.020000,122.405871,94.286601,126.249460,90.630877,-12.514448,-123.074722,4.810280
0.020000,122.610905,92.491943,128.055792,90.316623,-15.712692,-159.912217,4.842117
0.020000,122.872293,90.712390,129.854440,89.932369,-19.212688,-174.999789,4.874440
0.020000,123.189749,88.951382,131.643833,89.469656,-23.135642,-196.147696,4.907127
0.020000,123.562501,87.212487,133.422230,88.919886,-27.488517,-217.643779,4.940045
0.020000,123.989276,85.499263,135.187811,88.279005,-32.044038,-227.776021,4.973055
0.020000,124.468309,83.815188,136.938691,87.543997,-36.750400,-235.318133,5.006010
0.020000,124.997357,82.163567,138.672975,86.714227,-41.488486,-236.904281,5.038765
0.020000,125.573745,80.547446,140.388804,85.791471,-46.137822,-232.466817,5.071177
0.020000,126.194428,78.969537,142.084401,84.779800,-50.583528,-222.285275,5.103110
0.020000,126.856059,77.432154,143.758110,83.685457,-54.717190,-206.683092,5.134435
0.020000,127.555076,75.937177,145.408437,82.516385,-58.453588,-186.819910,5.165038
0.020000,128.287776,74.486041,147.034059,81.281074,-61.765545,-165.597868,5.194817
0.020000,129.050409,73.079711,148.633862,79.990184,-64.544515,-138.948492,5.223686
0.020000,129.839241,71.718722,150.206931,78.653443,-66.837020,-114.625228,5.251575
0.020000,130.650624,70.403192,151.752559,77.281366,-68.603846,-88.341292,5.278430
0.020000,131.481052,69.132870,153.270231,75.883600,-69.888287,-64.222068,5.304211
0.020000,132.327196,67.907184,154.759615,74.469215,-70.719292,-41.550231,5.328892
0.020000,133.185937,66.725286,156.220545,73.046507,-71.135377,-20.804259,5.352460
0.020000,134.054382,65.586108,157.653000,71.622722,-71.189236,-2.692954,5.374915
0.020000,134.929877,64.488403,159.057082,70.204107,-70.930788,12.922392,5.396264
0.020000,135.809999,63.430798,160.432997,68.795760,-70.417308,25.674014,5.416523
0.020000,136.692559,62.411829,161.781037,67.401990,-69.688527,36.439049,5.435714
0.020000,137.575590,61.429971,163.101562,66.026286,-68.785178,45.167433,5.453865
0.020000,138.457330,60.483678,164.394983,64.671018,-67.763436,51.087118,5.471007
0.020000,139.336213,59.571398,165.661746,63.338178,-66.642004,56.071565,5.487176
