dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,170.789038,35.826223,0.001736,0.173647,8.682326,434.116318,2.354172
0.020000,170.789536,35.825724,0.002442,0.035278,-6.918445,-780.038556,2.354226
0.020000,170.790656,35.824599,0.004030,0.079387,2.205450,456.194752,2.354348
0.020000,170.792649,35.822599,0.006853,0.141173,3.089304,44.192672,2.354565
0.020000,170.795641,35.819598,0.011090,0.211857,3.534228,22.246222,2.354891
0.020000,170.799634,35.815596,0.016744,0.282660,3.540123,0.294751,2.355326
0.020000,170.804632,35.810593,0.023816,0.353619,3.547988,0.393218,2.355870
0.020000,170.780917,35.834298,0.057347,1.676556,66.146809,3129.941070,2.356524
0.020000,170.719112,35.896015,0.144690,4.367154,134.529928,3419.155933,2.357288
0.020000,170.648511,35.966400,0.244383,4.984644,30.874470,-5182.772871,2.358163
0.020000,170.568942,36.045579,0.356635,5.612599,31.397745,26.163761,2.359151
0.020000,170.480567,36.133336,0.481180,6.227263,30.733222,-33.226186,2.360251
0.020000,170.383181,36.229818,0.618267,6.854321,31.352891,30.983463,2.361466
0.020000,170.276920,36.334825,0.767658,7.469577,30.762795,-29.504821,2.362796
0.020000,170.161703,36.448366,0.929420,8.088066,30.924470,8.083752,2.364242
0.020000,170.037450,36.570444,1.103608,8.709409,31.067147,7.133887,2.365806
0.020000,169.904209,36.700928,1.290100,9.324612,30.760137,-15.350501,2.367491
0.020000,169.761937,36.839771,1.488893,9.939647,30.751770,-0.418356,2.369296
0.020000,169.610595,36.986915,1.699976,10.554159,30.725614,-1.307813,2.371224
0.020000,169.450143,37.142296,1.923332,11.167788,30.681439,-2.208726,2.373277
0.020000,169.280547,37.305838,2.158935,11.780169,30.619034,-3.120289,2.375457
0.020000,169.101771,37.477458,2.406754,12.390933,30.538201,-4.041636,2.377767
0.020000,168.913786,37.657064,2.666748,12.999708,30.438764,-4.971836,2.380208
0.020000,168.716560,37.844555,2.938870,13.606120,30.320566,-5.909893,2.382783
0.020000,168.510059,38.039827,3.223078,14.210377,30.212878,-5.384432,2.385495
0.020000,168.294141,38.242868,3.519467,14.819429,30.452575,11.984855,2.388347
0.020000,168.068886,38.453453,3.827827,15.418013,29.929210,-26.168216,2.391341
0.020000,167.834197,38.671513,4.148184,16.017883,29.993511,3.215037,2.394480
0.020000,167.590005,38.896943,4.480522,16.616899,29.950820,-2.134563,2.397769
0.020000,167.336292,39.129588,4.824752,17.211494,29.729723,-11.054847,2.401210
0.020000,167.073012,39.369305,5.180815,17.803116,29.581099,-7.431210,2.404807
0.020000,166.800035,39.616021,5.548762,18.397366,29.712507,6.570395,2.408565
0.020000,166.517391,39.869510,5.928425,18.983139,29.288667,-21.191989,2.412486
0.020000,166.225004,40.129630,6.319772,19.567374,29.211746,-3.846052,2.416576
0.020000,165.922802,40.396231,6.722764,20.149585,29.110551,-5.059757,2.420839
0.020000,165.610715,40.669147,7.137350,20.729279,28.984704,-6.292348,2.425279
0.020000,165.288678,40.948199,7.563469,21.305957,28.833883,-7.541046,2.429902
0.020000,164.956631,41.233194,8.001051,21.879114,28.657828,-8.802761,2.434712
0.020000,164.614515,41.523928,8.450016,22.448240,28.456346,-10.074071,2.439716
0.020000,164.262278,41.820180,8.910272,23.012827,28.229322,-11.351204,2.444919
0.020000,163.899873,42.121718,9.381719,23.572361,27.976722,-12.630014,2.450325
0.020000,163.527152,42.428377,9.864379,24.132997,28.031789,2.753382,2.455944
0.020000,163.144116,42.739862,10.358079,24.684989,27.599571,-21.610945,2.461779
0.020000,162.750676,43.055940,10.862758,25.233932,27.447163,-7.620357,2.467838
0.020000,162.346774,43.376340,11.378308,25.777519,27.179356,-13.390357,2.474128
0.020000,161.932291,43.700827,11.904700,26.319587,27.103385,-3.798553,2.480657
0.020000,161.507224,44.029063,12.441749,26.852438,26.642565,-23.041022,2.487432
0.020000,161.071482,44.360768,12.989379,27.381532,26.454681,-9.394211,2.494460
0.020000,160.624982,44.695642,13.547504,27.906212,26.234038,-11.032110,2.501749
0.020000,160.167648,45.033365,14.116020,28.425831,25.980912,-12.656326,2.509310
0.020000,159.699412,45.373599,14.694815,28.939747,25.695815,-14.254819,2.517149
0.020000,159.220215,45.715985,15.283762,29.447337,25.379528,-15.814369,2.525277
0.020000,158.730007,46.060149,15.882722,29.948000,25.033117,-17.320536,2.533701
