dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,316.000000,117.000000,0.007758,0.775827,38.791349,1939.567435,4.712389
0.020000,316.000000,117.000000,0.007758,0.000000,-38.791349,-3879.134869,4.712389
0.020000,316.000000,116.976142,0.031616,1.192875,59.643766,4921.755759,4.712389
0.020000,316.000000,116.883043,0.124715,4.654962,173.104326,5673.027958,4.712389
0.020000,316.000000,116.758911,0.248847,6.206616,77.582697,-4776.081414,4.712389
0.020000,316.000000,116.603746,0.404013,7.758270,77.582697,0.000000,4.712389
0.020000,316.000000,116.417547,0.590211,9.309924,77.582697,0.000000,4.712389
0.020000,316.000000,116.200316,0.807443,10.861578,77.582697,-0.000000,4.712389
0.020000,316.000000,115.952051,1.055707,12.413232,77.582697,0.000000,4.712389
0.020000,316.000000,115.672753,1.335005,13.964886,77.582697,-0.000000,4.712389
0.020000,316.000000,115.362422,1.645336,15.516539,77.582697,0.000000,4.712389
0.020000,316.000000,115.021059,1.986700,17.068193,77.582697,-0.000000,4.712389
0.020000,316.000000,114.648662,2.359097,18.619847,77.582697,0.000000,4.712389
0.020000,316.000000,114.245232,2.762527,20.171501,77.582697,0.000000,4.712389
0.020000,316.000000,113.810768,3.196990,21.723155,77.582697,-0.000000,4.712389
0.020000,316.000000,113.345272,3.662486,23.274809,77.582697,0.000000,4.712389
0.020000,316.000000,112.848743,4.159015,24.826463,77.582697,0.000000,4.712389
0.020000,316.000000,112.321181,4.686578,26.378117,77.582697,-0.000000,4.712389
0.020000,316.000000,111.762585,5.245173,27.929771,77.582697,0.000000,4.712389
0.020000,316.000000,111.172957,5.834802,29.481425,77.582697,-0.000000,4.712389
0.020000,316.000000,110.552295,6.455463,31.033079,77.582697,0.000000,4.712389
0.020000,316.000000,109.900600,7.107158,32.584733,77.582697,-0.000000,4.712389
0.020000,316.000000,109.217873,7.789886,34.136387,77.582697,0.000000,4.712389
0.020000,316.000000,108.504112,8.503646,35.688041,77.582697,0.000000,4.712389
0.020000,316.000000,107.759318,9.248440,37.239695,77.582697,0.000000,4.712389
0.020000,316.000000,106.983491,10.024267,38.791349,77.582697,-0.000000,4.712389
0.020000,316.000000,106.176631,10.831127,40.343003,77.582697,0.000000,4.712389
0.020000,316.000000,105.338738,11.669020,41.894657,77.582697,0.000000,4.712389
0.020000,316.000000,104.469812,12.537947,43.446311,77.582697,0.000000,4.712389
0.020000,316.000000,103.569852,13.437906,44.997964,77.582697,-0.000000,4.712389
0.020000,316.000000,102.638860,14.368898,46.549618,77.582697,0.000000,4.712389
0.020000,316.000000,101.676835,15.330924,48.101272,77.582697,0.000000,4.712389
0.020000,316.000000,100.683776,16.323982,49.652926,77.582697,-0.000000,4.712389
0.020000,316.000000,99.659684,17.348074,51.204580,77.582697,0.000000,4.712389
0.020000,316.000000,98.604560,18.403199,52.756234,77.582697,-0.000000,4.712389
0.020000,316.000000,97.518402,19.489356,54.307888,77.582697,0.000000,4.712389
0.020000,316.000000,96.401211,20.606547,55.859542,77.582697,0.000000,4.712389
0.020000,316.000000,95.252987,21.754771,57.411196,77.582697,-0.000000,4.712389
0.020000,316.000000,94.073730,22.934028,58.962850,77.582697,0.000000,4.712389
0.020000,316.000000,92.863440,24.144318,60.514504,77.582697,-0.000000,4.712389
0.020000,316.000000,91.622117,25.385641,62.066158,77.582697,0.000000,4.712389
0.020000,316.000000,90.349761,26.657998,63.617812,77.582697,-0.000000,4.712389
0.020000,316.000000,89.046371,27.961387,65.169466,77.582697,0.000000,4.712389
0.020000,316.000000,87.711949,29.295809,66.721120,77.582697,-0.000000,4.712389
0.020000,316.000000,86.346494,30.661265,68.272774,77.582697,0.000000,4.712389
0.020000,316.000000,84.950005,32.057753,69.824428,77.582697,-0.000000,4.712389
0.020000,316.000000,83.522483,33.485275,71.376082,77.582697,0.000000,4.712389
0.020000,316.000000,82.063929,34.943830,72.927736,77.582697,0.000000,4.712389
0.020000,316.000000,80.574341,36.433417,74.479389,77.582697,-0.000000,4.712389
0.020000,316.000000,79.061478,37.946280,75.643130,58.187023,-969.783717,4.712389
0.020000,316.000000,77.543279,39.464479,75.909956,13.341283,-2242.287016,4.712389
0.020000,316.000000,76.037682,40.970076,75.279866,-31.504458,-2242.287016,4.712389
0.020000,316.000000,74.557781,42.449977,73.995038,-64.241415,-1636.847853,4.712389
0.020000,316.000000,73.108913,43.898845,72.443384,-77.582697,-667.064136,4.712389
0.020000,316.000000,71.691079,45.316679,70.891730,-77.582697,0.000000,4.712389
0.020000,316.000000,70.304277,46.703481,69.340076,-77.582697,-0.000000,4.712389
0.020000,316.000000,68.948509,48.059249,67.788422,-77.582697,0.000000,4.712389
0.020000,316.000000,67.623773,49.383985,66.236768,-77.582697,-0.000000,4.712389
0.020000,316.000000,66.330071,50.677687,64.685114,-77.582697,0.000000,4.712389
0.020000,316.000000,65.067402,51.940356,63.133461,-77.582697,-0.000000,4.712389
0.020000,316.000000,63.835766,53.171992,61.581807,-77.582697,0.000000,4.712389
0.020000,316.000000,62.635163,54.372596,60.030153,-77.582697,0.000000,4.712389
0.020000,316.000000,61.465593,55.542165,58.478499,-77.582697,-0.000000,4.712389
0.020000,316.000000,60.327056,56.680702,56.926845,-77.582697,0.000000,4.712389
0.020000,316.000000,59.219552,57.788206,55.375191,-77.582697,-0.000000,4.712389
0.020000,316.000000,58.143081,58.864677,53.823537,-77.582697,0.000000,4.712389
0.020000,316.000000,57.097644,59.910115,52.271883,-77.582697,-0.000000,4.712389
0.020000,316.000000,56.083239,60.924519,50.720229,-77.582697,0.000000,4.712389
0.020000,316.000000,55.099868,61.907891,49.168575,-77.582697,0.000000,4.712389
0.020000,316.000000,54.147529,62.860229,47.616921,-77.582697,-0.000000,4.712389
0.020000,316.000000,53.226224,63.781534,46.065267,-77.582697,0.000000,4.712389
0.020000,316.000000,52.335952,64.671807,44.513613,-77.582697,-0.000000,4.712389
0.020000,316.000000,51.476712,65.531046,42.961959,-77.582697,0.000000,4.712389
0.020000,316.000000,50.648506,66.359252,41.410305,-77.582697,-0.000000,4.712389
0.020000,316.000000,49.851333,67.156425,39.858651,-77.582697,0.000000,4.712389
0.020000,316.000000,49.085193,67.922565,38.306997,-77.582697,0.000000,4.712389
0.020000,316.000000,48.350086,68.657672,36.755343,-77.582697,-0.000000,4.712389
0.020000,316.000000,47.646013,69.361746,35.203689,-77.582697,0.000000,4.712389
0.020000,316.000000,46.972972,70.034786,33.652036,-77.582697,-0.000000,4.712389
0.020000,316.000000,46.330964,70.676794,32.100382,-77.582697,0.000000,4.712389
0.020000,316.000000,45.719990,71.287769,30.548728,-77.582697,-0.000000,4.712389
0.020000,316.000000,45.140048,71.867710,28.997074,-77.582697,0.000000,4.712389
0.020000,316.000000,44.591140,72.416618,27.445420,-77.582697,-0.000000,4.712389
0.020000,316.000000,44.073265,72.934494,25.893766,-77.582697,0.000000,4.712389
0.020000,316.000000,43.586422,73.421336,24.342112,-77.582697,0.000000,4.712389
0.020000,316.000000,43.130613,73.877145,22.790458,-77.582697,0.000000,4.712389
0.020000,316.000000,42.705837,74.301921,21.238804,-77.582697,-0.000000,4.712389
0.020000,316.000000,42.312094,74.695664,19.687150,-77.582697,0.000000,4.712389
0.020000,316.000000,41.949384,75.058374,18.135496,-77.582697,0.000000,4.712389
