dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.008279,39.999997,0.007738,0.773810,38.690476,1934.523810,6.282548
0.020000,18.006629,39.999998,0.009388,0.082510,-34.564981,-3662.772843,6.282675
0.020000,18.003330,40.000000,0.012687,0.164957,4.122346,1934.366324,6.282929
0.020000,18.028732,40.000002,0.038090,1.270114,55.257863,2556.775838,0.000124
0.020000,18.145952,40.000046,0.155310,5.861004,229.544499,8714.331819,0.000631
0.020000,18.292487,40.000185,0.301845,7.326761,73.287841,-7812.832882,0.001264
0.020000,18.468341,40.000474,0.477699,8.792705,73.297205,0.468166,0.002022
0.020000,18.673524,40.000980,0.682882,10.259153,73.322412,1.260381,0.002906
0.020000,18.908038,40.001779,0.917398,11.725770,73.330841,0.421417,0.003914
0.020000,19.171897,40.002961,1.181260,13.193102,73.366602,1.788065,0.005045
0.020000,19.465108,40.004625,1.474476,14.660809,73.385333,0.936561,0.006300
0.020000,19.787684,40.006879,1.797059,16.129161,73.417633,1.614994,0.007676
0.020000,20.139634,40.009844,2.149022,17.598137,73.448789,1.557798,0.009173
0.020000,20.520975,40.013651,2.530381,19.067975,73.491906,2.155843,0.010791
0.020000,20.931715,40.018440,2.941149,20.538401,73.521306,1.470007,0.012526
0.020000,21.371874,40.024362,3.381348,22.009941,73.577002,2.784811,0.014379
0.020000,21.841463,40.031577,3.850993,23.482229,73.614365,1.868150,0.016348
0.020000,22.340499,40.040257,4.350105,24.955596,73.668373,2.700367,0.018431
0.020000,22.869000,40.050579,4.878706,26.430074,73.723902,2.776492,0.020626
0.020000,23.426979,40.062734,5.436818,27.905573,73.774914,2.550581,0.022933
0.020000,24.014456,40.076919,6.024465,29.382389,73.840815,3.295027,0.025348
0.020000,24.631448,40.093342,6.641676,30.860554,73.908280,3.373257,0.027870
0.020000,25.277975,40.112216,7.288479,32.340108,73.977667,3.469363,0.030497
0.020000,25.954053,40.133765,7.964900,33.821086,74.048931,3.563184,0.033227
0.020000,26.659701,40.158221,8.670971,35.303551,74.123233,3.715104,0.036056
0.020000,27.394938,40.185821,9.406727,36.787760,74.210452,4.360958,0.038983
0.020000,28.159784,40.216812,10.172200,38.273678,74.295876,4.271186,0.042006
0.020000,28.954256,40.251445,10.967427,39.761356,74.383928,4.402607,0.045120
0.020000,29.778377,40.289979,11.792448,41.251053,74.484850,5.046126,0.048324
0.020000,30.632161,40.332679,12.647300,42.742562,74.575452,4.530096,0.051613
0.020000,31.515631,40.379815,13.532026,44.236328,74.688308,5.642782,0.054986
0.020000,32.428804,40.431661,14.446669,45.732160,74.791592,5.164200,0.058438
0.020000,33.371698,40.488498,15.391275,47.230285,74.906237,5.732272,0.061967
0.020000,34.344332,40.550607,16.365890,48.730751,75.023292,5.852716,0.065568
0.020000,35.346727,40.618277,17.370566,50.233805,75.152698,6.470320,0.069237
0.020000,36.378897,40.691797,18.405351,51.739256,75.272568,5.993527,0.072972
0.020000,37.440862,40.771459,19.470300,53.247428,75.408610,6.802073,0.076767
0.020000,38.532639,40.857556,20.565467,54.758369,75.547057,6.922375,0.080618
0.020000,39.654247,40.950384,21.690910,56.272135,75.688263,7.060283,0.084522
0.020000,40.805702,41.050237,22.846686,57.788790,75.832788,7.226255,0.088473
0.020000,41.987022,41.157410,24.032858,59.308596,75.990287,7.874925,0.092467
0.020000,43.198224,41.272197,25.249486,60.831442,76.142288,7.600070,0.096499
0.020000,44.439325,41.394889,26.496637,62.357539,76.304862,8.128717,0.100565
0.020000,45.710342,41.525778,27.774376,63.886950,76.470551,8.284427,0.104658
0.020000,47.011294,41.665148,29.082772,65.419803,76.642641,8.604523,0.108774
0.020000,48.342198,41.813282,30.421895,66.956125,76.816118,8.673824,0.112907
0.020000,49.703073,41.970458,31.791816,68.496081,76.997801,9.084133,0.117052
0.020000,51.093938,42.136948,33.192610,70.039688,77.180316,9.125773,0.121204
0.020000,52.514812,42.313016,34.624351,71.587066,77.368909,9.429632,0.125355
0.020000,53.965717,42.498922,36.087118,73.138333,77.563363,9.722741,0.129501
0.020000,55.446674,42.694914,37.580988,74.693487,77.757710,9.717330,0.133636
0.020000,56.957707,42.901234,39.106042,76.252701,77.960705,10.149744,0.137753
0.020000,58.498842,43.118112,40.662362,77.815992,78.164550,10.192261,0.141845
0.020000,60.070105,43.345767,42.250031,79.383460,78.373366,10.440812,0.145907
0.020000,61.671525,43.584408,43.869135,80.955187,78.586357,10.649528,0.149932
0.020000,63.303135,43.834228,45.519759,82.531220,78.801647,10.764501,0.153913
0.020000,64.964969,44.095409,47.201992,84.111660,79.021988,11.017032,0.157844
0.020000,66.657066,44.368117,48.915923,85.696553,79.244673,11.134266,0.161717
0.020000,68.379466,44.652502,50.661643,87.285977,79.471217,11.327223,0.165526
0.020000,70.132215,44.948696,52.439243,88.879995,79.700873,11.482772,0.169264
0.020000,71.915363,45.256816,54.248816,90.478670,79.933772,11.644945,0.172923
0.020000,73.728965,45.576957,56.090457,92.082064,80.169705,11.796650,0.176496
0.020000,75.573081,45.909196,57.964262,93.690242,80.408855,11.957531,0.179976
0.020000,77.447775,46.253587,59.870328,95.303259,80.650856,12.100031,0.183356
0.020000,79.353120,46.610164,61.808751,96.921180,80.896054,12.259883,0.186627
0.020000,81.289193,46.978936,63.779632,98.544054,81.143700,12.382292,0.189783
0.020000,83.256080,47.359888,65.783071,100.171959,81.395270,12.578499,0.192815
0.020000,85.253873,47.752978,67.819170,101.804928,81.648434,12.658247,0.195716
0.020000,87.282673,48.158140,69.888031,103.443047,81.905963,12.876422,0.198477
0.020000,89.342589,48.575278,71.989758,105.086356,82.165464,12.975044,0.201092
0.020000,91.433739,49.004267,74.124457,106.734936,82.428963,13.174970,0.203551
0.020000,93.556250,49.444952,76.292233,108.388839,82.695186,13.311124,0.205846
0.020000,95.710260,49.897144,78.493196,110.048135,82.964781,13.479764,0.207970
0.020000,97.895916,50.360623,80.727454,111.712884,83.237478,13.634834,0.209914
0.020000,100.113378,50.835134,82.995117,113.383165,83.514012,13.826740,0.211668
0.020000,102.362814,51.320387,85.296298,115.059053,83.794433,14.021026,0.213226
0.020000,104.644407,51.816051,87.631111,116.740615,84.078061,14.181393,0.214577
0.020000,106.958350,52.321759,89.999669,118.427941,84.366303,14.412118,0.215714
0.020000,109.304848,52.837102,92.402091,120.121105,84.658205,14.595102,0.216626
0.020000,111.684119,53.361631,94.838495,121.820199,84.954694,14.824459,0.217306
