dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.991721,14.000003,0.007738,0.773810,38.690476,1934.523810,6.282548
0.020000,17.993371,14.000002,0.009388,0.082510,-34.564981,-3662.772843,6.282675
0.020000,17.996670,14.000000,0.012687,0.164957,4.122346,1934.366324,6.282929
0.020000,18.031964,14.000002,0.047981,1.764678,79.986072,3793.186294,0.000124
0.020000,18.162361,14.000051,0.178378,6.519858,237.759012,7888.647012,0.000631
0.020000,18.325350,14.000206,0.341367,8.149466,81.480388,-7813.931191,0.001264
0.020000,18.520923,14.000527,0.536941,9.778666,81.460006,-1.019125,0.002022
0.020000,18.749076,14.001089,0.765095,11.407685,81.450938,-0.453363,0.002906
0.020000,19.009795,14.001978,1.025815,13.036022,81.416829,-1.705454,0.003914
0.020000,19.303075,14.003292,1.319098,14.664154,81.406636,-0.509675,0.005045
0.020000,19.628902,14.005141,1.644930,16.291573,81.370933,-1.785124,0.006300
0.020000,19.987262,14.007645,2.003298,17.918446,81.343625,-1.365418,0.007676
0.020000,20.378140,14.010938,2.394191,19.544610,81.308234,-1.769534,0.009173
0.020000,20.801523,14.015165,2.817595,21.170194,81.279183,-1.452577,0.010791
0.020000,21.257387,14.020480,3.273490,22.794750,81.227818,-2.568236,0.012526
0.020000,21.745717,14.027050,3.761864,24.418718,81.198408,-1.470483,0.014379
0.020000,22.266486,14.035052,4.282695,26.041544,81.141264,-2.857233,0.016348
0.020000,22.819672,14.044672,4.835964,27.663444,81.095036,-2.311402,0.018431
0.020000,23.405246,14.056110,5.421650,29.284300,81.042774,-2.613097,0.020626
0.020000,24.023176,14.069571,6.039727,30.903852,80.977623,-3.257542,0.022933
0.020000,24.673432,14.085272,6.690172,32.522271,80.920908,-2.835741,0.025348
0.020000,25.355979,14.103439,7.372961,34.139424,80.857685,-3.161158,0.027870
0.020000,26.070778,14.124306,8.088064,35.755188,80.788179,-3.475304,0.030497
0.020000,26.817788,14.148116,8.835453,37.369431,80.712171,-3.800389,0.033227
0.020000,27.596961,14.175120,9.615094,38.982047,80.630780,-4.069554,0.036056
0.020000,28.408252,14.205575,10.426957,40.593142,80.554739,-3.802049,0.038983
0.020000,29.251610,14.239747,11.271007,42.202494,80.467634,-4.355234,0.042006
0.020000,30.126978,14.277906,12.147206,43.809978,80.374206,-4.671421,0.045120
0.020000,31.034301,14.320331,13.055520,45.415690,80.285585,-4.431047,0.048324
