dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.000000,44.000000,0.001970,0.196970,9.848485,492.424242,0.000690
0.020000,12.000000,44.000000,0.009848,0.590909,19.696970,492.424242,0.000657
0.020000,12.000000,44.000000,0.027576,1.181818,29.545455,492.424242,0.000583
0.020000,12.000000,44.000000,0.059091,1.969697,39.393939,492.424242,0.000451
0.020000,12.000000,44.000000,0.108333,2.954545,49.242424,492.424242,0.000245
0.020000,12.012443,44.000000,0.179242,4.136364,59.090909,492.424242,6.283133
0.020000,12.106989,43.999976,0.273788,5.318182,59.090909,-0.000000,6.282738
0.020000,12.225171,43.999894,0.391970,6.500000,59.090909,-0.000000,6.282245
0.020000,12.366989,43.999719,0.533788,7.681818,59.090909,0.000000,6.281655
0.020000,12.532443,43.999409,0.699242,8.863636,59.090909,0.000000,6.280967
0.020000,12.721533,43.998915,0.888333,10.045455,59.090909,-0.000000,6.280184
0.020000,12.934259,43.998183,1.101061,11.227273,59.090909,0.000000,6.279305
0.020000,13.170620,43.997151,1.337424,12.409091,59.090909,0.000000,6.278331
0.020000,13.430617,43.995750,1.597424,13.590909,59.090909,-0.000000,6.277263
0.020000,13.714247,43.993906,1.881061,14.772727,59.090909,-0.000000,6.276103
0.020000,14.021510,43.991537,2.188333,15.954545,59.090909,0.000000,6.274852
0.020000,14.352406,43.988557,2.519242,17.136364,59.090909,-0.000000,6.273510
0.020000,14.706932,43.984873,2.873788,18.318182,59.090909,0.000000,6.272080
0.020000,15.085088,43.980386,3.251970,19.500000,59.090909,0.000000,6.270563
0.020000,15.486869,43.974992,3.653788,20.681818,59.090909,-0.000000,6.268959
0.020000,15.912276,43.968581,4.079242,21.863636,59.090909,0.000000,6.267272
0.020000,16.361303,43.961037,4.528333,23.045455,59.090909,0.000000,6.265503
0.020000,16.833948,43.952241,5.001061,24.227273,59.090909,-0.000000,6.263653
0.020000,17.330207,43.942067,5.497424,25.409091,59.090909,0.000000,6.261725
0.020000,17.850076,43.930388,6.017424,26.590909,59.090909,0.000000,6.259721
