dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.008969,31.000003,0.001970,0.196970,9.848485,492.424242,0.000690
0.020000,12.008540,31.000003,0.002399,0.021459,-8.775552,-931.201826,0.000657
0.020000,12.007574,31.000002,0.003364,0.048273,1.340734,505.814285,0.000583
0.020000,12.005858,31.000001,0.005080,0.085790,1.875818,26.754207,0.000451
0.020000,12.003179,31.000000,0.007760,0.133971,2.409046,26.661404,0.000245
0.020000,12.011767,31.000000,0.016347,0.429389,14.770933,618.094320,6.283133
0.020000,12.101178,30.999977,0.105759,4.470589,202.059961,9364.451405,6.282738
0.020000,12.212952,30.999900,0.217532,5.588669,55.904003,-7307.797897,6.282245
0.020000,12.347093,30.999734,0.351674,6.707081,55.920630,0.831383,6.281655
0.020000,12.503611,30.999441,0.508192,7.825894,55.940629,0.999905,6.280967
0.020000,12.682513,30.998974,0.687095,8.945148,55.962713,1.104208,6.280184
0.020000,12.883810,30.998281,0.888393,10.064887,55.986967,1.212734,6.279305
0.020000,13.107511,30.997304,1.112096,11.185163,56.013807,1.341966,6.278331
0.020000,13.353631,30.995978,1.358220,12.306188,56.051213,1.870337,6.277263
0.020000,13.622181,30.994232,1.626776,13.427793,56.080249,1.451794,6.276103
0.020000,13.913177,30.991988,1.917780,14.550199,56.120311,2.003073,6.274852
0.020000,14.226633,30.989166,2.231249,15.673456,56.162874,2.128162,6.273510
0.020000,14.562567,30.985675,2.567201,16.797612,56.207768,2.244717,6.272080
0.020000,14.920996,30.981422,2.925655,17.922715,56.255148,2.368996,6.270563
0.020000,15.301938,30.976308,3.306632,19.048818,56.305173,2.501231,6.268959
0.020000,15.705414,30.970227,3.710154,20.176101,56.364163,2.949502,6.267272
0.020000,16.131444,30.963069,4.136243,21.304469,56.418379,2.710816,6.265503
0.020000,16.580048,30.954720,4.584925,22.434110,56.482042,3.183130,6.263653
0.020000,17.051251,30.945061,5.056227,23.565078,56.548408,3.318318,6.261725
0.020000,17.545074,30.933966,5.550175,24.697409,56.616526,3.405908,6.259721
0.020000,18.061543,30.921308,6.066799,25.831188,56.688958,3.621568,6.257644
0.020000,18.600681,30.906954,6.606128,26.966458,56.763502,3.727215,6.255494
0.020000,19.162515,30.890767,7.168195,28.103346,56.844404,4.045117,6.253275
0.020000,19.747070,30.872608,7.753032,29.241865,56.925937,4.076621,6.250990
0.020000,20.354375,30.852334,8.360675,30.382165,57.015009,4.453598,6.248641
0.020000,20.984457,30.829798,8.991160,31.524231,57.103314,4.415246,6.246231
0.020000,21.637344,30.804851,9.644523,32.668176,57.197248,4.696706,6.243762
0.020000,22.313066,30.777342,10.320805,33.814087,57.295551,4.915175,6.241239
0.020000,23.011653,30.747118,11.020045,34.962006,57.395955,5.020201,6.238663
