dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.020484,39.999984,0.007738,0.773810,38.690476,1934.523810,6.281610
0.020000,18.016799,39.999989,0.011423,0.184235,-29.478744,-3408.460989,6.281893
0.020000,18.009432,39.999997,0.018790,0.368365,9.206521,1934.263222,6.282460
0.020000,18.011961,40.000001,0.021319,0.126469,-12.094820,-1065.067018,0.000124
0.020000,18.121054,40.000076,0.130412,5.454642,266.408688,13925.175396,0.001257
0.020000,18.257426,40.000344,0.266784,6.818606,68.198191,-9910.524894,0.002671
0.020000,18.421082,40.000920,0.430442,8.182881,68.213719,0.776416,0.004368
0.020000,18.612029,40.001943,0.621392,9.547493,68.230596,0.843844,0.006346
0.020000,18.830285,40.003574,0.839653,10.913078,68.279272,2.433803,0.008604
0.020000,19.075848,40.005999,1.085229,12.278763,68.284238,0.248296,0.011142
0.020000,19.348736,40.009424,1.358138,13.645473,68.335509,2.563542,0.013959
0.020000,19.648952,40.014080,1.658390,15.012616,68.357160,1.082560,0.017053
0.020000,19.976512,40.020219,1.986008,16.380851,68.411732,2.728602,0.020423
0.020000,20.331424,40.028116,2.341007,17.749999,68.457413,2.284065,0.024068
0.020000,20.713704,40.038067,2.723417,19.120492,68.524633,3.361016,0.027985
0.020000,21.123367,40.050394,3.133266,20.492418,68.596330,3.584829,0.032172
0.020000,21.560425,40.065435,3.570582,21.865838,68.670993,3.733146,0.036628
0.020000,22.024888,40.083553,4.035399,23.240805,68.748351,3.867911,0.041349
0.020000,22.516771,40.105133,4.527754,24.617791,68.849284,5.046633,0.046333
0.020000,23.036083,40.130576,5.047689,25.996746,68.947752,4.923396,0.051575
0.020000,23.582853,40.160309,5.595267,27.378908,69.108114,8.018126,0.057073
0.020000,24.157074,40.194775,6.170522,28.762704,69.189811,4.084825,0.062822
0.020000,24.758769,40.234438,6.773523,30.150063,69.367938,8.906343,0.068818
0.020000,25.387950,40.279780,7.404335,31.540617,69.527682,7.987195,0.075056
0.020000,26.044630,40.331301,8.063033,32.934906,69.714457,9.338789,0.081530
0.020000,26.728813,40.389518,8.749689,34.332796,69.894488,9.001537,0.088234
0.020000,27.440507,40.454966,9.464386,35.734824,70.101413,10.346267,0.095162
0.020000,28.179724,40.528194,10.207221,37.141752,70.346385,12.248583,0.102306
0.020000,28.946472,40.609766,10.978295,38.553732,70.599044,12.632942,0.109660
0.020000,29.740750,40.700259,11.777712,39.970858,70.856276,12.861615,0.117213
0.020000,30.562571,40.800265,12.605596,41.394168,71.165479,15.460146,0.124958
0.020000,31.411928,40.910383,13.462061,42.823282,71.455696,14.510838,0.132886
0.020000,32.288826,41.031225,14.347247,44.259253,71.798557,17.143053,0.140985
0.020000,33.193261,41.163409,15.261289,45.702145,72.144611,17.302715,0.149245
0.020000,34.125231,41.307562,16.204342,47.152645,72.524995,19.019167,0.157655
0.020000,35.084731,41.464315,17.176563,48.611022,72.918863,19.693409,0.166202
0.020000,36.071753,41.634302,18.178115,50.077598,73.328791,20.496409,0.174873
0.020000,37.086293,41.818159,19.209180,51.553253,73.782734,22.697178,0.183655
0.020000,38.128336,42.016521,20.269934,53.037736,74.224163,22.071413,0.192535
0.020000,39.197872,42.230022,21.360572,54.531900,74.708231,24.203434,0.201496
0.020000,40.294891,42.459289,22.481293,56.036004,75.205202,24.848531,0.210525
0.020000,41.419377,42.704945,23.632299,57.550342,75.716878,25.583783,0.219605
0.020000,42.571319,42.967601,24.813806,59.075333,76.249543,26.633267,0.228719
0.020000,43.750703,43.247859,26.026031,60.611261,76.796404,27.343045,0.237852
0.020000,44.957516,43.546307,27.269200,62.158452,77.359538,28.156694,0.246985
0.020000,46.191747,43.863515,28.543542,63.717089,77.931874,28.616792,0.256101
0.020000,47.453387,44.200035,29.849292,65.287473,78.519195,29.366044,0.265182
0.020000,48.742431,44.556398,31.186688,66.869809,79.116791,29.879804,0.274210
0.020000,50.058876,44.933113,32.555973,68.464240,79.721569,30.238907,0.283166
0.020000,51.402725,45.330659,33.957391,70.070935,80.334723,30.657689,0.292031
0.020000,52.773989,45.749489,35.391192,71.690017,80.954117,30.969737,0.300785
0.020000,54.172685,46.190025,36.857623,73.321587,81.578489,31.218577,0.309411
0.020000,55.598839,46.652653,38.356937,74.965681,82.204730,31.312039,0.317889
0.020000,57.052490,47.137725,39.889384,76.622363,82.834101,31.468594,0.326198
