dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.021170,39.999983,0.001970,0.196970,9.848485,492.424242,6.281557
0.020000,18.020232,39.999984,0.002908,0.046901,-7.503433,-867.595910,6.281629
0.020000,18.018122,39.999987,0.005018,0.105519,2.930904,521.716846,6.281791
0.020000,18.014371,39.999992,0.008769,0.187561,4.102115,58.560561,6.282080
0.020000,18.008511,39.999997,0.014629,0.292993,5.271556,58.472058,6.282531
0.020000,18.000076,40.000000,0.023064,0.421754,6.438085,58.326462,6.283179
0.020000,18.082751,40.000036,0.105739,4.133740,185.599301,8958.060788,0.000859
0.020000,18.186881,40.000181,0.209869,5.206514,53.638691,-6598.030500,0.001940
0.020000,18.311845,40.000505,0.334834,6.248230,52.085799,-77.644612,0.003236
0.020000,18.457654,40.001087,0.480645,7.290533,52.115147,1.467403,0.004747
0.020000,18.624303,40.002022,0.647296,8.332568,52.101740,-0.670317,0.006473
0.020000,18.811804,40.003417,0.834802,9.375308,52.136993,1.762606,0.008413
0.020000,19.020162,40.005395,1.043170,10.418382,52.153712,0.835983,0.010567
0.020000,19.249371,40.008088,1.272395,11.461242,52.142996,-0.535834,0.012934
0.020000,19.499459,40.011646,1.522507,12.505643,52.220061,3.853289,0.015513
0.020000,19.770413,40.016227,1.793500,13.549644,52.200071,-0.999536,0.018304
0.020000,20.062250,40.022008,2.085394,14.594684,52.252002,2.596555,0.021304
0.020000,20.374980,40.029174,2.398207,15.640646,52.298084,2.304100,0.024515
0.020000,20.708614,40.037925,2.731956,16.687432,52.339280,2.059812,0.027933
0.020000,21.063157,40.048474,3.086655,17.734964,52.376616,1.866810,0.031558
0.020000,21.438610,40.061047,3.462319,18.783188,52.411176,1.728017,0.035387
0.020000,21.834992,40.075880,3.858979,19.832996,52.490444,3.963353,0.039421
0.020000,22.252303,40.093225,4.276650,20.883553,52.527842,1.869928,0.043655
0.020000,22.690567,40.113344,4.715375,21.936279,52.636305,5.423124,0.048089
0.020000,23.149780,40.136511,5.175172,22.989856,52.678810,2.125259,0.052720
0.020000,23.629953,40.163012,5.656076,24.045177,52.766080,4.363530,0.057546
0.020000,24.131093,40.193144,6.158121,25.102241,52.853203,4.356134,0.062563
0.020000,24.653219,40.227218,6.681357,26.161820,52.978935,6.286586,0.067769
