dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.000000,27.000000,0.001970,0.196970,9.848485,492.424242,6.281557
0.020000,18.000000,27.000000,0.009848,0.590909,19.696970,492.424242,6.281629
0.020000,18.000000,27.000000,0.027576,1.181818,29.545455,492.424242,6.281791
0.020000,18.000000,27.000000,0.059091,1.969697,39.393939,492.424242,6.282080
0.020000,18.000000,27.000000,0.108333,2.954545,49.242424,492.424242,6.282531
0.020000,18.000000,27.000000,0.179242,4.136364,59.090909,492.424242,6.283179
0.020000,18.093918,27.000040,0.273788,5.318182,59.090909,-0.000000,0.000859
0.020000,18.212096,27.000206,0.391970,6.500000,59.090909,-0.000000,0.001940
0.020000,18.353909,27.000573,0.533788,7.681818,59.090909,0.000000,0.003236
0.020000,18.519365,27.001233,0.699242,8.863636,59.090909,0.000000,0.004747
0.020000,18.708451,27.002294,0.888333,10.045455,59.090909,-0.000000,0.006473
0.020000,18.921174,27.003877,1.101061,11.227273,59.090909,0.000000,0.008413
0.020000,19.157532,27.006120,1.337424,12.409091,59.090909,0.000000,0.010567
0.020000,19.417508,27.009175,1.597424,13.590909,59.090909,-0.000000,0.012934
0.020000,19.701122,27.013210,1.881061,14.772727,59.090909,-0.000000,0.015513
0.020000,20.008347,27.018405,2.188333,15.954545,59.090909,0.000000,0.018304
0.020000,20.339186,27.024958,2.519242,17.136364,59.090909,-0.000000,0.021304
0.020000,20.693638,27.033080,2.873788,18.318182,59.090909,0.000000,0.024515
0.020000,21.071693,27.042996,3.251970,19.500000,59.090909,0.000000,0.027933
0.020000,21.473337,27.054947,3.653788,20.681818,59.090909,-0.000000,0.031558
0.020000,21.898550,27.069186,4.079242,21.863636,59.090909,0.000000,0.035387
0.020000,22.347328,27.085980,4.528333,23.045455,59.090909,0.000000,0.039421
0.020000,22.819641,27.105611,5.001061,24.227273,59.090909,-0.000000,0.043655
0.020000,23.315486,27.128373,5.497424,25.409091,59.090909,0.000000,0.048089
0.020000,23.834826,27.154573,6.017424,26.590909,59.090909,0.000000,0.052720
0.020000,24.377635,27.184530,6.561061,27.772727,59.090909,-0.000000,0.057546
0.020000,24.943880,27.218578,7.128333,28.954545,59.090909,0.000000,0.062563
0.020000,25.533538,27.257059,7.719242,30.136364,59.090909,-0.000000,0.067769
0.020000,26.146557,27.300328,8.333788,31.318182,59.090909,0.000000,0.073160
0.020000,26.782899,27.348750,8.971970,32.500000,59.090909,-0.000000,0.078733
0.020000,27.442510,27.402701,9.633788,33.681818,59.090909,0.000000,0.084484
0.020000,28.125342,27.462567,10.319242,34.863636,59.090909,0.000000,0.090408
0.020000,28.831338,27.528741,11.028333,36.045455,59.090909,-0.000000,0.096502
0.020000,29.560432,27.601625,11.761061,37.227273,59.090909,0.000000,0.102760
0.020000,30.312553,27.681629,12.517424,38.409091,59.090909,0.000000,0.109178
0.020000,31.087619,27.769168,13.297424,39.590909,59.090909,-0.000000,0.115749
0.020000,31.885563,27.864666,14.101061,40.772727,59.090909,0.000000,0.122468
0.020000,32.706285,27.968547,14.928333,41.954545,59.090909,0.000000,0.129328
0.020000,33.549695,28.081241,15.779242,43.136364,59.090909,0.000000,0.136324
0.020000,34.415695,28.203183,16.653788,44.318182,59.090909,-0.000000,0.143447
0.020000,35.304179,28.334807,17.551970,45.500000,59.090909,0.000000,0.150690
0.020000,36.215033,28.476548,18.473788,46.681818,59.090909,-0.000000,0.158047
0.020000,37.148136,28.628841,19.419242,47.863636,59.090909,-0.000000,0.165508
0.020000,38.103372,28.792119,20.388333,49.045455,59.090909,0.000000,0.173065
0.020000,39.080605,28.966813,21.381061,50.227273,59.090909,0.000000,0.180709
0.020000,40.079701,29.153348,22.397424,51.409091,59.090909,-0.000000,0.188431
0.020000,41.100521,29.352145,23.437424,52.590909,59.090909,0.000000,0.196221
0.020000,42.142920,29.563618,24.501061,53.772727,59.090909,-0.000000,0.204069
0.020000,43.206748,29.788172,25.588333,54.954545,59.090909,-0.000000,0.211965
0.020000,44.291852,30.026205,26.699242,56.136364,59.090909,0.000000,0.219899
0.020000,45.398078,30.278101,27.833788,57.318182,59.090909,-0.000000,0.227858
0.020000,46.525264,30.544235,28.991970,58.500000,59.090909,0.000000,0.235833
