dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.009618,130.999996,0.007738,0.773810,38.690476,1934.523810,6.282445
0.020000,66.005308,130.999999,0.012048,0.215488,-27.916064,-3330.326986,6.282777
0.020000,66.020429,131.000003,0.027168,0.756023,27.026744,2747.140381,0.000253
0.020000,66.100430,131.000062,0.107170,4.000082,162.202924,6758.808986,0.001242
0.020000,66.207186,131.000265,0.213926,5.337792,66.885501,-4765.871126,0.002554
0.020000,66.340769,131.000715,0.347510,6.679191,67.069956,9.222756,0.004183
0.020000,66.501271,131.001543,0.508014,8.025237,67.302304,11.617387,0.006122
0.020000,66.688804,131.002901,0.695552,9.376879,67.582116,13.990590,0.008363
0.020000,66.903494,131.004969,0.910252,10.735010,67.906548,16.221609,0.010895
0.020000,67.145488,131.007947,1.152264,12.100580,68.278470,18.596093,0.013707
0.020000,67.414946,131.012057,1.421753,13.474486,68.695307,20.841843,0.016787
0.020000,67.712049,131.017542,1.718907,14.857668,69.159117,23.190510,0.020120
0.020000,68.036992,131.024663,2.043928,16.251040,69.668611,25.474686,0.023689
0.020000,68.389986,131.033699,2.397038,17.655507,70.223349,27.736904,0.027479
0.020000,68.771259,131.044943,2.778477,19.071946,70.821933,29.929191,0.031471
0.020000,69.181053,131.058705,3.188502,20.501258,71.465616,32.184171,0.035645
0.020000,69.619626,131.075301,3.627388,21.944312,72.152688,34.353575,0.039980
0.020000,70.087247,131.095060,4.095427,23.401930,72.880902,36.410739,0.044453
0.020000,70.584203,131.118315,4.592927,24.874998,73.653416,38.625670,0.049041
0.020000,71.110792,131.145404,5.120212,26.364254,74.462808,40.469634,0.053719
0.020000,71.667326,131.176661,5.677623,27.870562,75.315377,42.628453,0.058460
0.020000,72.254131,131.212423,6.265516,29.394657,76.204750,44.468611,0.063237
0.020000,72.871542,131.253015,6.884261,30.937235,77.128898,46.207420,0.068022
0.020000,73.519913,131.298753,7.534243,32.499111,78.093779,48.244036,0.072786
0.020000,74.199606,131.349938,8.215861,34.080877,79.088317,49.726924,0.077496
0.020000,74.910999,131.406853,8.929527,35.683309,80.121603,51.664282,0.082123
0.020000,75.654484,131.469757,9.675667,37.307021,81.185627,53.201196,0.086632
0.020000,76.430464,131.538877,10.454720,38.952638,82.280810,54.759155,0.090990
0.020000,77.239362,131.614411,11.267137,40.620874,83.411814,56.550204,0.095163
0.020000,78.081616,131.696513,12.113384,42.312313,84.571950,58.006778,0.099115
0.020000,78.957682,131.785295,12.993937,44.027649,85.766804,59.742707,0.102809
0.020000,79.868035,131.880816,13.909287,45.767529,86.993986,61.359130,0.106207
0.020000,80.813173,131.983077,14.859941,47.532676,88.257343,63.167819,0.109270
0.020000,81.793615,132.092014,15.846417,49.323805,89.556470,64.956389,0.111959
0.020000,82.809911,132.207489,16.869251,51.141730,90.896231,66.988041,0.114231
0.020000,83.862634,132.329285,17.928997,52.987256,92.276298,69.003314,0.116046
0.020000,84.952391,132.457094,19.026224,54.861352,93.704839,71.427058,0.117358
0.020000,86.079825,132.590513,20.161524,56.765007,95.182718,73.893966,0.118123
0.020000,87.245612,132.729024,21.335510,58.699331,96.716191,76.673655,0.118292
0.020000,88.450469,132.871995,22.548821,60.665544,98.310673,79.724093,0.117818
0.020000,89.695158,133.018657,23.802121,62.664977,99.971649,83.048823,0.116648
0.020000,90.980482,133.168100,25.096103,64.699100,101.706156,86.725343,0.114730
