dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.990382,105.000004,0.007738,0.773810,38.690476,1934.523810,6.282445
0.020000,65.994692,105.000001,0.012048,0.215488,-27.916064,-3330.326986,6.282777
0.020000,66.027015,105.000003,0.044371,1.616136,70.032392,4897.422772,0.000253
0.020000,66.132727,105.000083,0.150083,5.285625,183.474424,5672.101601,0.001242
0.020000,66.273591,105.000350,0.290947,7.043185,87.878038,-4779.819321,0.002554
0.020000,66.449529,105.000943,0.466887,8.796995,87.690490,-9.377358,0.004183
0.020000,66.660450,105.002030,0.677810,10.546162,87.458353,-11.606891,0.006122
0.020000,66.906239,105.003810,0.923606,12.289784,87.181075,-13.863873,0.008363
0.020000,67.186764,105.006512,1.204143,14.026884,86.855029,-16.302306,0.010895
0.020000,67.501871,105.010390,1.519275,15.756568,86.484185,-18.542201,0.013707
0.020000,67.851388,105.015721,1.868832,17.477878,86.065521,-20.933218,0.016787
0.020000,68.235121,105.022804,2.252631,19.189923,85.602225,-23.164790,0.020120
0.020000,68.652857,105.031958,2.670466,20.891789,85.093311,-25.445666,0.023689
0.020000,69.104360,105.043515,3.122118,22.582572,84.539133,-27.708926,0.027479
0.020000,69.589377,105.057818,3.607345,24.261353,83.939067,-30.003305,0.031471
0.020000,70.107630,105.075220,4.125890,25.927276,83.296130,-32.146858,0.035645
0.020000,70.658825,105.096077,4.677480,27.579472,82.609795,-34.316715,0.039980
0.020000,71.242645,105.120745,5.261821,29.217055,81.879168,-36.531360,0.044453
0.020000,71.858756,105.149574,5.878606,30.839262,81.110330,-38.441910,0.049041
0.020000,72.506803,105.182908,6.527510,32.445189,80.296378,-40.697617,0.053719
0.020000,73.186415,105.221077,7.208193,34.034141,79.447603,-42.438721,0.058460
0.020000,73.897203,105.264392,7.920299,35.605315,78.558688,-44.445773,0.063237
0.020000,74.638760,105.313143,8.663457,37.157912,77.629844,-46.442189,0.068022
0.020000,75.410669,105.367593,9.437284,38.691327,76.670756,-47.954421,0.072786
0.020000,76.212493,105.427973,10.241379,40.204737,75.670504,-50.012573,0.077496
0.020000,77.043789,105.494478,11.075330,41.697578,74.642027,-51.423851,0.082123
0.020000,77.904098,105.567262,11.938713,43.169128,73.577542,-53.224242,0.086632
