dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,283.078102,79.003969,0.007774,0.777438,38.871924,1943.596217,3.703089
0.020000,283.064057,78.995121,0.024374,0.829989,2.627540,-1812.219218,3.704366
0.020000,282.994616,78.951177,0.106551,4.108835,163.942288,8065.737393,3.706920
0.020000,282.873910,78.874277,0.249672,7.156068,152.361648,-579.032012,3.710753
0.020000,282.713394,78.771002,0.440541,9.543452,119.369212,-1649.621779,3.715867
0.020000,282.513436,78.640717,0.679199,11.932886,119.471668,5.122794,3.722264
0.020000,282.274525,78.482644,0.965670,14.323543,119.532855,3.059349,3.729948
0.020000,281.997284,78.295874,1.299953,16.714173,119.531526,-0.066468,3.738917
0.020000,281.682460,78.079355,1.682046,19.104620,119.522352,-0.458658,3.749172
0.020000,281.330977,77.831942,2.111876,21.491512,119.344563,-8.889479,3.760707
0.020000,280.943926,77.552386,2.589327,23.872561,119.052479,-14.604183,3.773513
0.020000,280.522599,77.239374,3.114201,26.243701,118.556990,-24.774459,3.787575
0.020000,280.068487,76.891545,3.686218,28.600832,117.856533,-35.022857,3.802872
0.020000,279.583324,76.507542,4.304960,30.937087,116.812763,-52.188477,3.819370
0.020000,279.069075,76.086033,4.969882,33.246136,115.452457,-68.015320,3.837029
0.020000,278.527946,75.625761,5.680284,35.520072,113.696826,-87.781539,3.855794
0.020000,277.962394,75.125599,6.435275,37.749545,111.473609,-111.160835,3.875598
0.020000,277.375102,74.584590,7.233774,39.924992,108.772363,-135.062304,3.896356
0.020000,276.768966,74.002001,8.074495,42.036030,105.551913,-161.022496,3.917970
0.020000,276.147059,73.377371,8.955932,44.071849,101.790962,-188.047575,3.940324
0.020000,275.512583,72.710553,9.876370,46.021907,97.502892,-214.403514,3.963286
0.020000,274.868815,72.001747,10.833890,47.875985,92.703885,-239.950333,3.986709
0.020000,274.219038,71.251518,11.826388,49.624900,87.445754,-262.906560,4.010430
0.020000,273.566469,70.460812,12.851601,51.260670,81.788518,-282.861771,4.034276
0.020000,272.914182,69.630942,13.907141,52.776961,75.814538,-298.699006,4.058062
0.020000,272.265033,68.763569,14.990529,54.169420,69.622928,-309.580507,4.081599
0.020000,271.621593,67.860670,16.099240,55.435565,63.307270,-315.782893,4.104691
0.020000,270.986091,66.924494,17.230739,56.574949,56.969194,-316.903807,4.127144
0.020000,270.360365,65.957511,18.382515,57.588794,50.692230,-313.848211,4.148765
0.020000,269.745836,64.962368,19.552112,58.479824,44.551532,-307.034885,4.169364
0.020000,269.143494,63.941837,20.737143,59.251570,38.587304,-298.211407,4.188758
0.020000,268.553890,62.898781,21.935307,59.908218,32.832393,-287.745529,4.206770
0.020000,267.977158,61.836125,23.144381,60.453661,27.272150,-278.012189,4.223229
0.020000,267.413029,60.756840,24.362205,60.891234,21.878652,-269.674887,4.237968
0.020000,266.860867,59.663947,25.586664,61.222947,16.585617,-264.651754,4.250826
0.020000,266.319696,58.560523,26.815651,61.449359,11.320637,-263.248988,4.261640
0.020000,265.788247,57.449738,28.047025,61.568669,5.965487,-267.757493,4.270245
0.020000,265.264997,56.334891,29.278558,61.576671,0.400081,-278.270303,4.276470
0.020000,264.748208,55.219462,30.507889,61.466522,-5.507447,-295.376413,4.280134
0.020000,264.239214,54.114197,31.724723,60.841720,-31.240104,-1286.632827,4.281042
0.020000,263.742586,53.037248,32.910665,59.297079,-77.232047,-2299.597151,4.279082
0.020000,263.262336,52.004984,34.049177,56.925602,-118.573849,-2067.090142,4.274285
0.020000,262.801224,51.029556,35.128104,53.946370,-148.961589,-1519.386964,4.266805
0.020000,262.359215,50.115266,36.143633,50.776427,-158.497145,-476.777829,4.256840
0.020000,261.934305,49.260730,37.097980,47.717392,-152.951749,277.269836,4.244562
0.020000,261.525008,48.464443,37.993301,44.766017,-147.568757,269.149595,4.230135
0.020000,261.130262,47.724744,38.831738,41.921876,-142.207051,268.085275,4.213725
0.020000,260.749351,47.039798,39.615476,39.186879,-136.749854,272.859849,4.195499
0.020000,260.381818,46.407570,40.346771,36.564772,-131.105330,282.226206,4.175632
0.020000,260.027396,45.825817,41.027984,34.060650,-125.206098,294.961620,4.154304
