dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,309.180484,59.204277,0.001989,0.198874,9.943698,497.184908,2.357489
0.020000,309.181697,59.203067,0.003702,0.085676,-5.659920,-780.180904,2.357357
0.020000,309.184426,59.200343,0.007558,0.192785,5.355486,550.770286,2.357060
0.020000,309.189277,59.195498,0.014414,0.342781,7.499808,107.216097,2.356533
0.020000,309.176134,59.208650,0.033007,0.929651,29.343477,1092.183487,2.355709
0.020000,309.136473,59.248397,0.089156,2.807470,93.890963,3227.374253,2.354521
0.020000,309.083683,59.301448,0.163998,3.742086,46.730805,-2358.007897,2.352934
0.020000,309.017848,59.367845,0.257501,4.675152,46.653282,-3.876110,2.350949
0.020000,308.939058,59.447656,0.369651,5.607515,46.618157,-1.756264,2.348561
0.020000,308.847442,59.540943,0.500402,6.537569,46.502715,-5.772114,2.345768
0.020000,308.743133,59.647791,0.649724,7.466055,46.424300,-3.920747,2.342568
0.020000,308.626297,59.768289,0.817565,8.392049,46.299685,-6.230753,2.338958
0.020000,308.497109,59.902549,1.003885,9.315999,46.197514,-5.108551,2.334932
0.020000,308.355769,60.050687,1.208633,10.237410,46.070530,-6.349168,2.330489
0.020000,308.202507,60.212826,1.431743,11.155528,45.905877,-8.232691,2.325622
0.020000,308.037558,60.389114,1.673167,12.071206,45.783920,-6.097842,2.320328
0.020000,307.861189,60.579701,1.932839,12.983571,45.618277,-8.282134,2.314602
0.020000,307.673683,60.784754,2.210698,13.892952,45.469019,-7.462891,2.308440
0.020000,307.475348,61.004450,2.506676,14.798906,45.297703,-8.565808,2.301835
0.020000,307.266512,61.238978,2.820707,15.701565,45.132970,-8.236647,2.294784
0.020000,307.047518,61.488545,3.152734,16.601347,44.989061,-7.195460,2.287280
0.020000,306.818742,61.753363,3.502688,17.497678,44.816578,-8.624155,2.279321
0.020000,306.580570,62.033666,3.870513,18.391269,44.679552,-6.851308,2.270900
0.020000,306.333417,62.329691,4.256149,19.281795,44.526299,-7.662657,2.262014
0.020000,306.077711,62.641701,4.659555,20.170315,44.425996,-5.015148,2.252658
