dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000012,60.017738,0.001970,0.196970,9.848485,492.424242,1.569432
0.020000,290.000010,60.015988,0.003719,0.087485,-5.474255,-766.137006,1.569566
0.020000,290.000006,60.012051,0.007657,0.196898,5.470646,547.245055,1.569869
0.020000,290.000001,60.005046,0.014662,0.350235,7.666899,109.812676,1.570408
0.020000,289.999995,60.020654,0.030270,0.780388,21.507613,692.035695,1.571251
0.020000,289.999937,60.075747,0.085363,2.754678,98.714532,3860.345922,1.572467
0.020000,289.999754,60.149143,0.158760,3.669816,45.756889,-2647.882144,1.574095
0.020000,289.999359,60.240770,0.250388,4.581402,45.579305,-8.879195,1.576137
0.020000,289.998637,60.350566,0.360186,5.489910,45.425391,-7.695696,1.578600
0.020000,289.997455,60.478428,0.488053,6.393378,45.173380,-12.600539,1.581492
0.020000,289.995653,60.624245,0.633881,7.291393,44.900759,-13.631056,1.584819
0.020000,289.993050,60.787912,0.797569,8.184382,44.649453,-12.565315,1.588592
0.020000,289.989439,60.969262,0.978955,9.069298,44.245822,-20.181524,1.592821
0.020000,289.984592,61.168135,1.177887,9.946580,43.864083,-19.086959,1.597518
0.020000,289.978254,61.384352,1.394197,10.815505,43.446235,-20.892403,1.602697
0.020000,289.970146,61.617697,1.627683,11.674312,42.940364,-25.293554,1.608373
0.020000,289.959965,61.867948,1.878141,12.522911,42.429933,-25.521569,1.614562
0.020000,289.947381,62.134834,2.145323,13.359085,41.808706,-31.061351,1.621281
0.020000,289.932040,62.418091,2.428996,14.183648,41.228153,-29.027627,1.628551
0.020000,289.913561,62.717389,2.728864,14.993390,40.487111,-37.052106,1.636393
0.020000,289.891537,63.032410,3.044653,15.789488,39.804881,-34.111493,1.644830
0.020000,289.865537,63.362757,3.376022,16.568418,38.946518,-42.918145,1.653885
0.020000,289.835102,63.708031,3.722635,17.330643,38.111259,-41.762951,1.663586
0.020000,289.799749,64.067792,4.084129,18.074712,37.203459,-45.390022,1.673960
