dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,303.000000,60.000000,0.001970,0.196970,9.848485,492.424242,1.569432
0.020000,303.000000,60.000000,0.009848,0.590909,19.696970,492.424242,1.569566
0.020000,303.000000,60.000000,0.027576,1.181818,29.545455,492.424242,1.569869
0.020000,303.000000,60.000000,0.059091,1.969697,39.393939,492.424242,1.570408
0.020000,302.999994,60.026567,0.108333,2.954545,49.242424,492.424242,1.571251
0.020000,302.999919,60.097472,0.179242,4.136364,59.090909,492.424242,1.572467
0.020000,302.999684,60.192021,0.273788,5.318182,59.090909,-0.000000,1.574095
0.020000,302.999173,60.310198,0.391970,6.500000,59.090909,-0.000000,1.576137
0.020000,302.998241,60.452018,0.533788,7.681818,59.090909,0.000000,1.578600
0.020000,302.996711,60.617465,0.699242,8.863636,59.090909,0.000000,1.581492
0.020000,302.994375,60.806532,0.888333,10.045455,59.090909,-0.000000,1.584819
0.020000,302.990991,61.019241,1.101061,11.227273,59.090909,0.000000,1.588592
0.020000,302.986286,61.255558,1.337424,12.409091,59.090909,0.000000,1.592821
0.020000,302.979951,61.515477,1.597424,13.590909,59.090909,-0.000000,1.597518
0.020000,302.971640,61.798993,1.881061,14.772727,59.090909,-0.000000,1.602697
0.020000,302.960969,62.106077,2.188333,15.954545,59.090909,0.000000,1.608373
0.020000,302.947517,62.436716,2.519242,17.136364,59.090909,-0.000000,1.614562
0.020000,302.930818,62.790857,2.873788,18.318182,59.090909,0.000000,1.621281
0.020000,302.910364,63.168490,3.251970,19.500000,59.090909,0.000000,1.628551
0.020000,302.885602,63.569535,3.653788,20.681818,59.090909,-0.000000,1.636393
0.020000,302.855927,63.993964,4.079242,21.863636,59.090909,0.000000,1.644830
0.020000,302.820688,64.441669,4.528333,23.045455,59.090909,0.000000,1.653885
0.020000,302.779178,64.912566,5.001061,24.227273,59.090909,-0.000000,1.663586
0.020000,302.730632,65.406547,5.497424,25.409091,59.090909,0.000000,1.673960
0.020000,302.674227,65.923476,6.017424,26.590909,59.090909,0.000000,1.685038
0.020000,302.609078,66.463192,6.561061,27.772727,59.090909,-0.000000,1.696851
0.020000,302.534235,67.025502,7.128333,28.954545,59.090909,0.000000,1.709431
0.020000,302.448677,67.610179,7.719242,30.136364,59.090909,-0.000000,1.722814
0.020000,302.351315,68.216953,8.333788,31.318182,59.090909,0.000000,1.737034
0.020000,302.240984,68.845519,8.971970,32.500000,59.090909,-0.000000,1.752130
0.020000,302.116444,69.495510,9.633788,33.681818,59.090909,0.000000,1.768138
0.020000,301.976381,70.166493,10.319242,34.863636,59.090909,0.000000,1.785095
0.020000,301.819400,70.857977,11.028333,36.045455,59.090909,-0.000000,1.803039
0.020000,301.644029,71.569399,11.761061,37.227273,59.090909,0.000000,1.822004
0.020000,301.448724,72.300096,12.517424,38.409091,59.090909,0.000000,1.842024
0.020000,301.231864,73.049330,13.297424,39.590909,59.090909,-0.000000,1.863129
0.020000,300.991769,73.816243,14.101061,40.772727,59.090909,0.000000,1.885344
0.020000,300.726694,74.599879,14.928333,41.954545,59.090909,0.000000,1.908688
0.020000,300.434851,75.399151,15.779242,43.136364,59.090909,0.000000,1.933171
0.020000,300.114416,76.212851,16.653788,44.318182,59.090909,-0.000000,1.958794
0.020000,299.763550,77.039636,17.551970,45.500000,59.090909,0.000000,1.985547
0.020000,299.380416,77.878029,18.473788,46.681818,59.090909,-0.000000,2.013405
0.020000,298.963206,78.726411,19.419242,47.863636,59.090909,-0.000000,2.042327
0.020000,298.510159,79.583042,20.388333,49.045455,59.090909,0.000000,2.072257
0.020000,298.019605,80.446048,21.381061,50.227273,59.090909,0.000000,2.103119
0.020000,297.489974,81.313458,22.397424,51.409091,59.090909,-0.000000,2.134819
0.020000,296.919845,82.183204,23.437424,52.590909,59.090909,0.000000,2.167243
0.020000,296.307961,83.053155,24.501061,53.772727,59.090909,-0.000000,2.200262
0.020000,295.653257,83.921150,25.588333,54.954545,59.090909,-0.000000,2.233729
0.020000,294.954886,84.785024,26.699242,56.136364,59.090909,0.000000,2.267486
0.020000,294.212222,85.642648,27.833788,57.318182,59.090909,-0.000000,2.301364
0.020000,293.424876,86.491966,28.991970,58.500000,59.090909,0.000000,2.335192
0.020000,292.592692,87.331032,30.173788,59.681818,59.090909,0.000000,2.368797
0.020000,291.715739,88.158039,31.379242,60.863636,59.090909,0.000000,2.402011
0.020000,290.794297,88.971349,32.608333,62.045455,59.090909,-0.000000,2.434673
0.020000,289.830372,89.768287,33.859091,63.030303,49.242424,-492.424242,2.466587
0.020000,288.827863,90.545395,35.127576,63.818182,39.393939,-492.424242,2.497533
0.020000,287.791063,91.299814,36.409848,64.409091,29.545455,-492.424242,2.527327
0.020000,286.724585,92.029257,37.701970,64.803030,19.696970,-492.424242,2.555823
0.020000,285.633277,92.731986,39.000000,65.000000,9.848485,-492.424242,2.582911
0.020000,284.522151,93.406748,40.300000,65.000000,0.000000,-492.424242,2.608515
0.020000,283.394594,94.053690,41.600000,65.000000,0.000000,0.000000,2.632627
0.020000,282.252216,94.674093,42.900000,65.000000,0.000000,0.000000,2.655289
0.020000,281.096490,95.269267,44.200000,65.000000,0.000000,0.000000,2.676551
0.020000,279.928756,95.840529,45.500000,65.000000,0.000000,0.000000,2.696464
0.020000,278.750230,96.389195,46.800000,65.000000,0.000000,0.000000,2.715086
0.020000,277.562022,96.916561,48.100000,65.000000,0.000000,0.000000,2.732472
0.020000,276.365121,97.423903,49.400000,65.000000,0.000000,0.000000,2.748679
0.020000,275.160433,97.912463,50.700000,65.000000,0.000000,0.000000,2.763761
0.020000,273.948766,98.383456,52.000000,65.000000,0.000000,0.000000,2.777771
0.020000,272.730851,98.838055,53.300000,65.000000,0.000000,0.000000,2.790759
0.020000,271.507348,99.277398,54.600000,65.000000,0.000000,0.000000,2.802774
0.020000,270.278854,99.702586,55.900000,65.000000,0.000000,0.000000,2.813859
0.020000,269.045906,100.114680,57.200000,65.000000,0.000000,0.000000,2.824057
0.020000,267.808987,100.514711,58.500000,65.000000,0.000000,0.000000,2.833406
0.020000,266.568544,100.903668,59.800000,65.000000,0.000000,0.000000,2.841940
0.020000,265.324973,101.282514,61.100000,65.000000,0.000000,0.000000,2.849694
0.020000,264.078641,101.652179,62.400000,65.000000,0.000000,0.000000,2.856695
0.020000,262.829884,102.013565,63.700000,65.000000,0.000000,0.000000,2.862971
0.020000,261.888907,102.280439,65.000000,65.000000,0.000000,0.000000,2.868041
0.020000,260.635571,102.625555,66.300000,65.000000,0.000000,0.000000,2.877768
0.020000,259.378922,102.958378,67.600000,65.000000,0.000000,0.000000,2.887628
0.020000,258.119022,103.278715,68.900000,65.000000,0.000000,0.000000,2.897618
0.020000,256.855931,103.586376,70.200000,65.000000,0.000000,0.000000,2.907739
0.020000,255.589780,103.881153,71.500000,65.000000,0.000000,0.000000,2.917989
0.020000,254.320672,104.162854,72.800000,65.000000,0.000000,0.000000,2.928365
0.020000,253.048715,104.431288,74.100000,65.000000,0.000000,0.000000,2.938866
0.020000,251.774007,104.686269,75.400000,65.000000,0.000000,0.000000,2.949489
0.020000,250.496575,104.927630,76.700000,65.000000,0.000000,0.000000,2.960234
0.020000,249.216648,105.155169,78.000000,65.000000,0.000000,0.000000,2.971097
0.020000,247.934358,105.368710,79.300000,65.000000,0.000000,0.000000,2.982073
0.020000,246.649710,105.568104,80.600000,65.000000,0.000000,0.000000,2.993162
0.020000,245.362962,105.753166,81.900000,65.000000,0.000000,0.000000,3.004358
0.020000,244.074227,105.923741,83.200000,65.000000,0.000000,0.000000,3.015657
0.020000,242.783599,106.079683,84.500000,65.000000,0.000000,0.000000,3.027056
0.020000,241.491331,106.220836,85.800000,65.000000,0.000000,0.000000,3.038550
0.020000,240.197448,106.347075,87.100000,65.000000,0.000000,0.000000,3.050134
0.020000,238.902253,106.458256,88.400000,65.000000,0.000000,0.000000,3.061802
0.020000,237.605783,106.554270,89.700000,65.000000,0.000000,0.000000,3.073550
0.020000,236.308316,106.634997,91.000000,65.000000,0.000000,0.000000,3.085370
0.020000,235.009964,106.700339,92.300000,65.000000,0.000000,0.000000,3.097258
0.020000,233.710922,106.750202,93.600000,65.000000,0.000000,0.000000,3.109206
0.020000,232.411415,106.784503,94.900000,65.000000,0.000000,0.000000,3.121208
0.020000,231.111532,106.803175,96.200000,65.000000,0.000000,0.000000,3.133258
0.020000,229.811543,106.806155,97.500000,65.000000,0.000000,0.000000,3.145348
0.020000,228.511637,106.793398,98.800000,65.000000,0.000000,0.000000,3.157470
0.020000,227.211947,106.764866,100.100000,65.000000,0.000000,0.000000,3.169618
0.020000,225.912704,106.720536,101.400000,65.000000,0.000000,0.000000,3.181783
0.020000,224.614110,106.660398,102.700000,65.000000,0.000000,0.000000,3.193958
0.020000,223.316355,106.584453,104.000000,65.000000,0.000000,0.000000,3.206134
0.020000,222.019600,106.492714,105.300000,65.000000,0.000000,0.000000,3.218304
0.020000,220.724053,106.385209,106.600000,65.000000,0.000000,0.000000,3.230460
0.020000,219.429915,106.261977,107.900000,65.000000,0.000000,0.000000,3.242594
0.020000,218.137369,106.123072,109.200000,65.000000,0.000000,0.000000,3.254697
0.020000,216.846599,105.968557,110.500000,65.000000,0.000000,0.000000,3.266762
0.020000,215.557785,105.798511,111.800000,65.000000,0.000000,0.000000,3.278780
0.020000,214.271097,105.613022,113.100000,65.000000,0.000000,0.000000,3.290743
0.020000,212.986707,105.412191,114.400000,65.000000,0.000000,0.000000,3.302645
0.020000,211.704792,105.196133,115.700000,65.000000,0.000000,0.000000,3.314476
0.020000,210.425517,104.964972,117.000000,65.000000,0.000000,0.000000,3.326230
0.020000,209.149037,104.718845,118.300000,65.000000,0.000000,0.000000,3.337900
0.020000,207.875505,104.457896,119.600000,65.000000,0.000000,0.000000,3.349477
0.020000,206.605066,104.182284,120.900000,65.000000,0.000000,0.000000,3.360956
0.020000,205.337860,103.892172,122.200000,65.000000,0.000000,0.000000,3.372329
0.020000,204.074017,103.587738,123.500000,65.000000,0.000000,0.000000,3.383591
0.020000,202.813665,103.269163,124.800000,65.000000,0.000000,0.000000,3.394735
0.020000,201.556920,102.936641,126.100000,65.000000,0.000000,0.000000,3.405755
0.020000,200.303893,102.590370,127.400000,65.000000,0.000000,0.000000,3.416646
0.020000,199.054688,102.230557,128.700000,65.000000,0.000000,0.000000,3.427402
0.020000,197.809399,101.857415,130.000000,65.000000,0.000000,0.000000,3.438019
0.020000,196.568113,101.471161,131.300000,65.000000,0.000000,0.000000,3.448492
0.020000,195.330911,101.072020,132.600000,65.000000,0.000000,0.000000,3.458817
0.020000,194.097865,100.660220,133.900000,65.000000,0.000000,0.000000,3.468989
0.020000,192.869038,100.235994,135.200000,65.000000,0.000000,0.000000,3.479005
0.020000,191.644487,99.799578,136.500000,65.000000,0.000000,0.000000,3.488863
0.020000,190.424261,99.351212,137.800000,65.000000,0.000000,0.000000,3.498557
0.020000,189.208400,98.891137,139.100000,65.000000,0.000000,0.000000,3.508087
0.020000,187.996940,98.419597,140.400000,65.000000,0.000000,0.000000,3.517449
0.020000,186.789906,97.936839,141.700000,65.000000,0.000000,0.000000,3.526641
0.020000,185.587318,97.443109,143.000000,65.000000,0.000000,0.000000,3.535662
0.020000,184.389189,96.938655,144.300000,65.000000,0.000000,0.000000,3.544509
0.020000,183.195525,96.423724,145.600000,65.000000,0.000000,0.000000,3.553182
0.020000,182.006325,95.898566,146.900000,65.000000,0.000000,0.000000,3.561678
0.020000,180.821582,95.363427,148.200000,65.000000,0.000000,0.000000,3.569998
0.020000,179.641283,94.818555,149.500000,65.000000,0.000000,0.000000,3.578140
0.020000,178.465410,94.264196,150.800000,65.000000,0.000000,0.000000,3.586103
0.020000,177.293939,93.700594,152.100000,65.000000,0.000000,0.000000,3.593889
0.020000,176.126839,93.127994,153.400000,65.000000,0.000000,0.000000,3.601495
0.020000,174.964077,92.546636,154.700000,65.000000,0.000000,0.000000,3.608923
0.020000,173.805612,91.956762,156.000000,65.000000,0.000000,0.000000,3.616172
0.020000,172.651401,91.358608,157.300000,65.000000,0.000000,0.000000,3.623243
0.020000,171.501395,90.752410,158.600000,65.000000,0.000000,0.000000,3.630137
