dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,315.999988,59.982262,0.001970,0.196970,9.848485,492.424242,1.569432
0.020000,315.999990,59.984012,0.003719,0.087485,-5.474255,-766.137006,1.569566
0.020000,315.999994,59.987949,0.007657,0.196898,5.470646,547.245055,1.569869
0.020000,315.999999,59.994954,0.014662,0.350235,7.666899,109.812676,1.570408
0.020000,315.999993,60.032480,0.052188,1.876276,76.302013,3431.755673,1.571251
0.020000,315.999900,60.119197,0.138905,4.335874,122.979916,2333.895139,1.572467
0.020000,315.999613,60.234899,0.254607,5.785122,72.462414,-2525.875099,1.574095
0.020000,315.998988,60.379626,0.399335,7.236388,72.563262,5.042436,1.576137
0.020000,315.997846,60.553470,0.573183,8.692386,72.799925,11.833157,1.578600
0.020000,315.995968,60.756501,0.776224,10.152029,72.982169,9.112162,1.581492
0.020000,315.993097,60.988818,1.008558,11.616724,73.234746,12.628850,1.584819
0.020000,315.988933,61.250571,1.270344,13.089288,73.628179,19.671659,1.588592
0.020000,315.983133,61.541854,1.561685,14.567057,73.888441,13.013106,1.592821
0.020000,315.975310,61.862819,1.882745,16.052997,74.297032,20.429550,1.597518
0.020000,315.965025,62.213635,2.233711,17.548318,74.766025,23.449632,1.602697
0.020000,315.951793,62.594457,2.614764,19.052622,75.215187,22.458130,1.608373
0.020000,315.935069,63.005483,3.026130,20.568309,75.784388,28.460015,1.614562
0.020000,315.914255,63.446881,3.468018,22.094393,76.304173,25.989267,1.621281
0.020000,315.888689,63.918888,3.940717,23.634966,77.028656,36.224178,1.628551
0.020000,315.857643,64.421681,4.444468,25.187542,77.628797,30.007048,1.636393
0.020000,315.820317,64.955519,4.979608,26.757024,78.474120,42.266126,1.644830
0.020000,315.775840,65.520580,5.546418,28.340476,79.172597,34.923864,1.653885
0.020000,315.723253,66.117101,6.145252,29.941721,80.062252,44.482729,1.663586
0.020000,315.661515,66.745302,6.776480,31.561370,80.982417,46.008276,1.673960
0.020000,315.589487,67.405390,7.440486,33.200311,81.947067,48.232489,1.685038
0.020000,315.505932,68.097561,8.137681,34.859772,82.973071,51.300218,1.696851
0.020000,315.409507,68.821985,8.868494,36.540656,84.044163,53.554561,1.709431
0.020000,315.298755,69.578802,9.633373,38.243905,85.162461,55.914906,1.722814
0.020000,315.172100,70.368108,10.432776,39.970154,86.312438,57.498877,1.737034
0.020000,315.027837,71.189959,11.267192,41.720834,87.534027,61.079453,1.752130
0.020000,314.864131,72.044332,12.137108,43.495764,88.746510,60.624153,1.768138
0.020000,314.679016,72.931104,13.042995,45.294356,89.929595,59.154244,1.785095
0.020000,314.470386,73.850059,13.985335,47.117036,91.133963,60.218373,1.803039
0.020000,314.235997,74.800859,14.964599,48.963198,92.308122,58.707962,1.822004
0.020000,313.973478,75.782986,15.981206,50.830351,93.357639,52.475848,1.842024
0.020000,313.680328,76.795762,17.035556,52.717490,94.356979,49.966998,1.863129
0.020000,313.353941,77.838271,18.127963,54.620316,95.141271,39.214601,1.885344
0.020000,312.991617,78.909363,19.258678,56.535772,95.772802,31.576554,1.908688
0.020000,312.590600,80.007596,20.427836,58.457891,96.105972,16.658514,1.933171
0.020000,312.148104,81.131221,21.635452,60.380816,96.146236,2.013202,1.958794
0.020000,311.661367,82.278143,22.881382,62.296507,95.784551,-18.084264,1.985547
0.020000,311.127703,83.445906,24.165309,64.196357,94.992508,-39.602182,2.013405
0.020000,310.544565,84.631673,25.486707,66.069883,93.676272,-65.811793,2.042327
0.020000,309.909614,85.832237,26.844837,67.906506,91.831175,-92.254853,2.072257
0.020000,309.220801,87.044019,28.238709,69.693587,89.354062,-123.855635,2.103119
0.020000,308.476424,88.263129,29.667109,71.419988,86.320012,-151.702513,2.134819
0.020000,307.675221,89.485388,31.128561,73.072631,82.632188,-184.391183,2.167243
0.020000,306.816410,90.706422,32.621371,74.640481,78.392484,-211.985215,2.200262
0.020000,305.899738,91.921752,34.143644,76.113659,73.658873,-236.680511,2.233729
0.020000,304.925507,93.126889,35.693315,77.483544,68.494280,-258.229668,2.267486
0.020000,303.894564,94.317452,37.268207,78.744583,63.051927,-272.117671,2.301364
0.020000,302.808283,95.489281,38.866078,79.893551,57.448425,-280.175087,2.335192
0.020000,301.668503,96.638538,40.484684,80.930336,51.839234,-280.459568,2.368797
0.020000,300.477466,97.761796,42.121840,81.857758,46.371099,-273.406718,2.402011
0.020000,299.237727,98.856110,43.775464,82.681245,41.174384,-259.835777,2.434673
0.020000,297.954094,99.917432,45.441033,83.278439,29.859655,-565.736439,2.466587
0.020000,296.633670,100.941037,47.111748,83.535720,12.864069,-849.779306,2.497533
0.020000,295.283722,101.923375,48.781283,83.476765,-2.947734,-790.590165,2.527327
0.020000,293.911516,102.861987,50.443794,83.125547,-17.560924,-730.659460,2.555823
0.020000,292.524171,103.755396,52.093917,82.506152,-30.969728,-670.440218,2.582911
0.020000,291.128569,104.602963,53.726729,81.640602,-43.277500,-615.388589,2.608515
0.020000,289.729156,105.405929,55.340145,80.670785,-48.490879,-260.668943,2.632627
0.020000,288.327908,106.166959,56.934717,79.728628,-47.107843,69.151772,2.655289
0.020000,286.926475,106.888702,58.511083,78.818275,-45.517655,79.509420,2.676551
0.020000,285.526215,107.573749,60.069934,77.942561,-43.785665,86.599470,2.696464
0.020000,284.128239,108.224609,61.611996,77.103090,-41.973547,90.605906,2.715086
0.020000,282.733457,108.843684,63.137994,76.299924,-40.158322,90.761253,2.732472
0.020000,281.342585,109.433268,64.648667,75.533652,-38.313609,92.235659,2.748679
0.020000,279.956213,109.995530,66.144718,74.802531,-36.556065,87.877208,2.763761
0.020000,278.574796,110.532524,67.626836,74.105929,-34.830076,86.299440,2.777771
0.020000,277.198696,111.046182,69.095678,73.442062,-33.193370,81.835308,2.790759
0.020000,275.828198,111.538322,70.551860,72.809133,-31.646436,77.346678,2.802774
0.020000,274.463524,112.010654,71.995963,72.205127,-30.200305,72.306563,2.813859
0.020000,273.104847,112.464782,73.428526,71.628141,-28.849294,67.550542,2.824057
0.020000,271.752297,112.902217,74.850053,71.076388,-27.587648,63.082321,2.833406
0.020000,270.405988,113.324378,76.260999,70.547279,-26.455439,56.610425,2.841940
0.020000,269.066001,113.732603,77.661789,70.039521,-25.387891,53.377428,2.849694
0.020000,267.732412,114.128155,79.052803,69.550679,-24.442104,47.289324,2.856695
0.020000,266.405289,114.512224,80.434383,69.079019,-23.583020,42.954198,2.862971
0.020000,265.400894,114.797065,81.478387,52.200194,-843.941253,-41017.911621,2.868041
0.020000,264.025637,115.175752,82.904829,71.322089,956.094767,90001.801010,2.877768
0.020000,262.645088,115.541389,84.332977,71.407393,4.265179,-47591.479418,2.887628
0.020000,261.259315,115.893729,85.762840,71.493162,4.288440,1.163065,2.897618
0.020000,259.868391,116.232524,87.194431,71.579540,4.318919,1.523938,2.907739
0.020000,258.472471,116.557513,88.627683,71.662600,4.153012,-8.295337,2.917989
0.020000,257.071679,116.868442,90.062568,71.744253,4.082641,-3.518567,2.928365
0.020000,255.666151,117.165063,91.499054,71.824299,4.002286,-4.017771,2.938866
0.020000,254.256017,117.447132,92.937123,71.903444,3.957263,-2.251145,2.949489
0.020000,252.841330,117.714425,94.376839,71.985830,4.119285,8.101137,2.960234
0.020000,251.422373,117.966678,95.818044,72.060213,3.719163,-20.006101,2.971097
0.020000,249.999327,118.203659,97.260687,72.132166,3.597638,-6.076274,2.982073
0.020000,248.572233,118.425161,98.704869,72.209106,3.847039,12.470036,2.993162
0.020000,247.141422,118.630941,100.150402,72.276660,3.377697,-23.467067,3.004358
0.020000,245.707064,118.820789,101.597270,72.343358,3.334875,-2.141129,3.015657
0.020000,244.269316,118.994506,103.045474,72.410212,3.342695,0.390992,3.027056
0.020000,242.828517,119.151881,104.494843,72.468446,2.911734,-21.548016,3.038550
