dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,163.000000,80.002015,0.007748,0.774844,38.742199,1937.109970,4.712544
0.020000,163.000000,80.000877,0.008887,0.056920,-35.896211,-3731.920495,4.712456
0.020000,162.999998,79.960351,0.049412,2.026272,98.467619,6718.191476,4.712280
0.020000,162.999974,79.863882,0.145882,4.823466,139.859680,2069.603063,4.712012
0.020000,162.999902,79.735170,0.274594,6.435606,80.607020,-2962.633025,4.711647
0.020000,162.999746,79.574141,0.435623,8.051446,80.791997,9.248882,4.711181
0.020000,162.999457,79.380704,0.629060,9.671863,81.020847,11.442473,4.710606
0.020000,162.998976,79.154748,0.855017,11.297847,81.299173,13.916316,4.709914
0.020000,162.998230,78.896140,1.113626,12.930448,81.630070,16.544850,4.709094
0.020000,162.997131,78.604730,1.405037,14.570584,82.006805,18.836749,4.708135
0.020000,162.995572,78.280350,1.729421,16.219168,82.429185,21.118989,4.707024
0.020000,162.993427,77.922810,2.086967,17.877326,82.907906,23.936054,4.705745
0.020000,162.990546,77.531898,2.477891,19.546174,83.442416,26.725511,4.704284
0.020000,162.986756,77.107380,2.902426,21.226739,84.028253,29.291813,4.702621
0.020000,162.981850,76.649003,3.360828,22.920134,84.669752,32.074974,4.700737
0.020000,162.975592,76.156491,3.853381,24.627617,85.374128,35.218794,4.698611
0.020000,162.967705,75.629540,4.380390,26.350472,86.142736,38.430401,4.696218
0.020000,162.957873,75.067826,4.942190,28.089999,86.976390,41.682703,4.693533
0.020000,162.945729,74.470998,5.539142,29.847594,87.879756,45.168305,4.690528
0.020000,162.930851,73.838677,6.171638,31.624784,88.859476,48.985974,4.687173
0.020000,162.912759,73.170457,6.840103,33.423253,89.923463,53.199359,4.683435
0.020000,162.890901,72.465901,7.544998,35.244755,91.075092,57.581445,4.679279
0.020000,162.864649,71.724545,8.286818,37.091025,92.313516,61.921197,4.674667
0.020000,162.833288,70.945891,9.066103,38.964250,93.661235,67.385955,4.669557
0.020000,162.796004,70.129408,9.883438,40.866719,95.123457,73.111107,4.663904
0.020000,162.751871,69.274533,10.739450,42.800639,96.696014,78.627847,4.657660
0.020000,162.699841,68.380666,11.634831,44.769011,98.418578,86.128209,4.650772
0.020000,162.638725,67.447179,12.570316,46.774280,100.263451,92.243666,4.643183
0.020000,162.567175,66.473404,13.546717,48.820030,102.287490,101.201943,4.634831
0.020000,162.483668,65.458648,14.564902,50.909274,104.462204,108.735677,4.625649
0.020000,162.386477,64.402192,15.625820,53.045890,106.830819,118.430786,4.615564
0.020000,162.273654,63.303290,16.730498,55.233900,109.400468,128.482418,4.604496
0.020000,162.142994,62.161189,17.880049,57.477533,112.181650,139.059110,4.592361
0.020000,161.992012,60.975143,19.075666,59.780867,115.166727,149.253874,4.579066
0.020000,161.817901,59.744418,20.318647,62.149019,118.407579,162.042568,4.564512
0.020000,161.617503,58.468332,21.610371,64.586237,121.860911,172.666626,4.548592
0.020000,161.387266,57.146286,22.952316,67.097228,125.549537,184.431302,4.531194
0.020000,161.123207,55.777809,24.346036,69.686014,129.439323,194.489266,4.512196
0.020000,160.820873,54.362616,25.793163,72.356367,133.517662,203.916983,4.491473
0.020000,160.475314,52.900697,27.295368,75.110236,137.693413,208.787550,4.468898
0.020000,160.081052,51.392406,28.854337,77.948456,141.911017,210.880186,4.444340
0.020000,159.632084,49.838586,30.471720,80.869144,146.034416,206.169949,4.417671
0.020000,159.121895,48.240722,32.149058,83.866898,149.887670,192.662703,4.388775
0.020000,158.543517,46.601103,33.887698,86.932013,153.255780,168.405499,4.357545
0.020000,157.889638,44.923015,35.688681,90.049143,155.856493,130.035634,4.323904
0.020000,157.152765,43.210931,37.552605,93.196194,157.352525,74.801630,4.287803
0.020000,156.325472,41.470693,39.479479,96.343671,157.373870,1.067243,4.249243
0.020000,155.400719,39.709644,41.468565,99.454309,155.531904,-92.098316,4.208280
0.020000,154.372242,37.936684,43.518236,102.483575,151.463295,-203.430433,4.165039
0.020000,153.234987,36.162201,45.625874,105.381874,144.914941,-327.417718,4.119722
0.020000,151.985547,34.397857,47.787820,108.097323,135.772467,-457.123677,4.072610
0.020000,150.622540,32.656202,49.999414,110.579702,124.118956,-582.675548,4.024061
0.020000,149.146838,30.950123,52.255163,112.787449,110.387328,-686.581431,3.974499
0.020000,147.561638,29.292210,54.548967,114.690166,95.135835,-762.574619,3.924393
0.020000,145.872291,27.694094,56.874449,116.274138,79.198635,-796.860025,3.874235
0.020000,144.085936,26.165852,59.225319,117.543482,63.467180,-786.572716,3.824507
0.020000,142.210983,24.715575,61.595709,118.519507,48.801275,-733.295284,3.775663
0.020000,140.256520,23.349137,63.980469,119.237991,35.924172,-643.855139,3.728098
0.020000,138.231723,22.070175,66.375369,119.744986,25.349753,-528.720974,3.682139
0.020000,136.145413,20.880276,68.777150,120.089059,17.203648,-407.305217,3.638035
0.020000,134.005643,19.779244,71.183576,120.321302,11.612144,-279.575189,3.595960
0.020000,131.819533,18.765484,73.593302,120.486332,8.251490,-168.032717,3.556016
0.020000,129.734004,17.892226,75.854279,113.048820,-371.875599,-19006.354442,3.521130
0.020000,127.654277,17.088271,78.083989,111.485493,-78.166350,14685.462421,3.499810
