dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,137.000000,79.997985,0.007748,0.774844,38.742199,1937.109970,4.712544
0.020000,137.000000,79.999123,0.008887,0.056920,-35.896211,-3731.920495,4.712456
0.020000,136.999998,79.963188,0.044822,1.796766,86.992327,6144.426852,4.712280
0.020000,136.999976,79.873696,0.134315,4.474622,133.892781,2345.022721,4.712012
0.020000,136.999910,79.754458,0.253553,5.961895,74.363666,-2976.455722,4.711647
0.020000,136.999765,79.605548,0.402462,7.445485,74.179498,-9.208444,4.711181
0.020000,136.999498,79.427060,0.580950,8.924397,73.945568,-11.696467,4.710606
0.020000,136.999056,79.219106,0.788904,10.397716,73.665973,-13.979756,4.709914
0.020000,136.998372,78.981816,1.026196,11.864559,73.342138,-16.191779,4.709094
0.020000,136.997367,78.715340,1.292673,13.323881,72.966120,-18.800881,4.708135
0.020000,136.995947,78.419852,1.588165,14.774595,72.535679,-21.522033,4.707024
0.020000,136.994001,78.095543,1.912480,16.215755,72.058034,-23.882277,4.705745
0.020000,136.991400,77.742625,2.265407,17.646346,71.529537,-26.424849,4.704284
0.020000,136.987996,77.361337,2.646711,19.065196,70.942491,-29.352289,4.702621
0.020000,136.983615,76.951938,3.056134,20.471127,70.296558,-32.296668,4.700737
0.020000,136.978059,76.514713,3.493393,21.862990,69.593145,-35.170623,4.698611
0.020000,136.971105,76.049974,3.958184,23.239540,68.827515,-38.281489,4.696218
0.020000,136.962495,75.558061,4.450172,24.599412,67.993561,-41.697706,4.693533
0.020000,136.951941,75.039345,4.968996,25.941163,67.087564,-45.299877,4.690528
0.020000,136.939117,74.494231,5.514262,27.263289,66.106320,-49.062161,4.687173
0.020000,136.923656,73.923155,6.085546,28.564216,65.046350,-52.998512,4.683435
0.020000,136.905151,73.326599,6.682390,29.842193,63.898820,-57.376488,4.679279
0.020000,136.883146,72.705084,7.304294,31.095192,62.649988,-62.441626,4.674667
0.020000,136.857134,72.059182,7.950719,32.321276,61.304176,-67.290600,4.669557
0.020000,136.826558,71.389515,8.621084,33.518258,59.849119,-72.752854,4.663904
0.020000,136.790799,70.696766,9.314755,34.683526,58.263406,-79.285631,4.657660
0.020000,136.749181,69.981682,10.031049,35.814718,56.559561,-85.192247,4.650772
0.020000,136.700962,69.245087,10.769221,36.908593,54.693769,-93.289632,4.643183
0.020000,136.645334,68.487880,11.528468,37.962364,52.688563,-100.260298,4.634831
0.020000,136.581416,67.711059,12.307915,38.972312,50.497367,-109.559809,4.625649
0.020000,136.508259,66.915719,13.106613,39.934902,48.129510,-118.392835,4.615564
0.020000,136.424838,66.103065,13.923537,40.846218,45.565800,-128.185483,4.604496
0.020000,136.330057,65.274427,14.757578,41.702044,42.791322,-138.723916,4.592361
0.020000,136.222744,64.431275,15.607531,42.497679,39.781740,-150.479078,4.579066
0.020000,136.101662,63.575218,16.472109,43.228900,36.561037,-161.035152,4.564512
0.020000,135.965505,62.708026,17.349925,43.890783,33.094177,-173.343036,4.548592
0.020000,135.812913,61.831632,18.239504,44.478930,29.407326,-184.342532,4.531194
0.020000,135.642475,60.948140,19.139285,44.989070,25.507014,-195.015596,4.512196
0.020000,135.452746,60.059818,20.047643,45.417905,21.441761,-203.262653,4.491473
0.020000,135.242256,59.169094,20.962900,45.762841,17.246763,-209.749889,4.468898
0.020000,135.009529,58.278532,21.883368,46.023415,13.028692,-210.903539,4.444340
0.020000,134.753095,57.390798,22.807398,46.201503,8.904424,-206.213394,4.417671
0.020000,134.471497,56.508604,23.733445,46.302330,5.041353,-193.153548,4.388775
0.020000,134.163296,55.634642,24.660159,46.335686,1.667798,-168.677778,4.357545
0.020000,133.827058,54.771480,25.586497,46.316936,-0.937493,-130.264567,4.323904
0.020000,133.461321,53.921462,26.511859,46.268094,-2.442094,-75.230044,4.287803
0.020000,133.064535,53.086579,27.436234,46.218722,-2.468623,-1.326445,4.249243
0.020000,132.634983,52.268357,28.360356,46.206138,-0.629204,91.970963,4.208280
0.020000,132.170667,51.467762,29.285852,46.274755,3.430885,203.004458,4.165039
0.020000,131.669188,50.685159,30.215341,46.474456,9.985031,327.707265,4.119722
0.020000,131.127631,49.920334,31.152486,46.857243,19.139355,457.716244,4.072610
0.020000,130.542499,49.172617,32.101939,47.472660,30.770864,581.575437,4.024061
0.020000,129.909705,48.441055,33.069208,48.363456,44.539763,688.444933,3.974499
0.020000,129.224678,47.724679,34.060398,49.559495,59.801974,763.110571,3.924393
0.020000,128.482554,47.022753,35.081891,51.074642,75.757365,797.769513,3.874235
0.020000,127.678461,46.335005,36.139985,52.904698,91.502784,787.270964,3.824507
