dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000000,68.000000,0.001977,0.197693,9.884673,494.233661,3.703552
0.020000,290.000000,68.000000,0.009885,0.593080,19.769346,494.233661,3.703755
0.020000,290.000000,68.000000,0.027677,1.186161,29.654020,494.233661,3.704212
0.020000,289.996198,67.997598,0.059308,1.976935,39.538693,494.233661,3.705024
0.020000,289.954431,67.971176,0.108731,2.965402,49.423366,494.233661,3.706292
0.020000,289.894344,67.933033,0.179901,4.151563,59.308039,494.233661,3.708116
0.020000,289.814339,67.882007,0.274794,5.337724,59.308039,-0.000000,3.710543
0.020000,289.714505,67.817951,0.393410,6.523884,59.308039,0.000000,3.713570
0.020000,289.594962,67.740687,0.535749,7.710045,59.308039,0.000000,3.717192
0.020000,289.455848,67.649999,0.701812,8.896206,59.308039,-0.000000,3.721403
0.020000,289.297330,67.545642,0.891598,10.082367,59.308039,0.000000,3.726196
0.020000,289.119595,67.427336,1.105106,11.268527,59.308039,0.000000,3.731561
0.020000,288.922858,67.294771,1.342339,12.454688,59.308039,-0.000000,3.737488
0.020000,288.707356,67.147611,1.603294,13.640849,59.308039,0.000000,3.743966
0.020000,288.473351,66.985489,1.887973,14.827010,59.308039,-0.000000,3.750981
0.020000,288.221131,66.808018,2.196374,16.013171,59.308039,0.000000,3.758517
0.020000,287.951006,66.614785,2.528499,17.199331,59.308039,0.000000,3.766556
0.020000,287.663312,66.405361,2.884348,18.385492,59.308039,0.000000,3.775078
0.020000,287.358404,66.179298,3.263919,19.571653,59.308039,-0.000000,3.784060
0.020000,287.036663,65.936134,3.667214,20.757814,59.308039,0.000000,3.793477
0.020000,286.698490,65.675400,4.094232,21.943975,59.308039,0.000000,3.803302
0.020000,286.344304,65.396621,4.544973,23.130135,59.308039,-0.000000,3.813504
0.020000,285.974542,65.099316,5.019437,24.316296,59.308039,0.000000,3.824049
0.020000,285.589654,64.783010,5.517625,25.502457,59.308039,0.000000,3.834901
0.020000,285.190104,64.447231,6.039535,26.688618,59.308039,0.000000,3.846022
0.020000,284.776363,64.091518,6.585169,27.874778,59.308039,0.000000,3.857368
0.020000,284.348909,63.715425,7.154526,29.060939,59.308039,-0.000000,3.868897
0.020000,283.908217,63.318523,7.747607,30.247100,59.308039,0.000000,3.880560
0.020000,283.454762,62.900407,8.364410,31.433261,59.308039,-0.000000,3.892307
0.020000,282.989008,62.460699,9.004937,32.619422,59.308039,0.000000,3.904088
0.020000,282.511406,61.999051,9.669187,33.805582,59.308039,0.000000,3.915846
0.020000,282.022385,61.515150,10.357161,34.991743,59.308039,0.000000,3.927528
0.020000,281.522352,61.008719,11.068857,36.177904,59.308039,-0.000000,3.939074
0.020000,281.011677,60.479524,11.804277,37.364065,59.308039,0.000000,3.950426
0.020000,280.490695,59.927373,12.563420,38.550226,59.308039,-0.000000,3.961524
0.020000,279.959696,59.352123,13.346286,39.736386,59.308039,0.000000,3.972305
0.020000,279.418917,58.753676,14.152875,40.922547,59.308039,0.000000,3.982710
0.020000,278.868536,58.131989,14.983188,42.108708,59.308039,0.000000,3.992673
0.020000,278.308670,57.487070,15.837223,43.294869,59.308039,-0.000000,4.002133
0.020000,277.739360,56.818981,16.714982,44.481029,59.308039,0.000000,4.011026
0.020000,277.160573,56.127844,17.616465,45.667190,59.308039,0.000000,4.019287
0.020000,276.572187,55.413839,18.541670,46.853351,59.308039,-0.000000,4.026852
0.020000,275.973994,54.677207,19.490599,48.039512,59.308039,0.000000,4.033655
0.020000,275.365684,53.918255,20.463250,49.225673,59.308039,0.000000,4.039629
0.020000,274.746846,53.137358,21.459626,50.411833,59.308039,0.000000,4.044707
0.020000,274.118174,52.336520,22.477747,51.400301,49.423366,-494.233661,4.048812
0.020000,273.481440,51.519399,23.513661,52.191075,39.538693,-494.233661,4.051870
0.020000,272.838279,50.689747,24.563413,52.784155,29.654020,-494.233661,4.053823
0.020000,272.190216,49.851388,25.623050,53.179542,19.769346,-494.233661,4.054625
0.020000,271.538708,49.008196,26.688618,53.377235,9.884673,-494.233661,4.054250
0.020000,270.885802,48.164884,27.755136,53.274638,-5.129854,-750.726367,4.052688
0.020000,270.233555,47.326160,28.817626,52.974348,-15.014527,-494.233661,4.049947
0.020000,269.583451,46.495890,29.872133,52.476364,-24.899201,-494.233661,4.046055
0.020000,268.937060,45.677885,30.914704,51.780686,-34.783874,-494.233661,4.041053
0.020000,268.296079,44.875881,31.941384,50.887315,-44.668547,-494.233661,4.035002
0.020000,267.662354,44.093508,32.948220,49.796251,-54.553220,-494.233661,4.027974
0.020000,267.037263,43.333484,33.932283,48.610090,-59.308039,-237.740954,4.020053
0.020000,266.421082,42.596892,34.892623,47.423929,-59.308039,0.000000,4.011315
0.020000,265.813598,41.884005,35.829240,46.237769,-59.308039,-0.000000,4.001826
0.020000,265.214697,41.195031,36.742134,45.051608,-59.308039,0.000000,3.991655
0.020000,264.624358,40.530112,37.631304,43.865447,-59.308039,-0.000000,3.980871
0.020000,264.042647,39.889329,38.496752,42.679286,-59.308039,0.000000,3.969540
0.020000,263.469707,39.272700,39.338476,41.493125,-59.308039,-0.000000,3.957731
0.020000,262.905752,38.680187,40.156477,40.306965,-59.308039,0.000000,3.945509
0.020000,262.351063,38.111690,40.950754,39.120804,-59.308039,-0.000000,3.932943
0.020000,261.805976,37.567056,41.721309,37.934643,-59.308039,0.000000,3.920099
0.020000,261.270877,37.046078,42.468140,36.748482,-59.308039,-0.000000,3.907042
0.020000,260.746195,36.548498,43.191248,35.562321,-59.308039,0.000000,3.893837
0.020000,260.232394,36.074009,43.890633,34.376161,-59.308039,-0.000000,3.880546
0.020000,259.729965,35.622260,44.566295,33.190000,-59.308039,0.000000,3.867230
0.020000,259.239422,35.192860,45.218233,32.003839,-59.308039,0.000000,3.853950
0.020000,258.761293,34.785378,45.846448,30.817678,-59.308039,-0.000000,3.840760
0.020000,258.296115,34.399355,46.450940,29.631518,-59.308039,0.000000,3.827715
0.020000,257.844427,34.034299,47.031709,28.445357,-59.308039,0.000000,3.814867
0.020000,257.406768,33.689697,47.588754,27.259196,-59.308039,-0.000000,3.802264
0.020000,256.983670,33.365019,48.122077,26.073035,-59.308039,0.000000,3.789949
0.020000,256.575650,33.059717,48.631676,24.886874,-59.308039,-0.000000,3.777965
0.020000,256.183218,32.773240,49.117552,23.700714,-59.308039,0.000000,3.766351
0.020000,255.806861,32.505029,49.579704,22.514553,-59.308039,-0.000000,3.755140
0.020000,255.447046,32.254526,50.018134,21.328392,-59.308039,0.000000,3.744364
0.020000,255.104220,32.021180,50.432840,20.142231,-59.308039,-0.000000,3.734053
0.020000,254.778808,31.804447,50.823823,18.956070,-59.308039,0.000000,3.724231
0.020000,254.471205,31.603798,51.191083,17.769910,-59.308039,0.000000,3.714921
0.020000,254.181788,31.418721,51.534620,16.583749,-59.308039,0.000000,3.706143
0.020000,253.910899,31.248722,51.854433,15.397588,-59.308039,0.000000,3.697914
0.020000,253.658864,31.093332,52.150523,14.211427,-59.308039,-0.000000,3.690249
0.020000,253.425972,30.952105,52.422890,13.025267,-59.308039,0.000000,3.683161
0.020000,253.212492,30.824626,52.671534,11.839106,-59.308039,0.000000,3.676661
0.020000,253.018671,30.710511,52.896454,10.652945,-59.308039,0.000000,3.670758
0.020000,252.844725,30.609405,53.097651,9.466784,-59.308039,0.000000,3.665461
0.020000,252.690844,30.520986,53.275126,8.280623,-59.308039,-0.000000,3.660775
0.020000,252.557200,30.444972,53.428876,7.094463,-59.308039,0.000000,3.656707
0.020000,252.443933,30.381110,53.558904,5.908302,-59.308039,-0.000000,3.653259
0.020000,252.351170,30.329191,53.665209,4.722141,-59.308039,0.000000,3.650437
0.020000,252.279009,30.289040,53.747790,3.535980,-59.308039,-0.000000,3.648242
0.020000,252.226625,30.260023,53.807674,2.452417,-54.178185,256.492707,3.646648
0.020000,252.191442,30.240596,53.847863,1.566546,-44.293512,494.233661,3.645578
0.020000,252.170030,30.228796,53.872312,0.878370,-34.408839,494.233661,3.644927
0.020000,252.158935,30.222689,53.884975,0.387886,-24.524166,494.233661,3.644590
0.020000,252.154703,30.220361,53.889805,0.095096,-14.639492,494.233661,3.644461
0.020000,252.153869,30.219902,53.890756,0.000000,-4.754819,494.233661,3.644436
0.020000,252.153869,30.219902,53.890756,0.000000,0.000000,237.740954,3.644436
