Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 291.000000, 198.001265, 0.002388, 0.238806, 11.940299, 597.014925, 1.570815, 
20, 290.999999, 198.009284, 0.010407, 0.400936, 8.106495, -191.690176, 1.570933, 
20, 290.999995, 198.027324, 0.028447, 0.902009, 25.053663, 847.358385, 1.571198, 
20, 290.999976, 198.057385, 0.058508, 1.503051, 30.052112, 249.922441, 1.571642, 
20, 290.999927, 198.099458, 0.100581, 2.103646, 30.029755, -1.117804, 1.572263, 
20, 290.999826, 198.153530, 0.154653, 2.703614, 29.998360, -1.569776, 1.573063, 
20, 290.999644, 198.219585, 0.220709, 3.302770, 29.957820, -2.027017, 1.574044, 
20, 290.999345, 198.297603, 0.298727, 3.900930, 29.907978, -2.492102, 1.575207, 
20, 290.998888, 198.387560, 0.388685, 4.497903, 29.848690, -2.964377, 1.576553, 
20, 290.998224, 198.489428, 0.490555, 5.093498, 29.779736, -3.447692, 1.578086, 
20, 290.997297, 198.603175, 0.604306, 5.687516, 29.700895, -3.942068, 1.579806, 
20, 290.996045, 198.728763, 0.729901, 6.279754, 29.611887, -4.450378, 1.581718, 
20, 290.994400, 198.866154, 0.867301, 6.870002, 29.512424, -4.973160, 1.583824, 
20, 290.992285, 199.015300, 1.016462, 7.458045, 29.402141, -5.514150, 1.586127, 
20, 290.989618, 199.176151, 1.177335, 8.043659, 29.280682, -6.072959, 1.588632, 
20, 290.986308, 199.348651, 1.349867, 8.626611, 29.147622, -6.652980, 1.591342, 
20, 290.982256, 199.532740, 1.534000, 9.206661, 29.002492, -7.256504, 1.594262, 
20, 290.977359, 199.728350, 1.729671, 9.783557, 28.844804, -7.884411, 1.597396, 
20, 290.971504, 199.935408, 1.936812, 10.357037, 28.674007, -8.539828, 1.600750, 
20, 290.964568, 200.153834, 2.155349, 10.926827, 28.489507, -9.225044, 1.604330, 
20, 290.956425, 200.383543, 2.385201, 11.492641, 28.290663, -9.942154, 1.608142, 
20, 290.946937, 200.624439, 2.626285, 12.054176, 28.076793, -10.693531, 1.612191, 
20, 290.935959, 200.876423, 2.878507, 12.611119, 27.847151, -11.482083, 1.616487, 
20, 290.923339, 201.139383, 3.141770, 13.163138, 27.600941, -12.310530, 1.621035, 
20, 290.908912, 201.413201, 3.415968, 13.709885, 27.337324, -13.180842, 1.625844, 
20, 290.892510, 201.697748, 3.700988, 14.250993, 27.055398, -14.096292, 1.630923, 
20, 290.873952, 201.992887, 3.996709, 14.786077, 26.754203, -15.059718, 1.636280, 
20, 290.853048, 202.298467, 4.303004, 15.314731, 26.432732, -16.073573, 1.641927, 
20, 290.829602, 202.614329, 4.619734, 15.836530, 26.089929, -17.140152, 1.647873, 
