Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 269.000000, 204.001548, 0.002388, 0.238806, 11.940299, 597.014925, 1.570796, 
20, 269.000000, 204.011100, 0.011940, 0.477612, 11.940299, 0.000000, 1.570796, 
20, 269.000000, 204.032593, 0.033433, 1.074627, 29.850746, 895.522388, 1.570796, 
20, 269.000000, 204.068414, 0.069254, 1.791045, 35.820896, 298.507463, 1.570796, 
20, 269.000000, 204.118563, 0.119403, 2.507463, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 204.183041, 0.183881, 3.223881, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 204.261847, 0.262687, 3.940299, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 204.354981, 0.355821, 4.656716, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 204.462444, 0.463284, 5.373134, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 204.584235, 0.585075, 6.089552, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 204.720354, 0.721194, 6.805970, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 204.870802, 0.871642, 7.522388, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 205.035578, 1.036418, 8.238806, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 205.214682, 1.215522, 8.955224, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 205.408115, 1.408955, 9.671642, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 205.615876, 1.616716, 10.388060, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 205.837966, 1.838806, 11.104478, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 206.074384, 2.075224, 11.820896, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 206.325130, 2.325970, 12.537313, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 206.590205, 2.591045, 13.253731, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 206.869608, 2.870448, 13.970149, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 207.163339, 3.164179, 14.686567, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 207.471399, 3.472239, 15.402985, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 207.793787, 3.794627, 16.119403, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 208.130503, 4.131343, 16.835821, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 208.481548, 4.482388, 17.552239, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 208.846921, 4.847761, 18.268657, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 209.226623, 5.227463, 18.985075, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 209.620653, 5.621493, 19.701493, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 210.029011, 6.029851, 20.417910, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 210.451697, 6.452537, 21.134328, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 210.888712, 6.889552, 21.850746, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 211.340056, 7.340896, 22.567164, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 211.805727, 7.806567, 23.283582, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 212.285727, 8.286567, 24.000000, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 212.780056, 8.780896, 24.716418, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 213.288712, 9.289552, 25.432836, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 213.811697, 9.812537, 26.149254, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 214.349011, 10.349851, 26.865672, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 214.900653, 10.901493, 27.582090, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 215.466623, 11.467463, 28.298507, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 216.046921, 12.047761, 29.014925, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 216.641548, 12.642388, 29.731343, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 217.250503, 13.251343, 30.447761, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 217.873787, 13.874627, 31.164179, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 218.511399, 14.512239, 31.880597, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 219.163339, 15.164179, 32.597015, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 219.829608, 15.830448, 33.313433, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 220.510205, 16.511045, 34.029851, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 221.205130, 17.205970, 34.746269, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 221.914384, 17.915224, 35.462687, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 222.637966, 18.638806, 36.179104, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 223.375876, 19.376716, 36.895522, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 224.128115, 20.128955, 37.611940, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 224.894682, 20.895522, 38.328358, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 225.675578, 21.676418, 39.044776, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 226.470802, 22.471642, 39.761194, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 227.280354, 23.281194, 40.477612, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 228.104235, 24.105075, 41.194030, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 228.942444, 24.943284, 41.910448, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 229.794981, 25.795821, 42.626866, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 230.661847, 26.662687, 43.343284, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 231.543041, 27.543881, 44.059701, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 232.438563, 28.439403, 44.776119, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 233.348414, 29.349254, 45.492537, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 234.272593, 30.273433, 46.208955, 35.820896, -0.000000, 1.570796, 
20, 269.000000, 235.211100, 31.211940, 46.925373, 35.820896, 0.000000, 1.570796, 
20, 269.000000, 236.161548, 32.162388, 47.522388, 29.850746, -298.507463, 1.570796, 
20, 269.000000, 237.119160, 33.120000, 47.880597, 17.910448, -597.014925, 1.570796, 
20, 269.000000, 238.079160, 34.080000, 48.000000, 5.970149, -597.014925, 1.570796, 
20, 269.000000, 239.039160, 35.040000, 48.000000, 0.000000, -298.507463, 1.570796, 
