dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,204.996913,138.000000,0.001970,0.196970,9.848485,492.424242,3.141355
0.020000,204.997348,138.000000,0.002404,0.021732,-8.761906,-930.519554,3.141389
0.020000,204.998327,138.000000,0.003384,0.048962,1.361539,506.172267,3.141464
0.020000,204.998763,138.000000,0.003819,0.021793,-1.358464,-136.000136,3.141598
0.020000,204.952259,137.999995,0.050323,2.325185,115.169612,5826.403783,3.141809
0.020000,204.885320,137.999970,0.117263,3.346978,51.089614,-3203.999885,3.142114
0.020000,204.796113,137.999905,0.206469,4.460323,55.667283,228.883435,3.142525
0.020000,204.684681,137.999773,0.317902,5.571628,55.565235,-5.102395,3.143044
0.020000,204.551072,137.999537,0.451511,6.680443,55.440739,-6.224822,3.143676
0.020000,204.395349,137.999154,0.607235,7.786207,55.288210,-7.626445,3.144424
0.020000,204.217580,137.998574,0.785004,8.888471,55.113206,-8.750175,3.145295
0.020000,204.017850,137.997735,0.984736,9.986571,54.905019,-10.409368,3.146295
0.020000,203.796251,137.996567,1.206338,11.080138,54.678349,-11.333512,3.147430
0.020000,203.552886,137.994992,1.449708,12.168496,54.417872,-13.023832,3.148709
0.020000,203.287872,137.992917,1.714730,13.251110,54.130730,-14.357094,3.150141
0.020000,203.001337,137.990240,2.001278,14.327382,53.813591,-15.856972,3.151735
0.020000,202.693419,137.986846,2.309215,15.396839,53.472836,-17.037735,3.153503
0.020000,202.364273,137.982606,2.638388,16.458663,53.091214,-19.081096,3.155454
0.020000,202.014064,137.977377,2.988636,17.512409,52.687267,-20.197359,3.157603
0.020000,201.642973,137.971000,3.359781,18.557257,52.242426,-22.242033,3.159963
0.020000,201.251197,137.963299,3.751633,19.592580,51.766130,-23.814834,3.162547
0.020000,200.838946,137.954080,4.163988,20.617733,51.257670,-25.422992,3.165373
0.020000,200.406449,137.943131,4.596623,21.631781,50.702373,-27.764840,3.168457
0.020000,199.953950,137.930216,5.049307,22.634165,50.119206,-29.158324,3.171817
0.020000,199.481717,137.915081,5.521782,23.623778,49.480658,-31.927442,3.175473
0.020000,198.990034,137.897445,6.013781,24.599952,48.808729,-33.596421,3.179445
0.020000,198.479210,137.877006,6.525014,25.561621,48.083436,-36.264670,3.183756
0.020000,197.949577,137.853431,7.055171,26.507853,47.311571,-38.593245,3.188429
0.020000,197.401493,137.826362,7.603923,27.437618,46.488268,-41.165135,3.193490
0.020000,196.835344,137.795412,8.170917,28.349710,45.604614,-44.182719,3.198966
0.020000,196.251545,137.760160,8.755780,29.243131,44.671020,-46.679704,3.204885
0.020000,195.650547,137.720156,9.358108,30.116409,43.663897,-50.356114,3.211280
0.020000,195.032832,137.674915,9.977477,30.968434,42.601295,-53.130100,3.218181
0.020000,194.398927,137.623915,10.613430,31.797675,41.462026,-56.963478,3.225625
0.020000,193.749397,137.566602,11.265484,32.602709,40.251685,-60.517060,3.233649
0.020000,193.084850,137.502380,11.933127,33.382142,38.971679,-64.000265,3.242292
0.020000,192.405946,137.430619,12.615813,34.134310,37.608367,-68.165629,3.251595
0.020000,191.713398,137.350648,13.312963,34.857500,36.159522,-72.442263,3.261605
0.020000,191.007972,137.261760,14.023967,35.550191,34.634532,-76.249458,3.272366
0.020000,190.290493,137.163209,14.748183,36.210804,33.030669,-80.193145,3.283930
0.020000,189.561848,137.054211,15.484935,36.837591,31.339322,-84.567360,3.296347
0.020000,188.822989,136.933946,16.233518,37.429166,29.578770,-88.027602,3.309672
0.020000,188.074929,136.801560,16.993202,37.984194,27.751405,-91.368262,3.323962
0.020000,187.318752,136.656168,17.763230,38.501387,25.859640,-94.588243,3.339274
0.020000,186.555600,136.496855,18.542834,38.980175,23.939394,-96.012310,3.355667
0.020000,185.786679,136.322679,19.331235,39.420071,21.994803,-97.229522,3.373202
0.020000,185.013246,136.132678,20.127664,39.821461,20.069510,-96.264662,3.391937
0.020000,184.236602,135.925867,20.931372,40.185390,18.196437,-93.653667,3.411931
0.020000,183.458080,135.701246,21.741650,40.513893,16.425141,-88.564799,3.433237
0.020000,182.679025,135.457799,22.557856,40.810320,14.821352,-80.189465,3.455905
0.020000,181.900776,135.194493,23.379442,41.079290,13.448503,-68.642413,3.479977
0.020000,181.124633,134.910272,24.205988,41.327311,12.401043,-52.373035,3.505486
0.020000,180.351839,134.604055,25.037240,41.562575,11.763214,-31.891433,3.532451
0.020000,179.583541,134.274720,25.873149,41.795455,11.644000,-5.960697,3.560875
0.020000,178.820760,133.921088,26.713916,42.038355,12.145001,25.050040,3.590744
0.020000,178.065542,133.542516,27.558707,42.239562,10.060362,-104.231958,3.621969
0.020000,177.320764,133.139023,28.405762,42.352726,5.658220,-220.107087,3.654384
0.020000,176.588870,132.710763,29.253745,42.399145,2.320940,-166.863976,3.687788
0.020000,175.871892,132.258028,30.101699,42.397704,-0.072069,-119.650495,3.721951
0.020000,175.171494,131.781263,30.948966,42.363382,-1.716083,-82.200689,3.756622
0.020000,174.489039,131.281087,31.795087,42.306040,-2.867088,-57.550218,3.791533
0.020000,173.824667,130.757527,32.640963,42.293781,-0.612981,112.705317,3.826462
0.020000,173.177495,130.209884,33.488750,42.389370,4.779480,269.623056,3.861244
0.020000,172.546730,129.637471,34.340526,42.588799,9.971443,259.598166,3.895720
0.020000,171.931699,129.039657,35.198223,42.884830,14.801554,241.505537,3.929740
0.020000,171.331865,128.415904,36.063596,43.268648,19.190903,219.467476,3.963169
0.020000,170.746826,127.765795,36.938188,43.729628,23.048999,192.904787,3.995890
0.020000,170.176317,127.089066,37.823311,44.256140,26.325590,163.829560,4.027801
0.020000,169.620188,126.385617,38.720038,44.836334,29.009685,134.204752,4.058819
0.020000,169.078393,125.655527,39.629199,45.458068,31.086685,103.850002,4.088881
0.020000,168.550951,124.899037,40.551409,46.110490,32.621115,76.721475,4.117939
0.020000,168.037941,124.116558,41.487066,46.782831,33.617068,49.797657,4.145963
0.020000,167.539466,123.308644,42.436383,47.465871,34.152001,26.746636,4.172937
0.020000,167.038457,122.451875,43.428886,49.625169,107.964865,3690.643211,4.193269
0.020000,166.539825,121.557430,44.452930,51.202166,78.849864,-1455.750046,4.214494
0.020000,166.063839,120.658711,45.469915,50.849259,-17.645365,-4824.761452,4.236263
0.020000,165.610886,119.755930,46.479955,50.501993,-17.363265,14.105002,4.258566
0.020000,165.181322,118.849286,47.483214,50.162949,-16.952198,20.553358,4.281391
0.020000,164.775467,117.938967,48.479908,49.834696,-16.412648,26.977475,4.304720
0.020000,164.393610,117.025142,49.470307,49.519980,-15.735795,33.842637,4.328534
0.020000,164.036003,116.107961,50.454738,49.221522,-14.922939,40.642845,4.352807
0.020000,163.702864,115.187550,51.433583,48.942251,-13.963550,47.969431,4.377509
0.020000,163.394378,114.264009,52.407283,48.685016,-12.861757,55.089652,4.402607
0.020000,163.110697,113.337409,53.376335,48.452579,-11.621837,61.995977,4.428063
0.020000,162.851944,112.407797,54.341286,48.247578,-10.250031,68.590328,4.453833
0.020000,162.618213,111.475191,55.302735,48.072454,-8.756222,74.690442,4.479874
0.020000,162.409576,110.539584,56.261323,47.929396,-7.152867,80.167766,4.506134
0.020000,162.226081,109.600948,57.217726,47.820161,-5.461789,84.553897,4.532562
0.020000,162.067758,108.659240,58.172651,47.746220,-3.697053,88.236809,4.559105
0.020000,161.934622,107.714403,59.126821,47.708530,-1.884490,90.628129,4.585705
0.020000,161.826671,106.766378,60.080973,47.707597,-0.046621,91.893452,4.612306
0.020000,161.743892,105.815104,61.035842,47.743440,1.792142,91.938138,4.638853
0.020000,161.686259,104.860530,61.992154,47.815582,3.607097,90.747745,4.665288
0.020000,161.653731,103.902622,62.950614,47.923027,5.372234,88.256861,4.691558
0.020000,161.646255,102.941362,63.911903,48.064431,7.070227,84.899635,4.717611
0.020000,161.663761,101.976762,64.876662,48.237963,8.676583,80.317831,4.743396
0.020000,161.706164,101.008861,65.845492,48.441485,10.176078,74.974709,4.768869
0.020000,161.773357,100.037731,66.818944,48.672589,11.555227,68.957452,4.793986
0.020000,161.865212,99.063480,67.797514,48.928541,12.797601,62.118726,4.818710
0.020000,161.981576,98.086249,68.781650,49.206756,13.910740,55.656954,4.843005
0.020000,162.122271,97.106212,69.771734,49.504231,14.873747,48.150319,4.866843
0.020000,162.287090,96.123576,70.768097,49.818132,15.695059,41.065615,4.890198
0.020000,162.475800,95.138576,71.771011,50.145712,16.378994,34.196773,4.913049
0.020000,162.688136,94.151472,72.780694,50.484156,16.922190,27.159763,4.935379
0.020000,162.903949,93.244080,73.713398,46.635187,-192.448429,-10468.530912,4.959414
0.020000,163.124818,92.428257,74.558590,42.259604,-218.779176,-1316.537354,4.994396
0.020000,163.371058,91.631766,75.392276,41.684280,-28.766179,9500.649851,5.030263
0.020000,163.642914,90.853560,76.216600,41.216233,-23.402351,268.191385,5.066850
0.020000,163.940783,90.092281,77.034079,40.873948,-17.114231,314.405998,5.103963
0.020000,164.265228,89.346326,77.847537,40.672868,-10.054030,353.010048,5.141386
0.020000,164.616990,88.613923,78.660033,40.624826,-2.402075,382.597757,5.178882
0.020000,164.996969,87.893217,79.474773,40.737001,5.608721,400.539813,5.216206
0.020000,165.405733,87.183123,80.294116,40.967119,11.505904,294.859157,5.253069
0.020000,165.843092,86.483683,81.119039,41.246185,13.953293,122.369417,5.289136
0.020000,166.308306,85.795364,81.949826,41.539342,14.657884,35.229539,5.324084
0.020000,166.800144,85.118825,82.786253,41.821329,14.099351,-27.926648,5.357625
0.020000,167.316810,84.454952,83.627485,42.061598,12.013447,-104.295181,5.389522
0.020000,167.855898,83.804871,84.472009,42.226235,8.231821,-189.081290,5.419588
0.020000,168.415046,83.169192,85.318611,42.330087,5.192621,-151.959996,5.447721
0.020000,168.992412,82.547676,86.166923,42.415598,4.275538,-45.854139,5.473903
0.020000,169.586230,81.939928,87.016615,42.484601,3.450170,-41.268408,5.498162
0.020000,170.194606,81.345648,87.867080,42.523264,1.933122,-75.852417,5.520544
0.020000,170.815569,80.764592,88.717504,42.521171,-0.104644,-101.888273,5.541110
0.020000,171.447102,80.196547,89.566921,42.470870,-2.515037,-120.519653,5.559937
0.020000,172.087188,79.641307,90.414271,42.367490,-5.169025,-132.699427,5.577104
0.020000,172.733839,79.098668,91.258435,42.208225,-7.963231,-139.710302,5.592698
0.020000,173.385115,78.568420,92.098271,41.991793,-10.821623,-142.919587,5.606807
0.020000,174.039151,78.050346,92.932635,41.718194,-13.679952,-142.916475,5.619519
0.020000,174.694160,77.544223,93.760402,41.388323,-16.493530,-140.678856,5.630920
0.020000,175.348449,77.049830,94.580474,41.003635,-19.234410,-137.044020,5.641095
0.020000,176.000420,76.566946,95.391797,40.566116,-21.875924,-132.075695,5.650125
0.020000,176.648572,76.095359,96.193354,40.077850,-24.413321,-126.869875,5.658088
0.020000,177.291498,75.634871,96.984178,39.541214,-26.831796,-120.923747,5.665058
0.020000,177.927886,75.185300,97.763347,38.958452,-29.138088,-115.314577,5.671107
0.020000,178.556515,74.746482,98.529986,38.331935,-31.325837,-109.387454,5.676302
0.020000,179.176247,74.318280,99.283262,37.663827,-33.405406,-103.978478,5.680706
0.020000,179.786028,73.900578,100.022388,36.956298,-35.376486,-98.553954,5.684381
0.020000,180.384878,73.493292,100.746615,36.211320,-37.248880,-93.619719,5.687383
0.020000,180.971890,73.096362,101.455231,35.430797,-39.026138,-88.862880,5.689768
0.020000,181.546223,72.709759,102.147560,34.616476,-40.716045,-84.495366,5.691588
0.020000,182.107099,72.333484,102.822960,33.769998,-42.323909,-80.393200,5.692892
0.020000,182.653799,71.967565,103.480818,32.892887,-43.855583,-76.583715,5.693727
0.020000,183.185655,71.612058,104.120549,31.986559,-45.316384,-73.040047,5.694139
0.020000,183.702053,71.267048,104.741596,31.052342,-46.710822,-69.721912,5.694169
0.020000,184.202424,70.932641,105.343425,30.091479,-48.043181,-66.617946,5.693859
0.020000,184.686244,70.608973,105.925528,29.105140,-49.316953,-63.688581,5.693249
0.020000,185.153031,70.296197,106.487417,28.094433,-50.535323,-60.918529,5.692376
0.020000,185.602340,69.994487,107.028625,27.060426,-51.700369,-58.252300,5.691275
0.020000,186.033762,69.704038,107.548708,26.004122,-52.815199,-55.741500,5.689981
0.020000,186.446922,69.425055,108.047239,24.926538,-53.879182,-53.199143,5.688526
0.020000,186.841478,69.157761,108.523811,23.828607,-54.896539,-50.867821,5.686943
0.020000,187.217117,68.902385,108.978037,22.711295,-55.865646,-48.455353,5.685260
0.020000,187.573553,68.659167,109.409548,21.575555,-56.786959,-46.065652,5.683507
0.020000,187.910527,68.428350,109.817993,20.422282,-57.663680,-43.836077,5.681709
0.020000,188.227805,68.210181,110.203042,19.252437,-58.492246,-41.428260,5.679893
0.020000,188.525174,68.004906,110.564382,18.066976,-59.273029,-39.039150,5.678083
0.020000,188.802444,67.812769,110.901718,16.866822,-60.007695,-36.733323,5.676301
0.020000,189.059446,67.634007,111.214777,15.652929,-60.694657,-34.348115,5.674568
0.020000,189.296027,67.468851,111.503302,14.426274,-61.332757,-31.904998,5.672904
0.020000,189.512054,67.317523,111.767059,13.187842,-61.921587,-29.441488,5.671328
0.020000,189.707408,67.180232,112.005831,11.938624,-62.460891,-26.965197,5.669855
0.020000,189.881987,67.057172,112.219424,10.679605,-62.950995,-24.505197,5.668500
0.020000,190.035701,66.948522,112.407660,9.411801,-63.390183,-21.959414,5.667278
0.020000,190.168476,66.854444,112.570385,8.136295,-63.775279,-19.254765,5.666201
0.020000,190.280247,66.775080,112.707467,6.854085,-64.110526,-16.762377,5.665277
0.020000,190.370962,66.710553,112.818791,5.566183,-64.395089,-14.228150,5.664517
0.020000,190.440579,66.660961,112.904265,4.273711,-64.623593,-11.425173,5.663927
0.020000,190.490316,66.625493,112.965353,3.054411,-60.965001,182.929571,5.663502
0.020000,190.523165,66.602050,113.005710,2.017821,-51.829522,456.773958,5.663220
0.020000,190.542644,66.588143,113.029643,1.196681,-41.057006,538.625774,5.663052
0.020000,190.552273,66.581266,113.041477,0.591682,-30.249939,540.353392,5.662969
0.020000,190.555582,66.578903,113.045542,0.203279,-19.420153,541.489263,5.662940
0.020000,190.556097,66.578535,113.046175,0.031628,-8.582550,541.880193,5.662936
0.020000,190.556097,66.578535,113.046175,0.000000,-1.581390,350.058000,5.662936
