dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,205.003087,164.000000,0.001970,0.196970,9.848485,492.424242,3.141355
0.020000,205.002652,164.000000,0.002404,0.021732,-8.761906,-930.519554,3.141389
0.020000,205.001673,164.000000,0.003384,0.048962,1.361539,506.172267,3.141464
0.020000,204.998618,164.000000,0.006439,0.152749,5.189343,191.390201,3.141598
0.020000,204.946636,163.999994,0.058420,2.599084,122.316757,5856.370689,3.141809
0.020000,204.871758,163.999967,0.133299,3.743927,57.242113,-3253.732213,3.142114
0.020000,204.771873,163.999894,0.233184,4.994254,62.516394,263.714077,3.142525
0.020000,204.646942,163.999745,0.358115,6.246547,62.614634,4.911982,3.143044
0.020000,204.496914,163.999480,0.508142,7.501381,62.741711,6.353881,3.143676
0.020000,204.321730,163.999050,0.683327,8.759220,62.891954,7.512129,3.144424
0.020000,204.121318,163.998395,0.883740,10.020667,63.072335,9.019027,3.145295
0.020000,203.895598,163.997447,1.109462,11.286100,63.271659,9.966235,3.146295
0.020000,203.644477,163.996124,1.360587,12.556251,63.507550,11.794547,3.147430
0.020000,203.367852,163.994333,1.637218,13.831530,63.763919,12.818447,3.148709
0.020000,203.065610,163.991967,1.939469,15.112534,64.050230,14.315528,3.150141
0.020000,202.737628,163.988903,2.267465,16.399821,64.364316,15.704335,3.151735
0.020000,202.383767,163.985002,2.621347,17.694128,64.715369,17.552622,3.153503
0.020000,202.003882,163.980109,3.001264,18.995842,65.085710,18.517067,3.155454
0.020000,201.597811,163.974045,3.407381,20.305823,65.499040,20.666476,3.157603
0.020000,201.165383,163.966614,3.839872,21.624556,65.936647,21.880345,3.159963
0.020000,200.706416,163.957591,4.298928,22.952805,66.412440,23.789678,3.162547
0.020000,200.220710,163.946729,4.784756,24.291387,66.929092,25.832603,3.165373
0.020000,199.708057,163.933749,5.297573,25.640849,67.473106,27.200670,3.168457
0.020000,199.168231,163.918341,5.837618,27.002270,68.071069,29.898171,3.171817
0.020000,198.600999,163.900160,6.405141,28.376169,68.694957,31.194410,3.175473
0.020000,198.006108,163.878821,7.000415,29.763690,69.376045,34.054395,3.179445
0.020000,197.383294,163.853899,7.623727,31.165609,70.095954,35.995439,3.183756
0.020000,196.732279,163.824919,8.275387,32.582986,70.868842,38.644388,3.188429
0.020000,196.052770,163.791357,8.955725,34.016893,71.695359,41.325873,3.193490
0.020000,195.344461,163.752632,9.665091,35.468321,72.571390,43.801538,3.198966
0.020000,194.607031,163.708100,10.403865,36.938667,73.517309,47.295943,3.204885
0.020000,193.840151,163.657050,11.172443,38.428892,74.511214,49.695260,3.211280
0.020000,193.043474,163.598697,11.971254,39.940567,75.583787,53.628668,3.218181
0.020000,192.216648,163.532170,12.800752,41.474888,76.716051,56.613200,3.225625
0.020000,191.359313,163.456513,13.661419,43.033345,77.922819,60.338389,3.233649
0.020000,190.471099,163.370668,14.553771,44.617616,79.213542,64.536162,3.242292
0.020000,189.551640,163.273469,15.478354,46.229150,80.576702,68.157987,3.251595
0.020000,188.600572,163.163635,16.435743,47.869427,82.013856,71.857686,3.261605
0.020000,187.617542,163.039755,17.426547,49.540236,83.540469,76.330635,3.272366
0.020000,186.602212,162.900275,18.451413,51.243291,85.152764,80.614769,3.283930
0.020000,185.554276,162.743496,19.511012,52.979964,86.833646,84.044098,3.296347
0.020000,184.473465,162.567550,20.606051,54.751926,88.598109,88.223134,3.309672
0.020000,183.359567,162.370396,21.737262,56.560554,90.431385,91.663819,3.323962
0.020000,182.212449,162.149808,22.905396,58.406709,92.307729,93.817220,3.339274
0.020000,181.032072,161.903363,24.111226,60.291490,94.239048,96.565929,3.355667
0.020000,179.818526,161.628433,25.355525,62.214967,96.173875,96.741353,3.373202
0.020000,178.572057,161.322181,26.639065,64.177002,98.101753,96.393912,3.391937
0.020000,177.293108,160.981563,27.962595,66.176471,99.973459,93.585313,3.411931
0.020000,175.982365,160.603328,29.326820,68.211261,101.739487,88.301396,3.433237
0.020000,174.640796,160.184038,30.732384,70.278220,103.347953,80.423258,3.455905
0.020000,173.269716,159.720088,32.179833,72.372449,104.711461,68.175430,3.479977
0.020000,171.870833,159.207744,33.669588,74.487736,105.764330,52.643447,3.505486
0.020000,170.446309,158.643199,35.201901,76.615633,106.394870,31.527000,3.532451
0.020000,168.998806,158.022633,36.776819,78.745916,106.514117,5.962344,3.560875
0.020000,167.531534,157.342304,38.394142,80.866153,106.011847,-25.113487,3.590744
0.020000,166.050598,156.599861,40.050763,82.831033,98.244002,-388.392259,3.621969
0.020000,164.564863,155.794861,41.740566,84.490155,82.956095,-764.395356,3.654384
0.020000,163.083434,154.927945,43.457008,85.822109,66.597700,-817.919742,3.687788
0.020000,161.615468,154.000944,45.193169,86.808067,49.297908,-864.989602,3.721951
0.020000,160.169946,153.016930,46.941831,87.433081,31.250730,-902.358907,3.756622
0.020000,158.755436,151.980211,48.695577,87.687293,12.710586,-927.007178,3.791533
0.020000,157.377800,150.894572,50.449571,87.699689,0.619773,-604.540679,3.826462
0.020000,156.040308,149.762807,52.201648,87.603864,-4.791232,-270.550249,3.861244
0.020000,154.745761,148.588078,53.949744,87.404822,-9.952111,-258.043925,3.895720
0.020000,153.496454,147.373826,55.691920,87.108773,-14.802439,-242.516416,3.929740
0.020000,152.294129,146.123660,57.426423,86.725163,-19.180515,-218.903818,3.963169
0.020000,151.139975,144.841257,59.151713,86.264506,-23.032827,-192.615591,3.995890
0.020000,150.034651,143.530274,60.866478,85.738245,-26.313065,-164.011899,4.027801
0.020000,148.978314,142.194256,62.569649,85.158567,-28.983905,-133.542009,4.058819
0.020000,147.970683,140.836587,64.260385,84.536760,-31.090314,-105.320450,4.088881
0.020000,147.011079,139.460421,65.938084,83.884964,-32.589825,-74.975520,4.117939
0.020000,146.098510,138.068667,67.602343,83.212971,-33.599643,-50.490921,4.145963
0.020000,145.231723,136.663966,69.252950,82.530359,-34.130587,-26.547174,4.172937
0.020000,144.463803,135.350905,70.774078,76.056395,-323.698192,-14478.380248,4.193269
0.020000,143.696484,133.974425,72.349983,78.795250,136.942750,23032.047085,4.214494
0.020000,142.955627,132.575529,73.932949,79.148273,17.651120,-5964.581498,4.236263
0.020000,142.242662,131.154443,75.522855,79.495312,17.351942,-14.958928,4.258566
0.020000,141.559041,129.711508,77.119539,79.834192,16.944008,-20.396693,4.281391
0.020000,140.906228,128.247188,78.722785,80.162308,16.405788,-26.910979,4.304720
0.020000,140.285685,126.762081,80.332325,80.476988,15.734031,-33.587856,4.328534
