dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.212913,54.171818,0.001970,0.196970,9.848485,492.424242,2.353959
0.020000,189.212184,54.172550,0.003003,0.051662,-7.265392,-855.693856,2.354039
0.020000,189.210543,54.174198,0.005328,0.116263,3.230060,524.772596,2.354218
0.020000,189.207624,54.177127,0.009464,0.206772,4.525423,64.768163,2.354536
0.020000,189.203058,54.181706,0.015929,0.323290,5.825911,65.024426,2.355033
0.020000,189.196474,54.188301,0.025249,0.465986,7.134797,65.444278,2.355750
0.020000,189.151832,54.232924,0.088369,3.155973,134.499350,6368.227636,2.356708
0.020000,189.057127,54.327418,0.222153,6.689228,176.662748,2108.169903,2.357908
0.020000,188.943272,54.440720,0.382777,8.031204,67.098818,-5478.196468,2.359353
0.020000,188.810211,54.572720,0.570205,9.371407,67.010174,-4.432204,2.361046
0.020000,188.657772,54.723393,0.784542,10.716809,67.270052,12.993898,2.362991
0.020000,188.485776,54.892694,1.025883,12.067067,67.512901,12.142453,2.365191
0.020000,188.294103,55.080488,1.294220,13.416870,67.490191,-1.135537,2.367651
0.020000,188.082515,55.286720,1.589688,14.773395,67.826236,16.802280,2.370376
0.020000,187.850853,55.511229,1.912289,16.130047,67.832604,0.318403,2.373372
0.020000,187.598934,55.753844,2.262039,17.487503,67.872813,2.010454,2.376643
0.020000,187.326370,56.014555,2.639215,18.858769,68.563293,34.523963,2.380198
0.020000,187.033043,56.293055,3.043694,20.223949,68.258994,-15.214937,2.384043
0.020000,186.718510,56.589309,3.475779,21.604274,69.016231,37.861844,2.388188
0.020000,186.382515,56.903064,3.935491,22.985576,69.065096,2.443279,2.392640
0.020000,186.024718,57.234103,4.422938,24.372395,69.340970,13.793682,2.397409
0.020000,185.644741,57.582200,4.938258,25.765954,69.677929,16.847934,2.402504
0.020000,185.242187,57.947102,5.481584,27.166301,70.017379,16.972504,2.407938
0.020000,184.816525,58.328624,6.053201,28.580893,70.729566,35.609358,2.413723
0.020000,184.367451,58.726326,6.653063,29.993091,70.609928,-5.981907,2.419869
0.020000,183.894327,59.140008,7.281537,31.423674,71.529161,45.961681,2.426392
0.020000,183.396740,59.569216,7.938662,32.856249,71.628714,4.977641,2.433305
0.020000,182.874085,60.013602,8.624699,34.301879,72.281511,32.639831,2.440624
0.020000,182.325746,60.472756,9.339890,35.759536,72.882848,30.066847,2.448366
0.020000,181.751100,60.946208,10.084454,37.228178,73.432110,27.463102,2.456548
0.020000,181.149512,61.433422,10.858589,38.706758,73.929002,24.844612,2.465188
0.020000,180.520294,61.933829,11.662531,40.197100,74.517083,29.404069,2.474305
0.020000,179.862616,62.446889,12.496659,41.706426,75.466313,47.461479,2.483922
0.020000,179.175770,62.971874,13.361163,43.225182,75.937799,23.574284,2.494058
0.020000,178.458935,63.508057,14.256342,44.758963,76.689050,37.562582,2.504737
0.020000,177.711235,64.054649,15.182526,46.309197,77.511727,41.133813,2.515982
