dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.413506,46.986763,0.001970,0.196970,9.848485,492.424242,0.045130
0.020000,17.413874,46.986780,0.002338,0.018400,-8.928463,-938.847388,0.045102
0.020000,17.414701,46.986817,0.003165,0.041378,1.148862,503.866249,0.045038
0.020000,17.416169,46.986883,0.004635,0.073481,1.605148,22.814292,0.044925
0.020000,17.438664,46.987892,0.027152,1.125880,52.619982,2550.741683,0.044749
0.020000,17.512791,46.991202,0.101354,3.710058,129.208874,3829.444611,0.044496
0.020000,17.611613,46.995585,0.200272,4.945929,61.793572,-3370.765072,0.044159
0.020000,17.735115,47.001016,0.323894,6.181114,61.759223,-1.717444,0.043741
0.020000,17.883284,47.007464,0.472203,7.415449,61.716773,-2.122518,0.043241
0.020000,18.056099,47.014892,0.645178,8.648731,61.664077,-2.634808,0.042663
0.020000,18.253538,47.023255,0.842794,9.880810,61.603974,-3.005152,0.042007
0.020000,18.475576,47.032506,1.065024,11.111504,61.534693,-3.464053,0.041276
0.020000,18.722183,47.042592,1.311838,12.340660,61.457803,-3.844502,0.040472
0.020000,18.993327,47.053453,1.583199,13.568080,61.370990,-4.340664,0.039598
0.020000,19.288973,47.065026,1.879071,14.793601,61.276042,-4.747401,0.038657
0.020000,19.609081,47.077245,2.199412,16.017066,61.173266,-5.138792,0.037652
0.020000,19.953609,47.090039,2.544178,17.238279,61.060658,-5.630360,0.036586
0.020000,20.322511,47.103334,2.913320,18.457093,60.940704,-5.997710,0.035463
0.020000,20.715739,47.117053,3.306787,19.673329,60.811782,-6.446091,0.034288
0.020000,21.133238,47.131117,3.724523,20.886799,60.673523,-6.912984,0.033063
0.020000,21.574953,47.145445,4.166470,22.097368,60.528455,-7.253404,0.031794
0.020000,22.040824,47.159956,4.632567,23.304840,60.373572,-7.744146,0.030486
0.020000,22.530787,47.174567,5.122748,24.509060,60.211017,-8.127727,0.029144
0.020000,23.044776,47.189196,5.636945,25.709851,60.039551,-8.573328,0.027772
0.020000,23.582720,47.203762,6.175086,26.907056,59.860259,-8.964588,0.026376
0.020000,24.144545,47.218185,6.737096,28.100498,59.672088,-9.408563,0.024963
0.020000,24.730173,47.232387,7.322896,29.290025,59.476344,-9.787199,0.023538
0.020000,25.339523,47.246294,7.932405,30.475449,59.271201,-10.257117,0.022107
0.020000,25.972511,47.259834,8.565538,31.656632,59.059128,-10.603668,0.020677
0.020000,26.629048,47.272941,9.222206,32.833394,58.838143,-11.049256,0.019255
0.020000,27.309043,47.285554,9.902317,34.005572,58.608866,-11.463856,0.017848
0.020000,28.012400,47.297617,10.605778,35.173012,58.371999,-11.843326,0.016463
0.020000,28.739020,47.309083,11.332488,36.335534,58.126087,-12.295590,0.015108
0.020000,29.488801,47.319912,12.082348,37.492988,57.872704,-12.669173,0.013790
0.020000,30.261639,47.330073,12.855253,38.645222,57.611727,-13.048868,0.012517
0.020000,31.057424,47.339543,13.651093,39.792046,57.341198,-13.526417,0.011299
0.020000,31.876043,47.348313,14.469760,40.933324,57.063876,-13.866095,0.010143
0.020000,32.717382,47.356383,15.311137,42.068874,56.777500,-14.318834,0.009058
0.020000,33.581321,47.363766,16.175108,43.198544,56.483514,-14.699282,0.008053
0.020000,34.467739,47.370490,17.061551,44.322160,56.180821,-15.134650,0.007138
0.020000,35.376510,47.376597,17.970343,45.439566,55.870296,-15.526226,0.006322
0.020000,36.307505,47.382143,18.901354,46.550583,55.550814,-15.974119,0.005614
0.020000,37.260592,47.387203,19.854456,47.655054,55.223592,-16.361112,0.005026
0.020000,38.235637,47.391868,20.829511,48.752797,54.887123,-16.823463,0.004567
0.020000,39.232500,47.396249,21.826384,49.843643,54.542284,-17.241948,0.004248
0.020000,40.251040,47.400478,22.844933,50.927416,54.188671,-17.680617,0.004080
0.020000,41.291110,47.404704,23.885011,52.003934,53.825917,-18.137697,0.004074
0.020000,42.352561,47.409102,24.946472,53.073016,53.454074,-18.592169,0.004242
0.020000,43.435240,47.413869,26.029161,54.134473,53.072838,-19.061813,0.004594
0.020000,44.538990,47.419225,27.132923,55.188119,52.682301,-19.526818,0.005144
