dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,316.398584,118.779727,0.001970,0.196970,9.848485,492.424242,4.712050
0.020000,316.398584,118.780833,0.003075,0.055283,-7.084356,-846.642066,4.712135
0.020000,316.398585,118.783315,0.005558,0.124134,3.442560,526.345832,4.712326
0.020000,316.398588,118.762088,0.026785,1.061338,46.860219,2170.882919,4.712664
0.020000,316.398610,118.719671,0.069202,2.120883,52.977237,305.850921,4.713189
0.020000,316.398682,118.658494,0.130379,3.058838,46.897733,-303.975203,4.713937
0.020000,316.398849,118.576750,0.212123,4.087202,51.418199,226.023321,4.714922
0.020000,316.399171,118.474290,0.314584,5.123037,51.791765,18.678294,4.716131
0.020000,316.399721,118.350927,0.437948,6.168215,52.258915,23.357475,4.717551
0.020000,316.400584,118.206439,0.582439,7.224547,52.816590,27.883780,4.719164
0.020000,316.401856,118.040566,0.748317,8.293872,53.466242,32.482563,4.720949
0.020000,316.403645,117.853014,0.935877,9.378002,54.206528,37.014331,4.722885
0.020000,316.406062,117.643454,1.145451,10.478698,55.034782,41.412707,4.724946
0.020000,316.409228,117.411521,1.377405,11.597733,55.951773,45.849530,4.727103
0.020000,316.413262,117.156816,1.632143,12.736869,56.956764,50.249564,4.729326
0.020000,316.418287,116.878905,1.910099,13.897801,58.046594,54.491483,4.731581
0.020000,316.424421,116.577323,2.211744,15.082258,59.222869,58.813750,4.733832
0.020000,316.431773,116.251567,2.537582,16.291911,60.482662,62.989666,4.736041
0.020000,316.440443,115.901105,2.888151,17.528458,61.827343,67.234023,4.738165
0.020000,316.450515,115.525369,3.264022,18.793551,63.254642,71.364945,4.740161
0.020000,316.462048,115.123757,3.665800,20.088881,64.766491,75.592491,4.741982
0.020000,316.475076,114.695633,4.094123,21.416143,66.363135,79.832180,4.743580
0.020000,316.489597,114.240323,4.549663,22.777037,68.044692,84.077851,4.744902
0.020000,316.505570,113.757121,5.033130,24.173327,69.814488,88.489815,4.745894
0.020000,316.522900,113.245277,5.545267,25.606828,71.675026,93.026871,4.746499
0.020000,316.541434,112.704006,6.086855,27.079417,73.629454,97.721416,4.746656
0.020000,316.560950,112.132478,6.658716,28.593073,75.682836,102.669088,4.746303
0.020000,316.581144,111.529819,7.261714,30.149886,77.840640,107.890192,4.745373
0.020000,316.601618,110.895107,7.896756,31.752074,80.109373,113.436663,4.743797
0.020000,316.621865,110.227374,8.564796,33.402007,82.496676,119.365147,4.741500
0.020000,316.641254,109.525597,9.266840,35.102219,85.010588,125.695591,4.738405
0.020000,316.659010,108.788703,10.003948,36.855399,87.659005,132.420873,4.734432
0.020000,316.674195,108.015564,10.777237,38.664437,90.451891,139.644280,4.729494
0.020000,316.685686,107.204998,11.587884,40.532342,93.395250,147.167958,4.723500
0.020000,316.692150,106.355777,12.437129,42.462289,96.497347,155.104875,4.716355
0.020000,316.692011,105.466628,13.326279,44.457460,99.758544,163.059833,4.707959
0.020000,316.683427,104.536246,14.256700,46.521087,103.181346,171.140102,4.698206
