dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,303.398585,118.784139,0.001970,0.196970,9.848485,492.424242,4.712050
0.020000,303.398585,118.784139,0.009848,0.590909,19.696970,492.424242,4.712135
0.020000,303.398585,118.784139,0.027576,1.181818,29.545455,492.424242,4.712326
0.020000,303.398588,118.758516,0.059091,1.969697,39.393939,492.424242,4.712664
0.020000,303.398615,118.709273,0.108333,2.954545,49.242424,492.424242,4.713189
0.020000,303.398698,118.638364,0.179242,4.136364,59.090909,492.424242,4.713937
0.020000,303.398891,118.543819,0.273788,5.318182,59.090909,-0.000000,4.714922
0.020000,303.399262,118.425638,0.391970,6.500000,59.090909,-0.000000,4.716131
0.020000,303.399894,118.283821,0.533788,7.681818,59.090909,0.000000,4.717551
0.020000,303.400882,118.118369,0.699242,8.863636,59.090909,0.000000,4.719164
0.020000,303.402333,117.929284,0.888333,10.045455,59.090909,-0.000000,4.720949
0.020000,303.404361,117.716566,1.101061,11.227273,59.090909,0.000000,4.722885
0.020000,303.407087,117.480219,1.337424,12.409091,59.090909,0.000000,4.724946
0.020000,303.410635,117.220243,1.597424,13.590909,59.090909,-0.000000,4.727103
0.020000,303.415127,116.936642,1.881061,14.772727,59.090909,-0.000000,4.729326
0.020000,303.420681,116.629420,2.188333,15.954545,59.090909,0.000000,4.731581
0.020000,303.427409,116.298579,2.519242,17.136364,59.090909,-0.000000,4.733832
0.020000,303.435409,115.944124,2.873788,18.318182,59.090909,0.000000,4.736041
0.020000,303.444762,115.566058,3.251970,19.500000,59.090909,0.000000,4.738165
0.020000,303.455528,115.164384,3.653788,20.681818,59.090909,-0.000000,4.740161
0.020000,303.467740,114.739105,4.079242,21.863636,59.090909,0.000000,4.741982
0.020000,303.481399,114.290222,4.528333,23.045455,59.090909,0.000000,4.743580
0.020000,303.496468,113.817735,5.001061,24.227273,59.090909,-0.000000,4.744902
0.020000,303.512866,113.321642,5.497424,25.409091,59.090909,0.000000,4.745894
0.020000,303.530461,112.801940,6.017424,26.590909,59.090909,0.000000,4.746499
0.020000,303.549066,112.258622,6.561061,27.772727,59.090909,-0.000000,4.746656
0.020000,303.568426,111.691679,7.128333,28.954545,59.090909,0.000000,4.746303
0.020000,303.588216,111.101102,7.719242,30.136364,59.090909,-0.000000,4.745373
0.020000,303.608030,110.486876,8.333788,31.318182,59.090909,0.000000,4.743797
0.020000,303.627373,109.848987,8.971970,32.500000,59.090909,-0.000000,4.741500
0.020000,303.645653,109.187422,9.633788,33.681818,59.090909,0.000000,4.738405
0.020000,303.662168,108.502167,10.319242,34.863636,59.090909,0.000000,4.734432
0.020000,303.676096,107.793213,11.028333,36.045455,59.090909,-0.000000,4.729494
0.020000,303.686489,107.060561,11.761061,37.227273,59.090909,0.000000,4.723500
0.020000,303.692252,106.304221,12.517424,38.409091,59.090909,0.000000,4.716355
0.020000,303.692139,105.524223,13.297424,39.590909,59.090909,-0.000000,4.707959
0.020000,303.684735,104.720624,14.101061,40.772727,59.090909,0.000000,4.698206
0.020000,303.668445,103.893516,14.928333,41.954545,59.090909,0.000000,4.686986
0.020000,303.641479,103.043040,15.779242,43.136364,59.090909,0.000000,4.674186
0.020000,303.601842,102.169401,16.653788,44.318182,59.090909,-0.000000,4.659687
