dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,13.000000,0.001989,0.198906,9.945302,497.265084,0.000000
0.020000,0.000000,13.000000,0.001989,0.000000,-9.945302,-994.530168,0.000000
0.020000,0.000000,13.000000,0.001989,0.000000,0.000000,497.265084,0.000000
0.020000,0.009672,13.000000,0.011661,0.483591,24.179525,1208.976263,0.000000
0.020000,0.059398,13.000000,0.061387,2.486325,100.136746,3797.861026,0.000000
0.020000,0.131004,13.000000,0.132994,3.580309,54.699159,-2271.879326,0.000000
0.020000,0.226479,13.000000,0.228468,4.773745,59.671810,248.632542,0.000000
0.020000,0.345823,13.000000,0.347812,5.967181,59.671810,0.000000,0.000000
0.020000,0.489035,13.000000,0.491024,7.160617,59.671810,-0.000000,0.000000
0.020000,0.656116,13.000000,0.658105,8.354053,59.671810,0.000000,0.000000
0.020000,0.847066,13.000000,0.849055,9.547490,59.671810,0.000000,0.000000
0.020000,1.061885,13.000000,1.063874,10.740926,59.671810,-0.000000,0.000000
0.020000,1.300572,13.000000,1.302561,11.934362,59.671810,-0.000000,0.000000
0.020000,1.563128,13.000000,1.565117,13.127798,59.671810,0.000000,0.000000
0.020000,1.849553,13.000000,1.851542,14.321234,59.671810,0.000000,0.000000
0.020000,2.159846,13.000000,2.161835,15.514671,59.671810,-0.000000,0.000000
0.020000,2.494008,13.000000,2.495997,16.708107,59.671810,0.000000,0.000000
0.020000,2.852039,13.000000,2.854028,17.901543,59.671810,-0.000000,0.000000
0.020000,3.233939,13.000000,3.235928,19.094979,59.671810,0.000000,0.000000
0.020000,3.639707,13.000000,3.641696,20.288415,59.671810,-0.000000,0.000000
0.020000,4.069344,13.000000,4.071333,21.481852,59.671810,0.000000,0.000000
0.020000,4.522850,13.000000,4.524839,22.675288,59.671810,-0.000000,0.000000
0.020000,5.000224,13.000000,5.002213,23.868724,59.671810,0.000000,0.000000
0.020000,5.501467,13.000000,5.503456,25.062160,59.671810,-0.000000,0.000000
0.020000,6.026579,13.000000,6.028568,26.255596,59.671810,0.000000,0.000000
0.020000,6.575560,13.000000,6.577549,27.449033,59.671810,0.000000,0.000000
0.020000,7.148409,13.000000,7.150398,28.642469,59.671810,-0.000000,0.000000
