dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.007700,0.769990,38.499504,1924.975218,0.000000
0.020000,0.000000,0.000000,0.038500,2.309970,76.999009,1924.975218,0.000000
0.020000,0.000000,0.000000,0.100099,3.849950,76.999009,0.000000,0.000000
0.020000,0.012498,0.000000,0.192498,5.389931,76.999009,0.000000,0.000000
0.020000,0.135696,0.000000,0.315696,6.929911,76.999009,-0.000000,0.000000
0.020000,0.289694,0.000000,0.469694,8.469891,76.999009,0.000000,0.000000
0.020000,0.474492,0.000000,0.654492,10.009871,76.999009,-0.000000,0.000000
0.020000,0.690089,0.000000,0.870089,11.549851,76.999009,0.000000,0.000000
0.020000,0.936486,0.000000,1.116486,13.089831,76.999009,0.000000,0.000000
0.020000,1.213682,0.000000,1.393682,14.629812,76.999009,-0.000000,0.000000
0.020000,1.521678,0.000000,1.701678,16.169792,76.999009,0.000000,0.000000
0.020000,1.860474,0.000000,2.040474,17.709772,76.999009,-0.000000,0.000000
0.020000,2.230069,0.000000,2.410069,19.249752,76.999009,0.000000,0.000000
0.020000,2.630464,0.000000,2.810464,20.789732,76.999009,-0.000000,0.000000
0.020000,3.061658,0.000000,3.241658,22.329713,76.999009,0.000000,0.000000
0.020000,3.523652,0.000000,3.703652,23.869693,76.999009,-0.000000,0.000000
0.020000,4.016446,0.000000,4.196446,25.409673,76.999009,0.000000,0.000000
0.020000,4.540039,0.000000,4.720039,26.949653,76.999009,0.000000,0.000000
0.020000,5.094432,0.000000,5.274432,28.489633,76.999009,0.000000,0.000000
0.020000,5.679625,0.000000,5.859625,30.029613,76.999009,-0.000000,0.000000
0.020000,6.295617,0.000000,6.475617,31.569594,76.999009,0.000000,0.000000
0.020000,6.942408,0.000000,7.122408,33.109574,76.999009,-0.000000,0.000000
0.020000,7.620000,0.000000,7.800000,34.649554,76.999009,0.000000,0.000000
0.020000,8.328390,0.000000,8.508390,36.189534,76.999009,0.000000,0.000000
0.020000,9.067581,0.000000,9.247581,37.729514,76.999009,-0.000000,0.000000
0.020000,9.837571,0.000000,10.017571,39.269494,76.999009,0.000000,0.000000
0.020000,10.638361,0.000000,10.818361,40.809475,76.999009,-0.000000,0.000000
0.020000,11.469950,0.000000,11.649950,42.349455,76.999009,0.000000,0.000000
0.020000,12.332339,0.000000,12.512339,43.889435,76.999009,0.000000,0.000000
0.020000,13.225527,0.000000,13.405527,45.429415,76.999009,-0.000000,0.000000
0.020000,14.149516,0.000000,14.329516,46.969395,76.999009,0.000000,0.000000
0.020000,15.104303,0.000000,15.284303,48.509375,76.999009,0.000000,0.000000
