dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,109.579503,100.771084,0.001970,0.196970,9.848485,492.424242,0.001510
0.020000,109.577731,100.771081,0.003742,0.088602,-5.418364,-763.342425,0.001373
0.020000,109.573743,100.771076,0.007730,0.199412,5.540457,547.941051,0.001067
0.020000,109.566649,100.771071,0.014824,0.354701,7.764486,111.201453,0.000521
0.020000,109.574748,100.771066,0.022923,0.404938,2.511813,-262.633677,6.282852
0.020000,109.629637,100.771014,0.077812,2.744465,116.976354,5723.227069,6.281621
0.020000,109.702768,100.770840,0.150943,3.656546,45.604075,-3568.613958,6.279973
0.020000,109.794075,100.770452,0.242251,4.565399,45.442642,-8.071651,6.277905
0.020000,109.903456,100.769738,0.351635,5.469187,45.189394,-12.662399,6.275412
0.020000,110.030858,100.768562,0.479042,6.370371,45.059228,-6.508289,6.272484
0.020000,110.176146,100.766763,0.624341,7.264937,44.728274,-16.547741,6.269116
0.020000,110.339217,100.764157,0.787433,8.154606,44.483470,-12.240199,6.265297
0.020000,110.519895,100.760539,0.968147,9.035702,44.054807,-21.433142,6.261017
0.020000,110.718037,100.755675,1.166349,9.910103,43.720011,-16.739769,6.256263
0.020000,110.933460,100.749311,1.381866,10.775844,43.287046,-21.648258,6.251023
0.020000,111.165934,100.741165,1.614482,11.630823,42.748960,-26.904310,6.245281
0.020000,111.415260,100.730930,1.864019,12.476819,42.299830,-22.456518,6.239021
0.020000,111.681158,100.718277,2.130217,13.309924,41.655227,-32.230150,6.232226
0.020000,111.963374,100.702846,2.412855,14.131876,41.097628,-27.879922,6.224875
0.020000,112.261570,100.684257,2.711630,14.938739,40.343138,-37.724502,6.216949
0.020000,112.575428,100.662098,3.026269,15.731974,39.661722,-34.070827,6.208425
0.020000,112.904574,100.635937,3.356453,16.509191,38.860848,-40.043693,6.199278
0.020000,113.248613,100.605311,3.701852,17.269962,38.038545,-41.115157,6.189484
0.020000,113.607108,100.569734,4.062108,18.012809,37.142393,-44.807585,6.179014
0.020000,113.979587,100.528696,4.436841,18.736649,36.191972,-47.521043,6.167841
0.020000,114.365571,100.481657,4.825681,19.441979,35.266506,-46.273318,6.155933
0.020000,114.764499,100.428057,5.228194,20.125667,34.184388,-54.105898,6.143260
0.020000,115.175817,100.367310,5.643973,20.788960,33.164684,-50.985183,6.129788
0.020000,115.598905,100.298810,6.072571,21.429867,32.045353,-55.966570,6.115485
0.020000,116.033134,100.221924,6.513554,22.049184,30.965815,-53.976875,6.100316
0.020000,116.477829,100.136003,6.966473,22.645939,29.837757,-56.402932,6.084248
0.020000,116.932305,100.040372,7.430902,23.221440,28.775060,-53.134841,6.067246
0.020000,117.395846,99.934340,7.906416,23.775702,27.713086,-53.098700,6.049279
0.020000,117.867731,99.817191,8.392624,24.310416,26.735688,-48.869903,6.030316
0.020000,118.347225,99.688192,8.889168,24.827191,25.838751,-44.846857,6.010332
0.020000,118.833628,99.546577,9.395767,25.329941,25.137506,-35.062223,5.989301
0.020000,119.326227,99.391562,9.912181,25.820697,24.537797,-29.985440,5.967208
