dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,196.000000,29.000000,0.001977,0.197673,9.883674,494.183699,2.638387
0.020000,196.000000,29.000000,0.009884,0.593020,19.767348,494.183699,2.638428
0.020000,196.000000,29.000000,0.027674,1.186041,29.651022,494.183699,2.638519
0.020000,196.000000,29.000000,0.059302,1.976735,39.534696,494.183699,2.638681
0.020000,195.968437,29.017356,0.108720,2.965102,49.418370,494.183699,2.638933
0.020000,195.906071,29.051628,0.179883,4.151143,59.302044,494.183699,2.639293
0.020000,195.822897,29.097289,0.274766,5.337184,59.302044,-0.000000,2.639769
0.020000,195.718899,29.154310,0.393370,6.523225,59.302044,0.000000,2.640356
0.020000,195.594058,29.222655,0.535695,7.709266,59.302044,-0.000000,2.641049
0.020000,195.448351,29.302283,0.701741,8.895307,59.302044,0.000000,2.641843
0.020000,195.281751,29.393146,0.891507,10.081347,59.302044,0.000000,2.642731
0.020000,195.094232,29.495192,1.104995,11.267388,59.302044,0.000000,2.643705
0.020000,194.885763,29.608365,1.342203,12.453429,59.302044,0.000000,2.644756
0.020000,194.656311,29.732608,1.603132,13.639470,59.302044,-0.000000,2.645875
0.020000,194.405845,29.867857,1.887782,14.825511,59.302044,0.000000,2.647050
0.020000,194.134332,30.014052,2.196152,16.011552,59.302044,0.000000,2.648272
0.020000,193.841738,30.171130,2.528244,17.197593,59.302044,0.000000,2.649526
0.020000,193.528032,30.339031,2.884056,18.383634,59.302044,-0.000000,2.650800
0.020000,193.193183,30.517698,3.263589,19.569674,59.302044,0.000000,2.652081
0.020000,192.837165,30.707076,3.666843,20.755715,59.302044,0.000000,2.653353
0.020000,192.459951,30.907120,4.093818,21.941756,59.302044,0.000000,2.654600
0.020000,192.061523,31.117788,4.544513,23.127797,59.302044,-0.000000,2.655806
0.020000,191.641863,31.339051,5.018930,24.313838,59.302044,0.000000,2.656953
0.020000,191.200963,31.570886,5.517067,25.499879,59.302044,-0.000000,2.658024
0.020000,190.738819,31.813289,6.038925,26.685920,59.302044,0.000000,2.658999
0.020000,190.255437,32.066266,6.584504,27.871961,59.302044,-0.000000,2.659858
0.020000,189.750828,32.329843,7.153803,29.058002,59.302044,0.000000,2.660581
0.020000,189.225017,32.604062,7.746824,30.244042,59.302044,0.000000,2.661145
0.020000,188.678039,32.888991,8.363565,31.430083,59.302044,-0.000000,2.661529
0.020000,188.109939,33.184717,9.004027,32.616124,59.302044,0.000000,2.661709
0.020000,187.520778,33.491358,9.668210,33.802165,59.302044,0.000000,2.661659
0.020000,186.910631,33.809056,10.356114,34.988206,59.302044,0.000000,2.661355
0.020000,186.279590,34.137990,11.067738,36.174247,59.302044,-0.000000,2.660769
0.020000,185.627766,34.478371,11.803083,37.360288,59.302044,0.000000,2.659873
0.020000,184.955291,34.830447,12.562150,38.546329,59.302044,0.000000,2.658637
0.020000,184.262316,35.194509,13.344937,39.732369,59.302044,-0.000000,2.657031
0.020000,183.549020,35.570892,14.151444,40.918410,59.302044,0.000000,2.655021
0.020000,182.815610,35.959980,14.981673,42.104451,59.302044,0.000000,2.652574
0.020000,182.062322,36.362206,15.835622,43.290492,59.302044,-0.000000,2.649652
0.020000,181.289426,36.778063,16.713293,44.476533,59.302044,0.000000,2.646217
0.020000,180.497231,37.208099,17.614684,45.662574,59.302044,-0.000000,2.642228
0.020000,179.686087,37.652933,18.539796,46.848615,59.302044,0.000000,2.637642
0.020000,178.856393,38.113247,19.488628,48.034656,59.302044,-0.000000,2.632412
0.020000,178.008600,38.589801,20.461182,49.220696,59.302044,0.000000,2.626489
0.020000,177.143217,39.083433,21.457456,50.406737,59.302044,-0.000000,2.619822
0.020000,176.260824,39.595065,22.477451,51.592778,59.302044,0.000000,2.612353
0.020000,175.362071,40.125708,23.521167,52.778819,59.302044,-0.000000,2.604022
0.020000,174.447698,40.676467,24.588604,53.964860,59.302044,-0.000000,2.594768
0.020000,173.518538,41.248548,25.679762,55.150901,59.302044,0.000000,2.584520
0.020000,172.575533,41.843260,26.794640,56.336942,59.302044,0.000000,2.573208
0.020000,171.619747,42.462021,27.933239,57.522983,59.302044,-0.000000,2.560755
0.020000,170.652381,43.106358,29.095559,58.709023,59.302044,0.000000,2.547081
0.020000,169.674792,43.777913,30.281600,59.895064,59.302044,0.000000,2.532102
0.020000,168.690111,44.477281,31.489385,60.883432,49.418370,-494.183699,2.515756
0.020000,167.703163,45.203866,32.714961,61.674126,39.534696,-494.183699,2.498021
0.020000,166.718786,45.956925,33.954374,62.267146,29.651022,-494.183699,2.478884
0.020000,165.741806,46.735513,35.203670,62.662493,19.767348,-494.183699,2.458355
0.020000,164.777004,47.538436,36.458897,62.860167,9.883674,-494.183699,2.436462
0.020000,163.829971,48.363394,37.714881,62.738295,-6.093561,-798.861730,2.413279
0.020000,162.906080,49.207654,38.966452,62.418751,-15.977235,-494.183699,2.388912
0.020000,162.009536,50.068862,40.209655,61.901532,-25.860909,-494.183699,2.363474
0.020000,161.144268,50.944243,41.440536,61.186641,-35.744583,-494.183699,2.337103
0.020000,160.313859,51.830584,42.655143,60.274076,-45.628257,-494.183699,2.309967
0.020000,159.521495,52.724232,43.849523,59.163837,-55.511931,-494.183699,2.282256
0.020000,158.769131,53.622048,45.020939,57.977796,-59.302044,-189.505669,2.254154
0.020000,158.057129,54.522143,46.168634,56.791755,-59.302044,0.000000,2.225807
0.020000,157.385168,55.423087,47.292609,55.605714,-59.302044,-0.000000,2.197345
0.020000,156.752754,56.323380,48.392863,54.419674,-59.302044,0.000000,2.168900
0.020000,156.159223,57.221469,49.469396,53.233633,-59.302044,0.000000,2.140598
0.020000,155.603746,58.115777,50.522208,52.047592,-59.302044,-0.000000,2.112560
0.020000,155.085345,59.004719,51.551300,50.861551,-59.302044,0.000000,2.084899
0.020000,154.602899,59.886735,52.556670,49.675510,-59.302044,0.000000,2.057719
0.020000,154.155170,60.760300,53.538320,48.489469,-59.302044,-0.000000,2.031113
0.020000,153.740815,61.623948,54.496249,47.303428,-59.302044,0.000000,2.005159
0.020000,153.358410,62.476276,55.430457,46.117387,-59.302044,-0.000000,1.979928
0.020000,153.006468,63.315966,56.340945,44.931347,-59.302044,0.000000,1.955474
0.020000,152.683457,64.141787,57.227711,43.745306,-59.302044,-0.000000,1.931842
0.020000,152.387821,64.952604,58.090757,42.559265,-59.302044,0.000000,1.909063
0.020000,152.118000,65.747353,58.930082,41.373224,-59.302044,-0.000000,1.887162
0.020000,151.872433,66.525099,59.745686,40.187183,-59.302044,0.000000,1.866150
0.020000,151.649590,67.284958,60.537569,39.001142,-59.302044,0.000000,1.846033
0.020000,151.447959,68.026173,61.305731,37.815101,-59.302044,0.000000,1.826809
0.020000,151.266077,68.748053,62.050173,36.629060,-59.302044,-0.000000,1.808471
0.020000,151.102532,69.449956,62.770894,35.443020,-59.302044,0.000000,1.791006
0.020000,150.955954,70.131366,63.467894,34.256979,-59.302044,0.000000,1.774398
0.020000,150.825040,70.791778,64.141173,33.070938,-59.302044,-0.000000,1.758627
0.020000,150.708539,71.430796,64.790731,31.884897,-59.302044,0.000000,1.743672
0.020000,150.605265,72.048055,65.416569,30.698856,-59.302044,0.000000,1.729511
0.020000,150.514098,72.643218,66.018686,29.512815,-59.302044,0.000000,1.716118
0.020000,150.433971,73.216032,66.597081,28.326774,-59.302044,0.000000,1.703471
0.020000,150.363884,73.766268,67.151757,27.140733,-59.302044,-0.000000,1.691543
0.020000,150.302900,74.293696,67.682711,25.954692,-59.302044,-0.000000,1.680311
0.020000,150.250132,74.798174,68.189944,24.768652,-59.302044,0.000000,1.669751
0.020000,150.204754,75.279561,68.673457,23.582611,-59.302044,-0.000000,1.659839
0.020000,150.166000,75.737705,69.133249,22.396570,-59.302044,0.000000,1.650554
0.020000,150.133148,76.172534,69.569320,21.210529,-59.302044,-0.000000,1.641874
0.020000,150.105533,76.583968,69.981670,20.024488,-59.302044,0.000000,1.633778
0.020000,150.082537,76.971902,70.370299,18.838447,-59.302044,0.000000,1.626248
0.020000,150.063587,77.336318,70.735208,17.652406,-59.302044,-0.000000,1.619264
0.020000,150.048159,77.677156,71.076395,16.466365,-59.302044,0.000000,1.612811
0.020000,150.035767,77.994393,71.393862,15.280325,-59.302044,-0.000000,1.606873
0.020000,150.025972,78.287966,71.687608,14.094284,-59.302044,0.000000,1.601435
0.020000,150.018370,78.557884,71.957634,12.908243,-59.302044,-0.000000,1.596483
0.020000,150.012595,78.804128,72.203938,11.722202,-59.302044,0.000000,1.592006
0.020000,150.008322,79.026659,72.426522,10.536161,-59.302044,0.000000,1.587992
0.020000,150.005257,79.225497,72.625385,9.350120,-59.302044,-0.000000,1.584432
0.020000,150.003142,79.400626,72.800527,8.164079,-59.302044,0.000000,1.581317
0.020000,150.001752,79.552049,72.951948,6.978038,-59.302044,0.000000,1.578638
0.020000,150.000894,79.679738,73.079648,5.791998,-59.302044,-0.000000,1.576391
0.020000,150.000407,79.783718,73.183628,4.605957,-59.302044,0.000000,1.574567
0.020000,150.000161,79.863974,73.263886,3.419916,-59.302044,0.000000,1.573165
0.020000,150.000053,79.921739,73.321643,2.355746,-53.208483,304.678030,1.572158
0.020000,150.000014,79.960181,73.360093,1.489250,-43.324809,494.183699,1.571489
0.020000,150.000002,79.983284,73.383190,0.820427,-33.441135,494.183699,1.571087
0.020000,150.000000,79.994988,73.394887,0.349278,-23.557461,494.183699,1.570883
0.020000,150.000000,79.999241,73.399138,0.075802,-13.673787,494.183699,1.570810
0.020000,150.000000,80.000000,73.399896,0.000000,-3.790113,494.183699,1.570796
0.020000,150.000000,80.000000,73.399896,0.000000,0.000000,189.505669,1.570796
