Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 0.036327, 12.000020, 0.050000, 2.000000, 40.000000, 800.000000, 0.001078, 
50, 0.183613, 12.000502, 0.197287, 2.945732, 18.914641, -421.707182, 0.005471, 
50, 0.477314, 12.003406, 0.491002, 5.874299, 58.571344, 793.134060, 0.014328, 
50, 0.915669, 12.012628, 0.929454, 8.769050, 57.895023, -13.526412, 0.027790, 
50, 1.496005, 12.034043, 1.510184, 11.614607, 56.911126, -19.677940, 0.046062, 
50, 2.214715, 12.075537, 2.230092, 14.398142, 55.670702, -24.808487, 0.069402, 
50, 3.067297, 12.147036, 3.085667, 17.111505, 54.267270, -28.068633, 0.098101, 
50, 4.048480, 12.260545, 4.073393, 19.754530, 52.860491, -28.135580, 0.132453, 
50, 5.152511, 12.430184, 5.190381, 22.339753, 51.704470, -23.120421, 0.172698, 
50, 6.373662, 12.672286, 6.435300, 24.898387, 51.172674, -10.635930, 0.218946, 
50, 7.706962, 13.005567, 7.809623, 27.486460, 51.761465, 11.775834, 0.271072, 
50, 9.149038, 13.451436, 9.319054, 30.188622, 54.043237, 45.635441, 0.328602, 
50, 10.698816, 14.034355, 10.974835, 33.115610, 58.539756, 89.930379, 0.390599, 
50, 12.357681, 14.782025, 12.794407, 36.391435, 65.516505, 139.534970, 0.455608, 
50, 14.128826, 15.724923, 14.800899, 40.129856, 74.768418, 185.038256, 0.521703, 
50, 16.015982, 16.894767, 17.021235, 44.406706, 85.536991, 215.371473, 0.586642, 
50, 18.022220, 18.321864, 19.483267, 49.240637, 96.678618, 222.832524, 0.648107, 
50, 20.149783, 20.031991, 22.212929, 54.593238, 107.052029, 207.468237, 0.703939, 
50, 22.401410, 22.043797, 25.232397, 60.389363, 115.922501, 177.409433, 0.752292, 
50, 24.783009, 24.367484, 28.559789, 66.547841, 123.169565, 144.941282, 0.791659, 
50, 27.307055, 27.004791, 32.210295, 73.010126, 129.245687, 121.522433, 0.820772, 
50, 29.996283, 29.949640, 36.198288, 79.759854, 134.994562, 114.977506, 0.838435, 
50, 32.887608, 33.188508, 40.539949, 86.833222, 141.467358, 129.455913, 0.843296, 
50, 36.036552, 36.699375, 45.256096, 94.322936, 149.794293, 166.538710, 0.833616, 
50, 39.522423, 40.447775, 50.374865, 102.375386, 161.049000, 225.094134, 0.807039, 
50, 43.061926, 44.059930, 55.432111, 101.144922, -24.609279, -3713.165572, 0.802211, 
50, 46.445175, 47.649611, 60.364878, 98.655336, -49.791737, -503.649171, 0.824471, 
50, 50.034697, 51.558013, 65.671504, 106.132515, 149.543579, 3986.706334, 0.828086, 
50, 53.843001, 55.653186, 71.263785, 111.845634, 114.262388, -705.623820, 0.812057, 
50, 57.929555, 59.822476, 77.101842, 116.761132, 98.309956, -319.048650, 0.775525, 
50, 62.401538, 63.971715, 83.202237, 122.007896, 104.935288, 132.506648, 0.717086, 
50, 67.369818, 67.972164, 89.580904, 127.573348, 111.309043, 127.475101, 0.635382, 
50, 72.920199, 71.644075, 96.235951, 133.100945, 110.551936, -15.142151, 0.530541, 
50, 79.063034, 74.759933, 103.123840, 137.757765, 93.136402, -348.310675, 0.406179, 
50, 85.685652, 77.093332, 110.145507, 140.433348, 53.511656, -792.494924, 0.270591, 
50, 92.563502, 78.505096, 117.166753, 140.424922, -0.168529, -1073.603699, 0.135038, 
50, 99.447391, 78.997369, 124.068221, 138.029351, -47.911408, -954.857582, 0.009537, 
50, 104.960378, 79.000000, 129.581209, 110.259764, -555.391735, -10149.606541, 0.000000, 
50, 110.360378, 79.000000, 134.981209, 108.000000, -45.195289, 10203.928933, 0.000000, 
50, 115.760378, 79.000000, 140.381209, 108.000000, 0.000000, 903.905771, 0.000000, 
50, 121.160378, 79.000000, 145.781209, 108.000000, -0.000000, -0.000000, 0.000000, 
50, 126.560378, 79.000000, 151.181209, 108.000000, -0.000000, 0.000000, 0.000000, 
50, 131.960378, 79.000000, 156.581209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 137.360378, 79.000000, 161.981209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 142.760378, 79.000000, 167.381209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 148.160378, 79.000000, 172.781209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 153.560378, 79.000000, 178.181209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 158.960378, 79.000000, 183.581209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 164.360378, 79.000000, 188.981209, 108.000000, 0.000000, 0.000000, 0.000000, 
50, 169.757041, 79.000000, 194.377872, 107.933263, -1.334734, -26.694677, 0.000000, 
50, 175.097031, 79.000000, 199.717862, 106.799790, -22.669468, -426.694677, 0.000000, 
50, 180.283683, 79.000000, 204.904514, 103.733053, -61.334734, -773.305323, 0.000000, 
50, 185.270336, 79.000000, 209.891167, 99.733053, -80.000000, -373.305323, 0.000000, 
50, 190.056989, 79.000000, 214.677820, 95.733053, -80.000000, 0.000000, 0.000000, 
50, 194.643641, 79.000000, 219.264472, 91.733053, -80.000000, 0.000000, 0.000000, 
50, 199.030294, 79.000000, 223.651125, 87.733053, -80.000000, -0.000000, 0.000000, 
50, 203.216947, 79.000000, 227.837777, 83.733053, -80.000000, 0.000000, 0.000000, 
50, 207.203599, 79.000000, 231.824430, 79.733053, -80.000000, -0.000000, 0.000000, 
