Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 249.893638, 17.000035, 0.100000, 4.000000, 80.000000, 1600.000000, 3.140940, 
50, 249.567489, 17.000575, 0.426149, 6.522987, 50.459742, -590.805160, 3.138928, 
50, 249.023493, 17.002944, 0.970150, 10.880019, 87.140631, 733.617781, 3.135543, 
50, 248.261026, 17.009384, 1.732645, 15.249899, 87.397615, 5.139674, 3.130736, 
50, 247.279204, 17.023128, 2.714563, 19.638361, 87.769231, 7.432325, 3.124434, 
50, 246.076883, 17.048486, 3.917151, 24.051762, 88.268020, 9.975784, 3.116543, 
50, 244.652651, 17.090982, 5.342017, 28.497319, 88.911134, 12.862268, 3.106937, 
50, 243.004825, 17.157525, 6.991186, 32.983375, 89.721122, 16.199765, 3.095462, 
50, 241.131459, 17.256636, 8.867172, 37.519724, 90.726991, 20.117389, 3.081924, 
50, 239.030360, 17.398742, 10.973072, 42.117990, 91.965320, 24.766569, 3.066083, 
50, 236.699134, 17.596555, 13.312675, 46.792066, 93.481507, 30.323750, 3.047650, 
50, 234.135277, 17.865556, 15.890605, 51.558603, 95.330750, 36.984856, 3.026267, 
50, 231.336338, 18.224615, 18.712481, 56.437506, 97.578066, 44.946316, 3.001502, 
50, 228.300215, 18.696762, 21.785096, 61.452316, 100.296184, 54.362359, 2.972831, 
50, 225.025659, 19.310159, 25.116609, 66.630244, 103.558577, 65.247864, 2.939626, 
50, 221.513130, 20.099239, 28.716679, 72.001399, 107.423101, 77.290479, 2.901142, 
50, 217.766208, 21.105985, 32.596494, 77.596302, 111.898058, 89.499139, 2.856516, 
50, 213.793846, 22.381142, 36.768506, 83.440238, 116.878711, 99.613061, 2.804787, 
50, 209.613834, 23.984896, 41.245617, 89.542234, 122.039918, 103.224133, 2.744958, 
50, 205.257728, 25.986141, 46.039430, 95.876264, 126.680600, 92.813645, 2.676130, 
50, 200.777024, 28.458840, 51.157139, 102.354171, 129.558148, 57.550959, 2.597744, 
50, 196.249076, 31.473721, 56.596976, 108.796742, 128.851420, -14.134550, 2.509930, 
50, 191.779178, 35.084558, 62.343116, 114.922807, 122.521303, -126.602347, 2.413903, 
50, 187.493815, 39.311700, 68.362507, 120.387808, 109.300007, -264.425916, 2.312211, 
50, 183.522329, 44.130418, 74.606924, 124.888345, 90.010738, -385.785383, 2.208579, 
50, 179.971826, 49.472830, 81.021551, 128.292536, 68.083838, -438.537997, 2.107243, 
50, 176.907263, 55.245008, 87.556808, 130.705148, 48.252240, -396.631969, 2.012033, 
50, 174.346387, 61.350310, 94.177443, 132.412696, 34.150960, -282.025599, 1.925672, 
50, 172.268803, 67.707168, 100.865193, 133.754990, 26.845881, -146.101576, 1.849567, 
50, 170.630849, 74.256202, 107.615951, 135.015168, 25.203556, -32.846499, 1.784031, 
50, 169.396094, 80.849750, 114.324117, 134.163325, -17.036860, -844.808326, 1.729493, 
50, 168.505499, 87.361904, 120.896888, 131.455410, -54.158300, -742.428800, 1.685392, 
50, 167.884282, 93.789659, 127.354592, 129.154081, -46.026576, 162.634486, 1.650159, 
50, 167.471326, 100.135524, 133.713879, 127.185738, -39.366877, 133.193979, 1.622506, 
50, 167.216170, 106.404194, 139.987740, 125.477223, -34.170295, 103.931651, 1.601431, 
50, 167.077060, 112.552841, 146.137960, 123.004402, -49.456417, -305.722456, 1.586281, 
50, 167.016409, 118.485873, 152.071303, 118.666852, -86.750998, -745.891618, 1.576536, 
50, 166.999996, 124.157419, 157.742872, 113.431392, -104.709210, -359.164231, 1.571543, 
50, 166.999978, 129.575076, 163.160529, 108.353141, -101.565006, 62.884068, 1.570699, 
50, 167.000000, 134.779782, 168.365235, 104.094106, -85.180699, 327.686146, 1.570796, 
50, 167.000000, 139.786457, 173.371910, 100.133505, -79.212033, 119.373314, 1.570796, 
50, 167.000000, 144.593132, 178.178585, 96.133505, -80.000000, -15.759331, 1.570796, 
50, 167.000000, 149.199807, 182.785260, 92.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 153.606483, 187.191936, 88.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 157.813158, 191.398611, 84.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 161.819833, 195.405286, 80.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 165.626508, 199.211961, 76.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 169.233183, 202.818636, 72.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 172.639859, 206.225312, 68.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 175.846534, 209.431987, 64.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 178.853209, 212.438662, 60.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 181.659884, 215.245337, 56.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 184.266560, 217.852013, 52.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 186.673235, 220.258688, 48.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 188.879910, 222.465363, 44.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 190.886585, 224.472038, 40.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 192.693261, 226.278714, 36.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 194.299936, 227.885389, 32.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 195.706611, 229.292064, 28.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 196.913286, 230.498739, 24.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 197.919961, 231.505414, 20.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 198.726637, 232.312090, 16.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 199.333312, 232.918765, 12.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 199.739987, 233.325440, 8.133505, -80.000000, 0.000000, 1.570796, 
50, 167.000000, 199.946662, 233.532115, 4.133505, -80.000000, -0.000000, 1.570796, 
50, 167.000000, 200.000000, 233.585453, 1.066752, -61.335046, 373.299071, 1.570796, 
50, 167.000000, 200.000000, 233.585453, 0.000000, -21.335046, 800.000000, 1.570796, 
