Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 189.123905, 190.739115, 0.100000, 4.000000, 80.000000, 1600.000000, 3.927181, 
50, 188.917325, 190.532335, 0.392290, 5.845801, 36.916029, -861.679412, 3.927774, 
50, 188.573848, 190.187964, 0.878672, 9.727643, 77.636826, 814.415940, 3.928822, 
50, 188.094756, 189.706360, 1.557989, 13.586344, 77.174015, -9.256233, 3.930413, 
50, 187.481929, 189.087954, 2.428611, 17.412426, 76.521654, -13.047215, 3.932673, 
50, 186.737945, 188.333184, 3.488418, 21.196149, 75.674446, -16.944159, 3.935765, 
50, 185.866191, 187.442409, 4.734786, 24.927367, 74.624376, -21.001399, 3.939890, 
50, 184.871025, 186.415822, 6.164555, 28.595363, 73.359908, -25.289365, 3.945292, 
50, 183.757953, 185.253351, 7.773986, 32.188620, 71.865153, -29.895090, 3.952259, 
50, 182.533860, 183.954562, 9.558715, 35.694580, 70.119189, -34.919288, 3.961125, 
50, 181.207276, 182.518568, 11.513683, 39.099371, 68.095824, -40.467295, 3.972281, 
50, 179.788687, 180.943965, 13.633063, 42.387589, 65.764367, -46.629140, 3.986173, 
50, 178.290894, 179.228783, 15.910173, 45.542206, 63.092327, -53.440802, 4.003317, 
50, 176.729408, 177.370490, 18.337412, 48.544787, 60.051630, -60.813942, 4.024295, 
50, 175.122860, 175.366040, 20.906229, 51.376331, 56.630873, -68.415133, 4.049765, 
50, 173.493384, 173.211976, 23.607189, 54.019197, 52.857326, -75.470942, 4.080452, 
50, 171.866904, 170.904567, 26.430232, 56.460864, 48.833327, -80.479987, 4.117129, 
50, 170.273198, 168.439928, 29.365252, 58.700406, 44.790843, -80.849672, 4.160571, 
50, 168.745628, 165.813997, 32.403177, 60.758488, 41.161636, -72.584141, 4.211475, 
50, 167.320414, 163.022215, 35.537708, 62.690619, 38.642626, -50.380207, 4.270323, 
50, 166.035501, 160.058748, 38.767744, 64.600730, 38.202232, -8.807880, 4.337196, 
50, 164.929268, 156.915346, 42.100119, 66.647507, 40.935532, 54.666000, 4.411570, 
50, 164.039538, 153.580401, 45.551710, 69.031821, 47.686277, 135.014900, 4.492145, 
50, 163.403156, 150.039303, 49.149537, 71.956526, 58.494108, 216.156620, 4.576845, 
50, 163.055756, 146.277021, 52.927824, 75.565754, 72.184563, 273.809104, 4.663040, 
50, 163.013070, 141.994430, 57.210628, 85.656063, 201.806180, 2592.432345, 4.725788, 
50, 163.170024, 137.241348, 61.966301, 95.113460, 189.147930, -253.165007, 4.767632, 
50, 163.563437, 132.546494, 66.677609, 94.226173, -17.745736, -4137.873310, 4.828246, 
50, 164.274601, 128.043063, 71.236846, 91.184739, -60.828675, -861.658794, 4.915885, 
50, 165.374852, 123.941194, 75.483714, 84.937351, -124.947759, -1282.381680, 5.042831, 
50, 166.852771, 120.559781, 79.173998, 73.805689, -222.633251, -1953.709829, 5.220131, 
50, 168.620290, 118.051622, 82.242382, 61.367684, -248.760097, -522.536924, 5.445139, 
50, 170.750453, 116.200647, 85.064386, 56.440072, -98.552251, 3004.156918, 5.689054, 
50, 173.543468, 114.753894, 88.209863, 62.909546, 129.389488, 4558.834783, 5.908147, 
50, 177.152047, 113.706306, 91.967426, 75.151261, 244.834297, 2308.896184, 6.080287, 
50, 181.442201, 113.126623, 96.296566, 86.582793, 228.630650, -324.072938, 6.208587, 
50, 186.230714, 113.011087, 101.086473, 95.798136, 184.306855, -886.475912, 0.018316, 
50, 191.021146, 113.305125, 105.885921, 95.988962, 3.816509, -3609.806909, 0.110536, 
50, 195.312449, 114.038877, 110.239502, 87.071619, -178.346858, -3643.267350, 0.236961, 
50, 198.947104, 115.223520, 114.062341, 76.456781, -212.296745, -678.997743, 0.404093, 
50, 201.880458, 116.832510, 117.407997, 66.913124, -190.873139, 428.472132, 0.607825, 
50, 204.272973, 118.917628, 120.581614, 63.472333, -68.815823, 2441.146317, 0.824755, 
50, 206.321036, 121.654930, 124.000295, 68.373631, 98.025959, 3336.835641, 1.022886, 
50, 208.089697, 125.216620, 127.976953, 79.533145, 223.190275, 2503.286324, 1.178095, 
50, 210.379704, 130.749805, 133.965297, 119.766890, 804.674906, 11629.692615, 1.178992, 
50, 212.650772, 136.265326, 139.930087, 119.295803, -9.421744, -16281.932996, 1.181700, 
50, 214.892960, 141.767134, 145.871239, 118.823042, -9.455223, -0.669582, 1.186226, 
50, 217.096340, 147.258993, 151.788620, 118.347621, -9.508412, -1.063785, 1.192581, 
50, 219.250963, 152.744445, 157.682057, 117.868729, -9.577856, -1.388875, 1.200777, 
50, 221.339997, 158.208602, 163.531934, 116.997545, -17.423671, -156.916315, 1.210793, 
50, 223.320936, 163.563043, 169.241064, 114.182595, -56.298998, -777.506533, 1.222414, 
50, 225.163130, 168.736914, 174.733114, 109.841003, -86.831836, -610.656766, 1.235347, 
50, 226.865890, 173.731805, 180.010266, 105.543041, -85.959255, 17.451637, 1.249427, 
50, 228.429960, 178.548658, 185.074690, 101.288482, -85.091181, 17.361465, 1.264485, 
50, 229.857387, 183.187879, 189.928546, 97.077112, -84.227393, 17.275776, 1.280356, 
50, 231.151398, 187.649444, 194.573976, 92.908614, -83.369954, 17.148768, 1.296874, 
50, 232.316270, 191.933004, 199.013100, 88.782469, -82.522901, 16.941054, 1.313878, 
50, 233.357200, 196.037976, 203.247994, 84.697879, -81.691809, 16.621841, 1.331208, 
50, 234.280172, 199.963619, 207.280680, 80.653715, -80.883281, 16.170564, 1.348707, 
50, 235.091824, 203.709110, 211.113104, 76.648495, -80.104396, 15.577703, 1.366226, 
50, 235.799305, 207.273597, 214.747124, 72.680387, -79.362159, 14.844735, 1.383623, 
50, 236.410154, 210.656247, 218.184486, 68.747237, -78.663001, 13.983175, 1.400764, 
50, 236.932158, 213.856281, 221.426816, 64.846619, -78.012357, 13.012866, 1.417522, 
50, 237.373239, 216.873001, 224.475611, 60.975900, -77.414372, 11.959712, 1.433783, 
50, 237.741333, 219.705802, 227.332227, 57.132315, -76.871714, 10.853152, 1.449444, 
50, 238.044289, 222.354182, 229.997879, 53.313038, -76.385532, 9.723643, 1.464409, 
50, 238.289767, 224.817745, 232.473642, 49.515262, -75.955511, 8.600412, 1.478597, 
50, 238.485161, 227.096196, 234.760455, 45.736261, -75.580027, 7.509681, 1.491935, 
50, 238.637521, 229.189330, 236.859127, 41.973443, -75.256359, 6.473370, 1.504362, 
50, 238.753490, 231.097028, 238.770347, 38.224396, -74.980939, 5.508399, 1.515823, 
50, 238.839251, 232.819240, 240.494693, 34.486915, -74.749615, 4.626469, 1.526275, 
50, 238.900484, 234.355971, 242.032644, 30.759020, -74.557904, 3.834218, 1.535680, 
50, 238.942328, 235.707272, 243.384592, 27.038959, -74.401219, 3.133708, 1.544009, 
50, 238.969356, 236.873219, 244.550852, 23.325206, -74.275070, 2.522989, 1.551237, 
50, 238.985546, 237.853907, 245.531675, 19.616445, -74.175226, 1.996872, 1.557345, 
50, 238.994270, 238.649437, 246.327252, 15.911552, -74.097849, 1.547538, 1.562318, 
50, 238.998278, 239.259903, 246.937731, 12.209573, -74.039587, 1.165239, 1.566145, 
50, 238.999689, 239.685385, 247.363215, 8.509690, -73.997650, 0.838748, 1.568817, 
50, 238.999983, 239.925944, 247.603775, 4.811197, -73.969856, 0.555883, 1.570330, 
50, 239.000000, 240.000000, 247.677831, 1.481112, -66.601715, 147.362818, 1.570796, 
50, 239.000000, 240.000000, 247.677831, 0.000000, -29.622234, 739.589609, 1.570796, 
