Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 150.058763, 306.500000, 0.059613, 2.384517, 47.690346, 953.806926, 0.000000, 
50, 150.297215, 306.500000, 0.298065, 4.769035, 47.690346, -0.000000, 0.000000, 
50, 150.774118, 306.500000, 0.774968, 9.538069, 95.380693, 953.806926, 0.000000, 
50, 151.489473, 306.500000, 1.490323, 14.307104, 95.380693, -0.000000, 0.000000, 
50, 152.443280, 306.500000, 2.444130, 19.076139, 95.380693, 0.000000, 0.000000, 
50, 153.635539, 306.500000, 3.636389, 23.845173, 95.380693, -0.000000, 0.000000, 
50, 155.066249, 306.500000, 5.067099, 28.614208, 95.380693, 0.000000, 0.000000, 
50, 156.735411, 306.500000, 6.736261, 33.383242, 95.380693, 0.000000, 0.000000, 
50, 158.643025, 306.500000, 8.643875, 38.152277, 95.380693, -0.000000, 0.000000, 
50, 160.789091, 306.500000, 10.789941, 42.921312, 95.380693, -0.000000, 0.000000, 
50, 163.173608, 306.500000, 13.174458, 47.690346, 95.380693, -0.000000, 0.000000, 
50, 165.796577, 306.500000, 15.797427, 52.459381, 95.380693, 0.000000, 0.000000, 
50, 168.657998, 306.500000, 18.658848, 57.228416, 95.380693, 0.000000, 0.000000, 
50, 171.757871, 306.500000, 21.758721, 61.997450, 95.380693, -0.000000, 0.000000, 
50, 175.096195, 306.500000, 25.097045, 66.766485, 95.380693, 0.000000, 0.000000, 
50, 178.672971, 306.500000, 28.673821, 71.535519, 95.380693, -0.000000, 0.000000, 
50, 182.488198, 306.500000, 32.489048, 76.304554, 95.380693, 0.000000, 0.000000, 
50, 186.541878, 306.500000, 36.542728, 81.073589, 95.380693, -0.000000, 0.000000, 
50, 190.774396, 306.500000, 40.775246, 84.650365, 71.535519, -476.903463, 0.000000, 
50, 195.054836, 306.500000, 45.055686, 85.608797, 19.168655, -1047.337298, 0.000000, 
50, 199.252280, 306.500000, 49.253130, 83.948887, -33.198210, -1047.337298, 0.000000, 
50, 203.259195, 306.500000, 53.260045, 80.138285, -76.212038, -860.276554, 0.000000, 
50, 207.027657, 306.500000, 57.028507, 75.369250, -95.380693, -383.373091, 0.000000, 
50, 210.557668, 306.500000, 60.558518, 70.600216, -95.380693, 0.000000, 0.000000, 
50, 213.849227, 306.500000, 63.850077, 65.831181, -95.380693, 0.000000, 0.000000, 
50, 216.902334, 306.500000, 66.903184, 61.062146, -95.380693, -0.000000, 0.000000, 
50, 219.716990, 306.500000, 69.717840, 56.293112, -95.380693, 0.000000, 0.000000, 
50, 222.293194, 306.500000, 72.294044, 51.524077, -95.380693, 0.000000, 0.000000, 
50, 224.630946, 306.500000, 74.631796, 46.755043, -95.380693, -0.000000, 0.000000, 
50, 226.730246, 306.500000, 76.731096, 41.986008, -95.380693, 0.000000, 0.000000, 
50, 228.591095, 306.500000, 78.591945, 37.216973, -95.380693, 0.000000, 0.000000, 
50, 230.213492, 306.500000, 80.214342, 32.447939, -95.380693, -0.000000, 0.000000, 
50, 231.597437, 306.500000, 81.598287, 27.678904, -95.380693, 0.000000, 0.000000, 
50, 232.742930, 306.500000, 82.743780, 22.909869, -95.380693, 0.000000, 0.000000, 
50, 233.649972, 306.500000, 83.650822, 18.140835, -95.380693, -0.000000, 0.000000, 
50, 234.318562, 306.500000, 84.319412, 13.371800, -95.380693, 0.000000, 0.000000, 
50, 234.748701, 306.500000, 84.749551, 8.602766, -95.380693, -0.000000, 0.000000, 
50, 234.952078, 306.500000, 84.952928, 4.067557, -90.704174, 93.530372, 0.000000, 
50, 235.000000, 306.500000, 85.000850, 0.958433, -62.182482, 570.433835, 0.000000, 
50, 235.000000, 306.500000, 85.000850, 0.000000, -19.168655, 860.276554, 0.000000, 
