Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 379.941893, 279.500000, 0.059707, 2.388274, 47.765488, 955.309767, 3.141593, 
50, 379.703066, 279.500000, 0.298534, 4.776549, 47.765488, -0.000000, 3.141593, 
50, 379.225411, 279.500000, 0.776189, 9.553098, 95.530977, 955.309767, 3.141593, 
50, 378.508928, 279.500000, 1.492672, 14.329647, 95.530977, -0.000000, 3.141593, 
50, 377.553619, 279.500000, 2.447981, 19.106195, 95.530977, 0.000000, 3.141593, 
50, 376.359482, 279.500000, 3.642118, 23.882744, 95.530977, 0.000000, 3.141593, 
50, 374.926517, 279.500000, 5.075083, 28.659293, 95.530977, -0.000000, 3.141593, 
50, 373.254725, 279.500000, 6.746875, 33.435842, 95.530977, -0.000000, 3.141593, 
50, 371.344105, 279.500000, 8.657495, 38.212391, 95.530977, 0.000000, 3.141593, 
50, 369.194658, 279.500000, 10.806942, 42.988940, 95.530977, 0.000000, 3.141593, 
50, 366.806384, 279.500000, 13.195216, 47.765488, 95.530977, 0.000000, 3.141593, 
50, 364.179282, 279.500000, 15.822318, 52.542037, 95.530977, -0.000000, 3.141593, 
50, 361.313353, 279.500000, 18.688247, 57.318586, 95.530977, -0.000000, 3.141593, 
50, 358.208596, 279.500000, 21.793004, 62.095135, 95.530977, -0.000000, 3.141593, 
50, 354.865012, 279.500000, 25.136588, 66.871684, 95.530977, 0.000000, 3.141593, 
50, 351.282600, 279.500000, 28.719000, 71.648233, 95.530977, 0.000000, 3.141593, 
50, 347.461361, 279.500000, 32.540239, 76.424781, 95.530977, 0.000000, 3.141593, 
50, 343.401295, 279.500000, 36.600305, 81.201330, 95.530977, 0.000000, 3.141593, 
50, 339.102401, 279.500000, 40.899199, 85.977879, 95.530977, 0.000000, 3.141593, 
50, 334.564679, 279.500000, 45.436921, 90.754428, 95.530977, -0.000000, 3.141593, 
50, 329.788130, 279.500000, 50.213470, 95.530977, 95.530977, -0.000000, 3.141593, 
50, 324.772754, 279.500000, 55.228846, 100.307526, 95.530977, 0.000000, 3.141593, 
50, 319.518550, 279.500000, 60.483050, 105.084074, 95.530977, -0.000000, 3.141593, 
50, 314.025519, 279.500000, 65.976081, 109.860623, 95.530977, 0.000000, 3.141593, 
50, 308.293661, 279.500000, 71.707939, 114.637172, 95.530977, 0.000000, 3.141593, 
50, 302.382681, 279.500000, 77.618919, 118.219584, 71.648233, -477.654884, 3.141593, 
50, 296.424065, 279.500000, 83.577535, 119.172336, 19.055051, -1051.863628, 3.141593, 
50, 290.549293, 279.500000, 89.452307, 117.495430, -33.538130, -1051.863629, 3.141593, 
50, 284.865711, 279.500000, 95.135889, 113.671633, -76.475926, -858.755906, 3.141593, 
50, 279.420957, 279.500000, 100.580643, 108.895085, -95.530977, -381.101023, 3.141593, 
50, 274.215030, 279.500000, 105.786570, 104.118536, -95.530977, -0.000000, 3.141593, 
50, 269.247931, 279.500000, 110.753669, 99.341987, -95.530977, 0.000000, 3.141593, 
50, 264.519659, 279.500000, 115.481941, 94.565438, -95.530977, 0.000000, 3.141593, 
50, 260.030215, 279.500000, 119.971385, 89.788889, -95.530977, 0.000000, 3.141593, 
50, 255.779598, 279.500000, 124.222002, 85.012340, -95.530977, -0.000000, 3.141593, 
50, 251.767808, 279.500000, 128.233792, 80.235792, -95.530977, 0.000000, 3.141593, 
50, 247.994846, 279.500000, 132.006754, 75.459243, -95.530977, -0.000000, 3.141593, 
50, 244.460711, 279.500000, 135.540889, 70.682694, -95.530977, 0.000000, 3.141593, 
50, 241.165404, 279.500000, 138.836196, 65.906145, -95.530977, -0.000000, 3.141593, 
50, 238.108924, 279.500000, 141.892676, 61.129596, -95.530977, -0.000000, 3.141593, 
50, 235.291272, 279.500000, 144.710328, 56.353047, -95.530977, 0.000000, 3.141593, 
50, 232.712447, 279.500000, 147.289153, 51.576499, -95.530977, -0.000000, 3.141593, 
50, 230.372449, 279.500000, 149.629151, 46.799950, -95.530977, 0.000000, 3.141593, 
50, 228.271279, 279.500000, 151.730321, 42.023401, -95.530977, 0.000000, 3.141593, 
50, 226.408937, 279.500000, 153.592663, 37.246852, -95.530977, 0.000000, 3.141593, 
50, 224.785422, 279.500000, 155.216178, 32.470303, -95.530977, 0.000000, 3.141593, 
50, 223.400734, 279.500000, 156.600866, 27.693754, -95.530977, 0.000000, 3.141593, 
50, 222.254874, 279.500000, 157.746726, 22.917206, -95.530977, -0.000000, 3.141593, 
50, 221.347841, 279.500000, 158.653759, 18.140657, -95.530977, 0.000000, 3.141593, 
50, 220.679635, 279.500000, 159.321965, 13.364108, -95.530977, -0.000000, 3.141593, 
50, 220.250257, 279.500000, 159.751343, 8.587559, -95.530977, 0.000000, 3.141593, 
50, 220.047638, 279.500000, 159.953962, 4.052395, -90.703284, 96.553861, 3.141593, 
50, 220.000000, 279.500000, 160.001600, 0.952753, -61.992846, 574.208745, 3.141593, 
50, 220.000000, 279.500000, 160.001600, 0.000000, -19.055051, 858.755906, 3.141593, 
