Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 150.121129, 263.499986, 0.119107, 4.764286, 95.285714, 1905.714286, 6.282947, 
50, 150.488333, 263.499764, 0.486312, 7.344095, 51.596191, -873.790458, 6.282215, 
50, 151.100823, 263.498788, 1.098803, 12.249814, 98.114366, 930.363500, 6.280959, 
50, 151.959326, 263.496095, 1.957309, 17.170137, 98.406471, 5.842093, 6.279125, 
50, 153.064869, 263.490245, 3.062868, 22.111167, 98.820588, 8.282337, 6.276637, 
50, 154.418788, 263.479207, 4.416832, 27.079290, 99.362473, 10.837692, 6.273393, 
50, 156.022741, 263.460234, 6.020898, 32.081309, 100.040368, 13.557912, 6.269269, 
50, 157.878720, 263.429682, 7.877127, 37.124591, 100.865653, 16.505695, 6.264112, 
50, 159.989062, 263.382794, 9.987991, 42.217273, 101.853637, 19.759684, 6.257738, 
50, 162.356471, 263.313428, 12.356416, 47.368498, 103.024507, 23.417389, 6.249931, 
50, 164.984016, 263.213721, 14.985852, 52.588717, 104.404377, 27.597403, 6.240435, 
50, 167.875128, 263.073677, 17.880354, 57.890036, 106.026377, 32.440007, 6.228950, 
50, 171.033566, 262.880656, 21.044684, 63.286615, 107.931573, 38.103926, 6.215122, 
50, 174.463334, 262.618735, 24.484438, 68.795081, 110.169332, 44.755169, 6.198537, 
50, 178.168509, 262.267933, 28.206183, 74.434899, 112.796345, 52.540268, 6.178707, 
50, 182.152931, 261.803250, 32.217610, 80.228541, 115.872852, 61.530126, 6.155063, 
50, 186.419643, 261.193507, 36.527671, 86.201210, 119.453385, 71.610672, 6.126939, 
50, 190.969954, 260.400010, 41.146650, 92.379589, 123.567571, 82.283724, 6.093573, 
50, 195.801889, 259.375085, 46.086090, 98.788786, 128.183946, 92.327490, 6.054107, 
50, 200.907743, 258.060746, 51.358398, 105.446169, 133.147650, 99.274079, 6.007617, 
50, 206.270417, 256.387947, 56.975918, 112.350394, 138.084497, 98.736938, 5.953186, 
50, 211.708434, 254.339367, 62.787003, 116.221697, 77.426074, -1213.168459, 5.891813, 
50, 216.924427, 251.988050, 68.508478, 114.429498, -35.843983, -2265.401144, 5.826838, 
50, 221.777058, 249.405389, 74.005583, 109.942109, -89.747789, -1078.076117, 5.760838, 
50, 226.241606, 246.637610, 79.258467, 105.057680, -97.688578, -158.815783, 5.695287, 
50, 230.303728, 243.739643, 84.248361, 99.797887, -105.195847, -150.145379, 5.631578, 
50, 233.961121, 240.770314, 88.959352, 94.219814, -111.561472, -127.312497, 5.570892, 
50, 237.223099, 237.787532, 93.379475, 88.402464, -116.347000, -95.710555, 5.514116, 
50, 240.108498, 234.844495, 97.501003, 82.430563, -119.438011, -61.820224, 5.461822, 
50, 242.642715, 231.987406, 101.320062, 76.381181, -120.987649, -30.992748, 5.414296, 
50, 244.854690, 229.254642, 104.835860, 70.315960, -121.304411, -6.335245, 5.371595, 
50, 246.774365, 226.676995, 108.049801, 64.278820, -120.742815, 11.231913, 5.333613, 
50, 248.430814, 224.278529, 110.964670, 58.297373, -119.628921, 22.277875, 5.300144, 
50, 249.851053, 222.077692, 113.583976, 52.386128, -118.224907, 28.080285, 5.270926, 
50, 251.059377, 220.088417, 115.911477, 46.550019, -116.722172, 30.054699, 5.245680, 
50, 252.077076, 218.321118, 117.950854, 40.787529, -115.249810, 29.447250, 5.224133, 
50, 252.922395, 216.783506, 119.705509, 35.093096, -113.888655, 27.223099, 5.206032, 
50, 253.610629, 215.481243, 121.178450, 29.458832, -112.685282, 24.067464, 5.191154, 
50, 254.154284, 214.418437, 122.372233, 23.875650, -111.663646, 20.432721, 5.179309, 
50, 254.563243, 213.598018, 123.288931, 18.333959, -110.833812, 16.596668, 5.170344, 
50, 254.844941, 213.022008, 123.930133, 12.824054, -110.198099, 12.714271, 5.164141, 
50, 255.004488, 212.691709, 124.296948, 7.336296, -109.755165, 8.858683, 5.160617, 
50, 255.054235, 212.588112, 124.411870, 2.298430, -100.757314, 179.957003, 5.159516, 
50, 255.054235, 212.588112, 124.411870, 0.000000, -45.968608, 1095.774129, 5.159516, 
50, 255.054235, 212.588112, 124.411870, 0.000000, 0.000000, 919.372158, 5.159516, 
