Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 200.140669, 263.499862, 0.115219, 4.608778, 92.175568, 1843.511368, 6.281229, 
50, 200.567006, 263.497757, 0.541562, 8.526857, 78.361578, -276.279803, 6.275252, 
50, 201.280174, 263.488488, 1.254790, 14.264555, 114.753949, 727.847416, 6.265094, 
50, 202.284085, 263.463004, 2.259025, 20.084692, 116.402737, 32.975752, 6.250449, 
50, 203.584195, 263.407756, 3.560308, 26.025660, 118.819374, 48.332751, 6.230869, 
50, 205.187369, 263.303741, 5.166853, 32.130898, 122.104761, 65.707738, 6.205745, 
50, 207.101517, 263.125129, 7.089316, 38.449261, 126.367253, 85.249842, 6.174287, 
50, 209.334732, 262.837445, 9.340984, 45.033371, 131.682195, 106.298830, 6.135508, 
50, 211.893498, 262.395345, 11.937662, 51.933561, 138.003797, 126.432045, 6.088235, 
50, 214.779247, 261.740303, 14.896822, 59.183193, 144.992652, 139.777111, 6.031169, 
50, 217.982325, 260.799221, 18.235287, 66.769295, 151.722041, 134.587777, 5.963057, 
50, 221.472682, 259.486119, 21.964472, 74.583708, 156.288253, 91.324224, 5.883047, 
50, 225.188305, 257.710465, 26.082579, 82.362139, 155.568618, -14.392689, 5.791265, 
50, 229.026663, 255.395302, 30.565098, 89.650374, 145.764700, -196.078354, 5.689522, 
50, 232.849258, 252.502753, 35.358747, 95.872985, 124.452225, -426.249516, 5.581773, 
50, 236.507137, 249.053853, 40.386170, 100.548462, 93.509538, -618.853738, 5.473768, 
50, 239.879613, 245.125852, 45.563311, 103.542815, 59.887058, -672.449595, 5.371757, 
50, 242.767203, 241.037201, 50.568832, 100.110426, -68.647787, -2570.696892, 5.284956, 
50, 245.095433, 237.135767, 55.112162, 90.866596, -184.876597, -2324.576211, 5.217823, 
50, 246.980251, 233.510850, 59.197815, 81.713059, -183.070728, 36.117380, 5.167553, 
50, 248.532211, 230.180442, 62.872077, 73.485238, -164.556425, 370.286063, 5.130704, 
50, 249.831988, 227.145365, 66.173760, 66.033665, -149.031457, 310.499361, 5.104392, 
50, 250.936928, 224.399109, 69.133965, 59.204102, -136.591254, 248.804060, 5.086309, 
50, 251.887226, 221.932378, 71.777415, 52.869005, -126.701948, 197.786123, 5.074622, 
50, 252.710705, 219.735051, 74.123980, 46.931287, -118.754362, 158.951711, 5.067858, 
50, 253.426319, 217.796988, 76.189939, 41.319192, -112.241894, 130.249372, 5.064810, 
50, 254.046675, 216.108358, 77.988915, 35.979516, -106.793516, 108.967545, 5.064469, 
50, 254.579865, 214.659795, 79.532491, 30.871519, -102.159944, 92.671448, 5.065977, 
50, 255.030822, 213.442539, 80.830595, 25.962082, -98.188749, 79.423907, 5.068598, 
50, 255.402326, 212.448593, 81.891700, 21.222097, -94.799697, 67.781036, 5.071706, 
50, 255.695760, 211.670914, 82.722897, 16.623945, -91.963047, 56.733008, 5.074774, 
50, 255.911667, 211.103616, 83.329892, 12.139889, -89.681118, 45.638579, 5.077380, 
50, 256.050152, 210.742176, 83.716953, 7.741237, -87.973038, 34.161595, 5.079208, 
50, 256.111154, 210.583600, 83.886859, 3.398105, -86.862637, 22.208008, 5.080052, 
50, 256.122274, 210.554739, 83.917787, 0.618574, -55.590620, 625.440356, 5.080208, 
50, 256.122274, 210.554739, 83.917787, 0.000000, -12.371480, 864.382802, 5.080208, 
50, 256.122274, 210.554739, 83.917787, 0.000000, 0.000000, 247.429591, 5.080208, 
