Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 200.067900, 263.500125, 0.118674, 4.746945, 94.938891, 1898.777824, 0.003694, 
50, 200.271555, 263.502021, 0.322337, 4.073267, -13.473556, -2168.248948, 0.014979, 
50, 200.605547, 263.510209, 0.656429, 6.681846, 52.171576, 1312.902636, 0.034185, 
50, 201.061676, 263.532072, 1.113082, 9.133055, 49.024192, -62.947676, 0.061892, 
50, 201.628573, 263.577606, 1.681805, 11.374465, 44.828190, -83.920040, 0.098878, 
50, 202.292382, 263.659077, 2.350595, 13.375789, 40.026494, -96.033923, 0.146030, 
50, 203.038551, 263.790774, 3.108296, 15.154032, 35.564855, -89.232768, 0.204174, 
50, 203.855367, 263.989437, 3.948925, 16.812572, 33.170795, -47.881211, 0.273753, 
50, 204.739262, 264.276360, 4.878223, 18.585964, 35.467841, 45.940925, 0.354338, 
50, 205.700090, 264.682058, 5.921191, 20.859352, 45.467759, 199.998368, 0.444077, 
50, 206.762185, 265.252296, 7.126685, 24.109887, 65.010707, 390.858945, 0.539351, 
50, 207.957307, 266.050588, 8.563900, 28.744308, 92.688411, 553.554088, 0.635034, 
50, 209.311903, 267.151392, 10.309380, 34.909589, 123.305629, 612.344358, 0.725462, 
50, 210.838176, 268.624996, 12.430940, 42.431213, 150.432476, 542.536950, 0.805614, 
50, 212.536437, 270.523304, 14.978029, 50.941769, 170.211122, 395.572918, 0.871835, 
50, 214.406706, 272.874735, 17.982548, 60.090388, 182.972389, 255.225343, 0.921765, 
50, 216.462814, 275.688160, 21.467221, 69.693447, 192.061167, 181.775562, 0.953721, 
50, 218.745502, 278.960285, 25.456890, 79.793385, 201.998767, 198.751991, 0.965860, 
50, 221.336300, 282.680795, 29.990589, 90.673989, 217.612085, 312.266355, 0.955283, 
50, 224.376920, 286.829733, 35.134427, 102.876747, 244.055159, 528.861488, 0.917069, 
50, 228.097610, 291.355987, 40.993651, 117.184475, 286.154554, 841.987901, 0.843370, 
50, 232.841177, 296.109187, 47.708883, 134.304647, 342.403443, 1124.977776, 0.723645, 
50, 238.998832, 300.689261, 55.383111, 153.484564, 383.598334, 823.897826, 0.550045, 
50, 246.675705, 304.326437, 63.878017, 169.898127, 328.271252, -1106.541657, 0.332706, 
50, 255.277946, 306.245811, 72.691788, 176.275402, 127.545499, -4014.515058, 0.109209, 
50, 262.794235, 306.500000, 80.212374, 150.411727, -517.273499, -12896.379946, 0.000000, 
50, 269.083937, 306.500000, 86.502075, 125.794031, -492.353915, 498.391680, 0.000000, 
50, 275.610985, 306.500000, 93.029124, 130.540975, 94.938891, 11745.856117, 0.000000, 
50, 282.219123, 306.500000, 99.637262, 132.162761, 32.435716, -1250.063498, 0.000000, 
50, 288.671004, 306.500000, 106.089142, 129.037602, -62.503175, -1898.777824, 0.000000, 
50, 294.885536, 306.500000, 112.303675, 124.290658, -94.938891, -648.714326, 0.000000, 
50, 300.862722, 306.500000, 118.280861, 119.543713, -94.938891, -0.000000, 0.000000, 
50, 306.602561, 306.500000, 124.020699, 114.796769, -94.938891, 0.000000, 0.000000, 
50, 312.105052, 306.500000, 129.523191, 110.049824, -94.938891, 0.000000, 0.000000, 
50, 317.370196, 306.500000, 134.788335, 105.302880, -94.938891, 0.000000, 0.000000, 
50, 322.397993, 306.500000, 139.816131, 100.555935, -94.938891, 0.000000, 0.000000, 
50, 327.188442, 306.500000, 144.606581, 95.808991, -94.938891, -0.000000, 0.000000, 
50, 331.741544, 306.500000, 149.159683, 91.062046, -94.938891, -0.000000, 0.000000, 
50, 336.057299, 306.500000, 153.475438, 86.315101, -94.938891, 0.000000, 0.000000, 
50, 340.135707, 306.500000, 157.553846, 81.568157, -94.938891, 0.000000, 0.000000, 
50, 343.976768, 306.500000, 161.394907, 76.821212, -94.938891, 0.000000, 0.000000, 
50, 347.580481, 306.500000, 164.998620, 72.074268, -94.938891, 0.000000, 0.000000, 
50, 350.946847, 306.500000, 168.364986, 67.327323, -94.938891, 0.000000, 0.000000, 
50, 354.075866, 306.500000, 171.494005, 62.580379, -94.938891, -0.000000, 0.000000, 
50, 356.967538, 306.500000, 174.385677, 57.833434, -94.938891, 0.000000, 0.000000, 
50, 359.621863, 306.500000, 177.040001, 53.086490, -94.938891, -0.000000, 0.000000, 
50, 362.038840, 306.500000, 179.456979, 48.339545, -94.938891, 0.000000, 0.000000, 
50, 364.218470, 306.500000, 181.636609, 43.592600, -94.938891, -0.000000, 0.000000, 
50, 366.160753, 306.500000, 183.578891, 38.845656, -94.938891, 0.000000, 0.000000, 
50, 367.865688, 306.500000, 185.283827, 34.098711, -94.938891, 0.000000, 0.000000, 
50, 369.333276, 306.500000, 186.751415, 29.351767, -94.938891, -0.000000, 0.000000, 
50, 370.563518, 306.500000, 187.981656, 24.604822, -94.938891, 0.000000, 0.000000, 
50, 371.556411, 306.500000, 188.974550, 19.857878, -94.938891, -0.000000, 0.000000, 
50, 372.311958, 306.500000, 189.730097, 15.110933, -94.938891, 0.000000, 0.000000, 
50, 372.830158, 306.500000, 190.248296, 10.363988, -94.938891, -0.000000, 0.000000, 
50, 373.111010, 306.500000, 190.529149, 5.617044, -94.938891, 0.000000, 0.000000, 
50, 373.192099, 306.500000, 190.610238, 1.621786, -79.905162, 300.674586, 0.000000, 
50, 373.192099, 306.500000, 190.610238, 0.000000, -32.435716, 949.388912, 0.000000, 
50, 373.192099, 306.500000, 190.610238, 0.000000, 0.000000, 648.714326, 0.000000, 
