Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 379.893859, 279.499956, 0.119338, 4.773535, 95.470702, 1909.414048, 3.142429, 
50, 379.570232, 279.499273, 0.442966, 6.472549, 33.980283, -1229.808378, 3.144977, 
50, 379.030709, 279.496304, 0.982497, 10.790626, 86.361531, 1047.624950, 3.149211, 
50, 378.275078, 279.488315, 1.738170, 15.113463, 86.456741, 1.904197, 3.155114, 
50, 377.303056, 279.471498, 2.710338, 19.443349, 86.597720, 2.819590, 3.162660, 
50, 376.114300, 279.440998, 3.899485, 23.782943, 86.791873, 3.883054, 3.171814, 
50, 374.708423, 279.390944, 5.306253, 28.135356, 87.048275, 5.128046, 3.182527, 
50, 373.085011, 279.314499, 6.931464, 32.504221, 87.377285, 6.580189, 3.194738, 
50, 371.243642, 279.203916, 8.776150, 36.893721, 87.790009, 8.254492, 3.208371, 
50, 369.183909, 279.050622, 10.841580, 41.308602, 88.297626, 10.152322, 3.223333, 
50, 366.905433, 278.845317, 13.129286, 45.754131, 88.910565, 12.258789, 3.239509, 
50, 364.407888, 278.578093, 15.641087, 50.236010, 89.637592, 14.540549, 3.256764, 
50, 361.691006, 278.238587, 18.379100, 54.760253, 90.484864, 16.945426, 3.274943, 
50, 358.754585, 277.816154, 21.345750, 59.333006, 91.455055, 19.403819, 3.293865, 
50, 355.598485, 277.300070, 24.543767, 63.960341, 92.546704, 21.832994, 3.313327, 
50, 352.222601, 276.679757, 27.976169, 68.648037, 93.753904, 24.143987, 3.333107, 
50, 348.626827, 275.945037, 31.646237, 73.401360, 95.066460, 26.251132, 3.352962, 
50, 344.810994, 275.086402, 35.557481, 78.224890, 96.470602, 28.082827, 3.372631, 
50, 340.774778, 274.095298, 39.713601, 83.122401, 97.950220, 29.592362, 3.391841, 
50, 336.517580, 272.964417, 44.118443, 88.096829, 99.488563, 30.766863, 3.410307, 
50, 332.038381, 271.687997, 48.775960, 93.150339, 101.070204, 31.632814, 3.427737, 
50, 327.335564, 270.262124, 53.690184, 98.284492, 102.683061, 32.257140, 3.443831, 
50, 322.406704, 268.685030, 58.865209, 103.500504, 104.320239, 32.743575, 3.458287, 
50, 317.248345, 266.957402, 64.305188, 108.799578, 105.981484, 33.224898, 3.470798, 
50, 311.855750, 265.082709, 70.014352, 114.183282, 107.674083, 33.851972, 3.481049, 
50, 306.222651, 263.067550, 75.997049, 119.653938, 109.413115, 34.780641, 3.488719, 
50, 300.340999, 260.922057, 82.257799, 125.214985, 111.220946, 36.156626, 3.493473, 
50, 294.329603, 258.707908, 88.663994, 128.123901, 58.178323, -1060.852460, 3.494963, 
50, 288.405057, 256.526871, 94.977247, 126.265063, -37.176774, -1907.101939, 3.493166, 
50, 282.659843, 254.433388, 101.091996, 122.294990, -79.401459, -844.493715, 3.488394, 
50, 277.093168, 252.443407, 107.003670, 118.233468, -81.230444, -36.579687, 3.480984, 
50, 271.705521, 250.569437, 112.707924, 114.085078, -82.967797, -34.747073, 3.471258, 
50, 266.498629, 248.820835, 118.200585, 109.853233, -84.636893, -33.381908, 3.459525, 
50, 261.475382, 247.204060, 123.477608, 105.540458, -86.255511, -32.372364, 3.446084, 
50, 256.639700, 245.722901, 128.535044, 101.148707, -87.835002, -31.589817, 3.431230, 
50, 251.996371, 244.378689, 133.369028, 96.679698, -89.380184, -30.903649, 3.415247, 
50, 247.550865, 243.170502, 137.975789, 92.135206, -90.889838, -30.193073, 3.398415, 
50, 243.309127, 242.095390, 142.351655, 87.517322, -92.357678, -29.356809, 3.381007, 
50, 239.277372, 241.148603, 146.493087, 82.828638, -93.773692, -28.320275, 3.363285, 
50, 235.461877, 240.323842, 150.396704, 78.072353, -95.125689, -27.039935, 3.345499, 
50, 231.868800, 239.613527, 154.059320, 73.252308, -96.400899, -25.504204, 3.327886, 
50, 228.504014, 239.009076, 157.477967, 68.372936, -97.587448, -23.730980, 3.310665, 
50, 225.372980, 238.501190, 160.649925, 63.439158, -98.675558, -21.762203, 3.294038, 
50, 222.480656, 238.080135, 163.572736, 58.456239, -99.658377, -19.656380, 3.278187, 
50, 219.831430, 237.736018, 166.244217, 53.429620, -100.532391, -17.480276, 3.263273, 
50, 217.429108, 237.459038, 168.662455, 48.364748, -101.297440, -15.300974, 3.249440, 
50, 215.276907, 237.239727, 170.825801, 43.266928, -101.956398, -13.179157, 3.236807, 
50, 213.377491, 237.069149, 172.732861, 38.141197, -102.514615, -11.164342, 3.225479, 
50, 211.733015, 236.939083, 174.382473, 32.992236, -102.979220, -9.292111, 3.215542, 
50, 210.345178, 236.842167, 175.773689, 27.824317, -103.358375, -7.583101, 3.207066, 
50, 209.215289, 236.772026, 176.905753, 22.641289, -103.660558, -6.043654, 3.200107, 
50, 208.344318, 236.723360, 177.778083, 17.446593, -103.893920, -4.667244, 3.194707, 
50, 207.732955, 236.692024, 178.390248, 12.243306, -104.065754, -3.436672, 3.190900, 
50, 207.381654, 236.675074, 178.741958, 7.034202, -104.182065, -2.326220, 3.188705, 
50, 207.271062, 236.669899, 178.852671, 2.214251, -96.399026, 155.660773, 3.188013, 
50, 207.271062, 236.669899, 178.852671, 0.000000, -44.285022, 1042.280084, 3.188013, 
50, 207.271062, 236.669899, 178.852671, 0.000000, 0.000000, 885.700440, 3.188013, 
