dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.210962,54.173777,0.001736,0.173647,8.682326,434.116318,2.354172
0.020000,189.210464,54.174276,0.002442,0.035278,-6.918445,-780.038556,2.354226
0.020000,189.209344,54.175401,0.004030,0.079387,2.205450,456.194752,2.354348
0.020000,189.207351,54.177401,0.006853,0.141173,3.089304,44.192672,2.354565
0.020000,189.204359,54.180402,0.011090,0.211857,3.534228,22.246222,2.354891
0.020000,189.200366,54.184404,0.016744,0.282660,3.540123,0.294751,2.355326
0.020000,189.195368,54.189407,0.023816,0.353619,3.547988,0.393218,2.355870
0.020000,189.159631,54.225135,0.074349,2.526646,108.651318,5255.166522,2.356524
0.020000,189.083765,54.300893,0.181564,5.360741,141.704737,1652.670955,2.357288
0.020000,188.997058,54.387335,0.303999,6.121750,38.050464,-5182.713674,2.358163
0.020000,188.899282,54.484631,0.441935,6.896840,38.754501,35.201857,2.359151
0.020000,188.790616,54.592536,0.595075,7.656985,38.007273,-37.361394,2.360251
0.020000,188.670788,54.711252,0.763754,8.433922,38.846815,41.977099,2.361466
0.020000,188.539938,54.840558,0.947715,9.198058,38.206814,-32.000031,2.362796
0.020000,188.397940,54.980492,1.147076,9.968058,38.500029,14.660719,2.364242
0.020000,188.244666,55.131082,1.361949,10.743645,38.779328,13.964978,2.365806
0.020000,188.080142,55.292203,1.592227,11.513903,38.512917,-13.320553,2.367491
0.020000,187.904279,55.463826,1.837954,12.286377,38.623679,5.538100,2.369296
0.020000,187.716992,55.645918,2.099171,13.060817,38.721989,4.915506,2.371224
0.020000,187.518191,55.838435,2.375910,13.836972,38.807751,4.288108,2.373277
0.020000,187.307788,56.041327,2.668202,14.614590,38.880887,3.656803,2.375457
0.020000,187.085694,56.254533,2.976070,15.393416,38.941338,3.022535,2.377767
0.020000,186.851817,56.477985,3.299534,16.173198,38.989064,2.386288,2.380208
0.020000,186.606067,56.711604,3.638608,16.953678,39.024046,1.749091,2.382783
0.020000,186.348342,56.955314,3.993315,17.735339,39.083017,2.948575,2.385495
0.020000,186.078404,57.209154,4.363857,18.527099,39.587996,25.248935,2.388347
0.020000,185.796285,57.472899,4.750059,19.310126,39.151351,-21.832232,2.391341
0.020000,185.501795,57.746521,5.152046,20.099350,39.461222,15.493530,2.394480
0.020000,185.194774,58.029955,5.569893,20.892366,39.650796,9.478684,2.397769
0.020000,184.875117,58.323066,6.003592,21.684952,39.629285,-1.075515,2.401210
0.020000,184.542686,58.625745,6.453176,22.479190,39.711931,4.132283,2.404807
0.020000,184.197224,58.937972,6.918825,23.282454,40.163195,22.563189,2.408565
0.020000,183.838677,59.259534,7.400445,24.080995,39.927052,-11.807140,2.412486
0.020000,183.466848,59.590330,7.898123,24.883881,40.144257,10.860273,2.416576
0.020000,183.081538,59.930247,8.411939,25.690820,40.346967,10.135477,2.420839
0.020000,182.682548,60.279158,8.941970,26.501520,40.535001,9.401714,2.425279
0.020000,182.269674,60.636921,9.488283,27.315684,40.708219,8.660911,2.429902
0.020000,181.842714,61.003378,10.050944,28.133015,40.866522,7.915123,2.434712
0.020000,181.401460,61.378359,10.630008,28.953212,41.009852,7.166523,2.439716
0.020000,180.945706,61.761676,11.225527,29.775976,41.138200,6.417401,2.444919
0.020000,180.475240,62.153123,11.837548,30.601008,41.251603,5.670155,2.450325
0.020000,179.989717,62.552590,12.466282,31.436707,41.784935,26.666602,2.455944
0.020000,179.488972,62.959795,13.111698,32.270805,41.704911,-4.001232,2.461779
0.020000,178.972714,63.374540,13.773918,33.110986,42.009052,15.207054,2.467838
0.020000,178.440687,63.796575,14.453010,33.954648,42.183121,8.703434,2.474128
0.020000,177.892537,64.225703,15.149156,34.807285,42.631833,22.435616,2.480657
0.020000,177.328061,64.661589,15.862339,35.659155,42.593492,-1.917046,2.487432
0.020000,176.746924,65.103972,16.592697,36.517891,42.936827,17.166751,2.494460
0.020000,176.148793,65.552566,17.340359,37.383080,43.259423,16.129779,2.501749
0.020000,175.533331,66.007058,18.105445,38.254297,43.560886,15.073174,2.509310
0.020000,174.900200,66.467106,18.888067,39.131115,43.840898,14.000603,2.517149
0.020000,174.249065,66.932339,19.688329,40.013100,44.099215,12.915864,2.525277
0.020000,173.579588,67.402359,20.506325,40.899813,44.335672,11.822841,2.533701
0.020000,172.891432,67.876732,21.342142,41.790817,44.550181,10.725453,2.542432
0.020000,172.184086,68.355116,22.196068,42.696303,45.274301,36.205983,2.551480
0.020000,171.457332,68.836931,23.068029,43.598068,45.088265,-9.301820,2.560853
0.020000,170.710619,69.321785,23.958346,44.515832,45.888210,39.997270,2.570564
0.020000,169.943675,69.809069,24.866998,45.432618,45.839269,-2.447050,2.580620
0.020000,169.156057,70.298247,25.794164,46.358298,46.284030,22.238030,2.591033
0.020000,168.347332,70.788736,26.740006,47.292088,46.689492,20.273116,2.601813
0.020000,167.517076,71.279909,27.704669,48.233175,47.054331,18.241941,2.612971
0.020000,166.664879,71.771089,28.688284,49.180721,47.377331,16.150014,2.624517
0.020000,165.790345,72.261551,29.690961,50.133869,47.657389,14.002903,2.636461
0.020000,164.893098,72.750522,30.712796,51.091739,47.893512,11.806148,2.648812
0.020000,163.972726,73.237204,31.753922,52.056296,48.227831,16.715935,2.661579
0.020000,163.028785,73.720777,32.814519,53.029882,48.679289,22.572905,2.674773
0.020000,162.060965,74.200309,33.894624,54.005243,48.768087,4.439902,2.688400
0.020000,161.068917,74.674852,34.994329,54.985243,48.999958,11.593585,2.702468
