dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,303.000000,117.000000,0.001991,0.199073,9.953670,497.683486,4.712389
0.020000,303.000000,117.000000,0.009954,0.597220,19.907339,497.683486,4.712389
0.020000,303.000000,117.000000,0.027870,1.194440,29.861009,497.683486,4.712389
0.020000,303.000000,117.000000,0.059722,1.990734,39.814679,497.683486,4.712389
0.020000,303.000000,116.967510,0.109490,2.986101,49.768349,497.683486,4.712389
0.020000,303.000000,116.895843,0.181157,4.180541,59.722018,497.683486,4.712389
0.020000,303.000000,116.800288,0.276712,5.374982,59.722018,0.000000,4.712389
0.020000,303.000000,116.680844,0.396156,6.569422,59.722018,0.000000,4.712389
0.020000,303.000000,116.537511,0.539489,7.763862,59.722018,-0.000000,4.712389
0.020000,303.000000,116.370289,0.706711,8.958303,59.722018,0.000000,4.712389
0.020000,303.000000,116.179179,0.897821,10.152743,59.722018,0.000000,4.712389
0.020000,303.000000,115.964180,1.112820,11.347183,59.722018,0.000000,4.712389
0.020000,303.000000,115.725292,1.351708,12.541624,59.722018,0.000000,4.712389
0.020000,303.000000,115.462515,1.614485,13.736064,59.722018,-0.000000,4.712389
0.020000,303.000000,115.175849,1.901151,14.930505,59.722018,0.000000,4.712389
0.020000,303.000000,114.865295,2.211705,16.124945,59.722018,-0.000000,4.712389
0.020000,303.000000,114.530851,2.546149,17.319385,59.722018,0.000000,4.712389
0.020000,303.000000,114.172519,2.904481,18.513826,59.722018,-0.000000,4.712389
0.020000,303.000000,113.790298,3.286702,19.708266,59.722018,0.000000,4.712389
0.020000,303.000000,113.384189,3.692811,20.902706,59.722018,0.000000,4.712389
0.020000,303.000000,112.954190,4.122810,22.097147,59.722018,-0.000000,4.712389
0.020000,303.000000,112.500303,4.576697,23.291587,59.722018,0.000000,4.712389
0.020000,303.000000,112.022527,5.054473,24.486027,59.722018,-0.000000,4.712389
0.020000,303.000000,111.520862,5.556138,25.680468,59.722018,0.000000,4.712389
0.020000,303.000000,110.995308,6.081692,26.874908,59.722018,0.000000,4.712389
0.020000,303.000000,110.445865,6.631135,28.069349,59.722018,-0.000000,4.712389
0.020000,303.000000,109.872534,7.204466,29.263789,59.722018,0.000000,4.712389
0.020000,303.000000,109.275314,7.801686,30.458229,59.722018,0.000000,4.712389
0.020000,303.000000,108.654205,8.422795,31.652670,59.722018,-0.000000,4.712389
0.020000,303.000000,108.009207,9.067793,32.847110,59.722018,-0.000000,4.712389
0.020000,303.000000,107.340320,9.736680,34.041550,59.722018,0.000000,4.712389
0.020000,303.000000,106.647545,10.429455,35.235991,59.722018,0.000000,4.712389
0.020000,303.000000,105.930881,11.146119,36.430431,59.722018,-0.000000,4.712389
0.020000,303.000000,105.190328,11.886672,37.624872,59.722018,0.000000,4.712389
0.020000,303.000000,104.425886,12.651114,38.819312,59.722018,-0.000000,4.712389
0.020000,303.000000,103.637555,13.439445,40.013752,59.722018,0.000000,4.712389
0.020000,303.000000,102.825336,14.251664,41.208193,59.722018,0.000000,4.712389
0.020000,303.000000,101.989227,15.087773,42.402633,59.722018,0.000000,4.712389
0.020000,303.000000,101.129230,15.947770,43.597073,59.722018,-0.000000,4.712389
0.020000,303.000000,100.245345,16.831655,44.791514,59.722018,0.000000,4.712389
0.020000,303.000000,99.337570,17.739430,45.985954,59.722018,-0.000000,4.712389
0.020000,303.000000,98.405906,18.671094,47.180394,59.722018,0.000000,4.712389
0.020000,303.000000,97.450354,19.626646,48.374835,59.722018,-0.000000,4.712389
0.020000,303.000000,96.470913,20.606087,49.569275,59.722018,0.000000,4.712389
0.020000,303.000000,95.467583,21.609417,50.763716,59.722018,0.000000,4.712389
0.020000,303.000000,94.440364,22.636636,51.958156,59.722018,-0.000000,4.712389
0.020000,303.000000,93.389257,23.687743,53.152596,59.722018,0.000000,4.712389
0.020000,303.000000,92.314260,24.762740,54.347037,59.722018,-0.000000,4.712389
0.020000,303.000000,91.215375,25.861625,55.541477,59.722018,0.000000,4.712389
0.020000,303.000000,90.092601,26.984399,56.735917,59.722018,-0.000000,4.712389
0.020000,303.000000,88.945939,28.131061,57.930358,59.722018,0.000000,4.712389
0.020000,303.000000,87.775387,29.301613,59.124798,59.722018,-0.000000,4.712389
0.020000,303.000000,86.580947,30.496053,60.319238,59.722018,0.000000,4.712389
0.020000,303.000000,85.362618,31.714382,61.513679,59.722018,0.000000,4.712389
0.020000,303.000000,84.122390,32.954610,62.509046,49.768349,-497.683486,4.712389
0.020000,303.000000,82.864246,34.212754,63.305339,39.814679,-497.683486,4.712389
0.020000,303.000000,81.592167,35.484833,63.902560,29.861009,-497.683486,4.712389
0.020000,303.000000,80.310135,36.766865,64.300706,19.907339,-497.683486,4.712389
0.020000,303.000000,79.022130,38.054870,64.499780,9.953670,-497.683486,4.712389
0.020000,303.000000,77.732632,39.344368,64.449975,-2.490244,-622.195709,4.712389
0.020000,303.000000,76.446122,40.630878,64.201097,-12.443914,-497.683486,4.712389
0.020000,303.000000,75.166579,41.910421,63.753145,-22.397584,-497.683486,4.712389
0.020000,303.000000,73.897987,43.179013,63.106120,-32.351254,-497.683486,4.712389
0.020000,303.000000,72.644325,44.432675,62.260021,-42.304923,-497.683486,4.712389
0.020000,303.000000,71.409577,45.667423,61.214849,-52.258593,-497.683486,4.712389
0.020000,303.000000,70.197224,46.879776,60.020409,-59.722018,-373.171262,4.712389
0.020000,303.000000,69.008760,48.068240,58.825969,-59.722018,0.000000,4.712389
0.020000,303.000000,67.844185,49.232815,57.631528,-59.722018,-0.000000,4.712389
0.020000,303.000000,66.703499,50.373501,56.437088,-59.722018,0.000000,4.712389
0.020000,303.000000,65.586702,51.490298,55.242648,-59.722018,-0.000000,4.712389
0.020000,303.000000,64.493793,52.583207,54.048207,-59.722018,0.000000,4.712389
0.020000,303.000000,63.424773,53.652227,52.853767,-59.722018,-0.000000,4.712389
0.020000,303.000000,62.379642,54.697358,51.659327,-59.722018,0.000000,4.712389
0.020000,303.000000,61.358400,55.718600,50.464886,-59.722018,-0.000000,4.712389
0.020000,303.000000,60.361047,56.715953,49.270446,-59.722018,0.000000,4.712389
0.020000,303.000000,59.387582,57.689418,48.076005,-59.722018,0.000000,4.712389
0.020000,303.000000,58.438007,58.638993,46.881565,-59.722018,0.000000,4.712389
0.020000,303.000000,57.512320,59.564680,45.687125,-59.722018,-0.000000,4.712389
0.020000,303.000000,56.610522,60.466478,44.492684,-59.722018,0.000000,4.712389
0.020000,303.000000,55.732612,61.344388,43.298244,-59.722018,0.000000,4.712389
0.020000,303.000000,54.878592,62.198408,42.103804,-59.722018,0.000000,4.712389
0.020000,303.000000,54.048460,63.028540,40.909363,-59.722018,-0.000000,4.712389
0.020000,303.000000,53.242217,63.834783,39.714923,-59.722018,0.000000,4.712389
0.020000,303.000000,52.459863,64.617137,38.520483,-59.722018,0.000000,4.712389
0.020000,303.000000,51.701398,65.375602,37.326042,-59.722018,-0.000000,4.712389
0.020000,303.000000,50.966822,66.110178,36.131602,-59.722018,0.000000,4.712389
0.020000,303.000000,50.256134,66.820866,34.937161,-59.722018,-0.000000,4.712389
0.020000,303.000000,49.569335,67.507665,33.742721,-59.722018,0.000000,4.712389
0.020000,303.000000,48.906425,68.170575,32.548281,-59.722018,0.000000,4.712389
0.020000,303.000000,48.267404,68.809596,31.353840,-59.722018,-0.000000,4.712389
0.020000,303.000000,47.652272,69.424728,30.159400,-59.722018,-0.000000,4.712389
0.020000,303.000000,47.061028,70.015972,28.964960,-59.722018,0.000000,4.712389
0.020000,303.000000,46.493673,70.583327,27.770519,-59.722018,0.000000,4.712389
0.020000,303.000000,45.950207,71.126793,26.576079,-59.722018,-0.000000,4.712389
0.020000,303.000000,45.430630,71.646370,25.381639,-59.722018,0.000000,4.712389
0.020000,303.000000,44.934942,72.142058,24.187198,-59.722018,0.000000,4.712389
0.020000,303.000000,44.463142,72.613858,22.992758,-59.722018,-0.000000,4.712389
0.020000,303.000000,44.015231,73.061769,21.798317,-59.722018,0.000000,4.712389
0.020000,303.000000,43.591209,73.485791,20.603877,-59.722018,-0.000000,4.712389
0.020000,303.000000,43.191076,73.885924,19.409437,-59.722018,0.000000,4.712389
0.020000,303.000000,42.814832,74.262168,18.214996,-59.722018,0.000000,4.712389
0.020000,303.000000,42.462476,74.614524,17.020556,-59.722018,-0.000000,4.712389
0.020000,303.000000,42.134010,74.942990,15.826116,-59.722018,0.000000,4.712389
0.020000,303.000000,41.829432,75.247568,14.631675,-59.722018,0.000000,4.712389
0.020000,303.000000,41.548743,75.528257,13.437235,-59.722018,-0.000000,4.712389
0.020000,303.000000,41.291942,75.785058,12.242795,-59.722018,-0.000000,4.712389
0.020000,303.000000,41.059031,76.017969,11.048354,-59.722018,0.000000,4.712389
0.020000,303.000000,40.850008,76.226992,9.853914,-59.722018,0.000000,4.712389
0.020000,303.000000,40.664874,76.412126,8.659473,-59.722018,0.000000,4.712389
0.020000,303.000000,40.503629,76.573371,7.465033,-59.722018,0.000000,4.712389
0.020000,303.000000,40.366273,76.710727,6.270593,-59.722018,-0.000000,4.712389
0.020000,303.000000,40.252806,76.824194,5.076152,-59.722018,0.000000,4.712389
0.020000,303.000000,40.163227,76.913773,3.881712,-59.722018,0.000000,4.712389
0.020000,303.000000,40.097039,76.979961,2.737076,-57.231774,124.512223,4.712389
0.020000,303.000000,40.051753,77.025247,1.791514,-47.278104,497.683486,4.712389
0.020000,303.000000,40.023388,77.053612,1.045026,-37.324434,497.683486,4.712389
0.020000,303.000000,40.007961,77.069039,0.497610,-27.370765,497.683486,4.712389
0.020000,303.000000,40.001493,77.075507,0.149269,-17.417095,497.683486,4.712389
0.020000,303.000000,40.000000,77.077000,0.000000,-7.463425,497.683486,4.712389
0.020000,303.000000,40.000000,77.077000,0.000000,0.000000,373.171262,4.712389
