dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000000,117.000000,0.001991,0.199073,9.953670,497.683486,4.712389
0.020000,290.000000,117.000000,0.001991,0.000000,-9.953670,-995.366971,4.712389
0.020000,290.000000,117.000000,0.001991,0.000000,0.000000,497.683486,4.712389
0.020000,290.000000,117.000000,0.001991,0.000000,0.000000,0.000000,4.712389
0.020000,290.000000,116.967510,0.034481,1.624518,81.225917,4061.295854,4.712389
0.020000,290.000000,116.895843,0.106148,3.583321,97.940138,835.711032,4.712389
0.020000,290.000000,116.800288,0.201703,4.777761,59.722018,-1910.905973,4.712389
0.020000,290.000000,116.680844,0.321147,5.972202,59.722018,-0.000000,4.712389
0.020000,290.000000,116.537511,0.464480,7.166642,59.722018,0.000000,4.712389
0.020000,290.000000,116.370289,0.631701,8.361083,59.722018,-0.000000,4.712389
0.020000,290.000000,116.179179,0.822812,9.555523,59.722018,0.000000,4.712389
0.020000,290.000000,115.964180,1.037811,10.749963,59.722018,0.000000,4.712389
0.020000,290.000000,115.725292,1.276699,11.944404,59.722018,-0.000000,4.712389
0.020000,290.000000,115.462515,1.539476,13.138844,59.722018,0.000000,4.712389
0.020000,290.000000,115.175849,1.826142,14.333284,59.722018,0.000000,4.712389
0.020000,290.000000,114.865295,2.136696,15.527725,59.722018,0.000000,4.712389
0.020000,290.000000,114.530851,2.471139,16.722165,59.722018,-0.000000,4.712389
0.020000,290.000000,114.172519,2.829472,17.916605,59.722018,0.000000,4.712389
0.020000,290.000000,113.790298,3.211692,19.111046,59.722018,0.000000,4.712389
0.020000,290.000000,113.384189,3.617802,20.305486,59.722018,-0.000000,4.712389
0.020000,290.000000,112.954190,4.047801,21.499927,59.722018,0.000000,4.712389
0.020000,290.000000,112.500303,4.501688,22.694367,59.722018,0.000000,4.712389
0.020000,290.000000,112.022527,4.979464,23.888807,59.722018,0.000000,4.712389
0.020000,290.000000,111.520862,5.481129,25.083248,59.722018,-0.000000,4.712389
0.020000,290.000000,110.995308,6.006683,26.277688,59.722018,0.000000,4.712389
0.020000,290.000000,110.445865,6.556125,27.472128,59.722018,0.000000,4.712389
0.020000,290.000000,109.872534,7.129457,28.666569,59.722018,-0.000000,4.712389
0.020000,290.000000,109.275314,7.726677,29.861009,59.722018,0.000000,4.712389
0.020000,290.000000,108.654205,8.347786,31.055450,59.722018,0.000000,4.712389
0.020000,290.000000,108.009207,8.992784,32.249890,59.722018,0.000000,4.712389
0.020000,290.000000,107.340320,9.661670,33.444330,59.722018,-0.000000,4.712389
0.020000,290.000000,106.647545,10.354446,34.638771,59.722018,0.000000,4.712389
0.020000,290.000000,105.930881,11.071110,35.833211,59.722018,0.000000,4.712389
0.020000,290.000000,105.190328,11.811663,37.027651,59.722018,-0.000000,4.712389
0.020000,290.000000,104.425886,12.576105,38.222092,59.722018,0.000000,4.712389
0.020000,290.000000,103.637555,13.364436,39.416532,59.722018,0.000000,4.712389
0.020000,290.000000,102.825336,14.176655,40.610972,59.722018,0.000000,4.712389
0.020000,290.000000,101.989227,15.012763,41.805413,59.722018,-0.000000,4.712389
0.020000,290.000000,101.129230,15.872760,42.999853,59.722018,0.000000,4.712389
0.020000,290.000000,100.245345,16.756646,44.194294,59.722018,0.000000,4.712389
0.020000,290.000000,99.337570,17.664421,45.388734,59.722018,-0.000000,4.712389
0.020000,290.000000,98.405906,18.596084,46.583174,59.722018,0.000000,4.712389
0.020000,290.000000,97.450354,19.551637,47.777615,59.722018,0.000000,4.712389
0.020000,290.000000,96.470913,20.531078,48.972055,59.722018,-0.000000,4.712389
0.020000,290.000000,95.467583,21.534408,50.166495,59.722018,0.000000,4.712389
0.020000,290.000000,94.440364,22.561626,51.360936,59.722018,0.000000,4.712389
0.020000,290.000000,93.389257,23.612734,52.555376,59.722018,-0.000000,4.712389
0.020000,290.000000,92.314260,24.687730,53.749816,59.722018,0.000000,4.712389
0.020000,290.000000,91.215375,25.786615,54.944257,59.722018,0.000000,4.712389
0.020000,290.000000,90.092601,26.909389,56.138697,59.722018,-0.000000,4.712389
0.020000,290.000000,88.945939,28.056052,57.333138,59.722018,0.000000,4.712389
0.020000,290.000000,87.775387,29.226604,58.527578,59.722018,0.000000,4.712389
0.020000,290.000000,86.580947,30.421044,59.722018,59.722018,-0.000000,4.712389
0.020000,290.000000,85.362618,31.639373,60.916459,59.722018,0.000000,4.712389
0.020000,290.000000,84.122390,32.879600,62.011362,54.745183,-248.841743,4.712389
0.020000,290.000000,82.864246,34.137744,62.907193,44.791514,-497.683486,4.712389
0.020000,290.000000,81.592167,35.409823,63.603949,34.837844,-497.683486,4.712389
0.020000,290.000000,80.310135,36.691856,64.101633,24.884174,-497.683486,4.712389
0.020000,290.000000,79.022130,37.979861,64.400243,14.930505,-497.683486,4.712389
0.020000,290.000000,77.732632,39.269358,64.474877,3.731713,-559.939597,4.712389
0.020000,290.000000,76.446122,40.555869,64.325536,-7.467079,-559.939597,4.712389
0.020000,290.000000,75.166579,41.835411,63.977121,-17.420749,-497.683486,4.712389
0.020000,290.000000,73.897987,43.104004,63.429632,-27.374419,-497.683486,4.712389
0.020000,290.000000,72.644325,44.357666,62.683071,-37.328088,-497.683486,4.712389
0.020000,290.000000,71.409577,45.592414,61.737435,-47.281758,-497.683486,4.712389
0.020000,290.000000,70.197224,46.804767,60.617629,-55.990306,-435.427374,4.712389
0.020000,290.000000,69.008760,47.993231,59.423189,-59.722018,-186.585631,4.712389
0.020000,290.000000,67.844185,49.157806,58.228749,-59.722018,0.000000,4.712389
0.020000,290.000000,66.703499,50.298492,57.034308,-59.722018,-0.000000,4.712389
0.020000,290.000000,65.586702,51.415289,55.839868,-59.722018,-0.000000,4.712389
0.020000,290.000000,64.493793,52.508198,54.645427,-59.722018,0.000000,4.712389
0.020000,290.000000,63.424773,53.577217,53.450987,-59.722018,-0.000000,4.712389
0.020000,290.000000,62.379642,54.622348,52.256547,-59.722018,0.000000,4.712389
0.020000,290.000000,61.358400,55.643590,51.062106,-59.722018,-0.000000,4.712389
0.020000,290.000000,60.361047,56.640944,49.867666,-59.722018,0.000000,4.712389
0.020000,290.000000,59.387582,57.614408,48.673226,-59.722018,-0.000000,4.712389
0.020000,290.000000,58.438007,58.563984,47.478785,-59.722018,0.000000,4.712389
0.020000,290.000000,57.512320,59.489671,46.284345,-59.722018,-0.000000,4.712389
0.020000,290.000000,56.610522,60.391469,45.089905,-59.722018,0.000000,4.712389
0.020000,290.000000,55.732612,61.269378,43.895464,-59.722018,0.000000,4.712389
0.020000,290.000000,54.878592,62.123399,42.701024,-59.722018,0.000000,4.712389
0.020000,290.000000,54.048460,62.953530,41.506583,-59.722018,-0.000000,4.712389
0.020000,290.000000,53.242217,63.759773,40.312143,-59.722018,0.000000,4.712389
0.020000,290.000000,52.459863,64.542127,39.117703,-59.722018,0.000000,4.712389
0.020000,290.000000,51.701398,65.300593,37.923262,-59.722018,0.000000,4.712389
0.020000,290.000000,50.966822,66.035169,36.728822,-59.722018,0.000000,4.712389
0.020000,290.000000,50.256134,66.745857,35.534382,-59.722018,-0.000000,4.712389
0.020000,290.000000,49.569335,67.432655,34.339941,-59.722018,0.000000,4.712389
0.020000,290.000000,48.906425,68.095565,33.145501,-59.722018,0.000000,4.712389
0.020000,290.000000,48.267404,68.734587,31.951061,-59.722018,0.000000,4.712389
0.020000,290.000000,47.652272,69.349719,30.756620,-59.722018,-0.000000,4.712389
0.020000,290.000000,47.061028,69.940963,29.562180,-59.722018,0.000000,4.712389
0.020000,290.000000,46.493673,70.508317,28.367739,-59.722018,0.000000,4.712389
0.020000,290.000000,45.950207,71.051783,27.173299,-59.722018,-0.000000,4.712389
0.020000,290.000000,45.430630,71.571361,25.978859,-59.722018,0.000000,4.712389
0.020000,290.000000,44.934942,72.067049,24.784418,-59.722018,0.000000,4.712389
0.020000,290.000000,44.463142,72.538849,23.589978,-59.722018,-0.000000,4.712389
0.020000,290.000000,44.015231,72.986759,22.395538,-59.722018,0.000000,4.712389
0.020000,290.000000,43.591209,73.410781,21.201097,-59.722018,-0.000000,4.712389
0.020000,290.000000,43.191076,73.810914,20.006657,-59.722018,0.000000,4.712389
0.020000,290.000000,42.814832,74.187159,18.812217,-59.722018,-0.000000,4.712389
0.020000,290.000000,42.462476,74.539514,17.617776,-59.722018,0.000000,4.712389
0.020000,290.000000,42.134010,74.867981,16.423336,-59.722018,-0.000000,4.712389
0.020000,290.000000,41.829432,75.172559,15.228895,-59.722018,0.000000,4.712389
0.020000,290.000000,41.548743,75.453248,14.034455,-59.722018,0.000000,4.712389
0.020000,290.000000,41.291942,75.710048,12.840015,-59.722018,0.000000,4.712389
0.020000,290.000000,41.059031,75.942960,11.645574,-59.722018,-0.000000,4.712389
0.020000,290.000000,40.850008,76.151982,10.451134,-59.722018,0.000000,4.712389
0.020000,290.000000,40.664874,76.337116,9.256694,-59.722018,0.000000,4.712389
0.020000,290.000000,40.503629,76.498361,8.062253,-59.722018,0.000000,4.712389
0.020000,290.000000,40.366273,76.635718,6.867813,-59.722018,-0.000000,4.712389
0.020000,290.000000,40.252806,76.749185,5.673372,-59.722018,0.000000,4.712389
0.020000,290.000000,40.163227,76.838764,4.478932,-59.722018,0.000000,4.712389
0.020000,290.000000,40.097039,76.904952,3.309394,-58.476896,62.256112,4.712389
0.020000,290.000000,40.051753,76.950237,2.264295,-52.254939,311.097854,4.712389
0.020000,290.000000,40.023388,76.978603,1.418270,-42.301269,497.683486,4.712389
0.020000,290.000000,40.007961,76.994029,0.771318,-32.347600,497.683486,4.712389
0.020000,290.000000,40.001493,77.000498,0.323439,-22.393930,497.683486,4.712389
0.020000,290.000000,40.000000,77.001991,0.074634,-12.440260,497.683486,4.712389
0.020000,290.000000,40.000000,77.001991,0.000000,-3.731713,435.427374,4.712389
