dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.441619,40.988003,0.001747,0.174708,8.735384,436.769221,0.042966
0.020000,17.440786,40.987967,0.002581,0.041694,-6.650699,-769.304188,0.043030
0.020000,17.438911,40.987886,0.004457,0.093805,2.605589,462.814435,0.043174
0.020000,17.435580,40.987742,0.007792,0.166747,3.647078,52.074411,0.043431
0.020000,17.430583,40.987523,0.012794,0.250077,4.166480,25.970100,0.043815
0.020000,17.423922,40.987230,0.019461,0.333353,4.163834,-0.132289,0.044328
0.020000,17.431705,40.987581,0.027251,0.389535,2.809063,-67.738561,0.044969
0.020000,17.505502,40.990931,0.101125,3.693664,165.206480,8119.870857,0.045738
0.020000,17.591577,40.994909,0.187292,4.308354,30.734484,-6723.599790,0.046635
0.020000,17.689971,40.999551,0.285795,4.925161,30.840376,5.294604,0.047659
0.020000,17.800644,41.004894,0.396597,5.540102,30.747048,-4.666391,0.048812
0.020000,17.923622,41.010980,0.519725,6.156385,30.814121,3.353657,0.050092
0.020000,18.058897,41.017858,0.655175,6.772530,30.807252,-0.343473,0.051499
0.020000,18.206463,41.025577,0.802943,7.388381,30.792556,-0.734785,0.053034
0.020000,18.366322,41.034197,0.963034,8.004536,30.807752,0.759768,0.054696
0.020000,18.538474,41.043776,1.135452,8.620939,30.820146,0.619730,0.056484
0.020000,18.722920,41.054383,1.320203,9.237537,30.829921,0.488756,0.058400
0.020000,18.919658,41.066087,1.517289,9.854283,30.837273,0.367579,0.060441
0.020000,19.128685,41.078964,1.726711,10.471131,30.842411,0.256920,0.062609
0.020000,19.349995,41.093093,1.948472,11.088042,30.845561,0.157479,0.064902
0.020000,19.583592,41.108559,2.182581,11.705456,30.870702,1.257041,0.067321
0.020000,19.829485,41.125452,2.429053,12.323585,30.906427,1.786249,0.069865
0.020000,20.087644,41.143864,2.687868,12.940770,30.859243,-2.359193,0.072533
0.020000,20.358100,41.163895,2.959065,13.559850,30.954035,4.739619,0.075325
0.020000,20.640818,41.185646,3.242618,14.177637,30.889332,-3.235158,0.078240
0.020000,20.935826,41.209226,3.538567,14.797437,30.989982,5.032503,0.081279
0.020000,21.243100,41.234744,3.846899,15.416610,30.958647,-1.566752,0.084439
0.020000,21.562639,41.262319,4.167625,16.036314,30.985207,1.328021,0.087721
0.020000,21.894442,41.292069,4.500759,16.656702,31.019428,1.711051,0.091123
0.020000,22.238507,41.324119,4.846314,17.277748,31.052293,1.643225,0.094645
0.020000,22.594831,41.358599,5.204303,17.899432,31.084173,1.594028,0.098286
0.020000,22.963409,41.395642,5.574738,18.521741,31.115452,1.563916,0.102045
0.020000,23.344235,41.435385,5.957631,19.144671,31.146517,1.553286,0.105921
0.020000,23.737299,41.477969,6.352996,19.768226,31.177767,1.562473,0.109912
0.020000,24.142594,41.523539,6.760844,20.392418,31.209602,1.591746,0.114018
0.020000,24.560122,41.572245,7.181204,21.017976,31.277876,3.413720,0.118237
0.020000,24.989873,41.624240,7.614089,21.644260,31.314233,1.817833,0.122567
0.020000,25.431834,41.679680,8.059513,22.271231,31.348546,1.715658,0.127008
0.020000,25.886006,41.738727,8.517508,22.899706,31.423712,3.758285,0.131558
0.020000,26.352377,41.801544,8.988090,23.529106,31.469998,2.314295,0.136214
0.020000,26.830932,41.868298,9.471278,24.159411,31.515262,2.263238,0.140975
0.020000,27.321667,41.939160,9.967104,24.791284,31.593636,3.918699,0.145839
0.020000,27.824578,42.014305,10.475598,25.424707,31.671149,3.875634,0.150804
0.020000,28.339647,42.093910,10.996781,26.059179,31.723601,2.622608,0.155869
0.020000,28.866862,42.178154,11.530685,26.695176,31.799863,3.813064,0.161029
0.020000,29.406212,42.267221,12.077339,27.332735,31.877952,3.904494,0.166284
0.020000,29.957688,42.361295,12.636781,27.972099,31.968227,4.513709,0.171631
0.020000,30.521277,42.460566,13.209047,28.613280,32.059037,4.540541,0.177066
0.020000,31.096961,42.565221,13.794166,29.255950,32.133490,3.722643,0.182588
0.020000,31.684723,42.675455,14.392176,29.900473,32.226160,4.633469,0.188193
0.020000,32.284560,42.791461,15.003128,30.547621,32.357415,6.562745,0.193878
0.020000,32.896442,42.913435,15.627048,31.196001,32.418996,3.079065,0.199640
0.020000,33.520366,43.041575,16.263995,31.847347,32.567265,7.413465,0.205475
0.020000,34.156305,43.176079,16.914003,32.500383,32.651800,4.226718,0.211381
0.020000,34.804243,43.317146,17.577119,33.155835,32.772596,6.039813,0.217353
0.020000,35.464166,43.464978,18.253398,33.813918,32.904153,6.577854,0.223388
0.020000,36.136054,43.619775,18.942887,34.474473,33.027773,6.180983,0.229483
0.020000,36.819885,43.781740,19.645637,35.137514,33.152064,6.214584,0.235632
0.020000,37.515641,43.951072,20.361702,35.803247,33.286653,6.729444,0.241832
0.020000,38.223300,44.127973,21.091137,36.471734,33.424312,6.882935,0.248078
0.020000,38.942844,44.312645,21.834002,37.143232,33.574902,7.529498,0.254367
0.020000,39.674249,44.505287,22.590351,37.817472,33.712021,6.855963,0.260694
