dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.558381,15.011997,0.001747,0.174708,8.735384,436.769221,0.042966
0.020000,18.559214,15.012033,0.002581,0.041694,-6.650699,-769.304188,0.043030
0.020000,18.561089,15.012114,0.004457,0.093805,2.605589,462.814435,0.043174
0.020000,18.564420,15.012258,0.007792,0.166747,3.647078,52.074411,0.043431
0.020000,18.569417,15.012477,0.012794,0.250077,4.166480,25.970100,0.043815
0.020000,18.576078,15.012770,0.019461,0.333353,4.163834,-0.132289,0.044328
0.020000,18.600507,15.013866,0.043915,1.222705,44.467597,2015.188171,0.044969
0.020000,18.694277,15.018121,0.137780,4.693289,173.529178,6453.079049,0.045738
0.020000,18.803641,15.023176,0.247261,5.474041,39.037633,-6724.577252,0.046635
0.020000,18.928648,15.029074,0.372408,6.257344,39.165109,6.373802,0.047659
0.020000,19.069247,15.035861,0.513170,7.038108,39.038226,-6.344155,0.048812
0.020000,19.225463,15.043593,0.669578,7.820384,39.113790,3.778192,0.050092
0.020000,19.397287,15.052328,0.841623,8.602263,39.093967,-0.991166,0.051499
0.020000,19.584701,15.062133,1.029294,9.383516,39.062648,-1.565938,0.053034
0.020000,19.787703,15.073078,1.232591,10.164868,39.067607,0.247960,0.054696
0.020000,20.006289,15.085242,1.451515,10.946212,39.067175,-0.021582,0.056484
0.020000,20.240451,15.098707,1.686064,11.727441,39.061434,-0.287091,0.058400
0.020000,20.490179,15.113564,1.936233,12.508450,39.050470,-0.548162,0.060441
0.020000,20.755459,15.129906,2.202016,13.289138,39.034382,-0.804394,0.062609
0.020000,21.036275,15.147834,2.483404,14.069403,39.013275,-1.055397,0.064902
0.020000,21.332621,15.167455,2.780399,14.849751,39.017375,0.205026,0.067321
0.020000,21.644494,15.188881,3.093007,15.630390,39.031983,0.730417,0.069865
0.020000,21.971846,15.212227,3.421190,16.409157,38.938330,-4.682657,0.072533
0.020000,22.314698,15.237620,3.764982,17.189584,39.021376,4.152283,0.075325
0.020000,22.672991,15.265185,4.124333,17.967557,38.898634,-6.137088,0.078240
0.020000,23.046742,15.295059,4.499276,18.747190,38.981660,4.151317,0.081279
0.020000,23.435904,15.327378,4.889778,19.525057,38.893356,-4.415205,0.084439
0.020000,23.840451,15.362288,5.295828,20.302540,38.874106,-0.962539,0.087721
0.020000,24.260361,15.399938,5.717423,21.079739,38.859956,-0.707461,0.091123
0.020000,24.695608,15.440482,6.154554,21.856523,38.839217,-1.036978,0.094645
0.020000,25.146158,15.484080,6.607209,22.632765,38.812089,-1.356412,0.098286
0.020000,25.611978,15.530897,7.075376,23.408340,38.778781,-1.665361,0.102045
0.020000,26.093029,15.581099,7.559038,24.183131,38.739512,-1.963447,0.105921
0.020000,26.589265,15.634860,8.058179,24.957021,38.694506,-2.250320,0.109912
0.020000,27.100641,15.692357,8.572777,25.729901,38.643993,-2.525656,0.114018
0.020000,27.627122,15.753773,9.102828,26.502559,38.632893,-0.554971,0.118237
0.020000,28.168654,15.819292,9.648309,27.274052,38.574674,-2.910972,0.122567
0.020000,28.725176,15.889103,10.209193,28.044188,38.506804,-3.393484,0.127008
0.020000,29.296644,15.963399,10.785470,28.813848,38.482991,-1.190671,0.131558
0.020000,29.882992,16.042375,11.377113,29.582151,38.415141,-3.392476,0.136214
0.020000,30.484150,16.126231,11.984091,30.348913,38.338136,-3.850265,0.140975
0.020000,31.100058,16.215168,12.606387,31.114805,38.294569,-2.178348,0.145839
0.020000,31.730650,16.309391,13.243980,31.879634,38.241453,-2.655810,0.150804
0.020000,32.375842,16.409107,13.896832,32.642600,38.148281,-4.658621,0.155869
0.020000,33.035555,16.514523,14.564914,33.404122,38.076143,-3.606862,0.161029
0.020000,33.709707,16.625849,15.248196,34.164068,37.997256,-3.944363,0.166284
0.020000,34.398212,16.743299,15.946647,34.922555,37.924376,-3.644017,0.171631
0.020000,35.100982,16.867084,16.660235,35.679410,37.842766,-4.080507,0.177066
0.020000,35.817912,16.997417,17.388916,36.434036,37.731287,-5.573929,0.182588
0.020000,36.548901,17.134512,18.132649,37.186695,37.632970,-4.915861,0.188193
0.020000,37.293860,17.278584,18.891413,37.938153,37.572893,-3.003834,0.193878
0.020000,38.052661,17.429844,19.665142,38.686484,37.416527,-7.818304,0.199640
0.020000,38.825209,17.588508,20.453815,39.433644,37.357989,-2.926906,0.205475
0.020000,39.611374,17.754784,21.257372,40.177857,37.210673,-7.365800,0.211381
0.020000,40.411038,17.928884,22.075769,40.919829,37.098598,-5.603769,0.217353
0.020000,41.224081,18.111016,22.908961,41.659631,36.990106,-5.424564,0.223388
0.020000,42.050372,18.301386,23.756899,42.396876,36.862240,-6.393294,0.229483
0.020000,42.889777,18.500197,24.619527,43.131392,36.725816,-6.821201,0.235632
0.020000,43.742161,18.707648,25.496792,43.863249,36.592815,-6.650045,0.241832
0.020000,44.607383,18.923936,26.388639,44.592339,36.454526,-6.914450,0.248078
0.020000,45.485306,19.149256,27.295015,45.318803,36.323202,-6.566224,0.254367
0.020000,46.375780,19.383793,28.215857,46.042141,36.166867,-7.816770,0.260694
0.020000,47.278655,19.627732,29.151106,46.762428,36.014391,-7.623752,0.267054
0.020000,48.193784,19.881251,30.100702,47.479819,35.869512,-7.243977,0.273442
0.020000,49.121013,20.144524,31.064583,48.194021,35.710100,-7.970600,0.279854
0.020000,50.060186,20.417718,32.042683,48.905013,35.549636,-8.023190,0.286285
0.020000,51.011145,20.700993,33.034938,49.612727,35.385674,-8.198107,0.292729
0.020000,51.973736,20.994504,34.041282,50.317239,35.225596,-8.003925,0.299182
0.020000,52.947796,21.298399,35.061648,51.018260,35.051086,-8.725498,0.305639
0.020000,53.933167,21.612817,36.095966,51.715898,34.881899,-8.459314,0.312093
0.020000,54.929688,21.937891,37.144167,52.410085,34.709309,-8.629494,0.318541
0.020000,55.937198,22.273746,38.206183,53.100764,34.533984,-8.766260,0.324976
0.020000,56.955539,22.620498,39.281940,53.787895,34.356542,-8.872114,0.331393
0.020000,57.984551,22.978255,40.371369,54.471446,34.177549,-8.949632,0.337786
0.020000,59.024075,23.347117,41.474397,55.151396,33.997520,-9.001448,0.344151
0.020000,60.073957,23.727174,42.590952,55.827735,33.816916,-9.030236,0.350480
0.020000,61.134040,24.118507,43.720960,56.500378,33.632173,-9.237131,0.356770
0.020000,62.204172,24.521188,44.864347,57.169390,33.450598,-9.078739,0.363014
0.020000,63.284205,24.935280,46.021042,57.834744,33.267693,-9.145282,0.369206
0.020000,64.373991,25.360834,47.190969,58.496358,33.080708,-9.349236,0.375341
0.020000,65.473388,25.797892,48.374056,59.154318,32.897983,-9.136246,0.381413
0.020000,66.582257,26.246489,49.570229,59.808646,32.716406,-9.078851,0.387416
0.020000,67.700461,26.706645,50.779412,60.459152,32.525297,-9.555447,0.393345
0.020000,68.827870,27.178373,52.001533,61.106041,32.344438,-9.042929,0.399194
0.020000,69.964360,27.661674,53.236518,61.749280,32.161956,-9.124106,0.404958
0.020000,71.109811,28.156539,54.484295,62.388843,31.978134,-9.191134,0.410631
0.020000,72.264106,28.662948,55.744790,63.024749,31.795315,-9.140953,0.416206
0.020000,73.427137,29.180871,57.017930,63.657023,31.613696,-9.080907,0.421680
0.020000,74.598803,29.710266,58.303644,64.285691,31.433407,-9.014456,0.427045
0.020000,75.779004,30.251081,59.601857,64.910630,31.246967,-9.322011,0.432297
0.020000,76.967653,30.803253,60.912498,65.532035,31.070235,-8.836589,0.437429
0.020000,78.164668,31.366708,62.235497,66.149986,30.897575,-8.633027,0.442437
0.020000,79.369971,31.941360,63.570780,66.764141,30.707716,-9.492952,0.447315
0.020000,80.583498,32.527114,64.918279,67.374952,30.540547,-8.358456,0.452058
0.020000,81.805184,33.123860,66.277920,67.982021,30.353467,-9.353980,0.456659
0.020000,83.034981,33.731481,67.649635,68.585779,30.187922,-8.277249,0.461114
0.020000,84.272840,34.349844,69.033351,69.185790,30.000510,-9.370575,0.465417
0.020000,85.518727,34.978809,70.428998,69.782354,29.828213,-8.614856,0.469563
0.020000,86.772615,35.618220,71.836507,70.375444,29.654515,-8.684914,0.473546
0.020000,88.034482,36.267914,73.255806,70.964981,29.476855,-8.882985,0.477360
0.020000,89.304319,36.927711,74.686826,71.550971,29.299477,-8.868897,0.481002
0.020000,90.582121,37.597421,76.129494,72.133413,29.122100,-8.868857,0.484464
0.020000,91.867896,38.276844,77.583740,72.712301,28.944388,-8.885599,0.487741
0.020000,93.161658,38.965763,79.049493,73.287620,28.765956,-8.921618,0.490829
0.020000,94.463431,39.663953,80.526679,73.859339,28.585944,-9.000608,0.493721
0.020000,95.773244,40.371170,82.015224,74.427256,28.395868,-9.503796,0.496411
0.020000,97.091142,41.087162,83.515058,74.991684,28.221379,-8.724448,0.498895
0.020000,98.417174,41.811663,85.026104,75.552306,28.031135,-9.512213,0.501166
0.020000,99.751396,42.544389,86.548287,76.109115,27.840454,-9.534044,0.503219
0.020000,101.093879,43.285047,88.081529,76.662111,27.649767,-9.534341,0.505047
