dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,278.378218,44.174695,0.001742,0.174212,8.710592,435.529581,2.035436
0.020000,278.377667,44.175795,0.002973,0.061541,-5.633554,-717.207266,2.035341
0.020000,278.376426,44.178271,0.005742,0.138457,3.845826,473.968991,2.035128
0.020000,278.374223,44.182672,0.010664,0.246114,5.382836,76.850471,2.034749
0.020000,278.362280,44.206562,0.037373,1.335434,54.466019,2454.159179,2.034181
0.020000,278.332987,44.265244,0.102960,3.279332,97.194866,2136.442369,2.033424
0.020000,278.296431,44.338629,0.184946,4.099335,41.000164,-2809.735136,2.032478
0.020000,278.252656,44.426735,0.283328,4.919064,40.986474,-0.684474,2.031343
0.020000,278.201712,44.529589,0.398106,5.738929,40.993239,0.338230,2.030018
0.020000,278.143661,44.647211,0.529274,6.558369,40.971976,-1.063122,2.028505
0.020000,278.078567,44.779640,0.676836,7.378126,40.987871,0.794716,2.026803
0.020000,278.006508,44.926906,0.840786,8.197503,40.968850,-0.951033,2.024912
0.020000,277.927569,45.089048,1.021124,9.016869,40.968315,-0.026778,2.022833
0.020000,277.841842,45.266107,1.217844,9.836039,40.958488,-0.491332,2.020565
0.020000,277.749430,45.458128,1.430945,10.655050,40.950517,-0.398535,2.018110
0.020000,277.650444,45.665161,1.660425,11.473958,40.945440,-0.253838,2.015466
0.020000,277.545003,45.887253,1.906276,12.292548,40.929457,-0.799168,2.012636
0.020000,277.433236,46.124456,2.168491,13.110780,40.911604,-0.892631,2.009619
0.020000,277.315282,46.376824,2.447064,13.928669,40.894483,-0.856087,2.006415
0.020000,277.191285,46.644417,2.741990,14.746269,40.879980,-0.725135,2.003026
0.020000,277.061402,46.927291,3.053258,15.563392,40.856153,-1.191338,1.999452
0.020000,276.925796,47.225507,3.380858,16.380003,40.830531,-1.281121,1.995693
0.020000,276.784641,47.539124,3.724777,17.195949,40.797334,-1.659863,1.991751
0.020000,276.638120,47.868204,4.085002,18.011254,40.765247,-1.604350,1.987627
0.020000,276.486424,48.212808,4.461516,18.825725,40.723528,-2.085945,1.983322
0.020000,276.329751,48.573003,4.854310,19.639703,40.698932,-1.229796,1.978837
0.020000,276.168312,48.948845,5.263357,20.452333,40.631465,-3.373353,1.974174
0.020000,276.002325,49.340396,5.688638,21.264056,40.586170,-2.264736,1.969334
0.020000,275.832016,49.747717,6.130131,22.074646,40.529480,-2.834510,1.964319
0.020000,275.657620,50.170865,6.587808,22.883844,40.459937,-3.477163,1.959131
0.020000,275.479380,50.609898,7.061642,23.691715,40.393526,-3.320525,1.953772
0.020000,275.297549,51.064865,7.551600,24.497871,40.307813,-4.285668,1.948245
0.020000,275.112385,51.535823,8.057650,25.302519,40.232383,-3.771465,1.942552
0.020000,274.924155,52.022816,8.579754,26.105214,40.134753,-4.881493,1.936697
0.020000,274.733135,52.525889,9.117872,26.905900,40.034306,-5.022367,1.930681
0.020000,274.539608,53.045076,9.671955,27.704154,39.912689,-6.080876,1.924510
0.020000,274.343859,53.580419,10.241963,28.500385,39.811582,-5.055327,1.918186
0.020000,274.146187,54.131940,10.827839,29.293789,39.670160,-7.071121,1.911713
0.020000,273.946890,54.699664,11.429528,30.084465,39.533818,-6.817083,1.905096
0.020000,273.746275,55.283609,12.046973,30.872237,39.388600,-7.260899,1.898338
0.020000,273.544653,55.883785,12.680110,31.656863,39.231298,-7.865100,1.891446
0.020000,273.342339,56.500195,13.328871,32.438065,39.060112,-8.559286,1.884424
0.020000,273.139652,57.132832,13.993185,33.215680,38.880717,-8.969750,1.877278
0.020000,272.936914,57.781687,14.672975,33.989511,38.691592,-9.456247,1.870014
0.020000,272.734447,58.446735,15.368161,34.759264,38.487637,-10.197753,1.862637
0.020000,272.532576,59.127953,16.078660,35.524972,38.285401,-10.111805,1.855154
0.020000,272.331627,59.825298,16.804380,36.286023,38.052556,-11.642255,1.847573
0.020000,272.131925,60.538724,17.545230,37.042481,37.822866,-11.484518,1.839899
0.020000,271.933794,61.268176,18.301111,37.794050,37.578492,-12.218694,1.832142
0.020000,271.737554,62.013587,19.071920,38.540464,37.320685,-12.890366,1.824308
0.020000,271.543525,62.774884,19.857554,39.281682,37.060915,-12.988497,1.816406
0.020000,271.352021,63.551980,20.657899,40.017270,36.779393,-14.076073,1.808445
0.020000,271.163349,64.344783,21.472843,40.747193,36.496120,-14.163635,1.800432
0.020000,270.977814,65.153190,22.302267,41.471207,36.200699,-14.771082,1.792378
0.020000,270.795711,65.977087,23.146049,42.189098,35.894575,-15.306199,1.784291
0.020000,270.617327,66.816355,24.004066,42.900827,35.586446,-15.406418,1.776182
0.020000,270.442940,67.670863,24.876187,43.606047,35.261002,-16.272220,1.768059
0.020000,270.272819,68.540474,25.762281,44.304725,34.933895,-16.355373,1.759934
0.020000,270.107219,69.425040,26.662215,44.996691,34.598315,-16.778977,1.751817
0.020000,269.946386,70.324409,27.575852,45.681826,34.256742,-17.078669,1.743717
0.020000,269.790551,71.238420,28.503052,46.360020,33.909697,-17.352243,1.735646
0.020000,269.639930,72.166905,29.443675,47.031159,33.556966,-17.636563,1.727614
0.020000,269.494728,73.109692,30.397578,47.695159,33.199972,-17.849691,1.719633
0.020000,269.355129,74.066602,31.364618,48.351951,32.839619,-18.017658,1.711714
0.020000,269.221305,75.037452,32.344647,49.001481,32.476475,-18.157191,1.703868
0.020000,269.093407,76.022054,33.337521,49.643686,32.110256,-18.310937,1.696105
0.020000,268.971572,77.020216,34.343092,50.278539,31.742666,-18.379501,1.688438
0.020000,268.855915,78.031746,35.361212,50.906016,31.373828,-18.441890,1.680878
0.020000,268.746533,79.056447,36.391734,51.526100,31.004230,-18.479930,1.673436
0.020000,268.643503,80.094120,37.434510,52.138783,30.634129,-18.505025,1.666123
0.020000,268.547052,81.142667,38.487483,52.648687,25.495226,-256.945143,1.658964
0.020000,268.457481,82.198111,39.546721,52.961881,15.659682,-491.777188,1.651993
0.020000,268.374970,83.256516,40.608338,53.080836,5.947724,-485.597928,1.645241
0.020000,268.299684,84.312456,41.666958,52.930999,-7.491812,-671.976816,1.638744
0.020000,268.231647,85.360567,42.717275,52.515850,-20.757480,-663.283369,1.632534
0.020000,268.170667,86.397082,43.755582,51.915368,-30.024095,-463.330780,1.626627
0.020000,268.116476,87.418285,44.778222,51.132016,-39.167604,-457.175440,1.621036
0.020000,268.068676,88.422031,45.783105,50.244151,-44.393245,-261.282056,1.615764
0.020000,268.026775,89.408064,46.770029,49.346177,-44.898668,-25.271109,1.610802
0.020000,267.990290,90.376484,47.739136,48.455331,-44.542301,17.818349,1.606138
0.020000,267.958769,91.327392,48.690565,47.571499,-44.191622,17.533942,1.601762
0.020000,267.931784,92.260894,49.624457,46.694586,-43.845651,17.298513,1.597662
0.020000,267.908934,93.177098,50.540946,45.824458,-43.506404,16.962390,1.593830
0.020000,267.889845,94.076115,51.440166,44.961002,-43.172813,16.679517,1.590253
0.020000,267.874165,94.958057,52.322248,44.104074,-42.846371,16.322101,1.586923
0.020000,267.861565,95.823036,53.187319,43.253538,-42.526793,15.978914,1.583830
0.020000,267.851737,96.671164,54.035504,42.409250,-42.214407,15.619311,1.580963
0.020000,267.844397,97.502554,54.866925,41.571091,-41.907967,15.322009,1.578314
0.020000,267.839277,98.317316,55.681704,40.738912,-41.608966,14.950036,1.575873
0.020000,267.836130,99.115561,56.479955,39.912572,-41.316963,14.600146,1.573631
0.020000,267.834725,99.897399,57.261794,39.091940,-41.031594,14.268460,1.571579
0.020000,267.834850,100.662936,58.027331,38.276858,-40.754123,13.873519,1.569710
0.020000,267.836308,101.412279,58.776676,37.467230,-40.481395,13.636404,1.568014
0.020000,267.838917,102.145532,59.509934,36.662899,-40.216545,13.242519,1.566483
0.020000,267.842511,102.862798,60.227209,35.863740,-39.957944,12.930064,1.565110
0.020000,267.846936,103.564177,60.928601,35.069633,-39.705339,12.630228,1.563886
0.020000,267.852051,104.249766,61.614210,34.280429,-39.460223,12.255824,1.562804
0.020000,267.857728,104.919663,62.284131,33.496043,-39.219292,12.046527,1.561857
0.020000,267.863851,105.573961,62.938457,32.716328,-38.985746,11.677325,1.561038
0.020000,267.870313,106.212752,63.577281,31.941174,-38.757707,11.401942,1.560339
0.020000,267.877020,106.836125,64.200690,31.170470,-38.535226,11.124040,1.559754
0.020000,267.883884,107.444168,64.808772,30.404094,-38.318802,10.821196,1.559275
0.020000,267.890831,108.036967,65.401611,29.641944,-38.107464,10.566910,1.558898
0.020000,267.897790,108.614603,65.979289,28.883904,-37.902002,10.273101,1.558614
0.020000,267.904703,109.177158,66.541886,28.129871,-37.701687,10.015748,1.558418
0.020000,267.911515,109.724710,67.089481,27.379739,-37.506586,9.755031,1.558304
0.020000,267.918182,110.257336,67.622149,26.633403,-37.316771,9.490780,1.558267
0.020000,267.924665,110.775111,68.139964,25.890761,-37.132109,9.233089,1.558299
