dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,301.621782,55.825305,0.001742,0.174212,8.710592,435.529581,2.035436
0.020000,301.622333,55.824205,0.002973,0.061541,-5.633554,-717.207266,2.035341
0.020000,301.623574,55.821729,0.005742,0.138457,3.845826,473.968991,2.035128
0.020000,301.625777,55.817328,0.010664,0.246114,5.382836,76.850471,2.034749
0.020000,301.620438,55.828012,0.022608,0.597188,17.553678,608.542142,2.034181
0.020000,301.599936,55.869083,0.068512,2.295199,84.900551,3367.343618,2.033424
0.020000,301.574349,55.920447,0.125896,2.869209,28.700510,-2810.002015,2.032478
0.020000,301.543710,55.982117,0.194758,3.443095,28.694293,-0.310850,2.031343
0.020000,301.508050,56.054113,0.275101,4.017162,28.703386,0.454621,2.030018
0.020000,301.467412,56.136451,0.366922,4.591043,28.694028,-0.467916,2.028505
0.020000,301.421841,56.229162,0.470228,5.165284,28.712052,0.901213,2.026803
0.020000,301.371389,56.332269,0.585017,5.739429,28.707241,-0.240548,2.024912
0.020000,301.316115,56.445804,0.711292,6.313774,28.717241,0.500006,2.022833
0.020000,301.256080,56.569800,0.849057,6.888232,28.722900,0.282956,2.020565
0.020000,301.191354,56.704293,0.998314,7.462879,28.732346,0.472296,2.018110
0.020000,301.122011,56.849325,1.159070,8.037812,28.746661,0.715738,2.015466
0.020000,301.048133,57.004936,1.331329,8.612943,28.756560,0.494962,2.012636
0.020000,300.969804,57.171173,1.515096,9.188319,28.768784,0.611186,2.009619
0.020000,300.887118,57.348084,1.710376,9.764031,28.785596,0.840589,2.006415
0.020000,300.800170,57.535723,1.917180,10.340206,28.808792,1.159816,2.003026
0.020000,300.709065,57.734143,2.135517,10.916816,28.830498,1.085300,1.999452
0.020000,300.613909,57.943403,2.365396,11.493947,28.856515,1.300836,1.995693
0.020000,300.514818,58.163563,2.606828,12.071613,28.883337,1.341102,1.991751
0.020000,300.411911,58.394688,2.859827,12.649966,28.917634,1.714854,1.987627
0.020000,300.305313,58.636844,3.124408,13.229015,28.952462,1.741403,1.983322
0.020000,300.195152,58.890106,3.400591,13.809160,29.007247,2.739261,1.978837
0.020000,300.081566,59.154543,3.688390,14.389969,29.040453,1.660293,1.974174
0.020000,299.964696,59.430233,3.987829,14.971938,29.098456,2.900159,1.969334
0.020000,299.844686,59.717255,4.298931,15.555105,29.158332,2.993787,1.964319
0.020000,299.721688,60.015693,4.621721,16.139499,29.219716,3.069207,1.959131
0.020000,299.595858,60.325632,4.956229,16.725391,29.294562,3.742299,1.953772
0.020000,299.467358,60.647160,5.302484,17.312745,29.367727,3.658281,1.948245
0.020000,299.336351,60.980370,5.660523,17.901961,29.460795,4.653369,1.942552
0.020000,299.203009,61.325358,6.030383,18.492991,29.551491,4.534802,1.936697
0.020000,299.067506,61.682219,6.412104,19.086074,29.654176,5.134276,1.930681
0.020000,298.930023,62.051053,6.805728,19.681204,29.756477,5.115029,1.924510
0.020000,298.790742,62.431967,7.211308,20.278976,29.888626,6.607433,1.918186
0.020000,298.649851,62.825064,7.628891,20.879136,30.007998,5.968620,1.911713
0.020000,298.507542,63.230453,8.058532,21.482084,30.147404,6.970279,1.905096
0.020000,298.364010,63.648246,8.500293,22.088033,30.297453,7.502493,1.898338
0.020000,298.219453,64.078557,8.954236,22.697160,30.456317,7.943186,1.891446
0.020000,298.074073,64.521502,9.420429,23.309622,30.623092,8.338747,1.884424
0.020000,297.928076,64.977199,9.898942,23.925665,30.802182,8.954495,1.877278
0.020000,297.781668,65.445769,10.389852,24.545521,30.992778,9.529795,1.870014
0.020000,297.635062,65.927334,10.893239,25.169349,31.191386,9.930407,1.862637
0.020000,297.488468,66.422022,11.409190,25.797551,31.410113,10.936331,1.855154
0.020000,297.342102,66.929955,11.937791,26.430062,31.625538,10.771266,1.847573
0.020000,297.196179,67.451263,12.479138,27.067303,31.862084,11.827309,1.839899
0.020000,297.050916,67.986075,13.033326,27.709436,32.106652,12.228405,1.832142
0.020000,296.906532,68.534520,13.600459,28.356633,32.359857,12.660254,1.824308
0.020000,296.763244,69.096733,14.180644,29.009229,32.629789,13.496561,1.816406
0.020000,296.621271,69.672842,14.773989,29.667257,32.901408,13.580969,1.808445
0.020000,296.480832,70.262983,15.380609,30.331036,33.188907,14.374929,1.800432
0.020000,296.342141,70.867286,16.000624,31.000715,33.483964,14.752861,1.792378
0.020000,296.205417,71.485886,16.634153,31.676452,33.786881,15.145841,1.784291
0.020000,296.070870,72.118915,17.281323,32.358520,34.103370,15.824486,1.776182
0.020000,295.938713,72.766507,17.942262,33.046940,34.421005,15.881717,1.768059
0.020000,295.809152,73.428792,18.617101,33.741951,34.750579,16.478720,1.759934
