dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,293.999986,120.019262,0.001745,0.174501,8.725073,436.253661,4.713871
0.020000,293.999994,120.012752,0.008255,0.325503,7.550070,-58.750144,4.713370
0.020000,294.000000,119.996051,0.024955,0.835018,25.475747,896.283830,4.712242
0.020000,293.999938,119.942014,0.078992,2.701849,93.341568,3393.291029,4.710233
0.020000,293.999640,119.860813,0.160195,4.060114,67.913229,-1271.416943,4.707209
0.020000,293.998857,119.752256,0.268755,5.427998,68.394228,24.049945,4.703153
0.020000,293.997253,119.616106,0.404913,6.807931,68.996628,30.120004,4.698049
0.020000,293.994393,119.452058,0.568987,8.203665,69.786711,39.504165,4.691871
0.020000,293.989748,119.259769,0.761332,9.617251,70.679308,44.629852,4.684592
0.020000,293.982676,119.038826,0.982388,11.052829,71.778888,54.979001,4.676179
0.020000,293.972419,118.788793,1.232631,12.512132,72.965139,59.312572,4.666594
0.020000,293.958093,118.509175,1.512616,13.999277,74.357271,69.606586,4.655795
0.020000,293.938676,118.199481,1.822918,15.515085,75.790397,71.656308,4.643738
0.020000,293.912996,117.859190,2.164177,17.062932,77.392357,80.097979,4.630373
0.020000,293.879717,117.487800,2.537055,18.643890,79.047900,82.777142,4.615650
0.020000,293.837333,117.084833,2.942245,20.259520,80.781479,86.678943,4.599515
0.020000,293.784155,116.649889,3.380427,21.909099,82.478934,84.872754,4.581916
0.020000,293.718304,116.182664,3.852270,23.592176,84.153885,83.747573,4.562802
0.020000,293.637715,115.683004,4.358388,25.305858,85.684084,76.509921,4.542124
0.020000,293.540137,115.150968,4.899298,27.045522,86.983211,64.956376,4.519844
0.020000,293.423150,114.586864,5.475405,28.805325,87.990156,50.347230,4.495931
0.020000,293.284205,113.991367,6.086896,30.574593,88.463408,23.662605,4.470369
0.020000,293.120660,113.365544,6.733736,32.341986,88.369647,-4.688054,4.443161
0.020000,292.929853,112.710950,7.415572,34.091773,87.489348,-44.014946,4.414335
0.020000,292.709194,112.029701,8.131666,35.804698,85.646240,-92.155372,4.383948
0.020000,292.456270,111.324507,8.880846,37.459000,82.715083,-146.557877,4.352089
0.020000,292.168975,110.598697,9.661446,39.030042,78.552111,-208.148582,4.318886
0.020000,291.845648,109.856211,10.471277,40.491532,73.074520,-273.879537,4.284508
0.020000,291.485210,109.101529,11.307615,41.816888,66.267761,-340.337962,4.249165
0.020000,291.087285,108.339569,12.167224,42.980445,58.177886,-404.493734,4.213106
0.020000,290.652286,107.575522,13.046423,43.959991,48.977296,-460.029532,4.176613
0.020000,290.181457,106.814654,13.941186,44.738118,38.906317,-503.548939,4.139997
0.020000,289.676860,106.062099,14.847252,45.303329,28.260593,-532.286219,4.103585
0.020000,289.141304,105.322634,15.760285,45.651649,17.415993,-542.229978,4.067712
0.020000,288.578220,104.600495,16.676008,45.786121,6.723599,-534.619719,4.032705
0.020000,287.991505,103.899234,17.590340,45.716588,-3.476664,-510.013121,3.998880
0.020000,287.385346,103.221626,18.499505,45.458251,-12.916869,-472.010269,3.966526
0.020000,286.764055,102.569645,19.400105,45.030024,-21.411306,-424.721843,3.935905
0.020000,286.131920,101.944492,20.289156,44.452528,-28.874847,-373.177075,3.907247
0.020000,285.493094,101.346666,21.164081,43.746290,-35.311886,-321.851928,3.880749
0.020000,284.851523,100.776070,22.022681,42.929964,-40.816303,-275.220835,3.856582
0.020000,284.210916,100.232129,22.863067,42.019305,-45.532945,-235.832136,3.834890
0.020000,283.574751,99.713919,23.683584,41.025867,-49.671881,-206.946783,3.815800
0.020000,282.946306,99.220284,24.482720,39.956769,-53.454891,-189.150479,3.799429
0.020000,282.328726,98.749958,25.259001,38.814048,-57.136061,-184.058511,3.785891
0.020000,281.725090,98.301665,26.010894,37.594663,-60.969254,-191.659675,3.775302
0.020000,281.138495,97.874225,26.736703,36.290439,-65.211219,-212.098229,3.767794
0.020000,280.572150,97.466647,27.434460,34.887887,-70.127605,-245.819315,3.763518
0.020000,280.029463,97.078231,28.101826,33.368265,-75.981078,-292.673641,3.762653
0.020000,279.514123,96.708676,28.735976,31.707515,-83.037516,-352.821893,3.765417
0.020000,279.030175,96.358203,29.333502,29.876315,-91.560002,-426.124307,3.772073
0.020000,278.582061,96.027704,29.890310,27.840398,-101.795858,-511.792777,3.782934
0.020000,278.174630,95.718909,30.401538,25.561414,-113.949187,-607.666488,3.798375
0.020000,276.933512,94.819461,31.934307,76.638451,2553.851853,133390.052025,3.734764
0.020000,275.476892,93.915291,33.648736,85.721432,454.149034,-104985.140958,3.659768
0.020000,273.989881,93.136662,35.327266,83.926505,-89.746327,-27194.768054,3.588612
0.020000,272.509164,92.486000,36.944636,80.868505,-152.899976,-3157.682464,3.523238
0.020000,271.066360,91.955722,38.481801,76.858249,-200.512843,-2380.643340,3.465114
0.020000,269.685566,91.531419,39.926317,72.225787,-231.623101,-1555.512897,3.415196
0.020000,268.383296,91.195382,41.271244,67.246366,-248.971017,-867.395770,3.374016
0.020000,267.170045,90.929424,42.513303,62.102961,-257.170283,-409.963320,3.341826
0.020000,266.052474,90.716685,43.650942,56.881924,-261.051842,-194.077945,3.318745
0.020000,265.035557,90.542576,44.682657,51.585736,-264.809364,-187.876093,3.304887
0.020000,264.124355,90.395221,45.605696,46.151989,-271.687383,-343.900977,3.300463
0.020000,263.325355,90.265737,46.415120,40.471201,-284.039412,-617.601439,3.305852
0.020000,262.647302,90.148634,47.103211,34.404520,-303.334005,-964.729629,3.321648
