dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,268.000014,119.980738,0.001745,0.174501,8.725073,436.253661,4.713871
0.020000,268.000006,119.987248,0.008255,0.325503,7.550070,-58.750144,4.713370
0.020000,268.000000,119.999865,0.020871,0.630820,15.265841,385.788538,4.712242
0.020000,267.999998,119.998057,0.022679,0.090368,-27.022597,-2114.421886,4.710233
0.020000,267.999989,119.995500,0.025236,0.127840,1.873634,1444.811525,4.707209
0.020000,267.999966,119.992379,0.028357,0.156084,1.412172,-23.073076,4.703153
0.020000,267.999926,119.988939,0.031797,0.171999,0.795740,-30.821610,4.698049
0.020000,267.999866,119.985489,0.035248,0.172534,0.026771,-38.448446,4.691871
0.020000,267.999792,119.982397,0.038341,0.154629,-0.895250,-46.101074,4.684592
0.020000,267.999719,119.980092,0.040647,0.115321,-1.965390,-53.506980,4.676179
0.020000,267.999678,119.979059,0.041681,0.051709,-3.180597,-60.760354,4.666594
0.020000,267.999720,119.979836,0.042460,0.038930,-0.638980,127.080829,4.655795
0.020000,267.999921,119.983011,0.045642,0.159087,6.007882,332.343116,4.643738
0.020000,268.000392,119.989212,0.051860,0.310908,7.591013,79.156573,4.630373
0.020000,268.001282,119.999093,0.061780,0.496037,9.256445,83.271592,4.615650
0.020000,268.002783,120.013323,0.076090,0.715469,10.971607,85.758102,4.599515
0.020000,268.005142,120.032564,0.095475,0.969257,12.689427,85.890983,4.581916
0.020000,268.008655,120.057444,0.120601,1.256329,14.353570,83.207131,4.562802
0.020000,268.013675,120.088522,0.152083,1.574079,15.887497,76.696391,4.542124
0.020000,268.020604,120.126252,0.190444,1.918039,17.198025,65.526390,4.519844
0.020000,268.029879,120.170931,0.236075,2.281570,18.176537,48.925569,4.495931
0.020000,268.041955,120.222644,0.289180,2.655223,18.682673,25.306799,4.470369
0.020000,268.057269,120.281210,0.349714,3.026738,18.575728,-5.347235,4.443161
0.020000,268.076197,120.346117,0.417325,3.380528,17.689507,-44.311025,4.414335
0.020000,268.098991,120.416470,0.491278,3.697667,15.856962,-91.627282,4.383948
0.020000,268.125706,120.490947,0.570402,3.956164,12.924826,-146.606797,4.352089
0.020000,268.156114,120.567776,0.653030,4.131398,8.761727,-208.154928,4.318886
0.020000,268.189621,120.644740,0.736971,4.197067,3.283457,-273.913532,4.284508
0.020000,268.225174,120.719219,0.819501,4.126498,-3.528469,-340.596288,4.249165
0.020000,268.261206,120.788268,0.897386,3.894241,-11.612850,-404.219053,4.213106
0.020000,268.295591,120.848734,0.966945,3.477953,-20.814401,-460.077531,4.176613
0.020000,268.325651,120.897401,1.024147,2.860103,-30.892495,-503.904704,4.139997
0.020000,268.348206,120.931145,1.064735,2.029393,-41.535500,-532.150266,4.103585
0.020000,268.359667,120.947087,1.084368,0.981686,-52.385366,-542.493308,4.067712
0.020000,268.356162,120.942721,1.089967,0.279929,-35.087816,864.877523,4.032705
0.020000,268.333692,120.916002,1.124878,1.745543,73.280667,5418.424136,3.998880
0.020000,268.288284,120.865385,1.192878,3.400013,82.723490,472.141148,3.966526
0.020000,268.216128,120.789811,1.297367,5.224425,91.220638,424.857401,3.935905
0.020000,268.113696,120.688653,1.441329,7.198134,98.685423,373.239248,3.907247
0.020000,267.977809,120.561628,1.627342,9.300629,105.124777,321.967697,3.880749
0.020000,267.805683,120.408678,1.857605,11.513157,110.626367,275.079518,3.856582
0.020000,267.594926,120.229850,2.134007,13.820080,115.346170,235.990152,3.834890
0.020000,267.343513,120.025170,2.458201,16.209723,119.482138,206.798409,3.815800
0.020000,267.049739,119.794519,2.831703,18.675072,123.267475,189.266827,3.799429
0.020000,266.712153,119.537518,3.255983,21.214016,126.947180,183.985275,3.785891
0.020000,266.329499,119.253414,3.732574,23.829562,130.777324,191.507164,3.775302
0.020000,265.900644,118.940974,4.263173,26.529951,135.019415,212.104585,3.767794
0.020000,265.424528,118.598366,4.849745,29.328616,139.933241,245.691309,3.763518
0.020000,264.900117,118.223039,5.494631,32.244293,145.783859,292.530867,3.762653
0.020000,264.326385,117.811581,6.200652,35.301033,152.837006,352.657364,3.765417
0.020000,263.702329,117.359563,6.971215,38.528140,161.355347,425.917070,3.772073
0.020000,263.027024,116.861350,7.810412,41.959859,171.585966,511.530913,3.782934
0.020000,262.299768,116.309896,8.723102,45.634490,183.731556,607.279530,3.798375
0.020000,262.399677,116.377932,8.843977,6.043746,-1979.537232,-108163.439423,3.734764
0.020000,262.599190,116.502119,9.078982,11.750269,285.326149,113243.169051,3.659768
0.020000,262.750617,116.581895,9.250139,8.557827,-159.622077,-22247.411306,3.588612
0.020000,262.825507,116.615376,9.332172,4.101677,-222.807483,-3159.270296,3.523238
0.020000,262.800770,116.606888,9.358326,1.307680,-139.699856,4155.381339,3.465114
0.020000,262.660308,116.564313,9.505098,7.338637,301.547827,22062.384152,3.415196
0.020000,262.394548,116.496269,9.779431,13.716622,318.899241,867.570724,3.374016
0.020000,261.998687,116.409947,10.184594,20.258167,327.077267,408.901281,3.341826
0.020000,261.470565,116.309772,10.722133,26.876946,330.938944,193.083842,3.318745
0.020000,260.808748,116.196701,11.393539,33.570295,334.667461,186.425882,3.304887
0.020000,260.011084,116.067794,12.201553,40.400676,341.519041,342.578970,3.300463
0.020000,259.073784,115.915769,13.151101,47.477444,353.838432,615.969550,3.305852
0.020000,257.991106,115.728310,14.249888,54.939313,373.093410,962.748921,3.321648
0.020000,256.755804,115.487034,15.508532,62.932221,399.645393,1327.599170,3.348670
0.020000,255.360760,115.166206,16.939992,71.573006,432.039260,1619.693313,3.387915
0.020000,253.802505,114.731672,18.557700,80.885367,465.618084,1678.941203,3.440420
0.020000,252.087336,114.141274,20.371639,90.696949,490.579074,1248.049535,3.506957
0.020000,250.239889,113.348938,22.381827,100.509443,490.624713,2.281904,3.587533
0.020000,248.311332,112.314868,24.570122,109.414717,445.263685,-2268.051374,3.680754
0.020000,246.380475,111.021311,26.894233,116.205583,339.543310,-5286.018778,3.783367
0.020000,244.540811,109.486501,29.290065,119.791576,179.299669,-8012.182048,3.890432
0.020000,242.875612,107.765109,31.685076,119.750543,-2.051676,-9067.567236,3.996359
0.020000,241.713678,106.330579,33.531144,92.303421,-1372.356090,-68515.220707,4.060888
0.020000,240.693483,104.916181,35.275082,87.196880,-255.327053,55851.451870,4.114514
0.020000,239.715434,103.387035,37.090259,90.758859,178.098943,21671.299777,4.172549
0.020000,238.797501,101.741584,38.974433,94.208678,172.490974,-280.398420,4.234822
0.020000,237.959790,99.983445,40.921947,97.375710,158.351593,-706.969077,4.300898
0.020000,237.223035,98.122650,42.923288,100.067063,134.567648,-1189.197220,4.370043
0.020000,236.606418,96.176110,44.965158,102.093486,101.321128,-1662.326025,4.441235
0.020000,236.125078,94.166814,47.031304,103.307289,60.690171,-2031.547826,4.513221
0.020000,235.787980,92.121685,49.104029,103.636271,16.449101,-2212.053494,4.584640
0.020000,235.596832,90.068509,51.166083,103.102705,-26.678329,-2156.371509,4.654161
0.020000,235.546365,88.032793,53.202425,101.817103,-64.280071,-1880.087124,4.720628
0.020000,235.625798,86.035358,55.201439,99.950679,-93.321188,-1452.055837,4.783146
0.020000,235.820910,84.091168,57.155395,97.697805,-112.643747,-966.127928,4.841119
0.020000,236.116080,82.209324,59.060247,95.242586,-122.760919,-505.858623,4.894238
0.020000,236.495903,80.393892,60.914987,92.737004,-125.279092,-125.908669,4.942425
0.020000,236.946196,78.645084,62.720836,90.292477,-122.226356,152.636799,4.985774
0.020000,237.454485,76.960467,64.480464,87.981413,-115.553187,333.658472,5.024492
0.020000,238.010117,75.335988,66.197339,85.843754,-106.882964,433.511163,5.058845
0.020000,238.604130,73.766752,67.875240,83.895049,-97.435236,472.386385,5.089125
0.020000,239.292008,72.116780,69.662860,89.380991,274.297098,18586.616679,5.129387
0.020000,240.159852,70.292214,71.683304,101.022185,582.059671,15388.128673,5.183882
0.020000,241.173540,68.442589,73.792492,105.459424,221.861972,-18009.884972,5.244136
0.020000,242.350697,66.583923,75.992569,110.003844,227.221012,267.952039,5.310314
0.020000,243.705973,64.739348,78.281505,114.446803,222.147902,-253.655525,5.382260
0.020000,245.247682,62.939285,80.651546,118.502046,202.762160,-969.287115,5.459378
0.020000,246.974163,61.219896,83.088150,121.830192,166.407296,-1817.743173,5.540549
0.020000,248.871133,59.619281,85.570178,124.101407,113.560757,-2642.326940,5.624144
0.020000,250.911591,58.171934,88.071834,125.082799,49.069586,-3224.558577,5.708177
0.020000,253.058983,56.903182,90.566031,124.709861,-18.646892,-3385.823910,5.790559
0.020000,255.272884,55.825664,93.028226,123.109745,-80.005806,-3067.945705,5.869401
