dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.991031,56.999997,0.001970,0.196970,9.848485,492.424242,0.000690
0.020000,11.991460,56.999997,0.002399,0.021459,-8.775552,-931.201826,0.000657
0.020000,11.992426,56.999998,0.003364,0.048273,1.340734,505.814285,0.000583
0.020000,11.994142,56.999999,0.005080,0.085790,1.875818,26.754207,0.000451
0.020000,11.996821,57.000000,0.007760,0.133971,2.409046,26.661404,0.000245
0.020000,12.013119,57.000000,0.024058,0.814901,34.046541,1581.874745,6.283133
0.020000,12.112799,56.999975,0.123738,4.984018,208.455822,8720.464044,6.282738
0.020000,12.237390,56.999888,0.248328,6.229511,62.274634,-7309.059395,6.282245
0.020000,12.386884,56.999704,0.397822,7.474710,62.259967,-0.733357,6.281655
0.020000,12.561275,56.999377,0.572213,8.719557,62.242359,-0.880378,6.280967
0.020000,12.760553,56.998857,0.771493,9.963964,62.220351,-1.100444,6.280184
0.020000,12.984709,56.998085,0.995650,11.207844,62.194002,-1.317435,6.279305
0.020000,13.233729,56.996998,1.244672,12.451119,62.163738,-1.513174,6.278331
0.020000,13.507602,56.995522,1.518550,13.693887,62.138402,-1.266840,6.277263
0.020000,13.806313,56.993580,1.817266,14.935824,62.096869,-2.076614,6.276103
0.020000,14.129844,56.991086,2.140807,16.177038,62.060682,-1.809362,6.274852
0.020000,14.478179,56.987949,2.489156,17.417444,62.020301,-2.019047,6.273510
0.020000,14.851298,56.984072,2.862295,18.656954,61.975487,-2.240693,6.272080
0.020000,15.249179,56.979351,3.260205,19.895481,61.926362,-2.456261,6.270563
0.020000,15.671800,56.973677,3.682863,21.132942,61.873052,-2.665523,6.268959
0.020000,16.119137,56.966935,4.130251,22.369392,61.822511,-2.527025,6.267272
0.020000,16.591162,56.959005,4.602343,23.604581,61.759450,-3.153063,6.265503
0.020000,17.087847,56.949761,5.099114,24.838573,61.699586,-2.993204,6.263653
0.020000,17.609163,56.939074,5.620540,26.071281,61.635388,-3.209868,6.261725
0.020000,18.155078,56.926809,6.166592,27.302596,61.565761,-3.481383,6.259721
0.020000,18.725556,56.912827,6.737241,28.532466,61.493494,-3.613353,6.257644
0.020000,19.320561,56.896986,7.332457,29.760788,61.416115,-3.868928,6.255494
0.020000,19.940055,56.879138,7.952208,30.987554,61.338274,-3.892074,6.253275
0.020000,20.583996,56.859134,8.596461,32.212626,61.253616,-4.232904,6.250990
0.020000,21.252345,56.836822,9.265181,33.436020,61.169729,-4.194321,6.248641
0.020000,21.945053,56.812047,9.958332,34.657569,61.077443,-4.614298,6.246231
0.020000,22.662075,56.784649,10.675877,35.877245,60.983788,-4.682783,6.243762
0.020000,23.403361,56.754472,11.417777,37.094992,60.887360,-4.821371,6.241239
0.020000,24.168859,56.721353,12.183991,38.310706,60.785669,-5.084558,6.238663
0.020000,24.958515,56.685132,12.974478,39.524316,60.680536,-5.256655,6.236038
0.020000,25.772273,56.645645,13.789193,40.735782,60.573296,-5.361996,6.233367
0.020000,26.610075,56.602731,14.628093,41.945005,60.461129,-5.608352,6.230655
0.020000,27.471859,56.556228,15.491132,43.151916,60.345531,-5.779892,6.227904
0.020000,28.357563,56.505974,16.378261,44.356449,60.226681,-5.942487,6.225117
0.020000,29.267123,56.451809,17.289431,45.558533,60.104176,-6.125243,6.222300
0.020000,30.200470,56.393575,18.224593,46.758102,59.978460,-6.285847,6.219455
0.020000,31.157536,56.331117,19.183695,47.955074,59.848609,-6.492521,6.216587
0.020000,32.138248,56.264280,20.166683,49.149389,59.715750,-6.642932,6.213700
0.020000,33.142536,56.192915,21.173502,50.340977,59.579392,-6.817908,6.210798
0.020000,34.170322,56.116876,22.204097,51.529769,59.439622,-6.988514,6.207885
0.020000,35.221531,56.036021,23.258411,52.715699,59.296467,-7.157755,6.204966
0.020000,36.296084,55.950213,24.336385,53.898702,59.150148,-7.315947,6.202045
0.020000,37.393902,55.859320,25.437960,55.078710,59.000394,-7.487701,6.199126
0.020000,38.514903,55.763217,26.563073,56.255651,58.847079,-7.665765,6.196215
0.020000,39.659006,55.661785,27.711662,57.429480,58.691469,-7.780489,6.193317
0.020000,40.826125,55.554912,28.883665,58.600126,58.532256,-7.960633,6.190436
0.020000,42.016177,55.442493,30.079015,59.767517,58.369549,-8.135360,6.187576
0.020000,43.229077,55.324433,31.297647,60.931597,58.204005,-8.277194,6.184745
0.020000,44.464738,55.200643,32.539493,62.092312,58.035780,-8.411261,6.181945
0.020000,45.723074,55.071046,33.804486,63.249612,57.864988,-8.539572,6.179183
0.020000,47.001986,54.935791,35.090529,64.302190,52.628912,-261.803819,6.176469
0.020000,48.297373,54.795275,36.393516,65.149326,42.356808,-513.605204,6.173815
0.020000,49.605158,54.649950,37.709350,65.791725,32.119921,-511.844355,6.171233
0.020000,50.921284,54.500312,39.033955,66.230249,21.926183,-509.686899,6.168735
0.020000,52.241716,54.346903,40.363269,66.465669,11.771048,-507.756745,6.166328
0.020000,53.562440,54.190305,41.693245,66.498809,1.656979,-505.703437,6.164022
0.020000,54.881464,54.030894,43.021866,66.431073,-3.386822,-252.190082,6.161821
0.020000,56.198799,53.868812,44.349135,66.363421,-3.382604,0.210910,6.159723
0.020000,57.514458,53.704205,45.675051,66.295830,-3.379530,0.153704,6.157729
0.020000,58.828455,53.537213,46.999617,66.228302,-3.376400,0.156505,6.155840
0.020000,60.140805,53.367979,48.322834,66.160834,-3.373385,0.150736,6.154054
0.020000,61.451522,53.196645,49.644702,66.093412,-3.371134,0.112562,6.152372
0.020000,62.760624,53.023350,50.965224,66.026074,-3.366896,0.211916,6.150793
0.020000,64.068125,52.848236,52.284400,65.958797,-3.363834,0.153096,6.149318
0.020000,65.374044,52.671441,53.602231,65.891580,-3.360863,0.148557,6.147946
0.020000,66.678397,52.493104,54.918720,65.824414,-3.358269,0.129693,6.146678
0.020000,67.981203,52.313364,56.233866,65.757296,-3.355903,0.118294,6.145513
0.020000,69.282479,52.132359,57.547670,65.690245,-3.352573,0.166505,6.144451
0.020000,70.582245,51.950224,58.860135,65.623241,-3.350170,0.120122,6.143492
0.020000,71.880519,51.767097,60.171261,65.556282,-3.347960,0.110525,6.142636
0.020000,73.177320,51.583114,61.481048,65.489357,-3.346259,0.085047,6.141884
0.020000,74.472667,51.398411,62.789497,65.422470,-3.344340,0.095967,6.141234
0.020000,75.766580,51.213121,64.096610,65.355621,-3.342440,0.094989,6.140686
0.020000,77.059078,51.027381,65.402386,65.288799,-3.341121,0.065944,6.140242
