dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.979516,14.000016,0.007738,0.773810,38.690476,1934.523810,6.281610
0.020000,17.983201,14.000011,0.011423,0.184235,-29.478744,-3408.460989,6.281893
0.020000,17.990568,14.000003,0.018790,0.368365,9.206521,1934.263222,6.282460
0.020000,18.015190,14.000001,0.043412,1.231079,43.135673,1696.457602,0.000124
0.020000,18.153725,14.000097,0.181947,6.926768,284.784493,12082.440993,0.001257
0.020000,18.326881,14.000437,0.355103,8.657798,86.551459,-9911.651688,0.002671
0.020000,18.534649,14.001168,0.562873,10.388493,86.534784,-0.833738,0.004368
0.020000,18.777020,14.002466,0.805247,12.118715,86.511083,-1.185072,0.006346
0.020000,19.053994,14.004537,1.082229,13.849079,86.518203,0.356014,0.008604
0.020000,19.365544,14.007613,1.393794,15.578267,86.459390,-2.940654,0.011142
0.020000,19.711662,14.011957,1.739939,17.307223,86.447830,-0.577982,0.013959
0.020000,20.092315,14.017861,2.120637,19.034944,86.386022,-3.090407,0.017053
0.020000,20.507481,14.025641,2.535877,20.761984,86.352004,-1.700913,0.020423
0.020000,20.957126,14.035646,2.985633,22.487811,86.291343,-3.033037,0.024068
0.020000,21.441215,14.048248,3.469886,24.212633,86.241091,-2.512598,0.027985
0.020000,21.959704,14.063848,3.988610,25.936192,86.177994,-3.154866,0.032172
0.020000,22.512540,14.082874,4.541773,27.658161,86.098436,-3.977875,0.036628
0.020000,23.099657,14.105777,5.129336,29.378167,86.000299,-4.906864,0.041349
0.020000,23.720986,14.133035,5.751263,31.096329,85.908107,-4.609589,0.046333
0.020000,24.376441,14.165148,6.407504,32.812070,85.787014,-6.054647,0.051575
0.020000,25.065950,14.202643,7.098032,34.526394,85.716239,-3.538767,0.057073
0.020000,25.789383,14.246065,7.822767,36.236724,85.516472,-9.988344,0.062822
0.020000,26.546636,14.295981,8.581664,37.944854,85.406522,-5.497501,0.068818
0.020000,27.337578,14.352980,9.374657,39.649646,85.239576,-8.347301,0.075056
0.020000,28.162066,14.417666,10.201678,41.351063,85.070870,-8.435324,0.081530
0.020000,29.019930,14.490661,11.062642,43.048184,84.856061,-10.740423,0.088234
0.020000,29.910988,14.572603,11.957460,44.740896,84.635602,-11.022941,0.095162
0.020000,30.835052,14.664141,12.886046,46.429329,84.421611,-10.699564,0.102306
0.020000,31.791908,14.765937,13.848303,48.112817,84.174426,-12.359280,0.109660
0.020000,32.781320,14.878661,14.844114,49.790594,83.888844,-14.279072,0.117213
0.020000,33.803044,15.002991,15.873375,51.463047,83.622671,-13.308652,0.124958
0.020000,34.856800,15.139607,16.935951,53.128778,83.286536,-16.806747,0.132886
0.020000,35.942305,15.289195,18.031714,54.788153,82.968755,-15.889048,0.140985
0.020000,37.059245,15.452435,19.160520,56.440301,82.607375,-18.069016,0.149245
0.020000,38.207296,15.630009,20.322222,58.085116,82.240743,-18.331615,0.157655
0.020000,39.386108,15.822588,21.516662,59.721979,81.843159,-19.879172,0.166202
0.020000,40.595314,16.030837,22.743669,61.350345,81.418304,-21.242732,0.174873
0.020000,41.834537,16.255409,24.003076,62.970367,81.001101,-20.860165,0.183655
0.020000,43.103370,16.496940,25.294693,64.580836,80.523447,-23.882703,0.192535
0.020000,44.401400,16.756049,26.618331,66.181920,80.054202,-23.462233,0.201496
0.020000,45.728196,17.033334,27.973793,67.773094,79.558714,-24.774405,0.210525
0.020000,47.083316,17.329370,29.360872,69.353920,79.041288,-25.871291,0.219605
0.020000,48.466305,17.644704,30.779355,70.924157,78.511826,-26.473139,0.228719
0.020000,49.876700,17.979853,32.229024,72.483450,77.964671,-27.357726,0.237852
0.020000,51.314032,18.335304,33.709655,74.031552,77.405092,-27.978977,0.246985
0.020000,52.777825,18.711505,35.221017,75.568104,76.827608,-28.874170,0.256101
0.020000,54.267600,19.108871,36.762876,77.092948,76.242196,-29.270602,0.265182
0.020000,55.782880,19.527773,38.334993,78.605876,75.646384,-29.790635,0.274210
0.020000,57.323189,19.968543,39.937127,80.106670,75.039716,-30.333400,0.283166
0.020000,58.888058,20.431466,41.569031,81.595205,74.426746,-30.648492,0.292031
0.020000,60.477022,20.916784,43.230458,83.071365,73.808008,-30.936884,0.300785
0.020000,62.089630,21.424687,44.921159,84.535063,73.184921,-31.154374,0.309411
0.020000,63.725442,21.955319,46.640883,85.986195,72.556593,-31.416393,0.317889
0.020000,65.384033,22.508770,48.389378,87.424734,71.926924,-31.483449,0.326198
0.020000,67.064999,23.085081,50.166392,88.850695,71.298087,-31.441821,0.334320
0.020000,68.767952,23.684236,51.971672,90.264030,70.666724,-31.568186,0.342236
0.020000,70.492531,24.306165,53.804966,91.664699,70.033447,-31.663810,0.349926
0.020000,72.238396,24.950743,55.666021,93.052752,69.402641,-31.540311,0.357370
0.020000,74.005238,25.617788,57.554586,94.428256,68.775197,-31.372228,0.364549
0.020000,75.792775,26.307058,59.470411,95.791218,68.148124,-31.353631,0.371444
0.020000,77.600754,27.018255,61.413241,97.141514,67.514787,-31.666831,0.378036
0.020000,79.428957,27.751019,63.382827,98.479301,66.889363,-31.271198,0.384305
0.020000,81.277199,28.504929,65.378918,99.804540,66.261927,-31.371802,0.390232
0.020000,83.145328,29.279504,67.401262,101.117183,65.632170,-31.487855,0.395797
0.020000,85.033229,30.074197,69.449604,102.417103,64.995995,-31.808734,0.400981
0.020000,86.940823,30.888396,71.523691,103.704353,64.362524,-31.673560,0.405764
0.020000,88.868069,31.721426,73.623265,104.978722,63.718418,-32.205323,0.410127
0.020000,90.814961,32.572540,75.748068,106.240132,63.070488,-32.396475,0.414050
0.020000,92.781533,33.440924,77.897834,107.488328,62.409816,-33.033634,0.417512
0.020000,94.767856,34.325688,80.072297,108.723113,61.739251,-33.528220,0.420492
0.020000,96.774037,35.225872,82.271181,109.944217,61.055212,-34.201961,0.422971
0.020000,98.800219,36.140433,84.494205,111.151213,60.349801,-35.270558,0.424925
0.020000,100.846585,37.068252,86.741083,112.343872,59.632968,-35.841635,0.426333
0.020000,102.913347,38.008124,89.011516,113.521651,58.888948,-37.200986,0.427172
0.020000,105.000755,38.958756,91.305197,114.684089,58.121870,-38.353923,0.427419
0.020000,107.109091,39.918765,93.621810,115.830648,57.327935,-39.696764,0.427048
0.020000,109.238664,40.886671,95.961025,116.960716,56.503404,-41.226541,0.426035
0.020000,111.389815,41.860894,98.322499,118.073706,55.649522,-42.694098,0.424354
0.020000,113.562907,42.839749,100.705876,119.168864,54.757915,-44.580323,0.421976
0.020000,115.758329,43.821440,103.110786,120.245514,53.832504,-46.270591,0.418874
0.020000,117.976486,44.804058,105.536845,121.302910,52.869758,-48.137261,0.415018
0.020000,120.217801,45.785569,107.983650,122.340261,51.867554,-50.110238,0.410377
0.020000,122.482708,46.763818,110.450790,123.356996,50.836763,-51.539521,0.404919
0.020000,124.771647,47.736516,112.937832,124.352123,49.756356,-54.020338,0.398611
0.020000,127.078177,48.698398,115.436892,124.952991,30.043411,-985.647282,0.391442
0.020000,129.389010,49.641557,117.932788,124.794790,-7.910054,-1897.673247,0.383435
0.020000,131.697748,50.561264,120.417971,124.259144,-26.782288,-943.611676,0.374603
0.020000,134.004838,51.455690,122.892372,123.720080,-26.953248,-8.548021,0.364943
0.020000,136.310677,52.323006,125.355933,123.178014,-27.103290,-7.502085,0.354448
0.020000,138.615610,53.161386,127.808604,122.633565,-27.222430,-5.957001,0.343116
0.020000,140.919931,53.969011,130.250356,122.087613,-27.297612,-3.759129,0.330944
0.020000,143.223882,54.744074,132.681182,121.541276,-27.316851,-0.961911,0.317932
0.020000,145.527652,55.484784,135.101101,120.995945,-27.266544,2.515346,0.304081
0.020000,147.831378,56.189374,137.510167,120.453299,-27.132287,6.712843,0.289396
0.020000,150.135144,56.856109,139.908473,119.915309,-26.899510,11.638830,0.273883
0.020000,152.438985,57.483289,142.296158,119.384249,-26.553022,17.324423,0.257553
0.020000,154.742888,58.069264,144.673412,118.862693,-26.077758,23.763160,0.240421
0.020000,157.046794,58.612438,147.040481,118.353496,-25.459855,30.895153,0.222506
0.020000,159.350601,59.111279,149.397677,117.859763,-24.686654,38.660086,0.203831
0.020000,161.654169,59.564329,151.745373,117.384813,-23.747490,46.958200,0.184426
0.020000,163.957320,59.970211,154.084016,116.932127,-22.634348,55.657098,0.164325
0.020000,166.259846,60.327642,156.414119,116.505173,-21.347659,64.334448,0.143567
0.020000,168.561510,60.635433,158.736271,116.107607,-19.878326,73.466624,0.122197
0.020000,170.862050,60.892504,161.051130,115.742954,-18.232655,82.283571,0.100267
0.020000,173.161186,61.097888,163.359421,115.414547,-16.420349,90.615270,0.077832
0.020000,175.458617,61.250733,165.661931,115.125493,-14.452695,98.382716,0.054952
0.020000,177.754011,61.350310,167.959483,114.877611,-12.394071,102.931225,0.031691
0.020000,180.047042,61.396017,170.252970,114.674359,-10.162630,111.572013,0.008117
0.020000,182.337351,61.387379,172.543296,114.516272,-7.904317,112.915668,6.267486
0.020000,184.630026,61.326971,174.836766,114.673511,7.861902,788.310953,6.253135
0.020000,187.379703,61.260541,177.587246,137.523984,1142.523690,56733.089392,6.264712
0.020000,190.112331,61.224314,180.320114,136.643386,-44.029911,-59327.680041,6.274933
0.020000,192.827868,61.214261,183.035669,135.777763,-43.281169,37.437086,0.000637
0.020000,195.526362,61.226488,185.734191,134.926102,-42.583023,34.907294,0.008216
0.020000,198.201506,61.257138,188.409510,133.765970,-58.006589,-771.178289,0.014491
0.020000,200.839281,61.302192,191.047670,131.908014,-92.897828,-1744.561930,0.019464
0.020000,203.430871,61.357695,193.639855,129.609213,-114.940056,-1102.111392,0.023166
0.020000,205.975486,61.420060,196.185233,127.268921,-117.014604,-103.727441,0.025649
0.020000,208.473835,61.486030,198.684453,124.961001,-115.395996,80.930443,0.026963
0.020000,210.926587,61.552636,201.138110,122.682831,-113.908502,74.374697,0.027152
0.020000,213.334364,61.617169,203.546751,120.432081,-112.537509,68.549614,0.026259
0.020000,215.697735,61.677164,205.910884,118.206607,-111.273664,63.192240,0.024324
0.020000,218.017216,61.730383,208.230976,116.004598,-110.100463,58.660091,0.021382
0.020000,220.293269,61.774795,210.507462,113.824319,-109.013958,54.325218,0.017467
0.020000,222.526303,61.808568,212.740751,111.664470,-107.992450,51.075409,0.012610
0.020000,224.716676,61.830054,214.931229,109.523899,-107.028540,48.195515,0.006840
0.020000,226.864697,61.837781,217.079264,107.401756,-106.107164,46.068805,0.000187
0.020000,228.970632,61.830442,219.185212,105.297397,-105.217962,44.460102,6.275863
0.020000,231.034708,61.806890,221.249423,103.210519,-104.343902,43.702973,6.267524
0.020000,233.057115,61.766130,223.272240,101.140880,-103.481907,43.099769,6.258382
0.020000,235.038016,61.707316,225.254014,99.088679,-102.610081,43.591281,6.248463
0.020000,236.977546,61.629740,227.195094,97.054021,-101.732894,43.859354,6.237796
0.020000,238.875827,61.532834,229.095847,95.037642,-100.818956,45.696901,6.226407
0.020000,240.732969,61.416163,230.956651,93.040199,-99.872129,47.341355,6.214327
0.020000,242.549078,61.279420,232.777900,91.062461,-98.886925,49.260212,6.201584
0.020000,244.324256,61.122421,234.560007,89.105351,-97.855462,51.573137,6.188212
0.020000,246.058622,60.945104,236.303414,87.170319,-96.751635,55.191374,6.174244
0.020000,247.752300,60.747523,238.008578,85.258217,-95.605107,57.326363,6.159715
0.020000,249.405439,60.529839,239.675988,83.370489,-94.386371,60.936808,6.144664
0.020000,251.018212,60.292322,241.306156,81.508418,-93.103578,64.139645,6.129128
0.020000,252.590816,60.035339,242.899619,79.673146,-91.763579,66.999983,6.113150
0.020000,254.123484,59.759350,244.456938,77.865958,-90.359391,70.209359,6.096772
0.020000,255.616484,59.464903,245.978697,76.087913,-88.902268,72.856174,6.080040
0.020000,257.070120,59.152627,247.465496,74.339965,-87.397386,75.244107,6.063000
0.020000,258.484732,58.823222,248.917954,72.622896,-85.853455,77.196557,6.045699
0.020000,259.860697,58.477456,250.336698,70.937232,-84.283192,78.513110,6.028186
0.020000,261.198432,58.116154,251.722365,69.283325,-82.695346,79.392314,6.010510
0.020000,262.498385,57.740195,253.075593,67.661385,-81.097027,79.915958,5.992719
0.020000,263.761037,57.350501,254.397013,66.071006,-79.518944,78.904160,5.974862
0.020000,264.986897,56.948035,255.687250,64.511861,-77.957250,78.084669,5.956987
0.020000,266.176501,56.533790,256.946915,62.983257,-76.430202,76.352423,5.939142
0.020000,267.330406,56.108784,258.176601,61.484295,-74.948075,74.106365,5.921371
0.020000,268.449186,55.674057,259.376874,60.013661,-73.531723,70.817579,5.903719
0.020000,269.533430,55.230664,260.548276,58.570079,-72.179080,67.632130,5.886227
0.020000,270.583731,54.779670,261.691310,57.151719,-70.918022,63.052928,5.868934
0.020000,271.600695,54.322143,262.806455,55.757228,-69.724539,59.674132,5.851876
0.020000,272.584927,53.859155,263.894145,54.384511,-68.635868,54.433582,5.835087
0.020000,273.537033,53.391775,264.954782,53.031847,-67.633203,50.133242,5.818598
0.020000,274.457614,52.921064,265.988724,51.697121,-66.736289,44.845675,5.802436
0.020000,275.347258,52.448080,266.996286,50.378100,-65.951062,39.261383,5.786627
