dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.978830,14.000017,0.001970,0.196970,9.848485,492.424242,6.281557
0.020000,17.979768,14.000016,0.002908,0.046901,-7.503433,-867.595910,6.281629
0.020000,17.981878,14.000013,0.005018,0.105519,2.930904,521.716846,6.281791
0.020000,17.985629,14.000008,0.008769,0.187561,4.102115,58.560561,6.282080
0.020000,17.991489,14.000003,0.014629,0.292993,5.271556,58.472058,6.282531
0.020000,17.999924,14.000000,0.023064,0.421754,6.438085,58.326462,6.283179
0.020000,18.105086,14.000045,0.128226,5.258107,241.817651,11768.978314,0.000859
0.020000,18.237311,14.000230,0.260451,6.611230,67.656156,-8708.074753,0.001940
0.020000,18.395972,14.000641,0.419113,7.933097,66.093329,-78.141382,0.003236
0.020000,18.581075,14.001380,0.604217,9.255194,66.104849,0.576024,0.004747
0.020000,18.792598,14.002566,0.815743,10.576332,66.056905,-2.397207,0.006473
0.020000,19.030544,14.004337,1.053696,11.897635,66.065130,0.411253,0.008413
0.020000,19.294902,14.006846,1.318066,13.218510,66.043758,-1.068633,0.010567
0.020000,19.585645,14.010263,1.608829,14.538130,65.980996,-3.138059,0.012934
0.020000,19.902784,14.014774,1.926001,15.858578,66.022411,2.070744,0.015513
0.020000,20.246280,14.020583,2.269545,17.177236,65.932921,-4.474527,0.018304
0.020000,20.616123,14.027908,2.639460,18.495759,65.926150,-0.338550,0.021304
0.020000,21.012295,14.036986,3.035737,19.813814,65.902710,-1.171972,0.024515
0.020000,21.434771,14.048068,3.458358,21.131075,65.863054,-1.982788,0.027933
0.020000,21.883517,14.061420,3.907303,22.447228,65.807673,-2.769089,0.031558
0.020000,22.358490,14.077325,4.382542,23.761970,65.737092,-3.529048,0.035387
0.020000,22.859663,14.096080,4.884066,25.076179,65.710452,-1.331971,0.039421
0.020000,23.386978,14.117996,5.411836,26.388525,65.617302,-4.657510,0.043655
0.020000,23.940406,14.143401,5.965847,27.700513,65.599417,-0.894236,0.048089
0.020000,24.519872,14.172635,6.546050,29.010167,65.482676,-5.837053,0.052720
0.020000,25.125316,14.206049,7.152416,30.318286,65.405956,-3.836011,0.057546
0.020000,25.756666,14.244011,7.784906,31.624516,65.311492,-4.723206,0.062563
0.020000,26.413858,14.286899,8.443495,32.929457,65.247057,-3.221747,0.067769
0.020000,27.096788,14.335103,9.128124,34.231456,65.099964,-7.354666,0.073160
0.020000,27.805370,14.389022,9.838755,35.531548,65.004578,-4.769278,0.078733
0.020000,28.539493,14.449068,10.575330,36.828735,64.859370,-7.260397,0.084484
0.020000,29.299050,14.515659,11.337800,38.123522,64.739356,-6.000716,0.090408
0.020000,30.083920,14.589226,12.126110,39.415499,64.598847,-7.025424,0.096502
0.020000,30.893968,14.670203,12.940196,40.704281,64.439107,-7.987023,0.102760
0.020000,31.729047,14.759031,13.779986,41.989510,64.261413,-8.884676,0.109178
0.020000,32.588997,14.856157,14.645403,43.270851,64.067055,-9.717901,0.115749
0.020000,33.473669,14.962033,15.536388,44.549243,63.919605,-7.372542,0.122468
0.020000,34.382870,15.077113,16.452843,45.822747,63.675228,-12.218821,0.129328
0.020000,35.316417,15.201851,17.394687,47.092214,63.473331,-10.094860,0.136324
0.020000,36.274114,15.336704,18.361832,48.357231,63.250827,-11.125198,0.143447
0.020000,37.255749,15.482127,19.354180,49.617421,63.009514,-12.065629,0.150690
0.020000,38.261098,15.638573,20.371629,50.872444,62.751166,-12.917419,0.158047
0.020000,39.289926,15.806488,21.414070,52.122032,62.479396,-13.588506,0.165508
0.020000,40.341999,15.986318,22.481401,53.366571,62.226928,-12.623392,0.173065
0.020000,41.417054,16.178498,23.573498,54.604822,61.912564,-15.718209,0.180709
0.020000,42.514828,16.383455,24.690242,55.837196,61.618712,-14.692606,0.188431
0.020000,43.635052,16.601609,25.831509,57.063380,61.309205,-15.475357,0.196221
0.020000,44.777442,16.833367,26.997170,58.283069,60.984419,-16.239291,0.204069
0.020000,45.941708,17.079120,28.187090,59.495999,60.646500,-16.895923,0.211965
0.020000,47.127550,17.339250,29.401129,60.701948,60.297473,-17.451356,0.219899
0.020000,48.334671,17.614120,30.639150,61.901016,59.953372,-17.205039,0.227858
0.020000,49.562757,17.904075,31.901001,63.092571,59.577769,-18.780151,0.235833
0.020000,50.811497,18.209444,33.186536,64.276760,59.209451,-18.415923,0.243812
0.020000,52.080574,18.530535,34.495604,65.453363,58.830166,-18.964252,0.251782
0.020000,53.369671,18.867632,35.828047,66.622175,58.440559,-19.480324,0.259733
0.020000,54.676415,19.220436,37.181579,67.676616,52.722077,-285.924137,0.267639
0.020000,55.996420,19.587986,38.551801,68.511064,41.722393,-549.984201,0.275465
0.020000,57.325372,19.969178,39.934342,69.127081,30.800833,-546.078006,0.283178
0.020000,58.659030,20.362775,41.324867,69.526255,19.958722,-542.105547,0.290748
0.020000,59.993227,20.767410,42.719074,69.710330,9.203762,-537.747965,0.298146
0.020000,61.323873,21.181600,44.112693,69.680930,-1.470024,-533.689321,0.305348
0.020000,62.648961,21.604398,45.503598,69.545251,-6.783921,-265.694843,0.312341
0.020000,63.968517,22.035469,46.891779,69.409087,-6.808238,-1.215859,0.319125
0.020000,65.282579,22.474478,48.277235,69.272796,-6.814512,-0.313677,0.325698
0.020000,66.591188,22.921097,49.659959,69.136206,-6.829498,-0.749333,0.332062
0.020000,67.894398,23.374998,51.039954,68.999713,-6.824670,0.241420,0.338215
0.020000,69.192264,23.835860,52.417215,68.863076,-6.831841,-0.358573,0.344159
0.020000,70.484853,24.303363,53.791750,68.726720,-6.817785,0.702799,0.349892
0.020000,71.772230,24.777193,55.163556,68.590342,-6.818915,-0.056490,0.355416
0.020000,73.054474,25.257039,56.532644,68.454400,-6.797100,1.090783,0.360731
0.020000,74.331660,25.742593,57.899015,68.318518,-6.794095,0.150237,0.365836
0.020000,75.603877,26.233555,59.262679,68.183205,-6.765676,1.420962,0.370733
0.020000,76.871208,26.729623,60.623639,68.047996,-6.760442,0.261681,0.375423
0.020000,78.133750,27.230506,61.981908,67.913445,-6.727551,1.644536,0.379905
0.020000,79.391592,27.735911,63.337489,67.779078,-6.718336,0.460773,0.384181
0.020000,80.644838,28.245552,64.690397,67.645363,-6.685737,1.629941,0.388251
0.020000,81.893583,28.759146,66.040635,67.511928,-6.671792,0.697237,0.392115
0.020000,83.137934,29.276415,67.388217,67.379095,-6.641650,1.507093,0.395775
0.020000,84.377994,29.797082,68.733150,67.246629,-6.623262,0.919423,0.399232
0.020000,85.613871,30.320877,70.075443,67.114687,-6.597118,1.307201,0.402485
0.020000,86.845672,30.847532,71.415107,66.983190,-6.574845,1.113624,0.405536
0.020000,88.073507,31.376781,72.752149,66.852115,-6.553730,1.055755,0.408386
0.020000,89.297487,31.908362,74.086580,66.721547,-6.528404,1.266298,0.411034
0.020000,90.517721,32.442017,75.418406,66.591291,-6.512813,0.779578,0.413482
0.020000,91.734325,32.977491,76.747638,66.461574,-6.485869,1.347210,0.415731
0.020000,92.947406,33.514530,78.074279,66.332077,-6.474839,0.551480,0.417780
0.020000,94.157081,34.052885,79.398341,66.203075,-6.450075,1.238184,0.419631
0.020000,95.363460,34.592306,80.719827,66.074307,-6.438399,0.583834,0.421284
0.020000,96.566656,35.132550,82.038745,65.945884,-6.421180,0.860935,0.422739
