dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.000000,118.000000,0.007738,0.773810,38.690476,1934.523810,6.282445
0.020000,66.000000,118.000000,0.038690,2.321429,77.380952,1934.523810,6.282777
0.020000,66.023722,118.000003,0.100595,3.869048,77.380952,0.000000,0.000253
0.020000,66.116579,118.000072,0.193452,5.416667,77.380952,0.000000,0.001242
0.020000,66.240388,118.000308,0.317262,6.964286,77.380952,0.000000,0.002554
0.020000,66.395149,118.000829,0.472024,8.511905,77.380952,0.000000,0.004183
0.020000,66.580861,118.001786,0.657738,10.059524,77.380952,-0.000000,0.006122
0.020000,66.797522,118.003356,0.874405,11.607143,77.380952,0.000000,0.008363
0.020000,67.045129,118.005741,1.122024,13.154762,77.380952,0.000000,0.010895
0.020000,67.323679,118.009168,1.400595,14.702381,77.380952,0.000000,0.013707
0.020000,67.633167,118.013889,1.710119,16.250000,77.380952,0.000000,0.016787
0.020000,67.973585,118.020173,2.050595,17.797619,77.380952,0.000000,0.020120
0.020000,68.344924,118.028310,2.422024,19.345238,77.380952,-0.000000,0.023689
0.020000,68.747173,118.038607,2.824405,20.892857,77.380952,0.000000,0.027479
0.020000,69.180318,118.051381,3.257738,22.440476,77.380952,-0.000000,0.031471
0.020000,69.644342,118.066963,3.722024,23.988095,77.380952,0.000000,0.035645
0.020000,70.139225,118.085689,4.217262,25.535714,77.380952,-0.000000,0.039980
0.020000,70.664946,118.107902,4.743452,27.083333,77.380952,0.000000,0.044453
0.020000,71.221480,118.133945,5.300595,28.630952,77.380952,-0.000000,0.049041
0.020000,71.808798,118.164156,5.888690,30.178571,77.380952,0.000000,0.053719
0.020000,72.426871,118.198869,6.507738,31.726190,77.380952,-0.000000,0.058460
0.020000,73.075667,118.238407,7.157738,33.273810,77.380952,0.000000,0.063237
0.020000,73.755151,118.283079,7.838690,34.821429,77.380952,0.000000,0.068022
0.020000,74.465291,118.333173,8.550595,36.369048,77.380952,0.000000,0.072786
0.020000,75.206050,118.388955,9.293452,37.916667,77.380952,0.000000,0.077496
0.020000,75.977394,118.450666,10.067262,39.464286,77.380952,-0.000000,0.082123
0.020000,76.779291,118.518509,10.872024,41.011905,77.380952,0.000000,0.086632
0.020000,77.611709,118.592655,11.707738,42.559524,77.380952,0.000000,0.090990
0.020000,78.474621,118.673231,12.574405,44.107143,77.380952,0.000000,0.095163
0.020000,79.368005,118.760316,13.472024,45.654762,77.380952,-0.000000,0.099115
0.020000,80.291844,118.853938,14.400595,47.202381,77.380952,0.000000,0.102809
0.020000,81.246129,118.954067,15.360119,48.750000,77.380952,0.000000,0.106207
0.020000,82.230858,119.060610,16.350595,50.297619,77.380952,0.000000,0.109270
0.020000,83.246039,119.173404,17.372024,51.845238,77.380952,0.000000,0.111959
0.020000,84.291692,119.292214,18.424405,53.392857,77.380952,-0.000000,0.114231
0.020000,85.367847,119.416720,19.507738,54.940476,77.380952,0.000000,0.116046
0.020000,86.474547,119.546516,20.622024,56.488095,77.380952,0.000000,0.117358
0.020000,87.611850,119.681101,21.767262,58.035714,77.380952,0.000000,0.118123
0.020000,88.779825,119.819873,22.943452,59.583333,77.380952,-0.000000,0.118292
0.020000,89.978558,119.962117,24.150595,61.130952,77.380952,0.000000,0.117818
0.020000,91.208147,120.107001,25.388690,62.678571,77.380952,0.000000,0.116648
0.020000,92.468703,120.253565,26.657738,64.226190,77.380952,0.000000,0.114730
0.020000,93.760348,120.400712,27.957738,65.773810,77.380952,-0.000000,0.112008
0.020000,95.083214,120.547196,29.288690,67.321429,77.380952,0.000000,0.108423
0.020000,96.437439,120.691611,30.650595,68.869048,77.380952,-0.000000,0.103914
0.020000,97.823163,120.832383,32.043452,70.416667,77.380952,0.000000,0.098416
0.020000,99.240520,120.967751,33.467262,71.964286,77.380952,0.000000,0.091863
0.020000,100.689636,121.095758,34.922024,73.511905,77.380952,-0.000000,0.084183
0.020000,102.170613,121.214239,36.407738,75.059524,77.380952,0.000000,0.075304
0.020000,103.683526,121.320800,37.924405,76.607143,77.380952,0.000000,0.065148
0.020000,105.228399,121.412812,39.472024,78.154762,77.380952,-0.000000,0.053637
0.020000,106.805196,121.487396,41.050595,79.702381,77.380952,0.000000,0.040689
0.020000,108.413799,121.541406,42.660119,81.250000,77.380952,-0.000000,0.026224
0.020000,110.053983,121.571429,44.300595,82.797619,77.380952,0.000000,0.010158
0.020000,111.725387,121.573772,45.972024,84.345238,77.380952,0.000000,6.275600
0.020000,113.427489,121.544468,47.674405,85.892857,77.380952,-0.000000,6.256102
0.020000,115.159563,121.479276,49.407738,87.440476,77.380952,0.000000,6.234784
0.020000,116.920648,121.373706,51.172024,88.988095,77.380952,-0.000000,6.211589
0.020000,118.709504,121.223038,52.967262,90.535714,77.380952,0.000000,6.186477
0.020000,120.524580,121.022370,54.793452,92.083333,77.380952,0.000000,6.159429
0.020000,122.363970,120.766674,56.650595,93.630952,77.380952,-0.000000,6.130450
0.020000,124.225389,120.450867,58.538690,95.178571,77.380952,0.000000,6.099577
0.020000,126.106156,120.069907,60.457738,96.726190,77.380952,0.000000,6.066883
0.020000,128.003183,119.618898,62.407738,98.273810,77.380952,-0.000000,6.032482
0.020000,129.912998,119.093208,64.388690,99.821429,77.380952,0.000000,5.996528
0.020000,131.831784,118.488590,66.400595,101.369048,77.380952,-0.000000,5.959220
0.020000,133.755422,117.801313,68.443452,102.916667,77.380952,0.000000,5.920792
0.020000,135.679613,117.028252,70.517262,104.464286,77.380952,0.000000,5.881515
0.020000,137.599942,116.166992,72.622024,106.011905,77.380952,-0.000000,5.841680
0.020000,139.512014,115.215873,74.757738,107.559524,77.380952,0.000000,5.801595
0.020000,141.411581,114.174009,76.924405,109.107143,77.380952,0.000000,5.761562
0.020000,143.220952,113.084652,79.122024,110.654762,77.380952,-0.000000,5.716701
0.020000,145.064669,111.833345,81.350595,112.202381,77.380952,0.000000,5.657482
0.020000,146.856844,110.457791,83.610119,113.750000,77.380952,-0.000000,5.600161
0.020000,148.592736,108.963919,85.900595,115.297619,77.380952,0.000000,5.545667
0.020000,150.269847,107.359188,88.222024,116.845238,77.380952,0.000000,5.494777
0.020000,151.887950,105.652018,90.574405,118.392857,77.380952,-0.000000,5.448081
0.020000,153.448952,103.851266,92.957738,119.940476,77.380952,0.000000,5.405983
0.020000,154.956632,101.965796,95.372024,121.488095,77.380952,-0.000000,5.368727
0.020000,156.416344,100.004187,97.817262,123.035714,77.380952,0.000000,5.336432
0.020000,157.834729,97.974575,100.293452,124.583333,77.380952,0.000000,5.309136
0.020000,159.219470,95.884599,102.800595,126.130952,77.380952,-0.000000,5.286830
0.020000,160.579119,93.741442,105.338690,127.678571,77.380952,0.000000,5.269491
0.020000,161.922986,91.551934,107.907738,129.226190,77.380952,0.000000,5.257115
0.020000,163.257133,89.329358,110.500000,130.000000,38.690476,-1934.523810,5.249746
0.020000,164.584453,87.093687,113.100000,130.000000,0.000000,-1934.523810,5.247423
0.020000,165.912215,84.858280,115.700000,130.000000,0.000000,0.000000,5.250142
0.020000,167.251699,82.629883,118.300000,130.000000,0.000000,0.000000,5.257941
0.020000,168.614234,80.415519,120.900000,130.000000,0.000000,0.000000,5.270925
0.020000,170.011230,78.222756,123.500000,130.000000,0.000000,0.000000,5.289259
0.020000,171.454159,76.059970,126.100000,130.000000,0.000000,0.000000,5.313157
0.020000,172.954463,73.936629,128.700000,130.000000,0.000000,0.000000,5.342862
0.020000,174.523381,71.863519,131.300000,130.000000,0.000000,0.000000,5.378612
0.020000,176.171604,69.852955,133.900000,130.000000,0.000000,0.000000,5.420589
0.020000,177.908802,67.918835,136.500000,130.000000,0.000000,0.000000,5.468857
0.020000,179.742966,66.076508,139.100000,130.000000,0.000000,0.000000,5.523277
0.020000,181.679631,64.342356,141.700000,130.000000,0.000000,0.000000,5.583423
0.020000,183.721096,62.733002,144.300000,130.000000,0.000000,0.000000,5.648514
0.020000,185.865827,61.264176,146.900000,130.000000,0.000000,0.000000,5.717398
0.020000,188.108242,59.949378,149.500000,130.000000,0.000000,0.000000,5.788610
0.020000,190.439074,58.798591,152.100000,130.000000,0.000000,0.000000,5.860508
0.020000,192.846227,57.817392,154.700000,130.000000,0.000000,0.000000,5.931465
0.020000,195.316054,57.006648,157.300000,130.000000,0.000000,0.000000,6.000052
0.020000,197.834619,56.362881,159.900000,130.000000,0.000000,0.000000,6.065167
0.020000,200.388797,55.879101,162.500000,130.000000,0.000000,0.000000,6.126085
0.020000,202.891395,55.552527,165.100000,130.000000,0.000000,0.000000,6.172753
0.020000,205.471566,55.232580,167.700000,130.000000,0.000000,0.000000,6.147703
0.020000,208.043870,54.854398,170.300000,130.000000,0.000000,0.000000,6.127505
0.020000,210.609022,54.430293,172.900000,130.000000,0.000000,0.000000,6.111914
0.020000,213.168285,53.971925,175.500000,130.000000,0.000000,0.000000,6.100732
0.020000,215.723307,53.490428,178.100000,130.000000,0.000000,0.000000,6.093805
0.020000,218.275973,52.996569,180.700000,130.000000,0.000000,0.000000,6.091039
0.020000,220.828290,52.500912,183.300000,130.000000,0.000000,0.000000,6.092395
0.020000,223.382287,52.013992,185.900000,130.000000,0.000000,0.000000,6.097891
0.020000,225.939899,51.546487,188.500000,130.000000,0.000000,0.000000,6.107605
0.020000,228.502874,51.109388,191.100000,130.000000,0.000000,0.000000,6.121668
0.020000,231.068727,50.714718,193.696065,129.606504,-19.674791,-983.739548,6.140234
0.020000,233.626755,50.375677,196.276522,128.439199,-58.365267,-1934.523810,6.163395
0.020000,236.165566,50.104750,198.829830,126.891580,-77.380952,-950.784262,6.191181
0.020000,238.680492,49.912739,201.352185,125.343961,-77.380952,-0.000000,6.223638
0.020000,241.169617,49.809649,203.843588,123.796342,-77.380952,0.000000,6.260810
0.020000,243.629883,49.805033,206.304039,122.248723,-77.380952,-0.000000,0.019485
0.020000,246.056993,49.907690,208.733537,120.701104,-77.380952,0.000000,0.065896
0.020000,248.445392,50.125256,211.132083,119.153485,-77.380952,0.000000,0.116575
0.020000,250.788371,50.463716,213.499677,117.605866,-77.380952,-0.000000,0.171057
0.020000,253.078314,50.926900,215.836318,116.058246,-77.380952,0.000000,0.228681
0.020000,255.307106,51.516044,218.142006,114.510627,-77.380952,0.000000,0.288603
0.020000,257.466676,52.229517,220.416743,112.963008,-77.380952,-0.000000,0.349845
0.020000,259.549612,53.062803,222.660527,111.415389,-77.380952,0.000000,0.411361
0.020000,261.549682,54.008749,224.873358,109.867770,-77.380952,-0.000000,0.472135
0.020000,263.462295,55.058082,227.055238,108.320151,-77.380952,0.000000,0.531257
0.020000,265.284688,56.200072,229.206164,106.772532,-77.380952,0.000000,0.587989
0.020000,267.015909,57.423207,231.326139,105.224913,-77.380952,-0.000000,0.641792
0.020000,268.656677,58.715862,233.415161,103.677294,-77.380952,0.000000,0.692329
0.020000,270.209061,60.066770,235.473231,102.129675,-77.380952,0.000000,0.739441
0.020000,271.676175,61.465401,237.500348,100.582056,-77.380952,-0.000000,0.783112
0.020000,273.061802,62.902102,239.496513,99.034437,-77.380952,0.000000,0.823431
0.020000,274.370207,64.368288,241.461725,97.486818,-77.380952,-0.000000,0.860557
0.020000,275.568809,65.810199,243.395986,95.939199,-77.380952,0.000000,0.892371
0.020000,276.770028,67.286555,245.299293,94.391580,-77.380952,0.000000,0.883573
0.020000,277.962847,68.729775,247.171649,92.843961,-77.380952,-0.000000,0.876976
0.020000,279.143812,70.142603,249.013052,91.296342,-77.380952,0.000000,0.872453
0.020000,280.309832,71.527568,250.823502,89.748723,-77.380952,-0.000000,0.869889
0.020000,281.458136,72.886984,252.603001,88.201104,-77.380952,0.000000,0.869178
0.020000,282.586236,74.222949,254.351547,86.653485,-77.380952,0.000000,0.870225
0.020000,283.691891,75.537352,256.069140,85.105866,-77.380952,-0.000000,0.872940
0.020000,284.773079,76.831873,257.755781,83.558246,-77.380952,0.000000,0.877243
0.020000,285.827978,78.107995,259.411470,82.010627,-77.380952,0.000000,0.883058
0.020000,286.854945,79.367000,261.036206,80.463008,-77.380952,-0.000000,0.890313
0.020000,287.852503,80.609985,262.629990,78.915389,-77.380952,0.000000,0.898942
0.020000,288.819328,81.837858,264.192822,77.367770,-77.380952,-0.000000,0.908877
0.020000,289.754242,83.051351,265.724701,75.820151,-77.380952,0.000000,0.920055
0.020000,290.656209,84.251021,267.225628,74.272532,-77.380952,0.000000,0.932408
0.020000,291.524331,85.437257,268.695602,72.724913,-77.380952,-0.000000,0.945872
0.020000,292.357845,86.610288,270.134624,71.177294,-77.380952,0.000000,0.960378
0.020000,293.156128,87.770187,271.542694,69.629675,-77.380952,0.000000,0.975854
0.020000,293.918694,88.916879,272.919811,68.082056,-77.380952,-0.000000,0.992228
0.020000,294.645198,90.050152,274.265976,66.534437,-77.380952,0.000000,1.009421
0.020000,295.335437,91.169664,275.581189,64.986818,-77.380952,-0.000000,1.027353
0.020000,295.989356,92.274954,276.865449,63.439199,-77.380952,0.000000,1.045938
0.020000,296.607042,93.365457,278.118757,61.891580,-77.380952,0.000000,1.065091
0.020000,297.188732,94.440511,279.341112,60.343961,-77.380952,0.000000,1.084719
0.020000,297.734808,95.499376,280.532515,58.796342,-77.380952,0.000000,1.104731
0.020000,298.245795,96.541245,281.692966,57.248723,-77.380952,-0.000000,1.125033
0.020000,298.722356,97.565262,282.822464,55.701104,-77.380952,0.000000,1.145531
0.020000,299.165288,98.570533,283.921010,54.153485,-77.380952,0.000000,1.166134
0.020000,299.575510,99.556146,284.988604,52.605866,-77.380952,0.000000,1.186748
0.020000,299.954058,100.521179,286.025245,51.058246,-77.380952,-0.000000,1.207288
0.020000,300.302067,101.464716,287.030933,49.510627,-77.380952,0.000000,1.227667
0.020000,300.620766,102.385863,288.005670,47.963008,-77.380952,0.000000,1.247808
0.020000,300.911455,103.283749,288.949454,46.415389,-77.380952,0.000000,1.267636
0.020000,301.175500,104.157541,289.862285,44.867770,-77.380952,-0.000000,1.287083
0.020000,301.414312,105.006455,290.744165,43.320151,-77.380952,0.000000,1.306088
0.020000,301.629336,105.829753,291.595091,41.772532,-77.380952,0.000000,1.324596
0.020000,301.822034,106.626753,292.415066,40.224913,-77.380952,0.000000,1.342560
0.020000,301.993876,107.396824,293.204088,38.677294,-77.380952,-0.000000,1.359939
0.020000,302.146323,108.139398,293.962158,37.129675,-77.380952,0.000000,1.376697
0.020000,302.280820,108.853959,294.689275,35.582056,-77.380952,0.000000,1.392806
0.020000,302.398785,109.540052,295.385440,34.034437,-77.380952,0.000000,1.408242
0.020000,302.501598,110.197263,296.050652,32.486818,-77.380952,-0.000000,1.422988
0.020000,302.590597,110.825244,296.684913,30.939199,-77.380952,0.000000,1.437031
0.020000,302.667069,111.423679,297.288220,29.391580,-77.380952,0.000000,1.450360
0.020000,302.732248,111.992308,297.860576,27.843961,-77.380952,0.000000,1.462971
0.020000,302.787309,112.530898,298.401979,26.296342,-77.380952,-0.000000,1.474861
0.020000,302.833364,113.039264,298.912429,24.748723,-77.380952,0.000000,1.486029
0.020000,302.871463,113.517246,299.391928,23.201104,-77.380952,-0.000000,1.496478
0.020000,302.902589,113.964708,299.840474,21.653485,-77.380952,0.000000,1.506211
0.020000,302.927659,114.381546,300.258067,20.105866,-77.380952,-0.000000,1.515233
0.020000,302.947524,114.767675,300.644708,18.558246,-77.380952,0.000000,1.523550
0.020000,302.962968,115.123027,301.000397,17.010627,-77.380952,-0.000000,1.531169
0.020000,302.974708,115.447551,301.325133,15.463008,-77.380952,0.000000,1.538096
0.020000,302.983397,115.741206,301.618917,13.915389,-77.380952,-0.000000,1.544337
0.020000,302.989619,116.003964,301.881749,12.367770,-77.380952,0.000000,1.549901
0.020000,302.993896,116.235801,302.113628,10.820151,-77.380952,0.000000,1.554792
0.020000,302.996687,116.436708,302.314555,9.272532,-77.380952,0.000000,1.559017
0.020000,302.998386,116.606679,302.484529,7.724913,-77.380952,0.000000,1.562582
0.020000,302.999326,116.745696,302.623551,6.177294,-77.380952,-0.000000,1.565491
0.020000,302.999777,116.853763,302.731621,4.629675,-77.380952,0.000000,1.567748
0.020000,302.999950,116.930883,302.808738,3.082056,-77.380952,0.000000,1.569356
0.020000,302.999995,116.977044,302.854903,1.534437,-77.380952,-0.000000,1.570318
