dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,296.921898,56.996031,0.007774,0.777438,38.871924,1943.596217,3.703089
0.020000,296.935943,57.004879,0.024374,0.829989,2.627540,-1812.219218,3.704366
0.020000,296.922615,56.996431,0.040155,0.789017,-2.048619,-233.807971,3.706920
0.020000,296.885953,56.973075,0.083624,2.173475,69.222892,3563.575549,3.710753
0.020000,296.837255,56.941742,0.141531,2.895366,36.094555,-1656.416805,3.715867
0.020000,296.776664,56.902264,0.213848,3.615846,36.023990,-3.528256,3.722264
0.020000,296.704357,56.854423,0.300550,4.335072,35.961341,-3.132468,3.729948
0.020000,296.620530,56.797951,0.401624,5.053706,35.931695,-1.482278,3.738917
0.020000,296.525389,56.732518,0.517094,5.773507,35.990052,2.917808,3.749172
0.020000,296.419147,56.657733,0.647017,6.496175,36.133383,7.166554,3.760707
0.020000,296.302010,56.573128,0.791513,7.224789,36.430688,14.865284,3.773513
0.020000,296.174168,56.478151,0.950775,7.963071,36.914115,24.171356,3.787575
0.020000,296.035779,56.372150,1.125095,8.716030,37.647942,36.691308,3.802872
0.020000,295.886969,56.254365,1.314879,9.489208,38.658892,50.547503,3.819370
0.020000,295.727810,56.123905,1.520674,10.289719,40.025565,68.333643,3.837029
0.020000,295.558321,55.979735,1.743185,11.125583,41.793210,88.382287,3.855794
0.020000,295.378460,55.820661,1.983298,12.005652,44.003431,110.511020,3.875598
0.020000,295.188124,55.645312,2.242094,12.939796,46.707218,135.189387,3.896356
0.020000,294.987148,55.452127,2.520863,13.938421,49.931257,161.201923,3.917970
0.020000,294.775319,55.239348,2.821107,15.012190,53.688452,187.859734,3.940324
0.020000,294.552384,55.005018,3.144542,16.171768,57.978861,214.520465,3.963286
0.020000,294.318065,54.746989,3.493088,17.427290,62.776100,239.861943,3.986709
0.020000,294.072082,54.462932,3.868849,18.788039,68.037447,263.067372,4.010430
0.020000,293.814167,54.150364,4.274088,20.261954,73.695781,282.916675,4.034276
0.020000,293.544083,53.806683,4.711194,21.855328,79.668704,298.646166,4.058062
0.020000,293.261634,53.429205,5.182646,23.572609,85.864028,309.766213,4.081599
0.020000,292.966671,53.015212,5.690971,25.416207,92.179890,315.793068,4.104691
0.020000,292.659086,52.561999,6.238703,27.386627,98.521007,317.055879,4.127144
0.020000,292.338796,52.066919,6.828355,29.482594,104.798358,313.867535,4.148765
0.020000,292.005719,51.527426,7.462384,31.701469,110.943753,307.269775,4.169364
0.020000,291.659733,50.941107,8.143176,34.039563,116.904681,298.046380,4.188758
