dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.806163,40.809061,0.007778,0.777840,38.891991,1944.599542,2.356037
0.020000,290.806785,40.808439,0.008658,0.043982,-36.692897,-3779.244369,2.356105
0.020000,290.793425,40.821798,0.027551,0.944650,45.033404,4086.315017,2.356239
0.020000,290.729248,40.885957,0.118299,4.537378,179.636415,6730.150566,2.356438
0.020000,290.643620,40.971521,0.239349,6.052535,75.757818,-5193.929856,2.356700
0.020000,290.536493,41.078504,0.390748,7.569936,75.870076,5.612897,2.357021
0.020000,290.407808,41.206929,0.572552,9.090217,76.014029,7.197647,2.357396
0.020000,290.257492,41.356820,0.784831,10.613936,76.185982,8.597667,2.357820
0.020000,290.085464,41.528209,1.027664,12.141629,76.384639,9.932833,2.358288
0.020000,289.891633,41.721132,1.301141,13.673854,76.611237,11.329930,2.358791
0.020000,289.675898,41.935634,1.605365,15.211230,76.868808,12.878531,2.359323
0.020000,289.438151,42.171766,1.940450,16.754252,77.151078,14.113475,2.359874
0.020000,289.178277,42.429589,2.306520,18.303501,77.462475,15.569851,2.360435
0.020000,288.896153,42.709171,2.703711,19.859515,77.800694,16.910992,2.360996
0.020000,288.591653,43.010593,3.132168,21.422856,78.167042,18.317394,2.361544
0.020000,288.264646,43.333946,3.592049,22.994072,78.560797,19.687742,2.362069
0.020000,287.914999,43.679336,4.083523,24.573711,78.981953,21.057775,2.362557
0.020000,287.542578,44.046881,4.606770,26.162323,79.430596,22.432156,2.362994
0.020000,287.147250,44.436718,5.161979,27.760455,79.906633,23.801850,2.363366
0.020000,286.728883,44.849000,5.749352,29.368668,80.410626,25.199675,2.363657
0.020000,286.287348,45.283900,6.369103,30.987531,80.943144,26.625901,2.363851
0.020000,285.822524,45.741614,7.021455,32.617600,81.503447,28.015154,2.363931
0.020000,285.334296,46.222360,7.706644,34.259462,82.093107,29.482988,2.363878
0.020000,284.822557,46.726385,8.424918,35.913708,82.712289,30.959084,2.363673
0.020000,284.287215,47.253964,9.176537,37.580938,83.361531,32.462112,2.363297
0.020000,283.728188,47.805403,9.961773,39.261797,84.042950,34.070922,2.362728
0.020000,283.145414,48.381043,10.780911,40.956907,84.755462,35.625635,2.361944
0.020000,282.538849,48.981264,11.634250,42.666945,85.501904,37.322086,2.360923
0.020000,281.908469,49.606488,12.522103,44.392652,86.285378,39.173711,2.359641
0.020000,281.254279,50.257179,13.444797,46.134702,87.102509,40.856563,2.358072
0.020000,280.576308,50.933853,14.402676,47.893940,87.961896,42.969319,2.356189
0.020000,279.874621,51.637076,15.396098,49.671103,88.858128,44.811616,2.353966
0.020000,279.149319,52.367474,16.425440,51.467079,89.798798,47.033487,2.351373
0.020000,278.400541,53.125733,17.491097,53.282860,90.789077,49.513933,2.348380
0.020000,277.628476,53.912606,18.593482,55.119259,91.819909,51.541610,2.344956
0.020000,276.833363,54.728919,19.733031,56.977456,92.909883,54.498708,2.341065
0.020000,276.015498,55.575571,20.910198,58.858367,94.045542,56.782978,2.336675
0.020000,275.175244,56.453547,22.125463,60.763201,95.241675,59.806604,2.331747
0.020000,274.313037,57.363917,23.379327,62.693213,96.500615,62.947011,2.326243
0.020000,273.429394,58.307844,24.672316,64.649479,97.813310,65.634755,2.320123
0.020000,272.524926,59.286590,26.004985,66.633453,99.198720,69.270496,2.313344
0.020000,271.600347,60.301517,27.377911,68.646282,100.641448,72.136411,2.305861
0.020000,270.656489,61.354098,28.791698,70.689346,102.153169,75.586053,2.297629
0.020000,269.694315,62.445915,30.246979,72.764068,103.736116,79.147330,2.288598
0.020000,268.714938,63.578663,31.744409,74.871502,105.371687,81.778571,2.278718
0.020000,267.719635,64.754152,33.284670,77.013020,107.075892,85.210227,2.267937
0.020000,266.709874,65.974304,34.868459,79.189463,108.822156,87.313216,2.256201
0.020000,265.687330,67.241153,36.496496,81.401826,110.618166,89.800508,2.243454
0.020000,264.653918,68.556834,38.169504,83.650433,112.430343,90.608843,2.229641
0.020000,263.611810,69.923572,39.888214,85.935469,114.251819,91.073794,2.214705
0.020000,262.568672,71.336502,41.644490,87.813831,93.918098,-1016.686021,2.198675
0.020000,261.538201,72.781586,43.419352,88.743114,46.464121,-2372.698846,2.181700
0.020000,260.533492,74.243556,45.193274,88.696059,-2.352743,-2440.843241,2.163974
0.020000,259.564982,75.708685,46.949581,87.815364,-44.034718,-2084.098726,2.145695
0.020000,258.637480,77.169812,48.680232,86.532568,-64.139841,-1005.256180,2.126996
0.020000,257.751503,78.625558,50.384389,85.207843,-66.236233,-104.819571,2.107941
0.020000,256.907413,80.074410,52.061190,83.840046,-68.389870,-107.681853,2.088598
0.020000,256.105408,81.514746,53.709758,82.428416,-70.581472,-109.580126,2.069033
0.020000,255.345515,82.944847,55.329211,80.972638,-72.788918,-110.372290,2.049314
0.020000,254.627585,84.362924,56.918666,79.472742,-74.994790,-110.293583,2.029509
0.020000,253.951292,85.767138,58.477252,77.929279,-77.173148,-108.917915,2.009686
0.020000,253.316133,87.155627,60.004120,76.343424,-79.292759,-105.980555,1.989909
0.020000,252.721435,88.526521,61.498448,74.716417,-81.350360,-102.880038,1.970241
0.020000,252.166359,89.877975,62.959454,73.050281,-83.306761,-97.820068,1.950744
0.020000,251.649916,91.208180,64.386394,71.347024,-85.162892,-92.806542,1.931474
0.020000,251.170972,92.515392,65.778584,69.609452,-86.878557,-85.783229,1.912484
0.020000,250.728272,93.797935,67.135381,67.839860,-88.479645,-80.054396,1.893823
0.020000,250.320449,95.054223,68.456206,66.041268,-89.929582,-72.496845,1.875536
0.020000,249.946045,96.282782,69.740548,64.217113,-91.207735,-63.907643,1.857662
0.020000,249.603529,97.482233,70.987946,62.369889,-92.361232,-57.674879,1.840237
0.020000,249.291314,98.651315,72.198000,60.502682,-93.360313,-49.954018,1.823291
0.020000,249.007772,99.788883,73.370372,58.618635,-94.202341,-42.101403,1.806850
0.020000,248.751256,100.893903,74.504775,56.720125,-94.925538,-36.159885,1.790937
