dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,309.193837,59.190939,0.007778,0.777840,38.891991,1944.599542,2.356037
0.020000,309.193215,59.191561,0.008658,0.043982,-36.692897,-3779.244369,2.356105
0.020000,309.177384,59.207392,0.031047,1.119434,53.772601,4523.274883,2.356239
0.020000,309.109539,59.275218,0.126981,4.796691,183.862863,6504.513116,2.356438
0.020000,309.019095,59.365593,0.254839,6.392939,79.812386,-5202.523897,2.356700
0.020000,308.906068,59.478469,0.414576,7.986851,79.695615,-5.838533,2.357021
0.020000,308.770479,59.613784,0.606135,9.577928,79.553834,-7.089058,2.357396
0.020000,308.612350,59.771466,0.829447,11.165595,79.383350,-8.524183,2.357820
0.020000,308.431713,59.951432,1.084432,12.749256,79.183046,-10.015186,2.358288
0.020000,308.228605,60.153589,1.370999,14.328346,78.954496,-11.427537,2.358791
0.020000,308.003068,60.377837,1.689046,15.902368,78.701135,-12.668038,2.359323
0.020000,307.755154,60.624067,2.038460,17.470702,78.416657,-14.223875,2.359874
0.020000,307.484925,60.892163,2.419117,19.032821,78.105953,-15.535227,2.360435
0.020000,307.192450,61.182003,2.830880,20.588157,77.766832,-16.956042,2.360996
0.020000,306.877811,61.493461,3.273603,22.136174,77.400822,-18.300482,2.361544
0.020000,306.541101,61.826409,3.747130,23.676319,77.007274,-19.677419,2.362069
0.020000,306.182429,62.180714,4.251290,25.208043,76.586196,-21.053884,2.362557
0.020000,305.801916,62.556246,4.785906,26.730795,76.137586,-22.430496,2.362994
0.020000,305.399702,62.952873,5.350787,28.244017,75.661127,-23.822991,2.363366
0.020000,304.975943,63.370468,5.945730,29.747158,75.157014,-25.205637,2.363657
0.020000,304.530816,63.808907,6.570523,31.239663,74.625261,-26.587658,2.363851
0.020000,304.064519,64.268071,7.224942,32.720950,74.064356,-28.045220,2.363931
0.020000,303.577274,64.747849,7.908751,34.190448,73.474892,-29.473215,2.363878
0.020000,303.069328,65.248139,8.621702,35.647563,72.855774,-30.955874,2.363673
0.020000,302.540954,65.768849,9.363536,37.091683,72.206007,-32.488386,2.363297
