dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.819516,40.795723,0.001989,0.198874,9.943698,497.184908,2.357489
0.020000,290.818303,40.796933,0.003702,0.085676,-5.659920,-780.180904,2.357357
0.020000,290.815574,40.799657,0.007558,0.192785,5.355486,550.770286,2.357060
0.020000,290.810723,40.804502,0.014414,0.342781,7.499808,107.216097,2.356533
0.020000,290.782425,40.832811,0.054441,2.001350,82.928426,3771.430898,2.355709
0.020000,290.720947,40.894422,0.141478,4.351868,117.525914,1729.874433,2.354521
0.020000,290.639069,40.976705,0.257558,5.804026,72.607913,-2245.900064,2.352934
0.020000,290.536881,41.079766,0.402692,7.256677,72.632516,1.230127,2.350949
0.020000,290.414473,41.203760,0.576929,8.711829,72.757620,6.255236,2.348561
0.020000,290.271985,41.348845,0.780282,10.167662,72.791635,1.700744,2.345768
0.020000,290.109558,41.515227,1.012801,11.625971,72.915461,6.191295,2.342568
0.020000,289.927372,41.703123,1.274520,13.085932,72.998066,4.130267,2.338958
0.020000,289.725619,41.912797,1.565496,14.548820,73.144376,7.315502,2.334932
0.020000,289.504522,42.144530,1.885784,16.014390,73.278476,6.704977,2.330489
0.020000,289.264343,42.398619,2.235423,17.481935,73.377259,4.939160,2.325622
0.020000,289.005355,42.675412,2.614487,18.953202,73.563374,9.305726,2.320328
0.020000,288.727872,42.975264,3.023030,20.427158,73.697812,6.721916,2.314602
0.020000,288.432238,43.298566,3.461121,21.904568,73.870474,8.633094,2.308440
0.020000,288.118834,43.645725,3.928819,23.384887,74.015951,7.273851,2.301835
0.020000,287.788076,44.017173,4.426186,24.868360,74.173664,7.885639,2.294784
0.020000,287.440413,44.413375,4.953297,26.355559,74.359959,9.314747,2.287280
0.020000,287.076345,44.834801,5.510204,27.845344,74.489256,6.464850,2.279321
0.020000,286.696404,45.281951,6.096973,29.338446,74.655059,8.290177,2.270900
0.020000,286.301180,45.755328,6.713649,30.833767,74.766089,5.551483,2.262014
0.020000,285.891294,46.255470,7.360293,32.332223,74.922785,7.834828,2.252658
0.020000,285.467426,46.782910,8.036944,33.832541,75.015880,4.654721,2.242831
0.020000,285.030312,47.338188,8.743628,35.334198,75.082883,3.350138,2.232528
0.020000,284.580735,47.921854,9.480367,36.836972,75.138678,2.789774,2.221750
0.020000,284.119537,48.534448,10.247163,38.339779,75.140354,0.083813,2.210495
0.020000,283.647607,49.176526,11.044020,39.842865,75.154300,0.697265,2.198763
0.020000,283.165907,49.848604,11.870896,41.343790,75.046237,-5.403110,2.186558
0.020000,282.675450,50.551198,12.727743,42.842369,74.928978,-5.862962,2.173883
0.020000,282.177301,51.284808,13.614499,44.337760,74.769556,-7.971124,2.160744
0.020000,281.672594,52.049886,14.531054,45.827780,74.500987,-13.428458,2.147147
0.020000,281.162508,52.846867,15.477292,47.311911,74.206517,-14.723476,2.133104
0.020000,280.648285,53.676126,16.453046,48.787679,73.788440,-20.903874,2.118625
0.020000,280.131210,54.538000,17.458130,50.254186,73.325331,-23.155409,2.103726
0.020000,279.612617,55.432761,18.492314,51.709218,72.751583,-28.687416,2.088424
0.020000,279.093875,56.360625,19.555340,53.151320,72.105111,-32.323610,2.072739
0.020000,278.576388,57.321732,20.646908,54.578357,71.351864,-37.662328,2.056695
0.020000,278.061587,58.316144,21.766673,55.988275,70.495882,-42.799116,2.040317
0.020000,277.550915,59.343846,22.914261,57.379378,69.555144,-47.036890,2.023635
0.020000,277.045822,60.404733,24.089250,58.749472,68.504694,-52.522529,2.006680
0.020000,276.547747,61.498619,25.291192,60.097097,67.381295,-56.169916,1.989488
0.020000,276.058117,62.625221,26.519594,61.420088,66.149536,-61.587963,1.972096
0.020000,275.578328,63.784170,27.773930,62.716814,64.836287,-65.662464,1.954545
0.020000,275.109728,64.975008,29.053649,63.985952,63.456908,-68.968934,1.936877
0.020000,274.653614,66.197194,30.358172,65.226130,62.008899,-72.400444,1.919137
0.020000,274.211214,67.450105,31.686894,66.436131,60.500061,-75.441903,1.901372
0.020000,273.783676,68.733048,33.039200,67.615306,58.958727,-77.066718,1.883627
0.020000,273.372057,70.045262,34.414459,68.762920,57.380686,-78.902056,1.865953
0.020000,272.977316,71.385931,35.812033,69.878714,55.789699,-79.549313,1.848398
0.020000,272.600909,72.751911,37.228926,70.844635,48.296068,-374.681586,1.831040
0.020000,272.244574,74.137753,38.659845,71.545981,35.067299,-661.438428,1.813980
0.020000,271.909605,75.538013,40.099614,71.988408,22.121342,-647.297859,1.797310
0.020000,271.596871,76.947293,41.543176,72.178139,9.486567,-631.738723,1.781113
0.020000,271.306846,78.360272,42.985613,72.121828,-2.815566,-615.106694,1.765462
0.020000,271.039761,79.771066,44.421467,71.792687,-16.457049,-682.074150,1.750425
0.020000,270.795482,81.173925,45.845434,71.198370,-29.715822,-662.938607,1.736060
0.020000,270.573463,82.563895,47.253024,70.379515,-40.942755,-561.346690,1.722407
0.020000,270.372922,83.936176,48.639881,69.342808,-51.835354,-544.629928,1.709494
0.020000,270.192895,85.286106,50.001763,68.094114,-62.434725,-529.968573,1.697342
0.020000,270.032269,86.609178,51.334549,66.639291,-72.741111,-515.319272,1.685962
0.020000,269.889755,87.901661,52.634866,65.015857,-81.171695,-421.529190,1.675352
0.020000,269.763814,89.162149,53.901630,63.338200,-83.882868,-135.558672,1.665487
0.020000,269.652838,90.390848,55.135330,61.685025,-82.658773,61.204774,1.656330
0.020000,269.555349,91.588003,56.336448,60.055869,-81.457762,60.050521,1.647843
0.020000,269.469985,92.753880,57.505446,58.449925,-80.297233,58.026448,1.639992
0.020000,269.395500,93.888769,58.642776,56.866488,-79.171830,56.270167,1.632741
0.020000,269.330751,94.992964,59.748868,55.304620,-78.093404,53.921271,1.626057
0.020000,269.274693,96.066775,60.824142,53.763675,-77.047272,52.306598,1.619908
0.020000,269.226373,97.110512,61.868996,52.242720,-76.047742,49.976548,1.614263
0.020000,269.184923,98.124483,62.883814,50.740898,-75.091098,47.832164,1.609093
