dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,300.000000,50.000000,0.001989,0.198874,9.943698,497.184908,2.357489
0.020000,300.000000,50.000000,0.009944,0.596622,19.887396,497.184908,2.357357
0.020000,300.000000,50.000000,0.027842,1.193244,29.831094,497.184908,2.357060
0.020000,300.000000,50.000000,0.059662,1.988740,39.774793,497.184908,2.356533
0.020000,299.979280,50.020730,0.109381,2.983109,49.718491,497.184908,2.355709
0.020000,299.928710,50.071409,0.180975,4.176353,59.662189,497.184908,2.354521
0.020000,299.861376,50.139077,0.276435,5.369597,59.662189,0.000000,2.352934
0.020000,299.777365,50.223805,0.395759,6.562841,59.662189,-0.000000,2.350949
0.020000,299.676766,50.325708,0.538948,7.756085,59.662189,0.000000,2.348561
0.020000,299.559713,50.444894,0.706003,8.949328,59.662189,0.000000,2.345768
0.020000,299.426345,50.581509,0.896922,10.142572,59.662189,-0.000000,2.342568
0.020000,299.276835,50.735706,1.111705,11.335816,59.662189,0.000000,2.338958
0.020000,299.111364,50.907673,1.350354,12.529060,59.662189,-0.000000,2.334932
0.020000,298.930146,51.097608,1.612868,13.722303,59.662189,0.000000,2.330489
0.020000,298.733425,51.305723,1.899246,14.915547,59.662189,0.000000,2.325622
0.020000,298.521456,51.532263,2.209490,16.108791,59.662189,0.000000,2.320328
0.020000,298.294531,51.777482,2.543598,17.302035,59.662189,0.000000,2.314602
0.020000,298.052960,52.041660,2.901571,18.495279,59.662189,-0.000000,2.308440
0.020000,297.797091,52.325087,3.283409,19.688522,59.662189,0.000000,2.301835
0.020000,297.527294,52.628075,3.689112,20.881766,59.662189,0.000000,2.294784
0.020000,297.243966,52.950960,4.118680,22.075010,59.662189,0.000000,2.287280
0.020000,296.947543,53.294082,4.572112,23.268254,59.662189,0.000000,2.279321
0.020000,296.638487,53.657808,5.049410,24.461497,59.662189,-0.000000,2.270900
0.020000,296.317299,54.042509,5.550572,25.654741,59.662189,0.000000,2.262014
0.020000,295.984502,54.448586,6.075600,26.847985,59.662189,-0.000000,2.252658
0.020000,295.640665,54.876439,6.624492,28.041229,59.662189,0.000000,2.242831
0.020000,295.286392,55.326482,7.197249,29.234473,59.662189,0.000000,2.232528
0.020000,294.922319,55.799140,7.793871,30.427716,59.662189,-0.000000,2.221750
0.020000,294.549124,56.294842,8.414357,31.620960,59.662189,0.000000,2.210495
0.020000,294.167513,56.814036,9.058709,32.814204,59.662189,0.000000,2.198763
0.020000,293.778244,57.357153,9.726926,34.007448,59.662189,-0.000000,2.186558
0.020000,293.382102,57.924637,10.419007,35.200691,59.662189,0.000000,2.173883
0.020000,292.979910,58.516934,11.134953,36.393935,59.662189,0.000000,2.160744
0.020000,292.572532,59.134471,11.874764,37.587179,59.662189,-0.000000,2.147147
0.020000,292.160862,59.777684,12.638440,38.780423,59.662189,0.000000,2.133104
0.020000,291.745831,60.446981,13.425981,39.973667,59.662189,0.000000,2.118625
0.020000,291.328400,61.142767,14.237387,41.166910,59.662189,-0.000000,2.103726
