dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,290.000002,40.007407,0.007738,0.773810,38.690476,1934.523810,1.570227
0.020000,290.000001,40.004589,0.010555,0.140867,-31.647114,-3516.879506,1.570443
0.020000,290.000000,40.010486,0.016452,0.294851,7.699174,1967.314407,1.570877
0.020000,289.999965,40.094863,0.100830,4.218855,196.200230,9425.052775,1.571530
0.020000,289.999834,40.207331,0.213297,5.623375,70.225967,-6298.713124,1.572402
0.020000,289.999531,40.347853,0.353820,7.026149,70.138739,-4.361393,1.573497
0.020000,289.998965,40.516395,0.522362,8.427114,70.048216,-4.526193,1.574818
0.020000,289.998022,40.712903,0.718873,9.825529,69.920783,-6.371607,1.576369
0.020000,289.996572,40.937326,0.943301,11.221396,69.793334,-6.372486,1.578153
0.020000,289.994461,41.189592,1.195575,12.613713,69.615844,-8.874502,1.580176
0.020000,289.991518,41.469626,1.475625,14.002508,69.439759,-8.804243,1.582443
0.020000,289.987547,41.777340,1.783364,15.386958,69.222493,-10.863273,1.584961
0.020000,289.982333,42.112639,2.118704,16.766982,69.001209,-11.064229,1.587737
0.020000,289.975636,42.475406,2.481533,18.141424,68.722091,-13.955890,1.590779
0.020000,289.967193,42.865524,2.871742,19.510496,68.453599,-13.424600,1.594097
0.020000,289.956717,43.282854,3.289203,20.873042,68.127324,-16.313724,1.597699
0.020000,289.943895,43.727244,3.733778,22.228757,67.785721,-17.080180,1.601596
0.020000,289.928386,44.198526,4.205315,23.576833,67.403810,-19.095519,1.605800
0.020000,289.909824,44.696515,4.703651,24.916784,66.997521,-20.314469,1.610324
0.020000,289.887809,45.221005,5.228602,26.247555,66.538551,-22.948510,1.615180
0.020000,289.861916,45.771777,5.779982,27.569032,66.073849,-23.235080,1.620386
0.020000,289.831685,46.348579,6.357576,28.879693,65.533098,-27.037578,1.625955
0.020000,289.796622,46.951140,6.961157,30.179016,64.966112,-28.349283,1.631907
0.020000,289.756201,47.579158,7.590474,31.465886,64.343506,-31.130283,1.638260
0.020000,289.709857,48.232316,8.245274,32.739969,63.704137,-31.968461,1.645033
0.020000,289.656987,48.910242,8.925259,33.999245,62.963826,-37.015573,1.652251
0.020000,289.596949,49.612548,9.630126,35.243353,62.205393,-37.921651,1.659935
0.020000,289.529061,50.338797,10.359541,36.470751,61.369886,-41.775337,1.668111
0.020000,289.452594,51.088517,11.113150,37.680474,60.486179,-44.185364,1.676808
0.020000,289.366779,51.861182,11.890567,38.870829,59.517751,-48.421369,1.686054
0.020000,289.270796,52.656226,12.691383,40.040831,58.500085,-50.883312,1.695881
0.020000,289.163781,53.473017,13.515155,41.188578,57.387349,-55.636808,1.706323
0.020000,289.044817,54.310877,14.361419,42.313191,56.230645,-57.835195,1.717416
0.020000,288.912942,55.169057,15.229672,43.412656,54.973259,-62.869284,1.729199
0.020000,288.767138,56.046733,16.119377,44.485243,53.629365,-67.194694,1.741712
0.020000,288.606340,56.943015,17.029968,45.529569,52.216296,-70.653456,1.754999
0.020000,288.429427,57.856936,17.960854,46.544310,50.737061,-73.961749,1.769106
0.020000,288.235231,58.787433,18.911400,47.527300,49.149500,-79.378088,1.784081
0.020000,288.022529,59.733370,19.880956,48.477800,47.524952,-81.227382,1.799976
0.020000,287.790055,60.693506,20.868835,49.393935,45.806763,-85.909427,1.816841
0.020000,287.536492,61.666512,21.874338,50.275127,44.059619,-87.357210,1.834732
0.020000,287.260479,62.650960,22.896748,51.120501,42.268705,-89.545695,1.853703
0.020000,286.960615,63.645332,23.935349,51.930075,40.478687,-89.500889,1.873809
0.020000,286.635461,64.648012,24.989433,52.704184,38.705455,-88.661646,1.895105
0.020000,286.283542,65.657304,26.058319,53.444313,37.006440,-84.950705,1.917643
0.020000,285.903352,66.671433,27.141371,54.152593,35.413991,-79.622471,1.941472
0.020000,285.493353,67.688563,28.238026,54.832769,34.008837,-70.257702,1.966636
0.020000,285.051980,68.706812,29.347820,55.489674,32.845220,-58.180854,1.993169
0.020000,284.577635,69.724276,30.470422,56.130123,32.022480,-41.137010,2.021098
0.020000,284.068684,70.739049,31.605673,56.762524,31.620016,-20.123203,2.050435
0.020000,283.523452,71.749251,32.753622,57.397472,31.747396,6.369038,2.081175
0.020000,282.940208,72.753057,33.914569,58.047350,32.493890,37.324686,2.113296
0.020000,282.317156,73.748714,35.089102,58.726635,33.964272,73.519093,2.146753
0.020000,281.652420,74.734565,36.278126,59.451204,36.228463,113.209562,2.181475
0.020000,280.944029,75.709060,37.482890,60.238219,39.350727,156.113169,2.217367
0.020000,280.189915,76.670748,38.704992,61.105080,43.343078,199.617576,2.254307
0.020000,279.387908,77.618275,39.946371,62.068956,48.193789,242.535528,2.292144
0.020000,278.535756,78.550351,41.209276,63.145234,53.813886,281.004858,2.330705
0.020000,277.631144,79.465728,42.496224,64.347431,60.109858,314.798590,2.369798
0.020000,276.671754,80.363145,43.809917,65.684621,66.859508,337.482511,2.409214
0.020000,275.655306,81.241311,45.153175,67.162888,73.913332,352.691223,2.448737
0.020000,274.579646,82.098861,46.528833,68.782926,81.001891,354.427913,2.488149
0.020000,273.442818,82.934340,47.939649,70.540811,87.894289,344.619903,2.527236
0.020000,272.243133,83.746202,49.388223,72.428685,94.393683,324.969723,2.565800
0.020000,270.979231,84.532823,50.876921,74.434881,100.309787,295.805199,2.603659
0.020000,269.650138,85.292526,52.407815,76.544718,105.491879,259.104604,2.640653
0.020000,268.255284,86.023618,53.982652,78.741844,109.856270,218.219519,2.676648
0.020000,266.794512,86.724433,55.602836,81.009213,113.368472,175.610136,2.711536
0.020000,265.268055,87.393379,57.269437,83.330066,116.042619,133.707341,2.745235
0.020000,263.676527,88.028966,58.983185,85.687391,117.866269,91.182471,2.777687
0.020000,262.020829,88.629857,60.744550,88.068260,119.043435,58.858326,2.808860
0.020000,260.302167,89.194869,62.553704,90.457699,119.471984,21.427461,2.838736
0.020000,258.576886,89.707539,64.353545,89.992010,-23.284480,-7137.823200,2.864595
0.020000,256.813963,90.191059,66.181573,91.401428,70.470909,4687.769440,2.881500
0.020000,254.815298,90.704371,68.245102,103.176431,588.750172,25913.963130,2.898956
0.020000,252.784756,91.187657,70.332365,104.363149,59.335895,-26470.713811,2.916966
