dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,315.999998,39.992593,0.007738,0.773810,38.690476,1934.523810,1.570227
0.020000,315.999999,39.995411,0.010555,0.140867,-31.647114,-3516.879506,1.570443
0.020000,315.999999,40.012591,0.027735,0.858997,35.906468,3377.679075,1.570877
0.020000,315.999958,40.113929,0.129074,5.066914,210.395861,8724.469676,1.571530
0.020000,315.999800,40.249084,0.264229,6.757766,84.542628,-6292.661635,1.572402
0.020000,315.999436,40.418083,0.433229,8.449978,84.610579,3.397524,1.573497
0.020000,315.998754,40.620969,0.636116,10.144364,84.719293,5.435722,1.574818
0.020000,315.997619,40.857786,0.872935,11.840951,84.829379,5.504289,1.576369
0.020000,315.995868,41.128594,1.143748,13.540682,84.986523,7.857194,1.578153
0.020000,315.993317,41.433449,1.448615,15.243320,85.131901,7.268914,1.580176
0.020000,315.989754,41.772429,1.787613,16.949906,85.329308,9.870347,1.582443
0.020000,315.984939,42.145608,2.160823,18.660492,85.529289,9.999030,1.584961
0.020000,315.978602,42.553080,2.568344,20.376074,85.779104,12.490736,1.587737
0.020000,315.970445,42.994932,3.010272,22.096393,86.015948,11.842240,1.590779
0.020000,315.960135,43.471279,3.486730,23.822911,86.325893,15.497219,1.594097
0.020000,315.947309,43.982228,3.997840,25.555487,86.628820,15.146367,1.597699
0.020000,315.931564,44.527902,4.543742,27.295086,86.979942,17.556098,1.601596
0.020000,315.912460,45.108431,5.124585,29.042137,87.352558,18.630813,1.605800
0.020000,315.889515,45.723954,5.740536,30.797546,87.770444,20.894288,1.610324
0.020000,315.862204,46.374614,6.391768,32.561611,88.203247,21.640125,1.615180
0.020000,315.829954,47.060574,7.078486,34.335894,88.714176,25.546494,1.620386
0.020000,315.792142,47.781990,7.800892,36.120322,89.221382,25.360302,1.625955
0.020000,315.748089,48.539033,8.559216,37.916173,89.792525,28.557113,1.631907
0.020000,315.697057,49.331874,9.353698,39.724117,90.397207,30.234109,1.638260
0.020000,315.638244,50.160709,10.184617,41.545943,91.091307,34.705008,1.645033
0.020000,315.570782,51.025712,11.052246,43.381451,91.775408,34.205034,1.652251
0.020000,315.493724,51.927078,11.956900,45.232689,92.561907,39.324988,1.659935
0.020000,315.406045,52.864996,12.898907,47.100363,93.383711,41.090182,1.668111
0.020000,315.306631,53.839660,13.878628,48.986080,94.285841,45.106474,1.676808
0.020000,315.194273,54.851253,14.896442,50.890663,95.229137,47.164809,1.686054
0.020000,315.067660,55.899958,15.952762,52.816019,96.267777,51.931995,1.695881
