dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,296.926984,56.999232,0.001977,0.197693,9.884673,494.233661,3.703552
0.020000,296.929220,57.000640,0.004619,0.132128,-3.278286,-658.147985,3.703755
0.020000,296.934248,57.003809,0.010563,0.297187,8.252941,576.561380,3.704212
0.020000,296.939376,57.007044,0.016626,0.303135,0.297435,-397.775311,3.705024
0.020000,296.911540,56.989434,0.049564,1.646921,67.189302,3344.593344,3.706292
0.020000,296.871469,56.963997,0.097027,2.373147,36.311276,-1543.901292,3.708116
0.020000,296.818068,56.929939,0.160365,3.166865,39.685917,168.732073,3.710543
0.020000,296.751354,56.887134,0.239630,3.963246,39.819066,6.657436,3.713570
0.020000,296.671356,56.835429,0.334883,4.762679,39.971633,7.628357,3.717192
0.020000,296.578100,56.774636,0.446205,5.566072,40.169639,9.900309,3.721403
0.020000,296.471618,56.704535,0.573690,6.374273,40.410041,12.020071,3.726196
0.020000,296.351943,56.624876,0.717452,7.188107,40.691733,14.084611,3.731561
0.020000,296.219111,56.535371,0.877626,8.008680,41.028631,16.844918,3.737488
0.020000,296.073156,56.435702,1.054365,8.836974,41.414716,19.304218,3.743966
0.020000,295.914112,56.325514,1.247850,9.674252,41.863865,22.457473,3.750981
0.020000,295.742011,56.204417,1.458285,10.521759,42.375371,25.575283,3.758517
0.020000,295.556884,56.071986,1.685904,11.380917,42.957874,29.125153,3.766556
0.020000,295.358756,55.927760,1.930966,12.253118,43.610071,32.609835,3.775078
0.020000,295.147649,55.771240,2.193768,13.140101,44.349133,36.953104,3.784060
0.020000,294.923578,55.601891,2.474636,14.043414,45.165647,40.825710,3.793477
0.020000,294.686554,55.419142,2.773931,14.964721,46.065366,44.985943,3.803302
0.020000,294.436582,55.222386,3.092049,15.905924,47.060131,49.738276,3.813504
0.020000,294.173655,55.010980,3.429426,16.868842,48.145920,54.289449,3.824049
0.020000,293.897764,54.784245,3.786531,17.855265,49.321136,58.760767,3.834901
0.020000,293.608889,54.541472,4.163874,18.867129,50.593241,63.605270,3.846022
0.020000,293.307003,54.281921,4.561997,19.906172,51.952153,67.945595,3.857368
0.020000,292.992068,54.004823,4.981482,20.974244,53.403577,72.571226,3.868897
0.020000,292.664040,53.709383,5.422943,22.073012,54.938385,76.740355,3.880560
0.020000,292.322862,53.394788,5.887025,23.204097,56.554259,80.793744,3.892307
0.020000,291.968469,53.060206,6.374405,24.369024,58.246360,84.605042,3.904088
