dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,283.073016,79.000768,0.001977,0.197693,9.884673,494.233661,3.703552
0.020000,283.070780,78.999360,0.004619,0.132128,-3.278286,-658.147985,3.703755
0.020000,283.065752,78.996191,0.010563,0.297187,8.252941,576.561380,3.704212
0.020000,283.053020,78.988152,0.025620,0.752861,22.783720,726.538930,3.705024
0.020000,282.997323,78.952917,0.091528,3.295362,127.125075,5217.067756,3.706292
0.020000,282.917219,78.902068,0.186407,4.743974,72.430584,-2734.724524,3.708116
0.020000,282.810611,78.834075,0.312852,6.322257,78.914165,324.179032,3.710543
0.020000,282.677656,78.748768,0.470822,7.898464,78.810340,-5.191234,3.713570
0.020000,282.518568,78.645944,0.660247,9.471252,78.639378,-8.548099,3.717192
0.020000,282.333597,78.525363,0.881049,11.040141,78.444457,-9.746074,3.721403
0.020000,282.123042,78.386748,1.133136,12.604325,78.209186,-11.763564,3.726196
0.020000,281.887248,78.229796,1.416390,14.162721,77.919830,-14.467766,3.731561
0.020000,281.626605,78.054171,1.730681,15.714544,77.591144,-16.434326,3.737488
0.020000,281.341556,77.859519,2.075851,17.258496,77.197604,-19.676964,3.743966
0.020000,281.032590,77.645465,2.451722,18.793539,76.752162,-22.272132,3.750981
0.020000,280.700251,77.411619,2.858088,20.318314,76.238737,-25.671254,3.758517
0.020000,280.345128,77.157585,3.294718,21.831504,75.659471,-28.963276,3.766556
0.020000,279.967867,76.882963,3.761347,23.331457,74.997693,-33.088929,3.775078
0.020000,279.569159,76.587355,4.257686,24.816913,74.272776,-36.245833,3.784060
0.020000,279.149748,76.270376,4.783406,26.286003,73.454502,-40.913698,3.793477
0.020000,278.710426,75.931658,5.338143,27.736875,72.543591,-45.545550,3.803302
0.020000,278.252027,75.570856,5.921502,29.167950,71.553740,-49.492561,3.813504
0.020000,277.775429,75.187653,6.533050,30.577377,70.471370,-54.118497,3.824049
0.020000,277.281544,74.781776,7.172314,31.963191,69.290695,-59.033766,3.834901
0.020000,276.771319,74.352990,7.838788,33.323696,68.025240,-63.272740,3.846022
0.020000,276.245724,73.901115,8.531926,34.656902,66.660301,-68.246950,3.857368
